t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.098326,0.33555,5.1362
0.02,0.0052439,0.47968,5.1927
0.03,-0.087838,0.62382,5.2492
0.04,-0.18092,0.76796,5.3056
0.05,-0.20354,0.84824,5.3398
0.06,-0.11874,0.83119,5.3398
0.07,-0.033944,0.81413,5.3398
0.08,0.050854,0.79707,5.3398
0.09,0.13565,0.78002,5.3398
0.1,0.19978,0.75646,5.3398
0.11,0.2585,0.7312,5.3398
0.12,0.31721,0.70595,5.3398
0.13,0.37593,0.68069,5.3398
0.14,0.42803,0.65474,5.3398
0.15,0.45165,0.62581,5.3398
0.16,0.47527,0.59688,5.3398
0.17,0.49889,0.56795,5.3398
0.18,0.52251,0.53903,5.3398
0.19,0.53775,0.51388,5.3398
0.2,0.54704,0.49141,5.3398
0.21,0.55633,0.46895,5.3398
0.22,0.56563,0.44649,5.3398
0.23,0.57492,0.42403,5.3398
0.24,0.5781,0.41449,5.3398
0.25,0.58116,0.40521,5.3398
0.26,0.58422,0.39593,5.3398
0.27,0.58728,0.38665,5.3398
0.28,0.58903,0.38156,5.3398
0.29,0.58861,0.38341,5.3398
0.3,0.58819,0.38525,5.3398
0.31,0.58778,0.3871,5.3398
0.32,0.58736,0.38894,5.3398
0.33,0.58545,0.39503,5.3398
0.34,0.5831,0.40237,5.3398
0.35,0.58075,0.40971,5.3398
0.36,0.5784,0.41705,5.3398
0.37,0.57591,0.42458,5.3398
0.38,0.5727,0.43305,5.3398
0.39,0.5695,0.44152,5.3398
0.4,0.56629,0.44999,5.3398
0.41,0.56309,0.45846,5.3398
0.42,0.55993,0.46639,5.3398
0.43,0.55681,0.47393,5.3398
0.44,0.5537,0.48146,5.3398
0.45,0.55058,0.48899,5.3398
0.46,0.54747,0.49652,5.3398
0.47,0.54527,0.50258,5.3398
0.48,0.5431,0.50858,5.3398
0.49,0.54094,0.51459,5.3398
0.5,0.53877,0.52059,5.3398
0.51,0.53718,0.52606,5.3398
0.52,0.5366,0.53057,5.3398
0.53,0.53602,0.53508,5.3398
0.54,0.53544,0.53959,5.3398
0.55,0.53486,0.5441,5.3398
0.56,0.53564,0.54764,5.3398
0.57,0.53686,0.55087,5.3398
0.58,0.53808,0.55411,5.3398
0.59,0.5393,0.55734,5.3398
0.6,0.54074,0.56041,5.3398
0.61,0.54348,0.56257,5.3398
0.62,0.54622,0.56472,5.3398
0.63,0.54896,0.56688,5.3398
0.64,0.5517,0.56904,5.3398
0.65,0.55494,0.57064,5.3398
0.66,0.55861,0.57179,5.3398
0.67,0.56228,0.57295,5.3398
0.68,0.56595,0.5741,5.3398
0.69,0.56962,0.57525,5.3398
0.7,0.57358,0.57533,5.3398
0.71,0.57755,0.57534,5.3398
0.72,0.58153,0.57535,5.3398
0.73,0.58551,0.57537,5.3398
0.74,0.58943,0.57488,5.3398
0.75,0.59327,0.57342,5.3398
0.76,0.5971,0.57197,5.3398
0.77,0.60093,0.57051,5.3398
0.78,0.60476,0.56905,5.3398
0.79,0.60832,0.56617,5.3398
0.8,0.61178,0.56278,5.3398
0.81,0.61523,0.55938,5.3398
0.82,0.61869,0.55599,5.3398
0.83,0.62209,0.55228,5.3398
0.84,0.62507,0.54646,5.3398
0.85,0.62806,0.54063,5.3398
0.86,0.63105,0.5348,5.3398
0.87,0.63404,0.52898,5.3398
0.88,0.63674,0.52165,5.3398
0.89,0.63918,0.51298,5.3398
0.9,0.64162,0.5043,5.3398
0.91,0.64406,0.49563,5.3398
0.92,0.6465,0.48695,5.3398
0.93,0.64825,0.47551,5.3398
0.94,0.64994,0.46383,5.3398
0.95,0.65163,0.45215,5.3398
0.96,0.65333,0.44047,5.3398
0.97,0.65464,0.42799,5.3398
0.98,0.65515,0.41377,5.3398
0.99,0.65567,0.39956,5.3398
1,0.65618,0.38534,5.3398
1.01,0.65669,0.37112,5.3398
1.02,0.65577,0.35615,5.3398
1.03,0.65428,0.34088,5.3398
1.04,0.65279,0.3256,5.3398
1.05,0.65129,0.31033,5.3398
1.06,0.6494,0.2952,5.3398
1.07,0.64432,0.28124,5.3398
1.08,0.63923,0.26728,5.3398
1.09,0.63415,0.25332,5.3398
1.1,0.62906,0.23936,5.3398
1.11,0.62041,0.22719,5.3398
1.12,0.60828,0.21676,5.3398
1.13,0.59615,0.20632,5.3398
1.14,0.58402,0.19589,5.3398
1.15,0.5719,0.18545,5.3398
1.16,0.54447,0.17894,5.3398
1.17,0.51541,0.17284,5.3398
1.18,0.48635,0.16674,5.3398
1.19,0.45728,0.16065,5.3398
1.2,0.41893,0.15553,5.3398
1.21,0.35883,0.15272,5.3398
1.22,0.29874,0.14991,5.3398
1.23,0.23865,0.1471,5.3398
1.24,0.17856,0.14428,5.3398
1.25,0.11612,0.14282,5.3398
1.26,0.052663,0.14194,5.3398
1.27,-0.010796,0.14106,5.3398
1.28,-0.074255,0.14018,5.3398
1.29,-0.13686,0.14035,5.3398
1.3,-0.19096,0.15095,5.3398
1.31,-0.24507,0.16154,5.3398
1.32,-0.29917,0.17214,5.3398
1.33,-0.35328,0.18274,5.3398
1.34,-0.32034,0.18851,5.3122
1.35,-0.19601,0.18921,5.2557
1.36,-0.071682,0.18992,5.1992
1.37,0.052648,0.19062,5.1427
1.38,0.17698,0.19133,5.0862
