t, affine_elevL, affine_elevR, affine_throttle
0,-7.1468e-05,0.00010805,6.5364e-07
0.01,0.0044997,-0.0064691,-3.6872e-05
0.02,0.0069399,-0.010992,-8.1445e-05
0.03,0.0060793,-0.010119,-9.1271e-05
0.04,0.0025362,-0.0041907,-4.8713e-05
0.05,-0.0014611,0.0020526,2.548e-05
0.06,-0.0042684,0.0047909,4.9048e-05
0.07,-0.004781,0.0046523,3.8343e-05
0.08,-0.0031805,0.0028081,1.8101e-05
0.09,-0.00050414,0.00041576,1.3635e-06
0.1,0.0013531,-0.0011456,-5.4999e-06
0.11,0.0015867,-0.0014543,-3.3646e-06
0.12,0.00091799,-0.00097368,4.1113e-07
0.13,0.00015764,-0.00028777,1.3644e-06
0.14,5.8086e-05,-2.1635e-05,-1.7155e-06
0.15,0.00010693,5.2558e-05,-4.4233e-06
0.16,-2.5715e-05,0.00017446,-5.1562e-06
0.17,-0.00015863,0.00023869,-4.2782e-06
0.18,-0.0001109,0.00012327,-1.8715e-06
0.19,0.00014324,-0.00015695,1.3489e-06
0.2,0.00014188,-0.00014093,1.8839e-06
0.21,-5.208e-06,3.0575e-05,2.0106e-07
0.22,-0.00011443,0.00014681,-1.5648e-06
0.23,-2.479e-06,8.8348e-07,-2.8886e-07
0.24,0.00013995,-0.00016944,1.9665e-06
0.25,8.0901e-05,-9.5294e-05,1.2244e-06
0.26,-3.9346e-05,4.9072e-05,-7.4605e-07
0.27,-7.7261e-05,9.2299e-05,-1.5313e-06
0.28,7.2236e-05,-8.7411e-05,9.8996e-07
0.29,0.00012698,-0.00015288,2.0211e-06
0.3,7.1288e-05,-8.7249e-05,1.1177e-06
0.31,-5.0689e-06,2.9781e-06,-2.2214e-07
0.32,-1.0454e-05,1.1286e-05,-4.0382e-07
0.33,5.9042e-05,-6.7806e-05,6.8408e-07
0.34,6.5601e-05,-7.6391e-05,7.6253e-07
0.35,3.6896e-05,-4.4365e-05,3.3325e-07
0.36,7.8755e-06,-1.0734e-05,-7.4084e-08
0.37,1.2343e-05,-1.3396e-05,-2.1619e-08
0.38,2.7237e-05,-2.9311e-05,1.3406e-07
0.39,3.1605e-05,-3.4719e-05,1.8276e-07
0.4,2.7334e-05,-3.0458e-05,1.7039e-07
0.41,1.5396e-05,-1.7086e-05,6.2411e-08
0.42,2.4265e-06,-2.103e-06,-1.4139e-07
0.43,8.1003e-06,-7.5942e-06,-1.2094e-07
0.44,2.1573e-05,-2.187e-05,4.1225e-08
0.45,2.7161e-05,-2.8144e-05,1.5761e-07
0.46,8.6714e-06,-9.2171e-06,3.0517e-09
0.47,-8.3187e-06,8.9091e-06,-1.9912e-07
0.48,3.9928e-06,-3.0196e-06,-1.1628e-07
0.49,2.2378e-05,-2.1779e-05,5.567e-08
0.5,2.3908e-05,-2.3983e-05,1.1633e-07
0.51,-6.5377e-06,6.3253e-06,-8.2342e-08
0.52,-1.1826e-05,1.23e-05,-1.4751e-07
0.53,5.6462e-06,-4.6726e-06,-5.9893e-08
0.54,2.1296e-05,-2.0511e-05,4.6112e-08
0.55,1.2236e-05,-1.2062e-05,4.7685e-08
0.56,-1.4154e-05,1.4173e-05,-5.4882e-08
0.57,-9.7895e-06,1.0337e-05,-6.4251e-08
0.58,6.3458e-06,-5.4475e-06,-2.0401e-08
0.59,1.3919e-05,-1.3115e-05,2.7381e-08
0.6,-2.0368e-06,2.5074e-06,3.3708e-08
0.61,-1.273e-05,1.3236e-05,1.3185e-08
0.62,-4.9833e-06,5.7254e-06,5.3385e-09
0.63,5.965e-06,-5.0295e-06,1.8048e-08
0.64,6.6372e-06,-5.5946e-06,4.5659e-08
0.65,-7.4481e-06,8.5513e-06,6.8257e-08
0.66,-8.4958e-06,9.5154e-06,6.4188e-08
0.67,-1.6236e-06,2.6251e-06,5.9735e-08
0.68,3.8326e-06,-2.6722e-06,6.6966e-08
0.69,-7.0872e-07,2.2992e-06,8.6123e-08
0.7,-7.3705e-06,9.0883e-06,9.7851e-08
0.71,-4.4549e-06,5.8499e-06,1.0069e-07
0.72,9.2783e-07,2.9218e-07,1.0482e-07
0.73,2.111e-06,-6.2116e-07,1.1215e-07
0.74,-5.3834e-06,7.5386e-06,1.1945e-07
0.75,-6.3209e-06,8.3205e-06,1.2772e-07
0.76,-1.1215e-06,2.6336e-06,1.3265e-07
0.77,3.2981e-06,-1.9934e-06,1.3453e-07
0.78,1.4927e-07,1.5981e-06,1.4016e-07
0.79,-7.956e-06,1.0225e-05,1.5672e-07
0.8,-4.7454e-06,6.5777e-06,1.6158e-07
0.81,2.6506e-06,-1.3895e-06,1.4995e-07
0.82,5.3821e-06,-4.2237e-06,1.4062e-07
0.83,-4.202e-06,5.9721e-06,1.6996e-07
0.84,-8.9898e-06,1.0851e-05,1.9831e-07
0.85,-1.6995e-06,2.9513e-06,1.8026e-07
0.86,7.0176e-06,-6.3129e-06,1.4152e-07
0.87,5.6461e-06,-4.8747e-06,1.3799e-07
0.88,-9.531e-06,1.0904e-05,2.1338e-07
0.89,-9.1767e-06,1.0269e-05,2.2844e-07
0.9,7.8542e-07,-3.0901e-07,1.8345e-07
0.91,8.2556e-06,-8.1588e-06,1.3412e-07
0.92,8.3985e-07,-4.9988e-07,1.5629e-07
0.93,-1.0791e-05,1.1282e-05,2.2686e-07
0.94,-7.6154e-06,7.6688e-06,2.341e-07
0.95,1.0728e-06,-1.4758e-06,1.9786e-07
0.96,3.9568e-06,-4.3562e-06,1.5227e-07
0.97,-2.8317e-06,2.678e-06,1.4377e-07
0.98,-9.5095e-06,8.9958e-06,2.08e-07
0.99,-1.0631e-05,9.3182e-06,2.9453e-07
1,-7.0503e-06,5.3526e-06,3.108e-07
1.01,-5.601e-08,-7.5073e-07,1.6776e-07
1.02,3.0462e-06,-2.492e-06,-8.1446e-09
1.03,-6.7525e-06,5.9485e-06,1.5181e-07
1.04,-1.7531e-05,1.4434e-05,3.9264e-07
1.05,-1.6602e-05,1.3181e-05,4.195e-07
1.06,6.0334e-06,-4.3205e-06,-4.2113e-08
1.07,6.4613e-06,-4.0518e-06,-6.8391e-08
1.08,-2.0046e-05,1.565e-05,4.9428e-07
1.09,-4.0929e-05,3.0361e-05,9.4484e-07
1.1,-2.6233e-05,2.0175e-05,6.1484e-07
1.11,2.5959e-05,-1.4104e-05,-5.7333e-07
1.12,1.5982e-05,-6.6684e-06,-3.3185e-07
1.13,-2.4759e-05,1.9512e-05,6.2227e-07
1.14,-4.7418e-05,3.3916e-05,1.1336e-06
1.15,-9.0956e-06,1.2384e-05,1.5593e-07
1.16,-1.0196e-05,1.1637e-05,4.1502e-07
1.17,-0.00014149,7.9447e-05,4.1501e-06
1.18,-0.00025882,0.00013936,7.3639e-06
1.19,-0.00021666,0.00011986,5.9755e-06
1.2,0.0001035,-3.6613e-05,-3.308e-06
1.21,0.00032956,-0.00014699,-9.8171e-06
1.22,0.00034203,-0.000156,-1.0244e-05
1.23,0.00021131,-9.3534e-05,-6.5423e-06
1.24,3.8746e-05,-1.563e-06,-1.6433e-06
1.25,-0.0001052,9.2944e-05,2.0931e-06
1.26,-0.00021631,0.00018907,4.5516e-06
1.27,-0.00026424,0.00025378,5.5009e-06
1.28,-0.00020235,0.00022616,4.0314e-06
1.29,7.6798e-06,1.7768e-05,-1.0674e-06
1.3,0.00032906,-0.00038456,-1.06e-05
1.31,0.0005725,-0.00080932,-1.9361e-05
1.32,0.00057246,-0.0010003,-2.0783e-05
1.33,0.00024826,-0.00057477,-1.058e-05
1.34,-0.00041947,0.00082688,9.4011e-06
1.35,-0.0018934,0.002253,2.1127e-05
1.36,-0.0033473,0.0030434,2.18e-05
1.37,-0.0034451,0.00262,1.4408e-05
1.38,-0.00057388,0.00041387,1.8092e-06
