t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12039,-4.0095e-05,-0.022783,-0.0025985,-0.18983,0.00065335,11.4,0.0015462,-4.4657,0.089018,0.048833,-0.026638
0.02,0.24072,-4.5264e-05,-0.04463,-0.0018897,-0.18844,0.0004048,11.417,0.00095111,-4.3565,0.23774,0.076909,-0.075305
0.03,0.361,-3.2654e-05,-0.065592,0.0019117,-0.18725,-0.00074928,11.432,-0.0010669,-4.2558,0.43207,0.086763,-0.14206
0.04,0.48124,-1.9407e-05,-0.08572,0.0085908,-0.18626,-0.0028125,11.447,-0.0037896,-4.1636,0.65795,0.080927,-0.22297
0.05,0.60143,-2.2669e-05,-0.10507,0.017933,-0.18549,-0.0057886,11.46,-0.0064988,-4.0802,0.90128,0.061934,-0.31408
0.06,0.72158,-5.9584e-05,-0.12369,0.029723,-0.18497,-0.009681,11.471,-0.0084763,-4.0057,1.148,0.032317,-0.41147
0.07,0.84168,-0.0001473,-0.14163,0.043746,-0.18469,-0.014493,11.48,-0.0090038,-3.9402,1.384,-0.0053919,-0.51119
0.08,0.96176,-0.00030295,-0.15894,0.059787,-0.18467,-0.02023,11.487,-0.0073631,-3.8839,1.5952,-0.048659,-0.6093
0.09,1.0818,-0.0005437,-0.17568,0.077632,-0.18493,-0.026893,11.492,-0.0028359,-3.837,1.7676,-0.09495,-0.70186
0.1,1.2018,-0.00088771,-0.1919,0.097049,-0.18547,-0.034481,11.494,0.0052636,-3.7994,1.8889,-0.14177,-0.78536
0.11,1.3218,-0.001361,-0.20763,0.11769,-0.18624,-0.042944,11.493,0.017377,-3.7704,1.9607,-0.18692,-0.85958
0.12,1.4417,-0.0019932,-0.2229,0.13914,-0.18716,-0.052208,11.491,0.033834,-3.7489,1.991,-0.22832,-0.92576
0.13,1.5616,-0.0028139,-0.23773,0.161,-0.18815,-0.062202,11.487,0.054962,-3.7336,1.9879,-0.26391,-0.98519
0.14,1.6815,-0.0038528,-0.25215,0.18286,-0.18912,-0.072853,11.481,0.081091,-3.7233,1.9594,-0.29161,-1.0391
0.15,1.8013,-0.0051398,-0.26619,0.20439,-0.19001,-0.08409,11.473,0.11243,-3.7168,1.9119,-0.31033,-1.0884
0.16,1.9211,-0.0067052,-0.27985,0.22543,-0.19073,-0.095843,11.465,0.14892,-3.7132,1.8483,-0.3212,-1.1331
0.17,2.0408,-0.0085796,-0.29315,0.24584,-0.19123,-0.10804,11.456,0.19046,-3.7112,1.7709,-0.32569,-1.173
0.18,2.1605,-0.010794,-0.30608,0.2655,-0.19142,-0.12061,11.447,0.23695,-3.7097,1.682,-0.32523,-1.2079
0.19,2.2801,-0.013377,-0.31866,0.28426,-0.19125,-0.13349,11.437,0.28829,-3.7077,1.5838,-0.32126,-1.2376
0.2,2.3997,-0.01636,-0.33089,0.30204,-0.1907,-0.14662,11.427,0.34424,-3.7047,1.4786,-0.31485,-1.2624
0.21,2.5192,-0.019768,-0.34279,0.31879,-0.18978,-0.15993,11.417,0.40451,-3.7006,1.3684,-0.30681,-1.2824
0.22,2.6386,-0.023628,-0.35435,0.33446,-0.18851,-0.17337,11.407,0.46876,-3.6953,1.2552,-0.29791,-1.298
0.23,2.758,-0.027968,-0.36559,0.34898,-0.18691,-0.18689,11.396,0.53669,-3.6889,1.141,-0.28895,-1.3095
0.24,2.8772,-0.032814,-0.37652,0.36232,-0.18502,-0.20043,11.385,0.60795,-3.6813,1.0277,-0.28061,-1.3171
0.25,2.9964,-0.038185,-0.38714,0.37451,-0.18285,-0.21396,11.374,0.68212,-3.6726,0.91671,-0.27315,-1.3212
0.26,3.1155,-0.0441,-0.39747,0.38557,-0.18045,-0.22746,11.363,0.75878,-3.663,0.80919,-0.26668,-1.3221
0.27,3.2344,-0.050579,-0.40753,0.39554,-0.17786,-0.2409,11.351,0.83747,-3.6526,0.70636,-0.26134,-1.3201
