t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.25176,0.14484,5.1033
0.02,0.31211,0.098267,5.127
0.03,0.37245,0.051696,5.1506
0.04,0.4328,0.0051258,5.1743
0.05,0.49315,-0.041445,5.1979
0.06,0.5535,-0.088015,5.2216
0.07,0.61385,-0.13459,5.2452
0.08,0.6742,-0.18116,5.2689
0.09,0.73455,-0.22773,5.2926
0.1,0.79489,-0.2743,5.3162
0.11,0.85495,-0.32054,5.3398
0.12,0.84341,-0.28468,5.3398
0.13,0.83186,-0.24882,5.3398
0.14,0.82031,-0.21297,5.3398
0.15,0.80876,-0.17711,5.3398
0.16,0.79722,-0.14125,5.3398
0.17,0.78567,-0.1054,5.3398
0.18,0.77412,-0.069539,5.3398
0.19,0.76258,-0.033682,5.3398
0.2,0.75103,0.0021745,5.3398
0.21,0.73948,0.038031,5.3398
0.22,0.72782,0.073779,5.3398
0.23,0.70157,0.096107,5.3398
0.24,0.67532,0.11844,5.3398
0.25,0.64907,0.14076,5.3398
0.26,0.62282,0.16309,5.3398
0.27,0.59657,0.18542,5.3398
0.28,0.57032,0.20775,5.3398
0.29,0.54407,0.23008,5.3398
0.3,0.51782,0.2524,5.3398
0.31,0.49157,0.27473,5.3398
0.32,0.46532,0.29706,5.3398
0.33,0.43907,0.31915,5.3398
0.34,0.41268,0.32205,5.3398
0.35,0.38628,0.32496,5.3398
0.36,0.35988,0.32786,5.3398
0.37,0.33349,0.33076,5.3398
0.38,0.30709,0.33366,5.3398
0.39,0.2807,0.33656,5.3398
0.4,0.2543,0.33946,5.3398
0.41,0.22791,0.34236,5.3398
0.42,0.20151,0.34526,5.3398
0.43,0.17511,0.34816,5.3398
0.44,0.14903,0.35089,5.3398
0.45,0.14226,0.34305,5.3398
0.46,0.13548,0.33522,5.3398
0.47,0.1287,0.32738,5.3398
0.48,0.12193,0.31954,5.3398
0.49,0.11515,0.3117,5.3398
0.5,0.10838,0.30386,5.3398
0.51,0.1016,0.29602,5.3398
0.52,0.094823,0.28819,5.3398
0.53,0.088047,0.28035,5.3398
0.54,0.081271,0.27251,5.3398
0.55,0.074628,0.26466,5.3398
0.56,0.074473,0.25641,5.3398
0.57,0.074319,0.24815,5.3398
0.58,0.074165,0.23989,5.3398
0.59,0.07401,0.23163,5.3398
0.6,0.073856,0.22338,5.3398
0.61,0.073701,0.21512,5.3398
0.62,0.073547,0.20686,5.3398
0.63,0.073393,0.1986,5.3398
0.64,0.073238,0.19035,5.3398
0.65,0.073084,0.18209,5.3398
0.66,0.072896,0.1741,5.3398
0.67,0.07136,0.1772,5.3398
0.68,0.069823,0.1803,5.3398
0.69,0.068286,0.1834,5.3398
0.7,0.06675,0.1865,5.3398
0.71,0.065213,0.1896,5.3398
0.72,0.063676,0.1927,5.3398
0.73,0.06214,0.1958,5.3398
0.74,0.060603,0.1989,5.3398
0.75,0.059066,0.20199,5.3398
0.76,0.05753,0.20509,5.3398
0.77,0.056011,0.20847,5.3398
0.78,0.055101,0.22125,5.3398
0.79,0.054192,0.23403,5.3398
0.8,0.053282,0.24682,5.3398
0.81,0.052373,0.2596,5.3398
0.82,0.051464,0.27238,5.3398
0.83,0.050554,0.28517,5.3398
0.84,0.049645,0.29795,5.3398
0.85,0.048735,0.31073,5.3398
0.86,0.047826,0.32352,5.3398
0.87,0.046916,0.3363,5.3398
0.88,0.046033,0.34892,5.3398
0.89,0.045943,0.35663,5.3398
0.9,0.045852,0.36435,5.3398
0.91,0.045761,0.37207,5.3398
0.92,0.045671,0.37978,5.3398
0.93,0.04558,0.3875,5.3398
0.94,0.045489,0.39522,5.3398
0.95,0.045399,0.40293,5.3398
0.96,0.045308,0.41065,5.3398
0.97,0.045218,0.41836,5.3398
0.98,0.045127,0.42608,5.3398
0.99,0.044922,0.43346,5.3398
1,0.041684,0.43191,5.3398
1.01,0.038446,0.43036,5.3398
1.02,0.035207,0.42881,5.3398
1.03,0.031969,0.42726,5.3398
1.04,0.028731,0.42571,5.3398
1.05,0.025492,0.42416,5.3398
1.06,0.022254,0.4226,5.3398
1.07,0.019015,0.42105,5.3398
1.08,0.015777,0.4195,5.3398
1.09,0.012539,0.41795,5.3398
1.1,0.0091957,0.41603,5.3398
1.11,0.0033549,0.40512,5.3398
1.12,-0.0024859,0.39421,5.3398
1.13,-0.0083268,0.38331,5.3398
1.14,-0.014168,0.3724,5.3398
1.15,-0.020008,0.36149,5.3398
1.16,-0.025849,0.35058,5.3398
1.17,-0.03169,0.33968,5.3398
1.18,-0.037531,0.32877,5.3398
1.19,-0.043372,0.31786,5.3398
1.2,-0.049213,0.30696,5.3398
1.21,-0.054836,0.29603,5.3398
1.22,-0.055755,0.28465,5.3398
1.23,-0.056675,0.27327,5.3398
1.24,-0.057594,0.26189,5.3398
1.25,-0.058514,0.25051,5.3398
1.26,-0.059433,0.23913,5.3398
1.27,-0.060353,0.22775,5.3398
1.28,-0.061272,0.21637,5.3398
1.29,-0.062191,0.20499,5.3398
1.3,-0.063111,0.19361,5.3398
1.31,-0.06403,0.18223,5.3398
1.32,-0.064191,0.17111,5.3398
1.33,-0.04937,0.1651,5.3398
1.34,-0.034549,0.15908,5.3398
1.35,-0.019728,0.15306,5.3398
1.36,-0.0049073,0.14705,5.3398
1.37,0.0099136,0.14103,5.3398
1.38,0.024735,0.13502,5.3398
1.39,0.039555,0.129,5.3398
1.4,0.054376,0.12298,5.3398
1.41,0.069197,0.11697,5.3398
1.42,0.084018,0.11095,5.3398
1.43,0.099152,0.10466,5.3398
1.44,0.11996,0.093307,5.3398
1.45,0.14076,0.081958,5.3398
1.46,0.16157,0.070609,5.3398
1.47,0.18237,0.05926,5.3398
1.48,0.20318,0.047911,5.3398
1.49,0.22398,0.036562,5.3398
1.5,0.24478,0.025213,5.3398
1.51,0.26559,0.013863,5.3398
1.52,0.28639,0.0025144,5.3398
1.53,0.3072,-0.0088347,5.3398
1.54,0.32683,-0.019778,5.3398
1.55,0.3267,-0.02391,5.3398
1.56,0.32658,-0.028041,5.3398
1.57,0.32646,-0.032173,5.3398
1.58,0.32633,-0.036305,5.3398
1.59,0.32621,-0.040437,5.3398
1.6,0.32609,-0.044569,5.3398
1.61,0.32596,-0.0487,5.3398
1.62,0.32584,-0.052832,5.3398
1.63,0.32572,-0.056964,5.3398
1.64,0.32559,-0.061096,5.3398
1.65,0.32511,-0.064776,5.3398
1.66,0.31901,-0.061409,5.3398
1.67,0.3129,-0.058042,5.3398
1.68,0.3068,-0.054675,5.3398
1.69,0.3007,-0.051308,5.3398
1.7,0.29459,-0.047941,5.3398
1.71,0.28849,-0.044574,5.3398
1.72,0.28239,-0.041207,5.3398
1.73,0.27628,-0.03784,5.3398
1.74,0.27018,-0.034473,5.3398
1.75,0.26408,-0.031106,5.3398
1.76,0.25817,-0.027058,5.3398
1.77,0.2551,-0.013091,5.3398
1.78,0.25204,0.00087487,5.3398
1.79,0.24897,0.014841,5.3398
1.8,0.24591,0.028807,5.3398
1.81,0.24284,0.042774,5.3398
1.82,0.23978,0.05674,5.3398
1.83,0.23671,0.070706,5.3398
1.84,0.23365,0.084672,5.3398
1.85,0.23058,0.098639,5.3398
1.86,0.22752,0.1126,5.3398
1.87,0.22325,0.12762,5.3398
1.88,0.20251,0.15687,5.3398
1.89,0.18178,0.18612,5.3398
1.9,0.16105,0.21537,5.3398
1.91,0.14031,0.24462,5.3398
1.92,0.11958,0.27387,5.3398
1.93,0.098846,0.30312,5.3398
1.94,0.078113,0.33237,5.3398
1.95,0.057379,0.36162,5.3398
1.96,0.036646,0.39087,5.3398
1.97,0.015912,0.42012,5.3398
1.98,-0.0036187,0.4478,5.3398
1.99,-0.0077301,0.45535,5.3398
2,-0.011842,0.4629,5.3398
2.01,-0.015953,0.47045,5.3398
2.02,-0.020064,0.478,5.3398
2.03,-0.024176,0.48555,5.3398
2.04,-0.028287,0.4931,5.3398
2.05,-0.032399,0.50065,5.3398
2.06,-0.03651,0.5082,5.3398
2.07,-0.040622,0.51575,5.3398
2.08,-0.044733,0.5233,5.3398
2.09,-0.047224,0.52985,5.3398
2.1,-0.030116,0.52432,5.3398
2.11,-0.013008,0.51879,5.3398
2.12,0.0041,0.51325,5.3398
2.13,0.021208,0.50772,5.3398
2.14,0.038316,0.50219,5.3398
2.15,0.055424,0.49666,5.3398
2.16,0.072532,0.49113,5.3398
2.17,0.08964,0.4856,5.3398
2.18,0.10675,0.48007,5.3398
2.19,0.12386,0.47454,5.3398
2.2,0.13975,0.46984,5.3398
2.21,0.14178,0.47466,5.3398
2.22,0.14382,0.47948,5.3398
2.23,0.14585,0.4843,5.3398
2.24,0.14788,0.48912,5.3398
2.25,0.14991,0.49394,5.3398
2.26,0.15194,0.49875,5.3398
2.27,0.15398,0.50357,5.3398
2.28,0.15601,0.50839,5.3398
2.29,0.15804,0.51321,5.3398
2.3,0.16007,0.51803,5.3398
2.31,0.16316,0.52093,5.3398
2.32,0.17768,0.50305,5.3398
2.33,0.19221,0.48517,5.3398
2.34,0.20673,0.46729,5.3398
2.35,0.22126,0.44941,5.3398
2.36,0.23578,0.43153,5.3398
2.37,0.2503,0.41365,5.3398
2.38,0.26483,0.39577,5.3398
2.39,0.27935,0.37789,5.3398
2.4,0.29388,0.36001,5.3398
2.41,0.3084,0.34212,5.3398
2.42,0.32382,0.32346,5.3398
2.43,0.34845,0.29672,5.3398
2.44,0.37307,0.26998,5.3398
2.45,0.3977,0.24324,5.3398
2.46,0.42232,0.2165,5.3398
2.47,0.44695,0.18976,5.3398
2.48,0.47158,0.16302,5.3398
2.49,0.4962,0.13628,5.3398
2.5,0.52083,0.10954,5.3398
2.51,0.54545,0.082798,5.3398
2.52,0.57008,0.056058,5.3398
2.53,0.59306,0.033294,5.3398
2.54,0.59983,0.049573,5.3398
2.55,0.60661,0.065852,5.3398
2.56,0.61338,0.082132,5.3398
2.57,0.62016,0.098411,5.3398
2.58,0.62693,0.11469,5.3398
2.59,0.63371,0.13097,5.3398
2.6,0.64048,0.14725,5.3398
2.61,0.64726,0.16353,5.3398
2.62,0.65403,0.17981,5.3398
2.63,0.66081,0.19609,5.3398
2.64,0.66731,0.2128,5.3398
2.65,0.67128,0.23353,5.3398
2.66,0.67525,0.25427,5.3398
2.67,0.67921,0.27501,5.3398
2.68,0.68318,0.29574,5.3398
2.69,0.68715,0.31648,5.3398
2.7,0.69112,0.33722,5.3398
2.71,0.69508,0.35795,5.3398
2.72,0.69905,0.37869,5.3398
2.73,0.70302,0.39943,5.3398
2.74,0.70698,0.42016,5.3398
2.75,0.70943,0.43934,5.3398
2.76,0.69824,0.44454,5.3398
2.77,0.68705,0.44975,5.3398
2.78,0.67586,0.45495,5.3398
2.79,0.66467,0.46015,5.3398
2.8,0.65348,0.46536,5.3398
2.81,0.64229,0.47056,5.3398
2.82,0.6311,0.47576,5.3398
2.83,0.61991,0.48097,5.3398
2.84,0.60872,0.48617,5.3398
2.85,0.59753,0.49137,5.3398
2.86,0.58232,0.49704,5.3398
2.87,0.53267,0.50665,5.3398
2.88,0.48302,0.51626,5.3398
2.89,0.43336,0.52587,5.3398
2.9,0.38371,0.53548,5.3398
2.91,0.33405,0.54509,5.3398
2.92,0.2844,0.5547,5.3398
2.93,0.23475,0.56431,5.3398
2.94,0.18509,0.57391,5.3398
2.95,0.13544,0.58352,5.3398
2.96,0.085788,0.59313,5.3398
2.97,0.039621,0.60016,5.3398
2.98,0.022104,0.586,5.3398
2.99,0.0045875,0.57184,5.3398
3,-0.012929,0.55768,5.3398
3.01,-0.030446,0.54352,5.3398
3.02,-0.047963,0.52936,5.3398
3.03,-0.06548,0.5152,5.3398
3.04,-0.082996,0.50103,5.3398
3.05,-0.10051,0.48687,5.3398
3.06,-0.11803,0.47271,5.3398
3.07,-0.13555,0.45855,5.3398
3.08,-0.14606,0.43655,5.3398
3.09,-0.10136,0.35276,5.3398
3.1,-0.056664,0.26896,5.3398
3.11,-0.011965,0.18516,5.3398
3.12,0.032735,0.10136,5.3398
3.13,0.077434,0.017565,5.3398
3.14,0.12213,-0.066233,5.3398
3.15,0.16683,-0.15003,5.3398
3.16,0.21153,-0.23383,5.3398
3.17,0.25623,-0.31763,5.3398
3.18,0.30093,-0.40142,5.3398
3.19,0.33884,-0.46839,5.337
3.2,0.32529,-0.40774,5.3134
3.21,0.31174,-0.3471,5.2897
3.22,0.29819,-0.28645,5.266
3.23,0.28464,-0.2258,5.2424
3.24,0.27108,-0.16516,5.2187
3.25,0.25753,-0.10451,5.1951
3.26,0.24398,-0.043866,5.1714
3.27,0.23043,0.01678,5.1478
3.28,0.21688,0.077427,5.1241
3.29,0.20333,0.13807,5.1005
