t, affine_elevL, affine_elevR, affine_throttle
0,-0.0041882,0.00029591,1.2132e-05
0.01,-0.0097352,0.0056701,1.3827e-05
0.02,-0.01667,0.01112,-3.2999e-05
0.03,-0.024203,0.016089,-0.00011558
0.04,-0.031357,0.020036,-0.00021835
0.05,-0.036999,0.022458,-0.00032306
0.06,-0.039942,0.022943,-0.00040948
0.07,-0.039174,0.02127,-0.00045732
0.08,-0.034259,0.017579,-0.00044987
0.09,-0.025631,0.012347,-0.00037835
0.1,-0.014875,0.006509,-0.00024401
0.11,-0.0042818,0.0010765,-5.4622e-05
0.12,0.003054,-0.0031664,0.00010352
0.13,0.0077504,-0.0067798,0.00018624
0.14,0.010156,-0.0092285,0.00021323
0.15,0.0106,-0.010429,0.00020066
0.16,0.0096395,-0.010648,0.00016215
0.17,0.0075986,-0.0099591,0.00010901
0.18,0.0048607,-0.0085169,5.0237e-05
0.19,0.0018373,-0.006518,-7.2857e-06
0.2,-0.0010997,-0.0041364,-6.0512e-05
0.21,-0.0035995,-0.0015554,-0.00011067
0.22,-0.0053658,0.0010163,-0.0001657
0.23,-0.006673,0.0030816,-0.00023133
0.24,-0.0077362,0.0043717,-0.00030049
0.25,-0.0084391,0.0049376,-0.00036458
0.26,-0.0087843,0.0048661,-0.00041686
0.27,-0.0088041,0.0042769,-0.00045261
0.28,-0.0085443,0.0033168,-0.00046884
0.29,-0.00807,0.0021588,-0.00046424
0.3,-0.0074452,0.0010001,-0.00043804
0.31,-0.0067214,6.4759e-05,-0.0003891
0.32,-0.0059293,-0.00037627,-0.00031339
0.33,-0.0050746,-7.3432e-06,-0.00020238
0.34,-0.0039416,0.00064211,-7.8998e-05
0.35,-0.0025425,0.0010732,2.7896e-05
0.36,-0.0011046,0.0011972,0.00010323
0.37,0.00019155,0.001004,0.00013861
0.38,0.0012076,0.00053253,0.00013088
0.39,0.0018421,-0.0001251,8.3553e-05
0.4,0.0020194,-0.00083255,6.2381e-06
0.41,0.0016847,-0.0014147,-8.5024e-05
0.42,0.00079547,-0.0016665,-0.00016779
0.43,-0.00070628,-0.0013422,-0.00021271
0.44,-0.002731,-0.00032557,-0.00019522
0.45,-0.0046534,0.00090792,-0.000137
0.46,-0.00582,0.0016975,-9.097e-05
0.47,-0.0063101,0.002071,-6.2177e-05
0.48,-0.0062441,0.0020833,-5.1413e-05
0.49,-0.0057602,0.0018022,-5.7852e-05
0.5,-0.0049906,0.0013093,-7.8193e-05
0.51,-0.0040594,0.00069127,-0.00010815
0.52,-0.0030909,4.1062e-05,-0.00014258
0.53,-0.0022047,-0.00054945,-0.00017628
0.54,-0.0015153,-0.00099375,-0.00020495
0.55,-0.0011182,-0.0012217,-0.00022661
0.56,-0.00095401,-0.0012866,-0.00024629
0.57,-0.00088352,-0.0013003,-0.00026897
0.58,-0.00087916,-0.0012767,-0.00029
0.59,-0.00092165,-0.0012243,-0.00030505
0.6,-0.00098413,-0.0011586,-0.00031148
0.61,-0.0010357,-0.0010985,-0.00030801
0.62,-0.0010425,-0.0010653,-0.00029455
0.63,-0.00096681,-0.0010822,-0.00027262
0.64,-0.00076995,-0.0011737,-0.00024467
0.65,-0.00041136,-0.0013637,-0.00021492
0.66,0.00015,-0.0016749,-0.00018811
0.67,0.00077633,-0.0019514,-0.00015954
0.68,0.0012862,-0.0020672,-0.0001265
0.69,0.0016544,-0.0020674,-9.3906e-05
0.7,0.0018724,-0.0019899,-6.4462e-05
0.71,0.0019496,-0.0018708,-3.9551e-05
0.72,0.0019096,-0.0017463,-2.0085e-05
0.73,0.0017896,-0.0016569,-7.4855e-06
0.74,0.0016359,-0.0016466,-4.0286e-06
0.75,0.0015034,-0.0017667,-1.3612e-05
0.76,0.0014515,-0.002075,-4.1815e-05
0.77,0.0015378,-0.0026323,-9.6975e-05
0.78,0.0017181,-0.0033697,-0.00017897
0.79,0.0018788,-0.0041095,-0.00026997
0.8,0.0020112,-0.0047898,-0.00035105
0.81,0.0021267,-0.005364,-0.00040788
0.82,0.0022394,-0.0057911,-0.00043201
0.83,0.0023658,-0.0060369,-0.00041881
0.84,0.0025117,-0.0060789,-0.00036938
0.85,0.002669,-0.0059034,-0.00028885
0.86,0.0028014,-0.0055121,-0.00018837
0.87,0.0028391,-0.0049282,-8.4525e-05
0.88,0.0026673,-0.0042084,-1.3482e-06
0.89,0.0022898,-0.0035247,4.4746e-05
0.9,0.0018384,-0.0030398,5.776e-05
0.91,0.0013996,-0.0027722,4.8481e-05
0.92,0.0010413,-0.0027324,2.5415e-05
0.93,0.00081137,-0.0029138,-3.9717e-06
0.94,0.00073267,-0.003285,-3.2854e-05
0.95,0.00080581,-0.0037903,-5.4827e-05
0.96,0.00099838,-0.0043438,-6.3815e-05
0.97,0.0012559,-0.0048302,-5.3861e-05
0.98,0.001501,-0.0051014,-1.8958e-05
0.99,0.0016461,-0.0050405,4.7568e-05
1,0.0016836,-0.0047598,0.00014726
1.01,0.0016376,-0.0045032,0.00025718
1.02,0.0014632,-0.0043202,0.00035104
1.03,0.0011411,-0.004249,0.00040923
1.04,0.00068321,-0.0042993,0.00042006
1.05,0.00013162,-0.0044546,0.00038015
1.06,-0.00044385,-0.0046712,0.00029608
1.07,-0.0009569,-0.0048766,0.00018297
1.08,-0.0013129,-0.0049638,6.6045e-05
1.09,-0.0014217,-0.0048095,-2.1148e-05
1.1,-0.0011936,-0.0042816,-3.2871e-05
1.11,-0.00064287,-0.003512,4.714e-05
1.12,7.4091e-05,-0.0028072,0.00018656
1.13,0.00075414,-0.0022798,0.00033269
1.14,0.0012754,-0.0020227,0.00044746
1.15,0.0016,-0.0020765,0.00050954
1.16,0.001736,-0.0024277,0.00050778
1.17,0.0017339,-0.0029767,0.00044389
1.18,0.0016567,-0.0035377,0.00032882
1.19,0.0015575,-0.0038345,0.00018152
1.2,0.0014532,-0.0035044,2.7253e-05
1.21,0.001308,-0.0021215,-0.00010555
1.22,0.0011019,0.00043077,-0.00019697
1.23,0.00078601,0.0034918,-0.00025209
