t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12025,0.00052912,-0.022497,0.0089755,-0.18784,-0.0024511,11.401,-0.0017117,-4.4604,-0.095473,0.010861,0.015934
0.02,0.24048,0.00086592,-0.044138,0.01429,-0.18491,-0.0039246,11.42,-0.0018222,-4.3444,-0.21188,0.018619,0.042671
0.03,0.36069,0.0010435,-0.064955,0.016091,-0.18254,-0.0044265,11.438,-0.00074066,-4.235,-0.34701,0.023469,0.079545
0.04,0.48088,0.0010951,-0.084981,0.014531,-0.18067,-0.0039629,11.456,0.0011242,-4.1321,-0.49863,0.025608,0.12589
0.05,0.60106,0.0010536,-0.10425,0.0097566,-0.17921,-0.0025398,11.473,0.0033634,-4.0356,-0.66451,0.025231,0.18105
0.06,0.72123,0.00095238,-0.12279,0.0019186,-0.17809,-0.00016326,11.489,0.005568,-3.9453,-0.84245,0.022535,0.24435
0.07,0.84138,0.00082439,-0.14063,-0.0088338,-0.17724,0.0031607,11.504,0.0073292,-3.8611,-1.0302,0.017717,0.31513
0.08,0.96151,0.00070278,-0.15781,-0.022351,-0.17658,0.0074261,11.518,0.008238,-3.7829,-1.2256,0.010971,0.39273
0.09,1.0816,0.00062068,-0.17436,-0.038485,-0.17604,0.012627,11.532,0.0078855,-3.7105,-1.4263,0.0024954,0.47647
0.1,1.2017,0.00061121,-0.19031,-0.057084,-0.17554,0.018757,11.544,0.0058629,-3.6437,-1.6302,-0.0075154,0.5657
0.11,1.3218,0.00070747,-0.2057,-0.078,-0.175,0.02581,11.556,0.0017611,-3.5825,-1.835,-0.018865,0.65976
0.12,1.4419,0.00094259,-0.22055,-0.10108,-0.17436,0.033781,11.567,-0.0048286,-3.5267,-2.0385,-0.031356,0.75797
0.13,1.562,0.0013497,-0.23489,-0.12619,-0.17354,0.042663,11.576,-0.014315,-3.4761,-2.2386,-0.044794,0.85967
0.14,1.6821,0.0019619,-0.24877,-0.15316,-0.17246,0.05245,11.585,-0.027108,-3.4307,-2.4329,-0.058982,0.9642
0.15,1.8021,0.0028123,-0.26221,-0.18185,-0.17104,0.063136,11.593,-0.043615,-3.3902,-2.6192,-0.073724,1.0709
0.16,1.9222,0.003934,-0.27524,-0.21211,-0.16922,0.074716,11.599,-0.064245,-3.3546,-2.7953,-0.088823,1.1791
0.17,2.0423,0.0053601,-0.2879,-0.24379,-0.16692,0.087182,11.605,-0.089409,-3.3237,-2.9591,-0.10408,1.2881
0.18,2.1623,0.0071238,-0.30021,-0.27674,-0.16406,0.10053,11.609,-0.11951,-3.2974,-3.1082,-0.11931,1.3973
0.19,2.2823,0.0092582,-0.31222,-0.31081,-0.16058,0.11475,11.612,-0.15497,-3.2755,-3.2404,-0.13431,1.506
0.2,2.4024,0.011796,-0.32395,-0.34585,-0.15638,0.12984,11.614,-0.19618,-3.2578,-3.3536,-0.14888,1.6135
0.21,2.5224,0.014771,-0.33543,-0.38172,-0.15141,0.1458,11.615,-0.24356,-3.2443,-3.4455,-0.16283,1.7193
0.22,2.6424,0.018217,-0.3467,-0.41826,-0.14558,0.16261,11.615,-0.29752,-3.2349,-3.5139,-0.17595,1.8225
0.23,2.7624,0.022167,-0.35779,-0.45532,-0.13883,0.18025,11.613,-0.35838,-3.2292,-3.5573,-0.18807,1.9226
0.24,2.8825,0.02667,-0.36872,-0.49271,-0.13113,0.19864,11.61,-0.42614,-3.2269,-3.5769,-0.19901,2.0193
0.25,3.0024,0.031773,-0.37955,-0.53022,-0.12245,0.21766,11.606,-0.50069,-3.2276,-3.5748,-0.20862,2.1124
0.26,3.1224,0.037525,-0.39029,-0.56767,-0.11278,0.23721,11.6,-0.58194,-3.2306,-3.553,-0.21672,2.2015
0.27,3.2423,0.043975,-0.40097,-0.60486,-0.1021,0.25717,11.592,-0.66982,-3.2355,-3.5135,-0.22316,2.2865
0.28,3.3621,0.051171,-0.41164,-0.64159,-0.090376,0.27743,11.584,-0.76422,-3.2418,-3.4581,-0.22777,2.367
0.29,3.4819,0.059161,-0.42232,-0.67767,-0.077592,0.2979,11.573,-0.86506,-3.2491,-3.3891,-0.23039,2.4428
0.3,3.6016,0.067995,-0.43305,-0.7129,-0.063727,0.31846,11.561,-0.97224,-3.2568,-3.3082,-0.23087,2.5136
0.31,3.7212,0.07772,-0.44386,-0.74708,-0.048758,0.339,11.547,-1.0857,-3.2644,-3.2176,-0.22903,2.5791
0.32,3.8407,0.088386,-0.45478,-0.78002,-0.032664,0.35941,11.532,-1.2053,-3.2715,-3.1192,-0.22472,2.6392
0.33,3.9601,0.10004,-0.46584,-0.81153,-0.015424,0.37959,11.515,-1.3309,-3.2776,-3.015,-0.21777,2.6936
0.34,4.0793,0.11273,-0.47708,-0.84143,0.0029665,0.39944,11.496,-1.4625,-3.2822,-2.9068,-0.20812,2.742
0.35,4.1984,0.12648,-0.48854,-0.86975,0.022432,0.41893,11.475,-1.5994,-3.2852,-2.7958,-0.19607,2.7844
0.36,4.3173,0.1413,-0.50027,-0.89651,0.04288,0.43805,11.452,-1.7411,-3.2864,-2.6831,-0.18201,2.821
0.37,4.4361,0.15724,-0.51231,-0.92175,0.064218,0.45677,11.428,-1.8869,-3.2858,-2.5697,-0.16633,2.8518
0.38,4.5547,0.1743,-0.5247,-0.94552,0.086355,0.47509,11.402,-2.0362,-3.2832,-2.4567,-0.14944,2.8768
0.39,4.673,0.1925,-0.53749,-0.96784,0.1092,0.49298,11.375,-2.1884,-3.2785,-2.345,-0.13171,2.8961
0.4,4.7911,0.21188,-0.55073,-0.98877,0.13266,0.51043,11.346,-2.343,-3.2716,-2.2358,-0.11355,2.9098
0.41,4.9089,0.23245,-0.56447,-1.0083,0.15663,0.52743,11.316,-2.4992,-3.2624,-2.1301,-0.095343,2.9179
0.42,5.0264,0.25423,-0.57873,-1.0266,0.18104,0.54395,11.284,-2.6565,-3.2507,-2.0289,-0.077483,2.9206
0.43,5.1437,0.27725,-0.59358,-1.0435,0.20579,0.55997,11.251,-2.8143,-3.2366,-1.9332,-0.060363,2.9178
0.44,5.2606,0.30152,-0.60905,-1.0593,0.23078,0.57549,11.217,-2.972,-3.2197,-1.8442,-0.044376,2.9096
0.45,5.3772,0.32708,-0.62519,-1.0738,0.25593,0.5905,11.182,-3.1289,-3.2002,-1.7627,-0.029823,2.8961
0.46,5.4934,0.3539,-0.64203,-1.0872,0.28117,0.60499,11.146,-3.2844,-3.1782,-1.6887,-0.016663,2.8775
0.47,5.6092,0.38198,-0.65963,-1.0997,0.30646,0.61898,11.11,-3.438,-3.1543,-1.6224,-0.004772,2.8539
0.48,5.7247,0.4113,-0.67801,-1.1112,0.33173,0.6325,11.074,-3.5891,-3.1286,-1.5637,0.0059743,2.8254
0.49,5.8397,0.44186,-0.69722,-1.122,0.35693,0.64554,11.037,-3.737,-3.1016,-1.5126,0.0157,2.7922
0.5,5.9544,0.47364,-0.7173,-1.1322,0.382,0.65812,11.001,-3.8811,-3.0736,-1.4691,0.024528,2.7544
0.51,6.0685,0.50663,-0.73828,-1.1418,0.40689,0.67026,10.966,-4.0209,-3.0451,-1.4331,0.032584,2.7123
0.52,6.1822,0.54082,-0.7602,-1.1511,0.43154,0.68197,10.932,-4.1558,-3.0163,-1.4047,0.03999,2.6659
0.53,6.2955,0.57619,-0.78311,-1.1599,0.4559,0.69326,10.899,-4.2851,-2.9876,-1.3839,0.046872,2.6155
0.54,6.4082,0.61275,-0.80704,-1.1686,0.4799,0.70415,10.867,-4.4083,-2.9593,-1.3706,0.053352,2.5611
0.55,6.5204,0.65047,-0.83203,-1.1773,0.50349,0.71465,10.838,-4.5248,-2.9319,-1.3648,0.059556,2.5029
0.56,6.6321,0.68933,-0.85812,-1.1859,0.52662,0.72476,10.811,-4.6339,-2.9057,-1.3664,0.065581,2.441
0.57,6.7433,0.72934,-0.88533,-1.1946,0.54925,0.73446,10.787,-4.7355,-2.8806,-1.3748,0.07143,2.3756
0.58,6.8538,0.77045,-0.91368,-1.2035,0.57134,0.74373,10.766,-4.8291,-2.8567,-1.3891,0.077085,2.3065
0.59,6.9638,0.81266,-0.9432,-1.2126,0.59285,0.75254,10.748,-4.9146,-2.834,-1.4086,0.082524,2.234
0.6,7.0732,0.85594,-0.97391,-1.2221,0.61375,0.76085,10.734,-4.9916,-2.8125,-1.4325,0.08773,2.1579
0.61,7.182,0.90028,-1.0058,-1.2319,0.63398,0.76865,10.724,-5.0599,-2.7922,-1.4601,0.092682,2.0784
0.62,7.2902,0.94565,-1.039,-1.2422,0.65353,0.7759,10.718,-5.1192,-2.7732,-1.4905,0.097361,1.9954
0.63,7.3977,0.99204,-1.0734,-1.2531,0.67234,0.78258,10.717,-5.1691,-2.7553,-1.523,0.10175,1.909
0.64,7.5045,1.0394,-1.1091,-1.2645,0.69038,0.78865,10.722,-5.2095,-2.7386,-1.5568,0.10582,1.8193
0.65,7.6107,1.0878,-1.146,-1.2767,0.70761,0.79409,10.732,-5.2399,-2.7232,-1.5911,0.10956,1.7262
0.66,7.7162,1.1371,-1.1843,-1.2896,0.72399,0.79888,10.748,-5.2602,-2.709,-1.6252,0.11295,1.6299
0.67,7.821,1.1873,-1.224,-1.3033,0.73949,0.80299,10.771,-5.2701,-2.6959,-1.6583,0.11597,1.5302
0.68,7.9251,1.2385,-1.265,-1.3178,0.75406,0.80645,10.799,-5.2695,-2.6836,-1.6898,0.11854,1.4275
