t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.14546,0.25774,5.1057
0.02,0.099512,0.32406,5.1317
0.03,0.053563,0.39039,5.1577
0.04,0.007615,0.45672,5.1837
0.05,-0.038333,0.52305,5.2097
0.06,-0.084282,0.58937,5.2357
0.07,-0.13023,0.6557,5.2617
0.08,-0.17618,0.72203,5.2876
0.09,-0.22213,0.78836,5.3136
0.1,-0.26807,0.85468,5.3396
0.11,-0.22793,0.84959,5.3398
0.12,-0.18738,0.84415,5.3398
0.13,-0.14682,0.83871,5.3398
0.14,-0.10626,0.83327,5.3398
0.15,-0.065708,0.82784,5.3398
0.16,-0.025152,0.8224,5.3398
0.17,0.015403,0.81696,5.3398
0.18,0.055959,0.81152,5.3398
0.19,0.096515,0.80608,5.3398
0.2,0.13707,0.80065,5.3398
0.21,0.16166,0.78167,5.3398
0.22,0.18609,0.76255,5.3398
0.23,0.21052,0.74344,5.3398
0.24,0.23495,0.72433,5.3398
0.25,0.25938,0.70522,5.3398
0.26,0.28381,0.68611,5.3398
0.27,0.30824,0.667,5.3398
0.28,0.33268,0.64789,5.3398
0.29,0.35711,0.62877,5.3398
0.3,0.38154,0.60966,5.3398
0.31,0.38781,0.57877,5.3398
0.32,0.39382,0.54771,5.3398
0.33,0.39983,0.51665,5.3398
0.34,0.40585,0.48559,5.3398
0.35,0.41186,0.45453,5.3398
0.36,0.41787,0.42347,5.3398
0.37,0.42388,0.39241,5.3398
0.38,0.42989,0.36135,5.3398
0.39,0.4359,0.33029,5.3398
0.4,0.44191,0.29923,5.3398
0.41,0.43661,0.28403,5.3398
0.42,0.43108,0.26914,5.3398
0.43,0.42556,0.25424,5.3398
0.44,0.42003,0.23935,5.3398
0.45,0.41451,0.22446,5.3398
0.46,0.40898,0.20957,5.3398
0.47,0.40346,0.19467,5.3398
0.48,0.39793,0.17978,5.3398
0.49,0.39241,0.16489,5.3398
0.5,0.38688,0.15,5.3398
0.51,0.37676,0.14808,5.3398
0.52,0.36653,0.14648,5.3398
0.53,0.35629,0.14487,5.3398
0.54,0.34606,0.14327,5.3398
0.55,0.33582,0.14167,5.3398
0.56,0.32559,0.14007,5.3398
0.57,0.31536,0.13846,5.3398
0.58,0.30512,0.13686,5.3398
0.59,0.29489,0.13526,5.3398
0.6,0.28465,0.13366,5.3398
0.61,0.28029,0.1327,5.3398
0.62,0.27609,0.13177,5.3398
0.63,0.2719,0.13084,5.3398
0.64,0.26771,0.1299,5.3398
0.65,0.26351,0.12897,5.3398
0.66,0.25932,0.12804,5.3398
0.67,0.25512,0.1271,5.3398
0.68,0.25093,0.12617,5.3398
0.69,0.24674,0.12523,5.3398
0.7,0.24254,0.1243,5.3398
0.71,0.25221,0.12199,5.3398
0.72,0.26235,0.11964,5.3398
0.73,0.27249,0.11729,5.3398
0.74,0.28264,0.11493,5.3398
0.75,0.29278,0.11258,5.3398
0.76,0.30292,0.11022,5.3398
0.77,0.31307,0.10787,5.3398
0.78,0.32321,0.10551,5.3398
0.79,0.33335,0.10316,5.3398
0.8,0.3435,0.10081,5.3398
0.81,0.35653,0.10143,5.3398
0.82,0.36967,0.10216,5.3398
0.83,0.38282,0.1029,5.3398
0.84,0.39596,0.10364,5.3398
0.85,0.4091,0.10438,5.3398
0.86,0.42225,0.10512,5.3398
0.87,0.43539,0.10586,5.3398
0.88,0.44853,0.10659,5.3398
0.89,0.46168,0.10733,5.3398
0.9,0.47482,0.10807,5.3398
0.91,0.47998,0.11111,5.3398
0.92,0.48478,0.11425,5.3398
0.93,0.48957,0.11739,5.3398
0.94,0.49437,0.12053,5.3398
0.95,0.49917,0.12368,5.3398
0.96,0.50397,0.12682,5.3398
0.97,0.50876,0.12996,5.3398
0.98,0.51356,0.1331,5.3398
0.99,0.51836,0.13624,5.3398
1,0.52316,0.13938,5.3398
1.01,0.52076,0.13919,5.3398
1.02,0.51801,0.13882,5.3398
1.03,0.51526,0.13845,5.3398
1.04,0.51251,0.13809,5.3398
1.05,0.50975,0.13772,5.3398
1.06,0.507,0.13736,5.3398
1.07,0.50425,0.13699,5.3398
1.08,0.50149,0.13663,5.3398
1.09,0.49874,0.13626,5.3398
1.1,0.49599,0.1359,5.3398
1.11,0.48449,0.12842,5.3398
1.12,0.4725,0.12055,5.3398
1.13,0.46052,0.11268,5.3398
1.14,0.44854,0.10481,5.3398
1.15,0.43655,0.096942,5.3398
1.16,0.42457,0.089073,5.3398
1.17,0.41259,0.081204,5.3398
1.18,0.4006,0.073334,5.3398
1.19,0.38862,0.065465,5.3398
1.2,0.37664,0.057595,5.3398
1.21,0.36119,0.049736,5.3398
1.22,0.34553,0.041877,5.3398
1.23,0.32986,0.034018,5.3398
1.24,0.3142,0.026159,5.3398
1.25,0.29854,0.0183,5.3398
1.26,0.28288,0.010441,5.3398
1.27,0.26722,0.0025816,5.3398
1.28,0.25156,-0.0052775,5.3398
1.29,0.2359,-0.013136,5.3398
1.3,0.22023,-0.020996,5.3398
1.31,0.21427,-0.017438,5.3398
1.32,0.20894,-0.013127,5.3398
1.33,0.20362,-0.0088151,5.3398
1.34,0.19829,-0.0045035,5.3398
1.35,0.19296,-0.00019195,5.3398
