t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12027,-0.00039116,-0.022542,-0.007673,-0.18827,0.0018215,11.401,0.0022662,-4.4606,0.094998,0.013975,-0.018267
0.02,0.24052,-0.0006257,-0.044221,-0.011854,-0.18569,0.0028004,11.42,0.0027213,-4.3452,0.21201,0.023702,-0.047371
0.03,0.36075,-0.0007336,-0.065072,-0.012689,-0.18361,0.0029278,11.438,0.0018149,-4.2368,0.3485,0.029448,-0.086615
0.04,0.48095,-0.00074486,-0.085128,-0.010324,-0.18196,0.002195,11.455,-3.136e-06,-4.1354,0.50197,0.031479,-0.1353
0.05,0.60114,-0.00068947,-0.10442,-0.004905,-0.18067,0.00059322,11.471,-0.0022833,-4.0408,0.66988,0.030062,-0.19274
0.06,0.7213,-0.00059742,-0.12299,0.0034209,-0.17969,-0.0018862,11.486,-0.0045757,-3.9529,0.84972,0.025465,-0.25824
0.07,0.84145,-0.00049869,-0.14086,0.014508,-0.17894,-0.0052521,11.5,-0.0064308,-3.8715,1.039,0.017954,-0.33109
0.08,0.96158,-0.00042327,-0.15807,0.02821,-0.17837,-0.0095132,11.514,-0.0073989,-3.7966,1.2351,0.007796,-0.4106
0.09,1.0817,-0.00040117,-0.17465,0.044381,-0.17791,-0.014678,11.526,-0.0070303,-3.728,1.4356,-0.0047414,-0.49608
0.1,1.2018,-0.00046236,-0.19063,0.062875,-0.1775,-0.020756,11.537,-0.0048752,-3.6655,1.6379,-0.019391,-0.58683
0.11,1.3219,-0.00063684,-0.20606,0.083545,-0.17708,-0.027755,11.547,-0.00048403,-3.6092,1.8396,-0.035887,-0.68216
0.12,1.4419,-0.00095459,-0.22096,0.10625,-0.17657,-0.035684,11.556,0.006593,-3.5588,2.0381,-0.053962,-0.78136
0.13,1.562,-0.0014456,-0.23536,0.13083,-0.17592,-0.044552,11.563,0.016805,-3.5143,2.2308,-0.073348,-0.88375
0.14,1.682,-0.0021399,-0.24931,0.15715,-0.17507,-0.054368,11.57,0.030603,-3.4754,2.4153,-0.09378,-0.98863
0.15,1.802,-0.0030674,-0.26282,0.18507,-0.17394,-0.065141,11.575,0.048436,-3.4421,2.589,-0.11499,-1.0953
0.16,1.922,-0.0042582,-0.27595,0.21443,-0.17248,-0.076878,11.578,0.070753,-3.4143,2.7495,-0.13671,-1.2031
0.17,2.042,-0.0057421,-0.28871,0.24509,-0.17063,-0.089589,11.58,0.098004,-3.3919,2.8942,-0.15867,-1.3112
0.18,2.162,-0.0075493,-0.30115,0.2769,-0.16831,-0.10328,11.581,0.13064,-3.3746,3.0205,-0.18061,-1.4191
0.19,2.2819,-0.0097097,-0.31329,0.30972,-0.16547,-0.11797,11.58,0.16911,-3.3625,3.126,-0.20227,-1.526
0.2,2.4019,-0.012253,-0.32518,0.3434,-0.16203,-0.13365,11.578,0.21386,-3.3553,3.2081,-0.22336,-1.6312
0.21,2.5218,-0.015213,-0.33683,0.37778,-0.15795,-0.15033,11.574,0.26527,-3.3529,3.2651,-0.24362,-1.7341
0.22,2.6418,-0.018634,-0.34829,0.41269,-0.15315,-0.16792,11.569,0.32341,-3.3548,3.2982,-0.26272,-1.8343
0.23,2.7616,-0.022563,-0.35957,0.44791,-0.14758,-0.18632,11.561,0.38827,-3.3604,3.3094,-0.28033,-1.9316
0.24,2.8815,-0.027049,-0.3707,0.48326,-0.14118,-0.20544,11.553,0.45983,-3.3691,3.3007,-0.29612,-2.0257
0.25,3.0013,-0.03214,-0.3817,0.51853,-0.13389,-0.22518,11.542,0.5381,-3.3805,3.2743,-0.30975,-2.1162
0.26,3.121,-0.037884,-0.3926,0.55353,-0.12564,-0.24543,11.53,0.62305,-3.3938,3.2321,-0.32089,-2.2031
0.27,3.2407,-0.044328,-0.40341,0.58806,-0.11638,-0.26611,11.516,0.71468,-3.4085,3.1761,-0.32921,-2.2859
0.28,3.3603,-0.05152,-0.41418,0.62192,-0.10605,-0.28711,11.5,0.81298,-3.4241,3.1084,-0.33437,-2.3643
0.29,3.4797,-0.059509,-0.42492,0.65492,-0.094583,-0.30834,11.482,0.91795,-3.44,3.031,-0.33603,-2.4382
0.3,3.5991,-0.068342,-0.43565,0.68686,-0.081924,-0.32969,11.462,1.0296,-3.4556,2.946,-0.33387,-2.5072
0.31,3.7184,-0.078066,-0.44641,0.71757,-0.068035,-0.35108,11.441,1.1477,-3.4704,2.8552,-0.32769,-2.5711
