t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.042143,-0.094269,-0.22569,0.12419,2.6449,-1.1304,-0.031148,-0.1102,-0.11277,0.053392,0.049834,-0.0063553,0.06225,0.14736,-0.07373,0.28534,0.94952,1.7535,0.05414,0.14302,-0.036541,-0.0030764,0.034119,0.12296,-0.023101,-0.005409,-0.0069457,-0.0044083,0.073282,-0.070347,-0.014706,-0.0059517,-0.0010154,0.0014051,7.7051e-05,-0.0012198
0.01,0.036052,-0.078804,-0.22138,0.14542,2.5943,-0.94585,-0.029125,-0.097187,-0.11015,0.050384,0.049429,0.0022037,0.059674,0.1424,-0.079045,0.28582,0.99763,1.6914,0.051543,0.13625,-0.037138,-0.00012929,0.035056,0.12185,-0.022877,-0.0055707,-0.0067701,-0.0050588,0.071768,-0.071614,-0.014544,-0.0061145,-0.0010436,0.0012821,0.00010027,-0.0013343
0.02,0.030372,-0.063347,-0.21497,0.16435,2.5178,-0.76286,-0.0267,-0.084248,-0.1063,0.047316,0.048513,0.0098283,0.057001,0.1376,-0.084101,0.28438,1.0423,1.6313,0.048993,0.12944,-0.037769,0.0024084,0.035961,0.12053,-0.022656,-0.0057122,-0.0065941,-0.005636,0.070328,-0.072631,-0.014384,-0.0062559,-0.0010792,0.00116,0.00011451,-0.001449
0.03,0.025131,-0.048274,-0.20642,0.17985,2.4152,-0.58583,-0.023969,-0.071646,-0.10128,0.044148,0.047067,0.016335,0.054232,0.13307,-0.088762,0.28124,1.0822,1.5741,0.046505,0.12272,-0.038383,0.0045373,0.036785,0.11903,-0.022437,-0.0058321,-0.0064173,-0.0061378,0.06895,-0.073385,-0.014224,-0.0063746,-0.0011202,0.0010399,0.00012081,-0.0015615
0.04,0.020352,-0.033968,-0.19575,0.19094,2.2868,-0.41913,-0.02104,-0.059624,-0.095203,0.040848,0.045082,0.021576,0.051372,0.12885,-0.092893,0.27655,1.1157,1.5207,0.044091,0.11618,-0.038931,0.0062639,0.037477,0.11733,-0.022219,-0.0059299,-0.0062394,-0.0065639,0.067625,-0.073874,-0.014061,-0.0064703,-0.0011645,0.00092275,0.00012027,-0.0016703
0.05,0.016048,-0.020794,-0.18301,0.19691,2.134,-0.26679,-0.018022,-0.048394,-0.088172,0.037398,0.04256,0.025445,0.048431,0.125,-0.096366,0.27039,1.1416,1.4712,0.041756,0.10987,-0.039371,0.0075979,0.037991,0.11542,-0.022002,-0.0060052,-0.0060606,-0.0069146,0.066348,-0.074099,-0.013895,-0.0065431,-0.0012104,0.00080933,0.00011408,-0.001774
0.06,0.012234,-0.0090828,-0.16845,0.19745,1.9597,-0.13236,-0.015031,-0.038143,-0.080382,0.033815,0.039547,0.027913,0.045421,0.12148,-0.09908,0.26278,1.1587,1.4256,0.039505,0.10383,-0.039671,0.0085555,0.038293,0.11327,-0.021785,-0.0060583,-0.0058812,-0.0071915,0.065115,-0.074066,-0.013723,-0.0065939,-0.0012562,0.00070052,0.00010345,-0.0018715
0.07,0.0089192,0.00090396,-0.15247,0.19276,1.7692,-0.018536,-0.012175,-0.02902,-0.072086,0.030153,0.036132,0.029038,0.042363,0.11825,-0.10098,0.25377,1.1665,1.3832,0.03734,0.098063,-0.039824,0.0091613,0.038358,0.11086,-0.021567,-0.0060897,-0.0057018,-0.0073969,0.063922,-0.073785,-0.013545,-0.0066235,-0.0013003,0.000597,8.9505e-05,-0.0019621
0.08,0.0061033,0.0089822,-0.13549,0.18323,1.5677,0.072944,-0.0095393,-0.021116,-0.06352,0.026468,0.032409,0.028921,0.039275,0.11527,-0.10201,0.24338,1.1647,1.3434,0.035258,0.092572,-0.039826,0.0094411,0.038171,0.10818,-0.021349,-0.0061,-0.0055226,-0.0075336,0.062769,-0.073268,-0.013359,-0.0066331,-0.0013412,0.00049935,7.3374e-05,-0.0020455
0.09,0.0037686,0.014995,-0.11762,0.16902,1.3569,0.14075,-0.0071705,-0.014449,-0.054759,0.02276,0.028402,0.027614,0.036164,0.11242,-0.10216,0.23161,1.1531,1.305,0.033246,0.08731,-0.039676,0.0094254,0.037719,0.10519,-0.021129,-0.0060898,-0.0053439,-0.0076054,0.061648,-0.072527,-0.013166,-0.0066239,-0.0013774,0.000408,5.6006e-05,-0.0021213
0.1,0.001896,0.018736,-0.098662,0.14993,1.1348,0.18316,-0.0050879,-0.0089974,-0.045712,0.018974,0.02406,0.025101,0.03303,0.10956,-0.10137,0.21846,1.1316,1.2666,0.031285,0.082209,-0.039372,0.0091483,0.036991,0.10182,-0.020907,-0.00606,-0.0051653,-0.0076167,0.06055,-0.071574,-0.012964,-0.006597,-0.0014072,0.00032315,3.8108e-05,-0.0021895
0.11,0.00048459,0.020079,-0.078919,0.12651,0.90518,0.19934,-0.0033317,-0.0047698,-0.036491,0.015156,0.019452,0.021512,0.029887,0.10661,-0.099701,0.20407,1.1006,1.2271,0.029367,0.077233,-0.038932,0.0086491,0.035998,0.098081,-0.020684,-0.0060116,-0.0049862,-0.0075726,0.05946,-0.070426,-0.012754,-0.0065536,-0.0014289,0.00024494,2.0277e-05,-0.0022505
0.12,-0.00046974,0.019731,-0.060982,0.10323,0.69786,0.197,-0.0019882,-0.001763,-0.028237,0.011771,0.015229,0.017722,0.026812,0.10373,-0.097479,0.18913,1.0643,1.1885,0.02755,0.072512,-0.03849,0.0079992,0.034859,0.094209,-0.020458,-0.0059459,-0.0048054,-0.007479,0.05836,-0.069101,-0.012536,-0.0064947,-0.0014408,0.00017327,2.7555e-06,-0.0023047
