t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0.61087,-0.23448,-0.14911,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.01,0.11325,-0.0003266,5.5204e-12,0.61087,-0.23448,-0.15488,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.02,0.22651,-0.0013064,2.3156e-09,0.61087,-0.23448,-0.16065,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.03,0.33975,-0.0029393,9.0574e-09,0.61087,-0.23448,-0.16642,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.04,0.45298,-0.0052254,1.2129e-08,0.61087,-0.23448,-0.17218,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.05,0.5662,-0.0081644,8.8772e-09,0.61087,-0.23448,-0.17795,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.06,0.6794,-0.011756,8.468e-10,0.61087,-0.23448,-0.18372,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.07,0.79257,-0.016001,-3.7625e-09,0.61087,-0.23448,-0.18949,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.08,0.90572,-0.020899,1.011e-09,0.61087,-0.23448,-0.19525,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.09,1.0188,-0.026449,7.004e-09,0.61087,-0.23448,-0.20102,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.1,1.1319,-0.032651,7.1068e-09,0.61087,-0.23448,-0.20679,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.11,1.245,-0.039505,1.5304e-09,0.61087,-0.23448,-0.21256,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.12,1.358,-0.047011,-4.5707e-09,0.61087,-0.23448,-0.21832,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.13,1.4709,-0.055169,-2.665e-09,0.61087,-0.23448,-0.22409,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.14,1.5839,-0.063979,4.1887e-09,0.61087,-0.23448,-0.22986,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.15,1.6967,-0.073439,6.8676e-09,0.61087,-0.23448,-0.23563,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.16,1.8095,-0.08355,3.4376e-09,0.61087,-0.23448,-0.24139,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.17,1.9223,-0.094312,-3.497e-09,0.61087,-0.23448,-0.24716,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.18,2.0349,-0.10572,-5.3266e-09,0.61087,-0.23448,-0.25293,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.19,2.1475,-0.11778,8.4218e-10,0.61087,-0.23448,-0.2587,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.2,2.2601,-0.13049,5.9282e-09,0.61087,-0.23448,-0.26446,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.21,2.3726,-0.14385,4.8788e-09,0.61087,-0.23448,-0.27023,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.22,2.4849,-0.15786,-1.3924e-09,0.61087,-0.23448,-0.276,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.23,2.5972,-0.17252,-6.3422e-09,0.61087,-0.23448,-0.28177,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.24,2.7095,-0.18782,-2.5398e-09,0.61087,-0.23448,-0.28753,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.25,2.8216,-0.20377,4.1251e-09,0.61087,-0.23448,-0.2933,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.26,2.9336,-0.22037,5.5377e-09,0.61087,-0.23448,-0.29907,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.27,3.0456,-0.23761,1.0002e-09,0.61087,-0.23448,-0.30484,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.28,3.1574,-0.2555,-5.6248e-09,0.61087,-0.23448,-0.3106,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.29,3.2691,-0.27403,-5.4211e-09,0.61087,-0.23448,-0.31637,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.3,3.3807,-0.29321,1.3727e-09,0.61087,-0.23448,-0.32214,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.31,3.4922,-0.31303,5.2868e-09,0.61087,-0.23448,-0.32791,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.32,3.6036,-0.33349,2.9996e-09,0.61087,-0.23448,-0.33367,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.33,3.7149,-0.35459,-3.7676e-09,0.61087,-0.23448,-0.33944,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
0.34,3.8261,-0.37634,-7.2025e-09,0.61087,-0.23448,-0.34521,10.893,-0.11426,-3.0966,-0.134,-0.32176,-0.45952
