t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12034,-9.5522e-05,-0.022752,-0.0028403,-0.18892,0.00067597,11.406,8.2495e-05,-4.4497,0.056237,0.15893,-0.020547
0.02,0.24064,-0.00013933,-0.044526,-0.0037535,-0.18573,0.0008332,11.433,-0.00041246,-4.315,0.13377,0.29146,-0.046572
0.03,0.36092,-0.00014574,-0.065376,-0.0027934,-0.18191,0.00048677,11.462,-0.0013385,-4.1798,0.23012,0.39956,-0.077473
0.04,0.48118,-0.00012906,-0.08536,-1.3874e-05,-0.17754,-0.00034825,11.492,-0.0025494,-4.0447,0.34277,0.48519,-0.11265
0.05,0.60143,-0.0001036,-0.10453,0.0045311,-0.17267,-0.0016568,11.524,-0.0038987,-3.9105,0.46924,0.55033,-0.15149
0.06,0.72169,-8.3662e-05,-0.12295,0.010788,-0.16737,-0.0034237,11.556,-0.0052402,-3.7777,0.60703,0.59695,-0.19341
0.07,0.84196,-8.3566e-05,-0.14066,0.018702,-0.1617,-0.005634,11.59,-0.0064275,-3.6472,0.75365,0.62702,-0.23779
0.08,0.96227,-0.00011762,-0.15773,0.028219,-0.15575,-0.0082725,11.623,-0.0073142,-3.5195,0.9066,0.6425,-0.28404
0.09,1.0826,-0.00020013,-0.17421,0.039287,-0.14957,-0.011324,11.658,-0.007754,-3.3953,1.0634,0.64537,-0.33156
0.1,1.203,-0.00034541,-0.19016,0.05185,-0.14322,-0.014774,11.692,-0.0076007,-3.2753,1.2215,0.63759,-0.37973
0.11,1.3235,-0.00056778,-0.20562,0.065856,-0.13678,-0.018607,11.725,-0.0067078,-3.1603,1.3785,0.62115,-0.42796
0.12,1.444,-0.00088153,-0.22067,0.081249,-0.13032,-0.022808,11.759,-0.0049291,-3.0507,1.5318,0.59799,-0.47566
0.13,1.5646,-0.001301,-0.23534,0.097976,-0.12389,-0.027361,11.791,-0.0021181,-2.9475,1.679,0.57011,-0.5222
0.14,1.6853,-0.0018404,-0.24971,0.11598,-0.11757,-0.032253,11.822,0.0018714,-2.8511,1.8176,0.53946,-0.567
0.15,1.8061,-0.0025142,-0.26381,0.13522,-0.11143,-0.037467,11.852,0.0071857,-2.7623,1.945,0.50801,-0.60946
0.16,1.9271,-0.0033378,-0.27772,0.15562,-0.1055,-0.042988,11.88,0.013932,-2.6815,2.0595,0.47746,-0.64911
0.17,2.0481,-0.004332,-0.29145,0.17711,-0.09977,-0.0488,11.907,0.022055,-2.6084,2.1616,0.44829,-0.68611
0.18,2.1693,-0.0055186,-0.30504,0.1996,-0.094177,-0.054885,11.933,0.031456,-2.5421,2.2529,0.42069,-0.72078
0.19,2.2906,-0.0069195,-0.31852,0.22301,-0.088673,-0.061227,11.957,0.042038,-2.482,2.3347,0.39485,-0.75343
0.2,2.412,-0.0085569,-0.33191,0.24725,-0.083209,-0.067808,11.981,0.053704,-2.4273,2.4084,0.37097,-0.78437
0.21,2.5336,-0.010453,-0.34525,0.27224,-0.077734,-0.07461,12.004,0.066355,-2.3775,2.4755,0.34922,-0.81391
0.22,2.6553,-0.012628,-0.35857,0.29788,-0.072198,-0.081618,12.026,0.079895,-2.3317,2.5372,0.3298,-0.84238
0.23,2.7771,-0.015107,-0.3719,0.32411,-0.06655,-0.088813,12.048,0.094225,-2.2893,2.595,0.3129,-0.87008
0.24,2.8991,-0.017909,-0.38526,0.35086,-0.06075,-0.096172,12.07,0.10926,-2.2497,2.6496,0.2986,-0.89711
0.25,3.0211,-0.021057,-0.39867,0.37808,-0.054769,-0.10366,12.092,0.12493,-2.2124,2.7012,0.2869,-0.92338
0.26,3.1434,-0.024574,-0.41217,0.40577,-0.048576,-0.11126,12.113,0.14116,-2.1772,2.7498,0.27781,-0.9488
0.27,3.2657,-0.028481,-0.42576,0.43387,-0.042143,-0.11893,12.135,0.15788,-2.1434,2.7956,0.27131,-0.97325
0.28,3.3882,-0.0328,-0.43948,0.46235,-0.03544,-0.12664,12.156,0.17502,-2.1106,2.8387,0.26741,-0.99665
0.29,3.5108,-0.037553,-0.45335,0.4912,-0.028436,-0.13436,12.178,0.19251,-2.0785,2.8791,0.26608,-1.0189
0.3,3.6335,-0.042763,-0.46739,0.52036,-0.021104,-0.14206,12.2,0.21026,-2.0466,2.9169,0.26734,-1.0398
0.31,3.7564,-0.048449,-0.48162,0.54982,-0.013417,-0.14971,12.222,0.22823,-2.0145,2.9523,0.27116,-1.0594
0.32,3.8793,-0.054632,-0.49607,0.57956,-0.0053645,-0.15727,12.245,0.24636,-1.9818,2.9855,0.27742,-1.0776
0.33,4.0024,-0.061329,-0.51076,0.60956,0.003059,-0.16469,12.268,0.2646,-1.9482,3.0167,0.286,-1.0943
0.34,4.1257,-0.068558,-0.52573,0.6398,0.01186,-0.17192,12.291,0.28293,-1.9134,3.0461,0.29676,-1.1094
0.35,4.249,-0.076337,-0.541,0.67029,0.021043,-0.17893,12.315,0.30129,-1.8771,3.0739,0.30957,-1.123
0.36,4.3724,-0.084683,-0.5566,0.70099,0.030615,-0.18566,12.339,0.31965,-1.839,3.1004,0.32431,-1.1349
