t, affine_elevL, affine_elevR, affine_throttle
0,-0.00011152,7.3374e-05,6.2175e-06
0.01,0.0034809,-0.0012496,-0.00025026
0.02,0.0054553,-0.0023587,-0.00037038
0.03,0.0060085,-0.0031117,-0.00038895
0.04,0.0054318,-0.0033943,-0.00033944
0.05,0.0040835,-0.0031361,-0.00025157
0.06,0.0023573,-0.0023172,-0.00014701
0.07,0.00067468,-0.00094824,-4.5743e-05
0.08,-0.00061529,0.0007555,3.8484e-05
0.09,-0.0014775,0.0018873,9.5185e-05
0.1,-0.0019087,0.0023807,0.00012362
0.11,-0.0019354,0.0023604,0.00012702
0.12,-0.0016667,0.0019551,0.00010936
0.13,-0.0012069,0.0013143,7.6947e-05
0.14,-0.00064773,0.0006073,3.7729e-05
0.15,-9.7462e-05,5.2777e-06,3.1007e-07
0.16,0.00027859,-0.00039082,-2.7962e-05
0.17,0.00042025,-0.00062158,-4.5362e-05
0.18,0.00040235,-0.00070934,-5.1789e-05
0.19,0.00029126,-0.00067603,-4.8604e-05
0.2,0.00014139,-0.00054823,-3.8219e-05
0.21,7.2374e-06,-0.00035312,-2.3249e-05
0.22,-7.2298e-05,-0.00012582,-7.3422e-06
0.23,-8.1684e-05,7.9776e-05,5.6321e-06
0.24,-9.4215e-05,0.00017541,1.3717e-05
0.25,-0.00011998,0.00018216,1.7482e-05
0.26,-0.00014866,0.00013487,1.7636e-05
0.27,-0.00016805,6.7114e-05,1.4913e-05
0.28,-0.00016551,6.3201e-06,1.036e-05
0.29,-0.00012917,-2.2491e-05,5.2634e-06
0.3,-5.0774e-05,6.7261e-07,1.4387e-06
0.31,2.1827e-05,2.9841e-05,7.2513e-07
0.32,4.2503e-05,1.7194e-05,2.4113e-06
0.33,2.7768e-05,-1.7374e-05,4.5547e-06
0.34,-3.6459e-06,-5.5618e-05,6.1071e-06
0.35,-3.3158e-05,-8.029e-05,6.3359e-06
0.36,-4.5051e-05,-7.6506e-05,5.2482e-06
0.37,-2.5877e-05,-2.7284e-05,3.5669e-06
0.38,1.3634e-05,5.2808e-05,3.0275e-06
0.39,3.6802e-05,0.00010735,4.6505e-06
0.4,3.783e-05,0.0001241,6.96e-06
0.41,2.5468e-05,0.00011166,8.6478e-06
0.42,9.341e-06,8.1422e-05,9.1831e-06
0.43,-1.2148e-06,4.5457e-05,8.2527e-06
0.44,-3.3128e-07,1.9053e-05,6.3718e-06
0.45,1.4499e-05,2.0614e-05,4.5202e-06
0.46,3.1774e-05,4.614e-05,3.8389e-06
0.47,4.0007e-05,7.5409e-05,4.309e-06
0.48,3.9634e-05,9.6999e-05,5.2166e-06
0.49,3.2639e-05,0.00010291,6.0044e-06
0.5,2.2859e-05,9.1266e-05,6.3858e-06
0.51,1.4679e-05,6.6387e-05,6.2869e-06
0.52,1.1706e-05,3.5735e-05,5.7167e-06
0.53,1.84e-05,2.1106e-05,4.7318e-06
0.54,3.6165e-05,4.3414e-05,3.4997e-06
0.55,5.2997e-05,8.1651e-05,2.573e-06
0.56,5.8772e-05,0.00011207,2.4124e-06
0.57,5.2733e-05,0.00012482,2.9834e-06
0.58,3.5395e-05,0.00011232,4.1585e-06
0.59,1.3262e-05,7.7843e-05,5.3289e-06
0.6,-3.1217e-06,3.3096e-05,5.4089e-06
0.61,9.6428e-06,2.1506e-05,2.9747e-06
0.62,4.627e-05,5.1477e-05,-8.4297e-07
0.63,7.7146e-05,9.0736e-05,-3.5719e-06
0.64,8.9587e-05,0.00012089,-4.3015e-06
0.65,7.6468e-05,0.00012866,-2.6642e-06
0.66,3.8679e-05,0.00010797,8.9007e-07
0.67,-9.6819e-06,6.4366e-05,4.5111e-06
0.68,-3.8844e-05,1.6424e-05,5.169e-06
0.69,-6.6009e-06,-1.465e-06,9.9041e-07
0.7,5.166e-05,3.7981e-06,-4.2794e-06
0.71,0.00010385,1.997e-05,-8.0855e-06
0.72,0.00012375,3.6953e-05,-8.6157e-06
0.73,9.8897e-05,4.7406e-05,-5.4634e-06
0.74,3.2098e-05,4.6942e-05,2.133e-07
0.75,-5.5756e-05,3.3694e-05,5.8589e-06
0.76,-9.41e-05,7.4697e-06,7.1845e-06
0.77,-4.7261e-05,-2.4671e-05,3.9655e-06
0.78,3.7028e-05,-5.0974e-05,-5.622e-07
0.79,0.00010883,-6.0364e-05,-3.5396e-06
0.8,0.00014201,-5.2943e-05,-4.0768e-06
