t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.20394,-0.17046,-0.33453,0.35067,3.9696,-1.7325,0.069993,-0.16565,-0.18856,0.094179,0.083507,-0.0523,0.16972,0.17213,-0.057797,0.29259,0.76268,1.9747,0.079843,0.16338,-0.030543,-0.012622,0.035153,0.14666,-0.089153,0.011646,-0.031406,0.039737,0.2858,0.09209,-0.07377,0.0072348,0.00037657,0.0025573,-0.00052242,0.0070207
0.01,0.18505,-0.15166,-0.33737,0.38205,3.9736,-1.5309,0.056958,-0.15204,-0.18626,0.091318,0.081714,-0.042633,0.17072,0.17409,-0.061474,0.30211,0.795,2.0066,0.077115,0.16477,-0.029157,-0.011122,0.036628,0.15172,-0.089139,0.011594,-0.030683,0.038819,0.28004,0.090038,-0.073591,0.0069167,0.0005026,0.0025221,-0.00036177,0.006881
0.02,0.16451,-0.13109,-0.33101,0.40128,3.8705,-1.3131,0.044453,-0.13656,-0.17928,0.086505,0.077925,-0.033255,0.17057,0.17529,-0.064178,0.3069,0.81575,2.0285,0.074134,0.16519,-0.027408,-0.0098691,0.037847,0.15584,-0.089072,0.011493,-0.03005,0.037816,0.27564,0.087468,-0.073404,0.006537,0.00046128,0.0024922,-0.00020364,0.0066998
0.03,0.14309,-0.10977,-0.31598,0.40653,3.6687,-1.0901,0.032875,-0.11994,-0.16822,0.079955,0.072378,-0.02458,0.16926,0.17569,-0.065777,0.30697,0.82357,2.0401,0.070928,0.16463,-0.025396,-0.0088883,0.038732,0.15893,-0.088958,0.011355,-0.029514,0.036773,0.2726,0.084531,-0.073212,0.0061034,0.0002673,0.0024675,-4.5594e-05,0.0064878
0.04,0.12159,-0.088768,-0.29342,0.39745,3.3835,-0.873,0.022571,-0.10295,-0.1539,0.072025,0.065435,-0.016955,0.16672,0.17521,-0.066165,0.30236,0.81741,2.04,0.067488,0.16306,-0.023222,-0.0081831,0.039209,0.16087,-0.0888,0.011195,-0.029077,0.035731,0.2709,0.081386,-0.073017,0.0056242,-6.2682e-05,0.0024476,0.00011383,0.0062556
0.05,0.10039,-0.068834,-0.26381,0.37341,3.022,-0.66954,0.013807,-0.086019,-0.13673,0.0629,0.057287,-0.010647,0.1628,0.1736,-0.065241,0.29304,0.79636,2.0258,0.063775,0.16035,-0.020981,-0.0077343,0.039196,0.16144,-0.088606,0.011028,-0.028734,0.034711,0.27044,0.07819,-0.072819,0.0051081,-0.00050869,0.0024298,0.00027417,0.006012
0.06,0.079059,-0.050245,-0.22556,0.33133,2.5676,-0.48284,0.0067826,-0.068902,-0.11595,0.052311,0.047695,-0.0058522,0.15725,0.17047,-0.062949,0.27898,0.76002,1.9926,0.059725,0.15619,-0.018781,-0.0074833,0.038621,0.16026,-0.08838,0.010865,-0.028469,0.033712,0.27099,0.075064,-0.07262,0.0045617,-0.0010484,0.00241,0.00043304,0.0057621
0.07,0.058104,-0.033831,-0.17979,0.27251,2.0347,-0.32107,0.0017527,-0.052022,-0.092084,0.040635,0.037006,-0.0027016,0.15003,0.16556,-0.05941,0.26065,0.71008,1.9379,0.055337,0.15042,-0.016768,-0.0073569,0.037473,0.15712,-0.088128,0.010717,-0.028267,0.032723,0.27235,0.072124,-0.072418,0.0039915,-0.0016593,0.0023838,0.0005879,0.0055105
0.08,0.049636,-0.024726,-0.16645,0.25958,1.8724,-0.2295,-0.0017599,-0.044905,-0.085056,0.036497,0.033461,-9.0804e-05,0.14395,0.16168,-0.056541,0.24431,0.66875,1.8948,0.051493,0.14558,-0.015607,-0.0072909,0.036601,0.15484,-0.087855,0.010593,-0.028105,0.031713,0.2742,0.069449,-0.07221,0.0034032,-0.0023161,0.0023461,0.00073511,0.0052592
0.09,0.049974,-0.018739,-0.18119,0.28962,2.0251,-0.16556,-0.005433,-0.044634,-0.092253,0.038382,0.035761,0.0032516,0.13983,0.15986,-0.05487,0.23193,0.64203,1.8756,0.048306,0.1425,-0.015155,-0.007283,0.036313,0.15441,-0.087569,0.010497,-0.027938,0.030609,0.27604,0.067084,-0.071984,0.0028041,-0.0029801,0.002291,0.00086762,0.0050065
