t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.21669,0.20082,5.0896
0.02,0.24197,0.21022,5.0995
0.03,0.26725,0.21963,5.1094
0.04,0.29253,0.22904,5.1193
0.05,0.31781,0.23845,5.1292
0.06,0.34309,0.24786,5.1391
0.07,0.36837,0.25726,5.149
0.08,0.39365,0.26667,5.1589
0.09,0.41893,0.27608,5.1689
0.1,0.44421,0.28549,5.1788
0.11,0.46948,0.2949,5.1887
0.12,0.49476,0.3043,5.1986
0.13,0.52004,0.31371,5.2085
0.14,0.54532,0.32312,5.2184
0.15,0.5706,0.33253,5.2283
0.16,0.59588,0.34194,5.2382
0.17,0.62116,0.35134,5.2481
0.18,0.64644,0.36075,5.258
0.19,0.67172,0.37016,5.2679
0.2,0.697,0.37957,5.2778
0.21,0.72228,0.38898,5.2877
0.22,0.74756,0.39838,5.2977
0.23,0.77284,0.40779,5.3076
0.24,0.79812,0.4172,5.3175
0.25,0.8234,0.42661,5.3274
0.26,0.84868,0.43602,5.3373
0.27,0.84229,0.45027,5.3398
0.28,0.82535,0.46614,5.3398
0.29,0.80841,0.48202,5.3398
0.3,0.79147,0.49789,5.3398
0.31,0.77452,0.51376,5.3398
0.32,0.75758,0.52963,5.3398
0.33,0.74064,0.5455,5.3398
0.34,0.7237,0.56137,5.3398
0.35,0.70676,0.57725,5.3398
0.36,0.68981,0.59312,5.3398
0.37,0.67287,0.60899,5.3398
0.38,0.65593,0.62486,5.3398
0.39,0.63899,0.64073,5.3398
0.4,0.62204,0.6566,5.3398
0.41,0.6051,0.67248,5.3398
0.42,0.58816,0.68835,5.3398
0.43,0.57122,0.70422,5.3398
0.44,0.55428,0.72009,5.3398
0.45,0.53733,0.73596,5.3398
0.46,0.52039,0.75183,5.3398
0.47,0.50345,0.76771,5.3398
0.48,0.48651,0.78358,5.3398
0.49,0.46956,0.79945,5.3398
0.5,0.45262,0.81532,5.3398
0.51,0.43568,0.83119,5.3398
0.52,0.41874,0.84706,5.3398
0.53,0.39327,0.84305,5.3398
0.54,0.35927,0.81916,5.3398
0.55,0.32528,0.79527,5.3398
0.56,0.29128,0.77138,5.3398
0.57,0.25729,0.74749,5.3398
0.58,0.22329,0.7236,5.3398
0.59,0.1893,0.6997,5.3398
0.6,0.1553,0.67581,5.3398
0.61,0.12131,0.65192,5.3398
0.62,0.087315,0.62803,5.3398
0.63,0.05332,0.60414,5.3398
0.64,0.019325,0.58025,5.3398
0.65,-0.01467,0.55635,5.3398
0.66,-0.048665,0.53246,5.3398
0.67,-0.08266,0.50857,5.3398
0.68,-0.11665,0.48468,5.3398
0.69,-0.15065,0.46079,5.3398
0.7,-0.18464,0.4369,5.3398
0.71,-0.21864,0.413,5.3398
0.72,-0.25263,0.38911,5.3398
0.73,-0.28663,0.36522,5.3398
0.74,-0.32062,0.34133,5.3398
0.75,-0.35462,0.31744,5.3398
0.76,-0.38861,0.29355,5.3398
0.77,-0.42261,0.26965,5.3398
0.78,-0.4566,0.24576,5.3398
0.79,-0.48557,0.23382,5.3398
0.8,-0.49947,0.25771,5.3398
0.81,-0.51336,0.2816,5.3398
0.82,-0.52726,0.30549,5.3398
0.83,-0.54115,0.32938,5.3398
0.84,-0.55505,0.35327,5.3398
0.85,-0.56894,0.37717,5.3398
0.86,-0.58284,0.40106,5.3398
0.87,-0.59673,0.42495,5.3398
0.88,-0.61063,0.44884,5.3398
0.89,-0.62452,0.47273,5.3398
0.9,-0.63842,0.49662,5.3398
0.91,-0.65231,0.52052,5.3398
0.92,-0.66621,0.54441,5.3398
0.93,-0.68011,0.5683,5.3398
0.94,-0.694,0.59219,5.3398
0.95,-0.7079,0.61608,5.3398
0.96,-0.72179,0.63997,5.3398
0.97,-0.73569,0.66387,5.3398
0.98,-0.74958,0.68776,5.3398
0.99,-0.76348,0.71165,5.3398
1,-0.77737,0.73554,5.3398
1.01,-0.79127,0.75943,5.3398
1.02,-0.80516,0.78332,5.3398
1.03,-0.81906,0.80722,5.3398
