t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.13439,-0.15849,-0.11867,0.25041,1.3148,-1.6542,-0.0068436,-0.11191,-0.048877,0.063448,0.030484,-0.1148,0.092257,0.14777,-0.10649,-0.36601,1.2329,1.3593,0.009087,0.08358,-0.061767,-0.067596,0.023474,0.073085,-0.051904,-0.010125,-0.050784,-0.022008,0.43197,-0.064841,-0.047438,-0.0062361,-0.014536,-0.0003184,0.0021345,-0.0019647
0.01,0.14164,-0.16147,-0.12024,0.27176,1.3464,-1.7041,-0.0062332,-0.11461,-0.049155,0.065969,0.03158,-0.1176,0.092163,0.14835,-0.10836,-0.38619,1.2678,1.3728,0.007887,0.084631,-0.06399,-0.069125,0.023815,0.070584,-0.051308,-0.010131,-0.050364,-0.021859,0.42631,-0.063901,-0.046785,-0.0061144,-0.014765,-0.00036389,0.002092,-0.0020665
0.02,0.14939,-0.16411,-0.1203,0.29319,1.3652,-1.7522,-0.0047601,-0.11706,-0.048901,0.068537,0.032623,-0.12011,0.09184,0.14891,-0.11007,-0.40508,1.3013,1.3865,0.0066351,0.085932,-0.066109,-0.070643,0.024109,0.06826,-0.05073,-0.010139,-0.049964,-0.021652,0.42081,-0.062907,-0.046163,-0.0059526,-0.014969,-0.00040758,0.002043,-0.0021113
0.03,0.15762,-0.16647,-0.11894,0.31461,1.3722,-1.799,-0.002456,-0.11931,-0.048136,0.071165,0.033631,-0.12232,0.091324,0.14947,-0.11163,-0.42268,1.3335,1.4007,0.0053473,0.087505,-0.068131,-0.072155,0.024359,0.066148,-0.050173,-0.010145,-0.049584,-0.0214,0.41546,-0.06183,-0.045574,-0.0057519,-0.015148,-0.00045065,0.001988,-0.0021019
0.04,0.16631,-0.16861,-0.11627,0.33591,1.3682,-1.8451,0.00063795,-0.12143,-0.046882,0.073862,0.034617,-0.12427,0.090648,0.15008,-0.11306,-0.43897,1.3644,1.4156,0.0040384,0.089371,-0.070057,-0.073665,0.024567,0.064282,-0.049639,-0.010148,-0.049222,-0.021115,0.41024,-0.060644,-0.045018,-0.0055138,-0.015305,-0.00049416,0.0019274,-0.0020406
0.05,0.1754,-0.17057,-0.11239,0.35696,1.354,-1.8908,0.0044769,-0.1235,-0.045168,0.076627,0.03559,-0.12595,0.089831,0.15076,-0.11435,-0.45396,1.394,1.4316,0.0027168,0.09155,-0.071892,-0.075178,0.024733,0.062694,-0.049131,-0.010144,-0.048876,-0.020805,0.40512,-0.05932,-0.044494,-0.0052397,-0.01544,-0.00053926,0.0018615,-0.0019296
0.06,0.18482,-0.17241,-0.10738,0.3776,1.3306,-1.9363,0.0090111,-0.12555,-0.043021,0.079456,0.036557,-0.12737,0.088883,0.15155,-0.11552,-0.46765,1.4223,1.4488,0.0013833,0.094055,-0.073638,-0.076701,0.02486,0.061415,-0.048654,-0.010129,-0.048545,-0.02048,0.40009,-0.057828,-0.044002,-0.0049305,-0.015555,-0.00058705,0.0017905,-0.0017711
0.07,0.19447,-0.17414,-0.10137,0.39761,1.2988,-1.9817,0.014174,-0.12766,-0.040483,0.082333,0.037519,-0.12856,0.08781,0.15246,-0.1166,-0.48004,1.4496,1.4674,3.1606e-05,0.096896,-0.0753,-0.078235,0.024948,0.060464,-0.04821,-0.010102,-0.048228,-0.020146,0.39514,-0.056142,-0.043544,-0.0045876,-0.01565,-0.00063845,0.0017146,-0.0015674
0.08,0.20426,-0.17578,-0.094466,0.41673,1.2594,-2.0269,0.019898,-0.12985,-0.0376,0.085234,0.038473,-0.1295,0.086614,0.1535,-0.11761,-0.49113,1.476,1.4877,-0.0013504,0.10008,-0.076885,-0.079783,0.025003,0.05986,-0.047802,-0.01006,-0.047926,-0.019808,0.39025,-0.054237,-0.04312,-0.0042121,-0.015725,-0.00069437,0.0016339,-0.0013205
0.09,0.21406,-0.17735,-0.086782,0.43471,1.2132,-2.0719,0.026115,-0.13216,-0.034417,0.088134,0.039414,-0.13021,0.085287,0.15469,-0.11859,-0.50091,1.5018,1.5097,-0.0027799,0.10361,-0.078399,-0.08135,0.025027,0.059619,-0.047435,-0.01,-0.047638,-0.019471,0.38541,-0.05208,-0.04273,-0.0038048,-0.015783,-0.0007558,0.0015484,-0.0010326
0.1,0.22373,-0.17883,-0.078435,0.45124,1.161,-2.1162,0.032746,-0.13462,-0.030994,0.090994,0.040328,-0.13069,0.083828,0.15605,-0.11955,-0.50937,1.5273,1.5337,-0.0042734,0.10748,-0.079846,-0.082937,0.025026,0.059751,-0.047112,-0.0099199,-0.047364,-0.019137,0.38063,-0.049648,-0.042375,-0.0033665,-0.015822,-0.00082348,0.0014582,-0.00070619
0.11,0.23312,-0.18023,-0.069553,0.46595,1.1036,-2.1594,0.039696,-0.13722,-0.027401,0.093765,0.041198,-0.13093,0.082239,0.15757,-0.12054,-0.51648,1.5527,1.5596,-0.0058443,0.11171,-0.081227,-0.084539,0.025005,0.060264,-0.046836,-0.0098172,-0.047106,-0.018805,0.37589,-0.046919,-0.042056,-0.0028981,-0.015843,-0.00089786,0.0013634,-0.00034388
0.12,0.24206,-0.18151,-0.060251,0.47851,1.0417,-2.2008,0.04688,-0.13998,-0.023707,0.096398,0.042003,-0.13095,0.08052,0.15927,-0.12158,-0.52219,1.5782,1.5876,-0.0075099,0.11629,-0.082544,-0.086158,0.024973,0.061163,-0.046609,-0.0096898,-0.046864,-0.018474,0.3712,-0.043868,-0.041774,-0.0024,-0.015847,-0.00097943,0.0012642,5.168e-05
