t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.13691,-0.269,-0.092565,-0.1661,0.75087,-2.8856,-0.038084,-0.19771,-0.001775,0.053599,0.029487,-0.19044,0.16235,0.22906,-0.24453,-0.3696,2.3849,1.8629,0.071701,0.13311,-0.12632,-0.087711,0.046419,0.13476,-0.041811,-0.021941,-0.023675,-0.032726,0.14292,-0.17314,-0.027579,-0.012505,-0.0018007,0.0010309,0.00029093,-0.0038959
0.01,0.14913,-0.29935,-0.094518,-0.16816,0.75827,-3.1907,-0.044063,-0.21737,0.0048434,0.060941,0.032914,-0.20869,0.13821,0.19684,-0.22188,-0.35232,2.1397,1.5842,0.059714,0.11365,-0.11366,-0.078125,0.039823,0.11669,-0.041257,-0.022309,-0.023167,-0.032419,0.13841,-0.17431,-0.027225,-0.012586,-0.0016638,0.0010431,0.00035617,-0.0039182
0.02,0.14572,-0.29846,-0.084703,-0.14695,0.67301,-3.1582,-0.043491,-0.214,0.0103,0.062158,0.032618,-0.20469,0.10565,0.15526,-0.18036,-0.30008,1.7229,1.2425,0.044385,0.089559,-0.091868,-0.063242,0.030512,0.092845,-0.040641,-0.022504,-0.022783,-0.032115,0.13526,-0.17392,-0.026805,-0.01254,-0.0016489,0.0010029,0.00043692,-0.0038269
0.03,0.12484,-0.25998,-0.064776,-0.10739,0.51057,-2.7298,-0.03583,-0.18406,0.012168,0.055238,0.027964,-0.17536,0.069296,0.10735,-0.12533,-0.21809,1.1889,0.85817,0.028137,0.062196,-0.063748,-0.044312,0.019922,0.064727,-0.039994,-0.0225,-0.022516,-0.031864,0.13335,-0.17168,-0.026331,-0.012346,-0.0017562,0.00089908,0.00052319,-0.0036059
0.04,0.089018,-0.18851,-0.038915,-0.059837,0.30423,-1.963,-0.023461,-0.13182,0.010258,0.040794,0.0196,-0.12515,0.03414,0.059202,-0.065079,-0.119,0.61734,0.47815,0.013934,0.034764,-0.033603,-0.024052,0.0096244,0.035915,-0.039351,-0.022321,-0.022338,-0.031667,0.13234,-0.16777,-0.025828,-0.012014,-0.0019652,0.00073919,0.00060426,-0.0032723
0.05,0.076701,-0.16124,-0.029654,-0.040443,0.23211,-1.6697,-0.017706,-0.11163,0.0080067,0.03496,0.016697,-0.10538,0.028522,0.048801,-0.056983,-0.10799,0.53576,0.38893,0.010004,0.028695,-0.028801,-0.020408,0.0080303,0.029769,-0.038725,-0.022085,-0.022198,-0.031461,0.13169,-0.16332,-0.025344,-0.011621,-0.0022262,0.00056375,0.00067485,-0.0029054
0.06,0.090255,-0.1836,-0.034937,-0.042122,0.27653,-1.8971,-0.017954,-0.12612,0.0061451,0.039277,0.019765,-0.11798,0.044492,0.064758,-0.092082,-0.17599,0.84939,0.49413,0.010885,0.037778,-0.044123,-0.02958,0.012785,0.04014,-0.038119,-0.021908,-0.022049,-0.031167,0.13093,-0.15939,-0.024905,-0.011238,-0.0024925,0.0004121,0.00073441,-0.0025765
0.07,0.10009,-0.19825,-0.037448,-0.038906,0.29868,-2.0428,-0.017065,-0.13509,0.0038223,0.042175,0.021885,-0.12529,0.055504,0.073118,-0.11879,-0.22949,1.0827,0.5387,0.0094617,0.042925,-0.055093,-0.035832,0.016136,0.046368,-0.03753,-0.021783,-0.021894,-0.030795,0.13008,-0.15591,-0.024505,-0.01086,-0.0027607,0.00028107,0.00078473,-0.0022811
0.08,0.10553,-0.20424,-0.037204,-0.031665,0.29858,-2.098,-0.015246,-0.13806,0.0013279,0.043482,0.022916,-0.12699,0.061704,0.074739,-0.13629,-0.26557,1.2306,0.53188,0.0065543,0.044619,-0.061597,-0.039238,0.018134,0.048829,-0.036953,-0.021702,-0.021735,-0.030351,0.12917,-0.15281,-0.02414,-0.010483,-0.0030288,0.00016733,0.00082732,-0.0020134
0.09,0.10957,-0.20741,-0.035889,-0.022892,0.28974,-2.1239,-0.01318,-0.13911,-0.0012156,0.044368,0.023546,-0.12691,0.067299,0.075463,-0.15286,-0.29926,1.3695,0.51833,0.0032803,0.046278,-0.067579,-0.042395,0.019969,0.051147,-0.036387,-0.021655,-0.021573,-0.02984,0.12823,-0.15,-0.023802,-0.010103,-0.0032952,6.7502e-05,0.00086305,-0.0017674
