t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.15445,-0.20687,-0.12525,0.25738,1.4061,-1.8306,0.0073362,-0.12672,-0.06263,0.068062,0.030104,-0.095766,0.15446,0.20687,-0.12521,-0.25739,1.4057,1.8306,0.0073743,0.12672,-0.062618,-0.068062,0.030101,0.095763,-0.086752,-2.267e-06,-0.18947,-3.7603e-06,1.7004,-3.9193e-05,-0.17703,-2.8776e-06,-0.062351,3.8938e-07,0.0083869,-1.2597e-06
0.01,0.15778,-0.20978,-0.13135,0.27504,1.477,-1.8598,0.0036971,-0.12903,-0.065454,0.069475,0.031017,-0.095921,0.15779,0.20978,-0.13131,-0.27505,1.4767,1.8597,0.0037349,0.12903,-0.065442,-0.069475,0.031014,0.095917,-0.086265,-2.3919e-06,-0.18947,-3.7995e-06,1.6935,-4.0088e-05,-0.17687,-2.9379e-06,-0.063737,3.7795e-07,0.0084253,-1.2518e-06
0.02,0.16045,-0.21207,-0.13697,0.28972,1.5432,-1.884,-0.00012969,-0.13106,-0.068073,0.070704,0.031844,-0.096035,0.16046,0.21207,-0.13694,-0.28973,1.5428,1.8839,-9.254e-05,0.13106,-0.068061,-0.070704,0.031842,0.096031,-0.085804,-2.5181e-06,-0.1896,-3.8761e-06,1.6877,-4.0988e-05,-0.1769,-2.9923e-06,-0.064921,3.6611e-07,0.0084791,-1.2357e-06
0.03,0.16246,-0.21379,-0.14222,0.30146,1.6054,-1.9034,-0.004185,-0.13282,-0.070518,0.071757,0.032596,-0.096121,0.16246,0.21379,-0.14218,-0.30147,1.6051,1.9034,-0.0041488,0.13282,-0.070506,-0.071757,0.032593,0.096117,-0.085367,-2.644e-06,-0.18986,-3.9902e-06,1.6831,-4.1882e-05,-0.17712,-3.0402e-06,-0.065916,3.5365e-07,0.0085483,-1.212e-06
0.04,0.16381,-0.21496,-0.14715,0.3103,1.6641,-1.9183,-0.0084783,-0.13432,-0.072803,0.072636,0.033275,-0.096185,0.16382,0.21496,-0.14711,-0.31031,1.6638,1.9182,-0.0084435,0.13431,-0.072792,-0.072635,0.033272,0.096181,-0.08495,-2.7683e-06,-0.19024,-4.1416e-06,1.6797,-4.2757e-05,-0.17752,-3.0809e-06,-0.066735,3.4046e-07,0.0086328,-1.1811e-06
0.05,0.16454,-0.21561,-0.15176,0.31635,1.7191,-1.9286,-0.012969,-0.13555,-0.074918,0.07334,0.03388,-0.096228,0.16455,0.21561,-0.15173,-0.31636,1.7188,1.9285,-0.012935,0.13554,-0.074907,-0.07334,0.033877,0.096224,-0.08455,-2.8899e-06,-0.19074,-4.3278e-06,1.6772,-4.3602e-05,-0.17808,-3.114e-06,-0.06739,3.2664e-07,0.0087316,-1.1435e-06
0.06,0.16466,-0.21577,-0.15601,0.3197,1.7698,-1.9344,-0.017581,-0.13651,-0.076837,0.073866,0.034404,-0.096247,0.16466,0.21576,-0.15598,-0.31971,1.7695,1.9343,-0.01755,0.13651,-0.076827,-0.073866,0.034401,0.096243,-0.084163,-3.0077e-06,-0.19133,-4.5457e-06,1.6757,-4.4408e-05,-0.17879,-3.1389e-06,-0.067891,3.1221e-07,0.0088431,-1.0996e-06
0.07,0.16419,-0.21544,-0.15984,0.32046,1.8153,-1.9358,-0.022225,-0.13721,-0.078525,0.074209,0.034837,-0.096233,0.16419,0.21544,-0.15981,-0.32047,1.815,1.9357,-0.022195,0.1372,-0.078516,-0.074208,0.034834,0.096229,-0.083787,-3.1207e-06,-0.19202,-4.7919e-06,1.6751,-4.5164e-05,-0.17963,-3.1552e-06,-0.068247,2.9719e-07,0.008966,-1.0498e-06
0.08,0.16316,-0.21464,-0.16316,0.31879,1.8548,-1.9326,-0.026805,-0.13762,-0.079948,0.074359,0.035169,-0.096171,0.16316,0.21463,-0.16313,-0.3188,1.8546,1.9326,-0.026777,0.13761,-0.07994,-0.074358,0.035167,0.096167,-0.083417,-3.2278e-06,-0.1928,-5.0617e-06,1.6752,-4.5861e-05,-0.18058,-3.1627e-06,-0.068464,2.815e-07,0.0090981,-9.9473e-07
0.09,0.1616,-0.21336,-0.1659,0.31482,1.8876,-1.9248,-0.031225,-0.13773,-0.081074,0.074301,0.035391,-0.09604,0.1616,0.21335,-0.16588,-0.31483,1.8873,1.9247,-0.0312,0.13772,-0.081067,-0.0743,0.035389,0.096036,-0.083054,-3.3285e-06,-0.19364,-5.3497e-06,1.6759,-4.6493e-05,-0.18162,-3.161e-06,-0.068551,2.6526e-07,0.0092366,-9.3463e-07
