t, affine_elevL, affine_elevR, affine_throttle
0,-0.00041676,-0.00041634,-0.00083325
0.01,-0.0012918,-0.0012917,0.0005592
0.02,-0.0022378,-0.0022379,0.0015089
0.03,-0.0032255,-0.0032256,0.0020936
0.04,-0.0042269,-0.0042269,0.0023777
0.05,-0.0052051,-0.0052048,0.0024239
0.06,-0.006118,-0.0061174,0.0022913
0.07,-0.0069241,-0.0069233,0.0020264
0.08,-0.0075798,-0.0075787,0.0016721
0.09,-0.0080427,-0.0080413,0.0012712
0.1,-0.0082758,-0.0082742,0.00085751
0.11,-0.008251,-0.0082493,0.0004578
0.12,-0.0079472,-0.0079455,9.8585e-05
0.13,-0.0073441,-0.0073425,-0.00019853
0.14,-0.0064243,-0.0064229,-0.00042154
0.15,-0.005185,-0.0051838,-0.00055959
0.16,-0.0036559,-0.0036552,-0.00060447
0.17,-0.0019146,-0.0019142,-0.00055646
0.18,-1.1663e-05,-1.1712e-05,-0.0004233
0.19,0.0018414,0.0018409,-0.00024997
0.2,0.0034255,0.0034247,-8.0772e-05
0.21,0.004709,0.0047079,7.1953e-05
0.22,0.0057341,0.0057328,0.00020626
0.23,0.0065089,0.0065074,0.00031564
0.24,0.0070431,0.0070414,0.00039481
0.25,0.0073464,0.0073446,0.00044259
0.26,0.0074297,0.0074279,0.00045849
0.27,0.0073063,0.0073043,0.00044284
0.28,0.0069912,0.0069893,0.00040084
0.29,0.0065011,0.0064992,0.00033942
0.3,0.0058534,0.0058517,0.00026553
0.31,0.0050663,0.0050646,0.00018777
0.32,0.0041571,0.0041557,0.00011558
0.33,0.0031437,0.0031426,5.7886e-05
0.34,0.0020378,0.002037,2.3289e-05
0.35,0.00086636,0.00086601,1.6439e-05
0.36,-0.00032373,-0.00032361,4.0204e-05
0.37,-0.0013649,-0.0013643,9.0074e-05
0.38,-0.0022078,-0.002207,0.00015823
0.39,-0.0028648,-0.0028637,0.00023788
0.4,-0.0033492,-0.0033479,0.00032192
0.41,-0.0036736,-0.0036722,0.00040363
0.42,-0.0038505,-0.0038491,0.00047714
0.43,-0.0038919,-0.0038905,0.00053658
0.44,-0.003811,-0.0038096,0.00057707
0.45,-0.0036232,-0.0036219,0.00059672
0.46,-0.0033444,-0.0033432,0.00059405
0.47,-0.0029903,-0.0029893,0.00056783
0.48,-0.0025779,-0.002577,0.00051944
0.49,-0.0021241,-0.0021234,0.000452
0.5,-0.0016456,-0.0016451,0.00036873
0.51,-0.001159,-0.0011587,0.00027443
0.52,-0.00068027,-0.00068009,0.00017483
0.53,-0.00022253,-0.00022248,7.6264e-05
0.54,0.00018766,0.0001876,-1.5369e-05
0.55,0.00052575,0.00052562,-9.5499e-05
0.56,0.00079349,0.00079331,-0.00016325
0.57,0.00099676,0.00099654,-0.00021806
0.58,0.0011411,0.0011409,-0.00025973
0.59,0.001232,0.0012318,-0.00028866
0.6,0.0012748,0.0012746,-0.00030534
0.61,0.0012748,0.0012747,-0.00031027
0.62,0.0012372,0.001237,-0.00030435
0.63,0.001167,0.0011669,-0.00028876
