t, affine_elevL, affine_elevR, affine_throttle
0,-1.8121e-05,0.00052511,-1.9635e-05
0.01,-0.005429,0.011324,-0.00050244
0.02,-0.010162,0.019304,-0.00092061
0.03,-0.013955,0.024255,-0.0012526
0.04,-0.016589,0.026136,-0.0014765
0.05,-0.017878,0.025191,-0.0015761
0.06,-0.017722,0.022023,-0.0015496
0.07,-0.016088,0.017304,-0.001396
0.08,-0.013072,0.011898,-0.0011276
0.09,-0.0089394,0.0067164,-0.00076906
0.1,-0.0040067,0.0023978,-0.0003458
0.11,0.0012185,-0.00057258,0.00010883
0.12,0.0054424,-0.0029978,0.00047219
0.13,0.0083455,-0.0050687,0.00071307
0.14,0.0099879,-0.0063225,0.00084691
0.15,0.010537,-0.0068069,0.00088869
0.16,0.010184,-0.0067102,0.0008532
0.17,0.0090927,-0.0060842,0.0007556
0.18,0.007419,-0.0050056,0.00061154
0.19,0.0053545,-0.0036209,0.00043779
0.2,0.0031206,-0.0021067,0.00025248
0.21,0.00094298,-0.00064189,7.4155e-05
0.22,-0.00092666,0.00060356,-7.6891e-05
0.23,-0.0022947,0.0014896,-0.00018764
0.24,-0.0031833,0.0020396,-0.00026007
0.25,-0.0036424,0.002297,-0.00029782
0.26,-0.0037241,0.0023101,-0.00030473
0.27,-0.0034911,0.0021271,-0.00028565
0.28,-0.0030099,0.0017996,-0.00024582
0.29,-0.0023555,0.0013793,-0.00019152
0.3,-0.0016094,0.00091903,-0.00012982
0.31,-0.00085888,0.00047283,-6.8445e-05
0.32,-0.00020036,9.7086e-05,-1.6175e-05
0.33,0.00028598,-0.00017502,1.9584e-05
0.34,0.00059807,-0.00036352,3.9083e-05
0.35,0.00077306,-0.00049072,4.6672e-05
0.36,0.00084071,-0.00056981,4.5847e-05
0.37,0.00082761,-0.00061047,3.969e-05
0.38,0.00075423,-0.00061604,3.0551e-05
0.39,0.00063804,-0.00058684,2.0411e-05
0.4,0.00049187,-0.00051852,1.0715e-05
0.41,0.00032556,-0.0004036,2.5781e-06
0.42,0.000146,-0.00023131,-3.1762e-06
0.43,-3.8817e-05,7.6347e-06,-5.8473e-06
0.44,-0.00017632,0.00022786,-5.2709e-06
0.45,-0.00023118,0.00035101,-2.4282e-06
0.46,-0.00022494,0.00039014,1.087e-06
0.47,-0.00017847,0.00036208,4.0327e-06
0.48,-0.00010898,0.00028603,5.888e-06
0.49,-3.3296e-05,0.00018195,6.2461e-06
0.5,3.253e-05,7.0712e-05,4.8812e-06
0.51,7.6237e-05,-2.4351e-05,2.3323e-06
0.52,8.6439e-05,-7.912e-05,-6.6769e-07
0.53,5.1967e-05,-6.9133e-05,-3.3287e-06
0.54,-3.1526e-05,2.4708e-05,-4.4688e-06
