t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.14121,0.20543,5.0992
0.02,0.091017,0.21946,5.1187
0.03,0.040822,0.23349,5.1382
0.04,-0.0093735,0.24751,5.1578
0.05,-0.059569,0.26154,5.1773
0.06,-0.10976,0.27556,5.1968
0.07,-0.15996,0.28959,5.2163
0.08,-0.21016,0.30362,5.2358
0.09,-0.26035,0.31764,5.2553
0.1,-0.31055,0.33167,5.2749
0.11,-0.36074,0.34569,5.2944
0.12,-0.41094,0.35972,5.3139
0.13,-0.46113,0.37374,5.3334
0.14,-0.4845,0.36604,5.3398
0.15,-0.49495,0.34788,5.3398
0.16,-0.5054,0.32971,5.3398
0.17,-0.51585,0.31155,5.3398
0.18,-0.5263,0.29339,5.3398
0.19,-0.53674,0.27522,5.3398
0.2,-0.54719,0.25706,5.3398
0.21,-0.55764,0.23889,5.3398
0.22,-0.56809,0.22073,5.3398
0.23,-0.57854,0.20257,5.3398
0.24,-0.58899,0.1844,5.3398
0.25,-0.59944,0.16624,5.3398
0.26,-0.60989,0.14807,5.3398
0.27,-0.62176,0.13338,5.3398
0.28,-0.63628,0.12515,5.3398
0.29,-0.6508,0.11691,5.3398
0.3,-0.66532,0.10867,5.3398
0.31,-0.67984,0.10043,5.3398
0.32,-0.69436,0.092192,5.3398
0.33,-0.70888,0.083954,5.3398
0.34,-0.7234,0.075715,5.3398
0.35,-0.73792,0.067477,5.3398
0.36,-0.75244,0.059239,5.3398
0.37,-0.76695,0.051001,5.3398
0.38,-0.78147,0.042762,5.3398
0.39,-0.79599,0.034524,5.3398
0.4,-0.80911,0.026319,5.3398
0.41,-0.76784,0.019392,5.3398
0.42,-0.72657,0.012465,5.3398
0.43,-0.6853,0.0055378,5.3398
0.44,-0.64403,-0.0013891,5.3398
0.45,-0.60276,-0.008316,5.3398
0.46,-0.5615,-0.015243,5.3398
0.47,-0.52023,-0.02217,5.3398
0.48,-0.47896,-0.029097,5.3398
0.49,-0.43769,-0.036024,5.3398
0.5,-0.39642,-0.042951,5.3398
0.51,-0.35515,-0.049878,5.3398
0.52,-0.31388,-0.056805,5.3398
0.53,-0.27261,-0.063732,5.3398
0.54,-0.21044,-0.087511,5.3398
0.55,-0.13932,-0.11851,5.3398
0.56,-0.068202,-0.14951,5.3398
0.57,0.0029171,-0.18051,5.3398
0.58,0.074036,-0.21151,5.3398
0.59,0.14516,-0.24251,5.3398
0.6,0.21627,-0.27351,5.3398
0.61,0.28739,-0.30451,5.3398
0.62,0.35851,-0.33551,5.3398
0.63,0.42963,-0.36651,5.3398
0.64,0.50075,-0.39751,5.3398
0.65,0.57187,-0.42851,5.3398
0.66,0.64299,-0.45951,5.3398
0.67,0.69211,-0.46972,5.3398
0.68,0.7046,-0.44529,5.3398
0.69,0.71708,-0.42086,5.3398
0.7,0.72957,-0.39644,5.3398
0.71,0.74205,-0.37201,5.3398
0.72,0.75453,-0.34759,5.3398
0.73,0.76702,-0.32316,5.3398
0.74,0.7795,-0.29874,5.3398
0.75,0.79199,-0.27431,5.3398
0.76,0.80447,-0.24989,5.3398
0.77,0.81695,-0.22546,5.3398
0.78,0.82944,-0.20104,5.3398
0.79,0.84192,-0.17661,5.3398
0.8,0.85379,-0.15009,5.3398
0.81,0.85388,-0.08384,5.3398
0.82,0.85397,-0.017591,5.3398
0.83,0.85406,0.048659,5.3398
0.84,0.85415,0.11491,5.3398
0.85,0.85424,0.18116,5.3398
0.86,0.85433,0.24741,5.3398
0.87,0.85443,0.31366,5.3398
0.88,0.85452,0.37991,5.3398
0.89,0.85461,0.44616,5.3398
0.9,0.8547,0.51241,5.3398
0.91,0.85479,0.57866,5.3398
0.92,0.85488,0.64491,5.3398
0.93,0.85497,0.71116,5.3398
0.94,0.80666,0.70963,5.0492
0.95,0.74001,0.68241,4.6484
0.96,0.67335,0.6552,4.2477
0.97,0.6067,0.62798,3.847
0.98,0.54004,0.60077,3.4462
0.99,0.47338,0.57355,3.0455
1,0.40673,0.54633,2.6448
1.01,0.34007,0.51912,2.244
1.02,0.27341,0.4919,1.8433
1.03,0.20676,0.46469,1.4426
1.04,0.1401,0.43747,1.0418
1.05,0.073445,0.41025,0.64111
1.06,0.006789,0.38304,0.24037
1.07,-0.0065206,0.38138,0.1532
1.08,0.060136,0.41802,0.53606
1.09,0.12679,0.45467,0.91892
1.1,0.19345,0.49131,1.3018
1.11,0.2601,0.52795,1.6846
1.12,0.32676,0.5646,2.0675
1.13,0.39342,0.60124,2.4503
1.14,0.46007,0.63789,2.8332
1.15,0.52673,0.67453,3.2161
1.16,0.59339,0.71118,3.5989
1.17,0.66004,0.74782,3.9818
1.18,0.7267,0.78447,4.3646
1.19,0.79336,0.82111,4.7475
1.2,0.85126,0.85126,5.1014
1.21,0.80146,0.80146,5.0998
1.22,0.75165,0.75165,5.0981
1.23,0.70185,0.70185,5.0965
1.24,0.65205,0.65205,5.0949
1.25,0.60225,0.60225,5.0932
1.26,0.55245,0.55245,5.0916
1.27,0.50265,0.50265,5.0899
1.28,0.45285,0.45285,5.0883
1.29,0.40305,0.40305,5.0867
1.3,0.35325,0.35325,5.085
1.31,0.30345,0.30345,5.0834
1.32,0.25365,0.25365,5.0817
1.33,0.20385,0.20385,5.0801
