t, affine_elevL, affine_elevR, affine_throttle
0,-0.00053981,0.00047478,-2.3937e-05
0.01,0.00063147,-0.00081413,-2.6718e-05
0.02,0.0013618,-0.0018263,-2.6056e-05
0.03,0.0017369,-0.002577,-2.383e-05
0.04,0.0018389,-0.0030896,-2.1261e-05
0.05,0.0017435,-0.0033893,-1.9159e-05
0.06,0.0015191,-0.0035016,-1.8092e-05
0.07,0.0012253,-0.003444,-1.8206e-05
0.08,0.00091161,-0.0032328,-1.9601e-05
0.09,0.0006159,-0.0028823,-2.2343e-05
0.1,0.00036131,-0.0023942,-2.6381e-05
0.11,0.00016424,-0.0017675,-3.1712e-05
0.12,3.592e-05,-0.0010065,-3.8351e-05
0.13,-2.9512e-05,-0.00011723,-4.6402e-05
0.14,-6.1716e-05,0.00081134,-5.4961e-05
0.15,-8.0014e-05,0.0015353,-6.1476e-05
0.16,-8.4678e-05,0.0020438,-6.6046e-05
0.17,-7.823e-05,0.0023567,-6.9025e-05
0.18,-6.6604e-05,0.0024982,-7.0665e-05
0.19,-5.5085e-05,0.0024934,-7.1188e-05
0.2,-4.5284e-05,0.0023655,-7.0686e-05
0.21,-3.7323e-05,0.0021374,-6.9225e-05
0.22,-3.0568e-05,0.0018322,-6.6856e-05
0.23,-2.4119e-05,0.0014751,-6.3603e-05
0.24,-1.7239e-05,0.001092,-5.9509e-05
0.25,-8.8029e-06,0.00070884,-5.4622e-05
0.26,2.0418e-06,0.00035078,-4.9034e-05
0.27,1.6213e-05,5.0797e-05,-4.2975e-05
0.28,3.6244e-05,-0.00010769,-3.746e-05
0.29,5.5078e-05,-0.00014415,-3.2876e-05
0.3,6.7665e-05,-9.6516e-05,-2.9339e-05
0.31,7.2252e-05,5.0853e-06,-2.6892e-05
0.32,6.7426e-05,0.00013062,-2.5575e-05
0.33,5.4566e-05,0.00025727,-2.5362e-05
0.34,3.7145e-05,0.0003699,-2.6167e-05
0.35,1.8234e-05,0.00045369,-2.79e-05
0.36,-7.5519e-09,0.00050079,-3.0451e-05
0.37,-1.4992e-05,0.00050677,-3.372e-05
0.38,-2.3141e-05,0.00046805,-3.7613e-05
0.39,-2.3031e-05,0.00038713,-4.2117e-05
0.4,-1.6595e-05,0.00026839,-4.7256e-05
0.41,-4.0161e-07,0.00012518,-5.2592e-05
0.42,3.6659e-05,-3.4621e-05,-5.7131e-05
0.43,9.424e-05,-0.0002135,-6.0122e-05
0.44,0.00015325,-0.00041004,-6.0957e-05
0.45,0.00019886,-0.00061519,-5.9729e-05
0.46,0.00022257,-0.00081332,-5.6736e-05
0.47,0.00021843,-0.00098805,-5.2275e-05
0.48,0.00019029,-0.0011165,-4.6877e-05
0.49,0.00014309,-0.0011688,-4.1504e-05
0.5,8.3971e-05,-0.0011164,-3.7163e-05
0.51,1.4366e-05,-0.00093117,-3.5114e-05
0.52,-9.0183e-05,-0.00058768,-3.7177e-05
0.53,-0.00027617,-6.1479e-05,-4.5679e-05
0.54,-0.00052868,0.00057648,-5.91e-05
0.55,-0.0007606,0.001196,-7.2851e-05
0.56,-0.00094261,0.0017517,-8.5365e-05
0.57,-0.0010811,0.0022193,-9.623e-05
0.58,-0.0011845,0.0025714,-0.00010496
0.59,-0.0012517,0.0027808,-0.00011101
0.6,-0.0012765,0.0028259,-0.00011384
0.61,-0.0012474,0.0027002,-0.00011304
0.62,-0.0011546,0.0024167,-0.00010841
0.63,-0.00099633,0.0019911,-9.9803e-05
0.64,-0.0007727,0.0014465,-8.7514e-05
0.65,-0.00049772,0.00082027,-7.2089e-05
0.66,-0.00021602,0.00016772,-5.4108e-05
0.67,-4.9041e-05,-0.00045956,-3.493e-05
0.68,5.1398e-05,-0.00097317,-1.9963e-05
0.69,0.00014666,-0.0013136,-1.0206e-05
0.7,0.00023478,-0.0014905,-4.5651e-06
0.71,0.00031183,-0.0015166,-2.273e-06
0.72,0.00037271,-0.0014122,-2.5831e-06
0.73,0.00041191,-0.0012068,-4.818e-06
0.74,0.00042378,-0.00093707,-8.3201e-06
0.75,0.00040259,-0.00064526,-1.2432e-05
0.76,0.00034492,-0.0003783,-1.6503e-05
0.77,0.00024676,-0.00018531,-1.9887e-05
0.78,0.00010344,-0.0001163,-2.1976e-05
0.79,-8.468e-05,-0.00022585,-2.2183e-05
0.8,-0.00032581,-0.00054895,-2.0221e-05
0.81,-0.00067987,-0.0010074,-1.6575e-05
0.82,-0.0011668,-0.0014568,-1.1209e-05
0.83,-0.0017193,-0.0018377,-3.4218e-06
0.84,-0.0022803,-0.002116,6.4992e-06
0.85,-0.002797,-0.0022782,1.7975e-05
0.86,-0.0032127,-0.0023214,2.9833e-05
0.87,-0.0034653,-0.0022487,4.0637e-05
0.88,-0.003508,-0.002075,4.892e-05
0.89,-0.0033211,-0.0018285,5.3327e-05
0.9,-0.0028892,-0.001538,5.2787e-05
0.91,-0.0022112,-0.0012288,4.6728e-05
0.92,-0.0013343,-0.00093806,3.4922e-05
0.93,-0.00030517,-0.00071877,1.7589e-05
0.94,0.00091367,-0.00063136,-3.7069e-06
0.95,0.0023581,-0.0006725,-2.5991e-05
0.96,0.0038175,-0.00074084,-4.7278e-05
0.97,0.0050284,-0.00081005,-6.6156e-05
0.98,0.0058709,-0.00087086,-8.1472e-05
0.99,0.0062993,-0.00090797,-9.2272e-05
1,0.0063006,-0.00091646,-9.7851e-05
1.01,0.0058984,-0.00089719,-9.7525e-05
1.02,0.0051687,-0.00086134,-9.0786e-05
1.03,0.0042154,-0.00082517,-7.7261e-05
1.04,0.0031208,-0.00080911,-5.6772e-05
1.05,0.0019482,-0.00083775,-2.9598e-05
1.06,0.00083218,-0.00093845,3.7592e-06
1.07,-0.00014561,-0.0011317,4.1703e-05
1.08,-0.0012494,-0.0013495,7.886e-05
1.09,-0.0024906,-0.0015747,0.00011338
1.1,-0.0037411,-0.0018042,0.00014441
1.11,-0.0049063,-0.002025,0.00017101
1.12,-0.005853,-0.0022179,0.00019213
1.13,-0.00645,-0.0023568,0.0002067
