t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.34826,0.063699,5.1426
0.02,0.5051,-0.06401,5.2056
0.03,0.66195,-0.19172,5.2685
0.04,0.8188,-0.31943,5.3314
0.05,0.81101,-0.3042,5.3398
0.06,0.77815,-0.2672,5.3398
0.07,0.74528,-0.2302,5.3398
0.08,0.71242,-0.1932,5.3398
0.09,0.69421,-0.15809,5.3398
0.1,0.68128,-0.12365,5.3398
0.11,0.66834,-0.089212,5.3398
0.12,0.65541,-0.054775,5.3398
0.13,0.64021,-0.016169,5.3398
0.14,0.62353,0.025176,5.3398
0.15,0.60686,0.066522,5.3398
0.16,0.59018,0.10787,5.3398
0.17,0.57382,0.14494,5.3398
0.18,0.55782,0.1772,5.3398
0.19,0.54182,0.20947,5.3398
0.2,0.52581,0.24174,5.3398
0.21,0.51044,0.27047,5.3398
0.22,0.49629,0.29232,5.3398
0.23,0.48213,0.31417,5.3398
0.24,0.46798,0.33602,5.3398
0.25,0.45454,0.35645,5.3398
0.26,0.44387,0.37143,5.3398
0.27,0.4332,0.38641,5.3398
0.28,0.42253,0.40139,5.3398
0.29,0.41218,0.41602,5.3398
0.3,0.40588,0.42639,5.3398
0.31,0.39957,0.43676,5.3398
0.32,0.39327,0.44713,5.3398
0.33,0.38696,0.4575,5.3398
0.34,0.38454,0.46467,5.3398
0.35,0.38235,0.47166,5.3398
0.36,0.38017,0.47864,5.3398
0.37,0.37798,0.48562,5.3398
0.38,0.37831,0.49061,5.3398
0.39,0.37922,0.49513,5.3398
0.4,0.38013,0.49964,5.3398
0.41,0.38105,0.50416,5.3398
0.42,0.38326,0.50756,5.3398
0.43,0.38608,0.51043,5.3398
0.44,0.38891,0.5133,5.3398
0.45,0.39173,0.51617,5.3398
0.46,0.39505,0.51854,5.3398
0.47,0.39878,0.5205,5.3398
0.48,0.40252,0.52246,5.3398
0.49,0.40625,0.52442,5.3398
0.5,0.41006,0.52626,5.3398
0.51,0.41399,0.52795,5.3398
0.52,0.41792,0.52963,5.3398
0.53,0.42184,0.53132,5.3398
0.54,0.42569,0.53307,5.3398
0.55,0.42933,0.53498,5.3398
0.56,0.43297,0.5369,5.3398
0.57,0.43661,0.53881,5.3398
0.58,0.44016,0.54082,5.3398
0.59,0.44318,0.54332,5.3398
0.6,0.4462,0.54583,5.3398
0.61,0.44922,0.54833,5.3398
0.62,0.45222,0.55085,5.3398
0.63,0.45436,0.55415,5.3398
0.64,0.45649,0.55745,5.3398
0.65,0.45863,0.56075,5.3398
0.66,0.46076,0.56406,5.3398
0.67,0.46191,0.56811,5.3398
0.68,0.46292,0.57225,5.3398
0.69,0.46393,0.5764,5.3398
0.7,0.46494,0.58055,5.3398
0.71,0.46492,0.58524,5.3398
0.72,0.46456,0.59012,5.3398
0.73,0.4642,0.595,5.3398
0.74,0.46384,0.59987,5.3398
0.75,0.46245,0.60502,5.3398
0.76,0.46043,0.61034,5.3398
0.77,0.45841,0.61566,5.3398
0.78,0.4564,0.62098,5.3398
0.79,0.4534,0.62628,5.3398
0.8,0.44938,0.63156,5.3398
0.81,0.44536,0.63685,5.3398
0.82,0.44135,0.64213,5.3398
0.83,0.43646,0.64717,5.3398
0.84,0.43002,0.65176,5.3398
0.85,0.42358,0.65635,5.3398
0.86,0.41714,0.66093,5.3398
0.87,0.41004,0.66516,5.3398
0.88,0.40069,0.66816,5.3398
0.89,0.39134,0.67115,5.3398
0.9,0.382,0.67414,5.3398
0.91,0.37234,0.67687,5.3398
0.92,0.3597,0.677,5.3398
0.93,0.34706,0.67713,5.3398
0.94,0.33441,0.67726,5.3398
0.95,0.32177,0.67739,5.3398
0.96,0.30614,0.67283,5.3398
0.97,0.29039,0.66808,5.3398
0.98,0.27463,0.66332,5.3398
0.99,0.25888,0.65857,5.3398
1,0.24189,0.64655,5.3398
1.01,0.22465,0.633,5.3398
1.02,0.20741,0.61946,5.3398
1.03,0.19017,0.60592,5.3398
1.04,0.17466,0.58005,5.3398
1.05,0.15991,0.54877,5.3398
1.06,0.14515,0.51748,5.3398
1.07,0.1304,0.4862,5.3398
1.08,0.1215,0.44021,5.3398
1.09,0.11717,0.38277,5.3398
1.1,0.11284,0.32533,5.3398
1.11,0.10851,0.2679,5.3398
1.12,0.11613,0.20946,5.3398
1.13,0.13959,0.14971,5.3398
1.14,0.16304,0.089954,5.3398
1.15,0.1865,0.0302,5.3398
1.16,0.22887,-0.019096,5.3398
1.17,0.3158,-0.043764,5.3398
1.18,0.40272,-0.068432,5.3398
1.19,0.48965,-0.093099,5.3398
1.2,0.54728,-0.10143,5.3293
1.21,0.45756,-0.027601,5.2664
1.22,0.36784,0.04623,5.2034
1.23,0.27811,0.12006,5.1405
