t, affine_elevL, affine_elevR, affine_throttle
0,0.00013327,-8.5658e-05,1.5193e-06
0.01,-0.004136,0.0031898,-4.1838e-05
0.02,-0.0058636,0.0035469,-5.9012e-05
0.03,-0.0040692,0.0019617,-4.3627e-05
0.04,-0.00041319,0.00014953,-5.3952e-06
0.05,0.0019173,-0.00077521,2.0965e-05
0.06,0.0025758,-0.0012438,2.016e-05
0.07,0.0017537,-0.00091194,9.6826e-06
0.08,0.00036802,-0.00020118,1.1692e-06
0.09,-0.00069619,0.00041174,-1.0831e-06
0.1,-0.0009499,0.0006102,2.1109e-07
0.11,-0.00068311,0.00047818,1.2567e-06
0.12,-0.00019672,0.00015098,6.0005e-07
0.13,0.00021791,-0.00018352,-1.0748e-06
0.14,0.00036264,-0.00032926,-2.0973e-06
0.15,0.0002946,-0.00028906,-2.0575e-06
0.16,0.00010595,-0.00011136,-9.053e-07
0.17,-7.3491e-05,8.2279e-05,5.6914e-07
0.18,-0.00011285,0.00011459,7.81e-07
0.19,-5.8431e-05,4.0762e-05,1.1113e-07
0.2,2.8261e-06,-2.3572e-05,-4.25e-07
0.21,-1.2138e-05,2.4624e-05,2.0338e-07
0.22,-9.6559e-06,3.4854e-05,3.0626e-07
0.23,2.1271e-05,-7.0727e-06,-2.1751e-07
0.24,3.5536e-05,-3.5536e-05,-5.5846e-07
0.25,-1.3825e-05,1.5341e-05,1.2204e-07
0.26,-3.1776e-05,3.883e-05,4.7224e-07
0.27,-6.4836e-07,7.0028e-06,6.737e-08
0.28,2.6504e-05,-2.3957e-05,-3.6564e-07
0.29,-2.6144e-06,2.3626e-06,-4.9205e-08
0.3,-2.5547e-05,2.6322e-05,2.7928e-07
0.31,-9.4359e-07,3.2145e-06,-6.0537e-09
0.32,2.3689e-05,-2.1571e-05,-3.3126e-07
0.33,4.5673e-06,-4.6039e-06,-1.3531e-07
0.34,-2.3585e-05,2.209e-05,1.8345e-07
0.35,-8.7311e-06,7.771e-06,4.8268e-09
0.36,1.3189e-05,-1.3315e-05,-2.368e-07
0.37,7.9937e-06,-8.1462e-06,-1.6929e-07
0.38,-1.5346e-05,1.4268e-05,6.3869e-08
0.39,-9.3407e-06,7.9415e-06,-1.6733e-08
0.4,5.5657e-06,-6.7454e-06,-1.6549e-07
0.41,7.4133e-06,-8.0425e-06,-1.5862e-07
0.42,-8.0954e-06,7.6191e-06,-1.1884e-08
0.43,-7.3512e-06,6.4555e-06,-3.7059e-08
0.44,6.4655e-07,-1.894e-06,-1.1705e-07
0.45,4.1201e-06,-5.0628e-06,-1.2396e-07
0.46,-2.6199e-06,2.2209e-06,-6.5098e-08
0.47,-3.8494e-06,3.2234e-06,-7.5488e-08
0.48,-1.159e-06,2.1269e-07,-9.8006e-08
0.49,1.2504e-06,-2.1854e-06,-9.7727e-08
0.5,2.3233e-07,-8.5592e-07,-8.4323e-08
0.51,-1.0092e-06,4.6495e-07,-8.0533e-08
0.52,-1.2592e-06,6.5645e-07,-7.7361e-08
0.53,-5.7024e-07,-1.6547e-07,-7.7888e-08
0.54,9.2131e-07,-1.7964e-06,-8.4875e-08
0.55,3.7033e-07,-1.2101e-06,-8.7469e-08
0.56,-1.479e-06,8.177e-07,-8.0288e-08
0.57,-2.0779e-06,1.472e-06,-7.2731e-08
0.58,4.8632e-07,-1.4954e-06,-7.949e-08
0.59,1.2207e-06,-2.4128e-06,-8.3762e-08
0.6,-1.0846e-06,2.2162e-07,-7.5576e-08
0.61,-2.5854e-06,1.9826e-06,-6.8564e-08
0.62,-2.9296e-07,-7.5617e-07,-7.3839e-08
0.63,1.1896e-06,-2.6287e-06,-7.7013e-08
0.64,-9.5463e-07,-1.5035e-07,-6.9887e-08
0.65,-2.9802e-06,2.2742e-06,-6.4105e-08
0.66,-1.2759e-06,2.6982e-07,-6.8675e-08
0.67,9.8187e-07,-2.6035e-06,-7.1217e-08
0.68,-7.8608e-07,-6.6508e-07,-6.3141e-08
0.69,-2.9168e-06,1.8941e-06,-5.7836e-08
0.7,-1.9196e-06,8.4834e-07,-6.3657e-08
0.71,4.9361e-07,-2.1188e-06,-6.8125e-08
0.72,-7.5968e-07,-9.5572e-07,-5.6702e-08
0.73,-2.8213e-06,1.3569e-06,-4.692e-08
0.74,-2.4764e-06,1.1955e-06,-5.4767e-08
0.75,-1.7521e-07,-1.3043e-06,-6.8884e-08
0.76,-8.8575e-07,-9.6331e-07,-5.222e-08
0.77,-2.7449e-06,7.3095e-07,-3.0104e-08
0.78,-2.7805e-06,1.1073e-06,-3.9873e-08
0.79,-8.4685e-07,-4.0203e-07,-7.3194e-08
0.8,-1.0919e-06,-7.318e-07,-5.2561e-08
0.81,-2.6761e-06,3.2001e-08,-6.6814e-09
0.82,-3.2586e-06,6.8815e-07,-1.2481e-09
0.83,-1.387e-06,3.2691e-07,-7.812e-08
0.84,-1.0671e-06,-3.9911e-07,-6.8113e-08
0.85,-2.3676e-06,-8.0924e-07,1.4208e-08
0.86,-3.0947e-06,-5.3737e-07,4.4274e-08
0.87,-1.4349e-06,7.4899e-07,-9.5352e-08
0.88,-8.0951e-07,8.0192e-08,-1.0373e-07
0.89,-1.7564e-06,-1.7796e-06,2.8902e-08
0.9,-2.5879e-06,-2.3714e-06,1.0522e-07
0.91,-1.5958e-06,4.9493e-07,-7.5424e-08
0.92,-5.4124e-07,7.4699e-07,-1.5044e-07
0.93,-9.8145e-07,-3.0056e-06,4.4923e-08
0.94,-1.7679e-06,-5.1938e-06,1.9659e-07
0.95,-1.4457e-06,-6.595e-07,-2.5731e-08
0.96,2.1671e-07,1.3177e-06,-2.1365e-07
0.97,1.2781e-06,-5.802e-06,6.0212e-08
0.98,1.1227e-06,-1.1309e-05,3.2905e-07
0.99,-4.0717e-07,-4.4334e-06,1.0057e-07
1,-8.8785e-07,4.2167e-06,-2.7487e-07
1.01,1.3731e-06,-8.9155e-06,1.8666e-07
1.02,2.9865e-06,-2.2673e-05,7.0199e-07
1.03,1.3849e-06,-1.3482e-05,3.8717e-07
1.04,9.4947e-07,8.5211e-06,-5.032e-07
1.05,1.241e-05,-2.5793e-05,3.8385e-07
1.06,2.2445e-05,-6.8632e-05,1.6155e-06
1.07,1.468e-05,-5.0987e-05,1.2214e-06
1.08,-1.7312e-05,5.9616e-05,-1.6917e-06
1.09,-3.1941e-05,9.837e-05,-2.6253e-06
1.1,-2.7938e-05,6.9539e-05,-1.793e-06
1.11,-1.0925e-05,1.4777e-05,-3.9473e-07
1.12,2.6967e-05,-1.1541e-05,-4.3739e-07
1.13,0.00017657,-2.687e-05,-3.2742e-06
1.14,0.00034412,-4.5185e-05,-5.68e-06
1.15,0.00031254,-4.3541e-05,-4.4554e-06
1.16,-0.0002014,3.4972e-05,2.0772e-06
1.17,-0.00092942,0.00029256,4.9174e-06
1.18,-0.0013822,0.0005573,3.5708e-06
1.19,-0.0011059,0.00052585,1.3671e-06
1.2,0.0003052,-0.00016789,-4.2126e-07
1.21,0.0016641,-0.0009689,-5.1704e-06
1.22,0.0018248,-0.0012825,-9.6822e-06
1.23,0.00081308,-0.0010501,-8.8999e-06
