t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.063699,0.34826,5.1426
0.02,-0.06401,0.5051,5.2056
0.03,-0.19172,0.66195,5.2685
0.04,-0.31943,0.8188,5.3314
0.05,-0.3042,0.81101,5.3398
0.06,-0.2672,0.77815,5.3398
0.07,-0.2302,0.74528,5.3398
0.08,-0.1932,0.71242,5.3398
0.09,-0.15809,0.69421,5.3398
0.1,-0.12365,0.68128,5.3398
0.11,-0.089212,0.66834,5.3398
0.12,-0.054775,0.65541,5.3398
0.13,-0.016169,0.64021,5.3398
0.14,0.025176,0.62353,5.3398
0.15,0.066522,0.60686,5.3398
0.16,0.10787,0.59018,5.3398
0.17,0.14494,0.57382,5.3398
0.18,0.1772,0.55782,5.3398
0.19,0.20947,0.54182,5.3398
0.2,0.24174,0.52581,5.3398
0.21,0.27047,0.51044,5.3398
0.22,0.29232,0.49629,5.3398
0.23,0.31417,0.48213,5.3398
0.24,0.33602,0.46798,5.3398
0.25,0.35645,0.45454,5.3398
0.26,0.37143,0.44387,5.3398
0.27,0.38641,0.4332,5.3398
0.28,0.40139,0.42253,5.3398
0.29,0.41602,0.41218,5.3398
0.3,0.42639,0.40588,5.3398
0.31,0.43676,0.39957,5.3398
0.32,0.44713,0.39327,5.3398
0.33,0.4575,0.38696,5.3398
0.34,0.46467,0.38454,5.3398
0.35,0.47166,0.38235,5.3398
0.36,0.47864,0.38017,5.3398
0.37,0.48562,0.37798,5.3398
0.38,0.49061,0.37831,5.3398
0.39,0.49513,0.37922,5.3398
0.4,0.49964,0.38013,5.3398
0.41,0.50416,0.38105,5.3398
0.42,0.50756,0.38326,5.3398
0.43,0.51043,0.38608,5.3398
0.44,0.5133,0.38891,5.3398
0.45,0.51617,0.39173,5.3398
0.46,0.51854,0.39505,5.3398
0.47,0.5205,0.39878,5.3398
0.48,0.52246,0.40252,5.3398
0.49,0.52442,0.40625,5.3398
0.5,0.52626,0.41006,5.3398
0.51,0.52795,0.41399,5.3398
0.52,0.52963,0.41792,5.3398
0.53,0.53132,0.42184,5.3398
0.54,0.53307,0.42569,5.3398
0.55,0.53498,0.42933,5.3398
0.56,0.5369,0.43297,5.3398
0.57,0.53881,0.43661,5.3398
0.58,0.54082,0.44016,5.3398
0.59,0.54332,0.44318,5.3398
0.6,0.54583,0.4462,5.3398
0.61,0.54833,0.44922,5.3398
0.62,0.55085,0.45222,5.3398
0.63,0.55415,0.45436,5.3398
0.64,0.55745,0.45649,5.3398
0.65,0.56075,0.45863,5.3398
0.66,0.56406,0.46076,5.3398
0.67,0.56811,0.46191,5.3398
0.68,0.57225,0.46292,5.3398
0.69,0.5764,0.46393,5.3398
0.7,0.58055,0.46494,5.3398
0.71,0.58524,0.46492,5.3398
0.72,0.59012,0.46456,5.3398
0.73,0.595,0.4642,5.3398
0.74,0.59987,0.46384,5.3398
0.75,0.60502,0.46245,5.3398
0.76,0.61034,0.46043,5.3398
0.77,0.61566,0.45841,5.3398
0.78,0.62098,0.4564,5.3398
0.79,0.62628,0.4534,5.3398
0.8,0.63156,0.44938,5.3398
0.81,0.63685,0.44536,5.3398
0.82,0.64213,0.44135,5.3398
0.83,0.64717,0.43646,5.3398
0.84,0.65176,0.43002,5.3398
0.85,0.65635,0.42358,5.3398
0.86,0.66093,0.41714,5.3398
0.87,0.66516,0.41004,5.3398
0.88,0.66816,0.40069,5.3398
0.89,0.67115,0.39134,5.3398
0.9,0.67414,0.382,5.3398
0.91,0.67687,0.37234,5.3398
0.92,0.677,0.3597,5.3398
0.93,0.67713,0.34706,5.3398
0.94,0.67726,0.33441,5.3398
0.95,0.67739,0.32177,5.3398
0.96,0.67283,0.30614,5.3398
0.97,0.66808,0.29039,5.3398
0.98,0.66332,0.27463,5.3398
0.99,0.65857,0.25888,5.3398
1,0.64655,0.24189,5.3398
1.01,0.633,0.22465,5.3398
1.02,0.61946,0.20741,5.3398
1.03,0.60592,0.19017,5.3398
1.04,0.58005,0.17466,5.3398
1.05,0.54877,0.15991,5.3398
1.06,0.51748,0.14515,5.3398
1.07,0.4862,0.1304,5.3398
1.08,0.44021,0.1215,5.3398
1.09,0.38277,0.11717,5.3398
1.1,0.32533,0.11284,5.3398
1.11,0.2679,0.10851,5.3398
1.12,0.20946,0.11613,5.3398
1.13,0.14971,0.13959,5.3398
1.14,0.089954,0.16304,5.3398
1.15,0.0302,0.1865,5.3398
1.16,-0.019096,0.22887,5.3398
1.17,-0.043764,0.3158,5.3398
1.18,-0.068432,0.40272,5.3398
1.19,-0.093099,0.48965,5.3398
1.2,-0.10143,0.54728,5.3293
1.21,-0.027601,0.45756,5.2664
1.22,0.04623,0.36784,5.2034
1.23,0.12006,0.27811,5.1405
