t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.1204,-3.04e-05,-0.022763,-0.0018034,-0.18952,0.00052011,11.401,0.00087322,-4.4611,0.10303,0.12336,-0.033392
0.02,0.24074,-3.1588e-05,-0.044603,-0.00055702,-0.18742,0.00012655,11.422,-3.2918e-05,-4.3436,0.26598,0.2076,-0.086506
0.03,0.36103,-2.0048e-05,-0.065567,0.0036212,-0.18514,-0.0011587,11.443,-0.0022861,-4.2307,0.47521,0.25858,-0.15528
0.04,0.48127,-1.2265e-05,-0.085703,0.010613,-0.18271,-0.0033136,11.464,-0.005454,-4.1226,0.71709,0.28215,-0.23566
0.05,0.60148,-2.4723e-05,-0.10506,0.020301,-0.18018,-0.0063162,11.485,-0.0091044,-4.0196,0.97801,0.28416,-0.32358
0.06,0.72167,-7.3907e-05,-0.12368,0.032566,-0.17757,-0.010144,11.505,-0.012805,-3.9216,1.2443,0.27049,-0.41497
0.07,0.84183,-0.0001763,-0.14162,0.047291,-0.17493,-0.014776,11.525,-0.016123,-3.829,1.5024,0.24697,-0.50578
0.08,0.96199,-0.00034839,-0.15892,0.064358,-0.17229,-0.02019,11.545,-0.018627,-3.7418,1.7387,0.21947,-0.59195
0.09,1.0822,-0.00060756,-0.17564,0.083636,-0.16968,-0.026362,11.563,-0.019899,-3.6603,1.9407,0.19324,-0.66978
0.1,1.2023,-0.00097947,-0.1918,0.10489,-0.16713,-0.033247,11.58,-0.019663,-3.5848,2.1069,0.16806,-0.73902
0.11,1.3225,-0.0014942,-0.20746,0.12782,-0.16465,-0.040795,11.596,-0.017715,-3.516,2.2419,0.14078,-0.8012
0.12,1.4427,-0.0021819,-0.22265,0.15212,-0.16225,-0.04895,11.611,-0.013856,-3.4544,2.35,0.1082,-0.85791
0.13,1.5629,-0.0030727,-0.2374,0.17752,-0.15995,-0.057662,11.623,-0.0078882,-3.4007,2.4356,0.067341,-0.91065
0.14,1.6832,-0.0041969,-0.25176,0.20373,-0.15777,-0.0669,11.635,0.00028288,-3.3551,2.5003,0.018214,-0.95992
0.15,1.8034,-0.0055851,-0.26575,0.23054,-0.15573,-0.07665,11.644,0.010679,-3.3178,2.5436,-0.036901,-1.0055
0.16,1.9237,-0.0072679,-0.27942,0.2577,-0.15387,-0.086898,11.651,0.023318,-3.289,2.565,-0.095661,-1.047
0.17,2.044,-0.0092758,-0.29278,0.28499,-0.15221,-0.097632,11.656,0.038218,-3.2688,2.5642,-0.15574,-1.0842
0.18,2.1643,-0.01164,-0.30588,0.3122,-0.15074,-0.10883,11.659,0.055343,-3.2569,2.5421,-0.21527,-1.1171
0.19,2.2847,-0.014393,-0.31872,0.33916,-0.14944,-0.12046,11.66,0.074602,-3.2526,2.5015,-0.27288,-1.1459
0.2,2.405,-0.017567,-0.33133,0.3657,-0.14826,-0.1325,11.659,0.0959,-3.2549,2.4452,-0.3272,-1.1707
0.21,2.5254,-0.021194,-0.34373,0.39165,-0.14716,-0.14492,11.656,0.11914,-3.2631,2.3761,-0.3769,-1.1919
0.22,2.6457,-0.025307,-0.35593,0.41688,-0.1461,-0.15767,11.651,0.14421,-3.2763,2.2964,-0.42112,-1.2095
0.23,2.7661,-0.029937,-0.36793,0.4413,-0.14505,-0.17071,11.645,0.17097,-3.2936,2.2079,-0.45979,-1.2235
