t, affine_elevL, affine_elevR, affine_throttle
0,-6.8008e-05,9.5079e-05,9.07e-07
0.01,0.0025972,-0.0033368,-2.8375e-05
0.02,0.0029113,-0.0047105,-3.9501e-05
0.03,0.0016159,-0.0032383,-2.8125e-05
0.04,0.0001303,-0.00034439,-3.4611e-06
0.05,-0.00065622,0.0015381,1.213e-05
0.06,-0.00099745,0.0020002,1.0522e-05
0.07,-0.00075475,0.0013831,4.2223e-06
0.08,-0.00016684,0.00028719,3.1847e-07
0.09,0.00034721,-0.00055609,2.6436e-07
0.1,0.00051212,-0.00075531,1.6111e-06
0.11,0.00039895,-0.00054471,1.9615e-06
0.12,0.00012386,-0.00015675,7.4424e-07
0.13,-0.00015202,0.00017642,-1.1373e-06
0.14,-0.00026745,0.00029214,-2.1244e-06
0.15,-0.00023205,0.00023805,-1.9886e-06
0.16,-9.3454e-05,8.8993e-05,-8.7966e-07
0.17,6.6171e-05,-6.1423e-05,5.8336e-07
0.18,9.2154e-05,-9.1747e-05,8.342e-07
0.19,3.5669e-05,-4.6031e-05,2.631e-07
0.2,-1.4138e-05,2.4965e-06,-2.318e-07
0.21,1.9946e-05,-1.2689e-05,1.9596e-07
0.22,2.6123e-05,-1.1668e-05,2.5547e-07
0.23,-5.1245e-06,1.3538e-05,-1.4289e-07
0.24,-2.5077e-05,2.5585e-05,-3.8577e-07
0.25,1.36e-05,-1.2693e-05,1.4311e-07
0.26,3.0573e-05,-2.6953e-05,3.8562e-07
0.27,6.745e-06,-2.9803e-06,7.4377e-08
0.28,-1.5976e-05,1.7803e-05,-2.4294e-07
0.29,3.5646e-06,-3.4614e-06,7.0573e-09
0.3,1.9958e-05,-1.9434e-05,2.3164e-07
0.31,2.8479e-06,-1.3928e-06,1.1071e-08
0.32,-1.5133e-05,1.658e-05,-2.2661e-07
0.33,-2.5409e-06,2.7683e-06,-7.2858e-08
0.34,1.6981e-05,-1.7572e-05,1.6735e-07
0.35,6.911e-06,-7.2179e-06,4.2369e-08
0.36,-8.2995e-06,8.4704e-06,-1.4075e-07
0.37,-4.6424e-06,4.8148e-06,-9.4516e-08
0.38,1.1311e-05,-1.1529e-05,8.0813e-08
0.39,6.9499e-06,-7.3498e-06,2.5372e-08
0.4,-3.3215e-06,2.9638e-06,-8.669e-08
0.41,-4.1524e-06,4.0943e-06,-8.5118e-08
0.42,5.9475e-06,-5.8225e-06,7.8875e-09
0.43,5.2318e-06,-5.3273e-06,-7.3196e-09
0.44,1.2689e-07,-3.7867e-07,-4.8044e-08
0.45,-2.2027e-06,2.0499e-06,-6.3135e-08
0.46,2.2598e-06,-2.0641e-06,-2.9723e-08
0.47,2.9213e-06,-2.8167e-06,-3.4491e-08
0.48,1.0133e-06,-1.0994e-06,-4.9528e-08
0.49,-4.8834e-07,3.8939e-07,-5.2351e-08
0.5,3.7884e-07,-2.8087e-07,-4.5165e-08
0.51,1.2468e-06,-1.1086e-06,-4.6206e-08
0.52,1.4389e-06,-1.3301e-06,-4.6947e-08
0.53,9.1708e-07,-8.4593e-07,-4.5616e-08
0.54,-2.7317e-07,2.6556e-07,-4.9544e-08
0.55,8.8e-08,-5.03e-08,-5.1062e-08
0.56,1.3194e-06,-1.1378e-06,-4.7266e-08
0.57,1.7382e-06,-1.5109e-06,-4.4413e-08
0.58,-1.3083e-07,9.44e-08,-4.9789e-08
0.59,-5.4976e-07,4.3745e-07,-5.245e-08
0.6,1.0012e-06,-8.7293e-07,-4.8821e-08
0.61,2.0943e-06,-1.7913e-06,-4.5791e-08
0.62,4.4175e-07,-4.159e-07,-4.9644e-08
0.63,-7.1792e-07,4.9816e-07,-5.2131e-08
0.64,7.6485e-07,-7.4943e-07,-4.9232e-08
0.65,2.1691e-06,-1.8754e-06,-4.7609e-08
0.66,1.0893e-06,-9.6451e-07,-5.054e-08
0.67,-5.9812e-07,3.51e-07,-5.2321e-08
0.68,5.1216e-07,-6.0516e-07,-4.9798e-08
0.69,1.9668e-06,-1.7582e-06,-4.9064e-08
0.7,1.5836e-06,-1.3927e-06,-5.188e-08
0.71,-2.901e-07,1.0923e-07,-5.4558e-08
0.72,3.9042e-07,-5.7167e-07,-5.0088e-08
0.73,1.7335e-06,-1.7117e-06,-4.6978e-08
0.74,1.7406e-06,-1.5974e-06,-5.1714e-08
0.75,1.3048e-07,-1.5793e-07,-5.9792e-08
0.76,3.3645e-07,-5.2785e-07,-5.2473e-08
0.77,1.3178e-06,-1.5306e-06,-4.3057e-08
0.78,1.5865e-06,-1.6154e-06,-4.8227e-08
0.79,6.2395e-07,-4.4173e-07,-6.7393e-08
0.8,4.4418e-07,-5.4474e-07,-5.7833e-08
0.81,8.9526e-07,-1.3737e-06,-3.6053e-08
0.82,1.2602e-06,-1.6513e-06,-3.5742e-08
0.83,1.0225e-06,-6.2701e-07,-7.6769e-08
0.84,6.3418e-07,-5.049e-07,-6.9336e-08
0.85,4.3092e-07,-1.1563e-06,-2.8178e-08
0.86,5.8986e-07,-1.5225e-06,-1.4253e-08
0.87,1.2367e-06,-6.864e-07,-8.4782e-08
0.88,8.6933e-07,-3.2725e-07,-8.9703e-08
0.89,-1.3441e-07,-7.7002e-07,-2.2671e-08
0.9,-4.3569e-07,-1.1762e-06,1.5529e-08
0.91,1.1201e-06,-6.7164e-07,-8.0378e-08
0.92,1.2035e-06,-1.1534e-07,-1.1728e-07
0.93,-8.1764e-07,-2.7756e-07,-1.6127e-08
0.94,-1.9797e-06,-6.4216e-07,6.1506e-08
0.95,5.8417e-07,-4.8741e-07,-6.2422e-08
0.96,1.6134e-06,3.7427e-07,-1.5864e-07
0.97,-2.281e-06,1.0715e-06,-1.6419e-08
0.98,-5.2222e-06,1.0603e-06,1.24e-07
0.99,-1.279e-06,1.6485e-07,-4.8775e-09
1,3.0814e-06,-1.3118e-07,-1.8864e-07
1.01,-4.0531e-06,1.2457e-06,5.4704e-08
1.02,-1.1066e-05,2.1812e-06,3.1212e-07
1.03,-6.1469e-06,1.2791e-06,1.4696e-07
1.04,4.3833e-06,1.1359e-06,-2.7801e-07
1.05,-1.4723e-05,7.7949e-06,2.0759e-07
1.06,-3.7292e-05,1.3441e-05,8.4047e-07
1.07,-2.7263e-05,9.0452e-06,6.1734e-07
1.08,3.3483e-05,-9.5855e-06,-9.4329e-07
1.09,5.4716e-05,-1.7977e-05,-1.4418e-06
1.1,3.9058e-05,-1.5478e-05,-9.9917e-07
1.11,9.2329e-06,-5.5779e-06,-2.5786e-07
1.12,-5.388e-06,1.4215e-05,-2.4744e-07
1.13,-1.7352e-05,9.5486e-05,-1.6402e-06
1.14,-2.9367e-05,0.00018418,-2.8353e-06
1.15,-2.7388e-05,0.000168,-2.2172e-06
1.16,2.2707e-05,-0.00011045,9.9292e-07
1.17,0.00016673,-0.00050264,2.2745e-06
1.18,0.00030852,-0.00074509,1.5345e-06
1.19,0.00028628,-0.00059437,5.2223e-07
1.2,-8.9888e-05,0.00016239,-1.8263e-07
1.21,-0.00051325,0.00087925,-2.5257e-06
1.22,-0.00066898,0.00095011,-4.8202e-06
1.23,-0.00053855,0.00041448,-4.4447e-06
