t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.036921,-0.076124,-0.090307,0.25649,0.94394,-0.69363,0.022944,-0.048974,-0.051596,0.053924,0.015795,-0.074933,0.058753,0.097597,-0.008192,-0.053317,0.060697,1.1586,-0.014113,0.079921,0.011732,-0.040957,0.0089553,0.099055,-0.0079127,0.0044212,-0.0042078,0.0049797,0.023632,0.034864,-0.0052476,0.0025126,-0.00016193,-0.00043162,4.4587e-06,0.0010649
0.01,0.031149,-0.06454,-0.080067,0.23149,0.82711,-0.58345,0.019315,-0.041346,-0.045806,0.047255,0.013069,-0.064125,0.063327,0.10636,-0.0061713,-0.065968,0.041752,1.2544,-0.016019,0.085993,0.015507,-0.045489,0.010166,0.10683,-0.0077813,0.0044702,-0.0041206,0.0048833,0.022918,0.034967,-0.005173,0.0025194,-0.00013835,-0.0004377,2.4327e-05,0.0010704
0.02,0.023642,-0.050667,-0.064556,0.19078,0.65976,-0.45638,0.014251,-0.032511,-0.03694,0.038036,0.0097606,-0.050774,0.061078,0.1039,-0.0029989,-0.073781,0.014578,1.2166,-0.015117,0.08294,0.017225,-0.045312,0.010197,0.1032,-0.0076521,0.0044673,-0.0040687,0.0048797,0.022597,0.034524,-0.0050781,0.0024854,-0.00015024,-0.00041208,4.6485e-05,0.001021
0.03,0.015537,-0.035507,-0.045597,0.13819,0.46169,-0.32002,0.0088343,-0.02295,-0.026072,0.027033,0.006341,-0.035824,0.052051,0.089747,0.00029079,-0.07289,-0.01196,1.0426,-0.011693,0.070757,0.015999,-0.039807,0.008889,0.088129,-0.0075283,0.004414,-0.0040528,0.0049837,0.022652,0.033553,-0.0049682,0.0024114,-0.00019769,-0.00035378,6.8631e-05,0.00091943
0.04,0.0072913,-0.019681,-0.024122,0.075914,0.2429,-0.17957,0.0040296,-0.012947,-0.013897,0.01479,0.003009,-0.019882,0.036827,0.06467,0.0028223,-0.060536,-0.030998,0.74481,-0.0069154,0.05038,0.011939,-0.029125,0.0062949,0.062827,-0.0074103,0.0043228,-0.0040674,0.0051829,0.023009,0.03219,-0.0048538,0.0023059,-0.00027401,-0.0002695,8.9058e-05,0.00077941
0.05,0.0085082,-0.02062,-0.027718,0.087158,0.27587,-0.18442,0.0032627,-0.013555,-0.015431,0.016135,0.0033396,-0.021095,0.035733,0.062237,0.0036021,-0.062384,-0.036061,0.71314,-0.0050103,0.048079,0.010815,-0.027965,0.006205,0.059697,-0.0072957,0.0042233,-0.0040949,0.0054144,0.023477,0.030747,-0.0047484,0.00219,-0.00036214,-0.00017891,0.00010678,0.00063159
0.06,0.011727,-0.024567,-0.036977,0.11533,0.36388,-0.21389,0.0026742,-0.016189,-0.019838,0.020289,0.0043836,-0.025631,0.038715,0.066385,0.0042716,-0.069665,-0.0405,0.75763,-0.0036823,0.050926,0.010518,-0.029691,0.0068427,0.062817,-0.0071839,0.0041387,-0.0041178,0.0056148,0.023881,0.029455,-0.0046579,0.0020793,-0.00044727,-9.826e-05,0.00012127,0.00049894
0.07,0.014219,-0.026864,-0.044283,0.13746,0.43181,-0.22851,0.0015265,-0.017928,-0.023052,0.023286,0.0051439,-0.028649,0.040837,0.069074,0.005081,-0.075986,-0.046221,0.78499,-0.002188,0.052647,0.0098984,-0.030852,0.0072937,0.064491,-0.0070745,0.0040675,-0.0041365,0.0057846,0.024227,0.028298,-0.0045802,0.0019724,-0.00052877,-2.6395e-05,0.00013312,0.00037979
0.08,0.016514,-0.028657,-0.051178,0.15807,0.49515,-0.2385,8.1972e-05,-0.019535,-0.025933,0.026017,0.0058336,-0.03132,0.043077,0.071907,0.0060182,-0.082688,-0.053197,0.81372,-0.00066175,0.05449,0.0091999,-0.032145,0.0077339,0.066247,-0.0069674,0.0040079,-0.0041513,0.0059246,0.024523,0.027258,-0.004513,0.001868,-0.00060628,3.786e-05,0.00014282,0.00027236
0.09,0.018424,-0.029841,-0.05713,0.1755,0.54903,-0.24341,-0.0015587,-0.020945,-0.028235,0.028282,0.0064008,-0.03348,0.044099,0.07279,0.0070446,-0.087639,-0.061148,0.81999,0.00089441,0.054875,0.0082408,-0.032663,0.0079062,0.066202,-0.0068624,0.0039574,-0.0041625,0.0060357,0.024773,0.026309,-0.0044543,0.0017647,-0.00067963,9.5764e-05,0.0001507,0.00017458
