t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.11982,3.5189e-08,-0.020404,3.2158e-07,-0.18335,-2.0554e-07,11.428,1.5284e-07,-4.4387,-4.6482e-06,-0.13885,3.4747e-07
0.02,0.23973,6.2336e-08,-0.040476,5.6659e-07,-0.17664,-3.7207e-07,11.467,2.9272e-07,-4.3089,-8.9935e-06,-0.26504,8.1065e-07
0.03,0.3597,8.2256e-08,-0.060205,7.3835e-07,-0.17124,-5.0095e-07,11.501,4.1891e-07,-4.1934,-1.3043e-05,-0.37906,1.3818e-06
0.04,0.47973,9.5764e-08,-0.079581,8.4015e-07,-0.16709,-5.9351e-07,11.529,5.3068e-07,-4.0913,-1.6803e-05,-0.48136,2.0531e-06
0.05,0.59981,1.0367e-07,-0.098594,8.753e-07,-0.16413,-6.511e-07,11.551,6.2731e-07,-4.0022,-2.028e-05,-0.57243,2.8169e-06
0.06,0.71993,1.068e-07,-0.11723,8.471e-07,-0.16231,-6.7507e-07,11.568,7.0808e-07,-3.9254,-2.3481e-05,-0.65274,3.6654e-06
0.07,0.84008,1.0595e-07,-0.13549,7.5887e-07,-0.16157,-6.6676e-07,11.58,7.7226e-07,-3.8603,-2.6413e-05,-0.72275,4.5909e-06
0.08,0.96025,1.0195e-07,-0.15335,6.1389e-07,-0.16185,-6.2752e-07,11.587,8.1912e-07,-3.8063,-2.9083e-05,-0.78295,5.5857e-06
0.09,1.0804,9.5614e-08,-0.17081,4.1547e-07,-0.16309,-5.5869e-07,11.589,8.4795e-07,-3.7627,-3.1497e-05,-0.8338,6.6419e-06
0.1,1.2006,8.7748e-08,-0.18785,1.6692e-07,-0.16525,-4.6161e-07,11.587,8.5802e-07,-3.729,-3.3662e-05,-0.87577,7.7519e-06
0.11,1.3208,7.917e-08,-0.20447,-1.2845e-07,-0.16827,-3.3764e-07,11.581,8.486e-07,-3.7045,-3.5585e-05,-0.90934,8.9079e-06
0.12,1.4409,7.0694e-08,-0.22065,-4.6735e-07,-0.17208,-1.8811e-07,11.571,8.1897e-07,-3.6885,-3.7272e-05,-0.93498,1.0102e-05
0.13,1.561,6.3136e-08,-0.23639,-8.4648e-07,-0.17664,-1.4371e-08,11.557,7.6841e-07,-3.6806,-3.873e-05,-0.95316,1.1327e-05
0.14,1.6811,5.7309e-08,-0.25167,-1.2625e-06,-0.18188,1.8223e-07,11.54,6.9619e-07,-3.6801,-3.9967e-05,-0.96436,1.2575e-05
0.15,1.8011,5.4027e-08,-0.26648,-1.7122e-06,-0.18776,4.0035e-07,11.52,6.0159e-07,-3.6863,-4.0988e-05,-0.96904,1.3837e-05
0.16,1.921,5.4106e-08,-0.28082,-2.1921e-06,-0.19421,6.3865e-07,11.497,4.8387e-07,-3.6986,-4.18e-05,-0.96768,1.5107e-05
0.17,2.0409,5.836e-08,-0.29468,-2.6991e-06,-0.20118,8.9577e-07,11.471,3.4233e-07,-3.7164,-4.2411e-05,-0.96075,1.6376e-05
0.18,2.1607,6.7602e-08,-0.30803,-3.2298e-06,-0.20862,1.1704e-06,11.443,1.7623e-07,-3.7392,-4.2827e-05,-0.94873,1.7638e-05
0.19,2.2804,8.2648e-08,-0.32088,-3.7809e-06,-0.21646,1.4611e-06,11.413,-1.5152e-08,-3.7662,-4.3054e-05,-0.93208,1.8883e-05
0.2,2.4,1.0431e-07,-0.33321,-4.3491e-06,-0.22465,1.7667e-06,11.382,-2.3254e-07,-3.7969,-4.31e-05,-0.91127,2.0105e-05
0.21,2.5194,1.3341e-07,-0.34502,-4.931e-06,-0.23314,2.0857e-06,11.348,-4.7665e-07,-3.8307,-4.297e-05,-0.88679,2.1295e-05
0.22,2.6388,1.7075e-07,-0.35628,-5.5235e-06,-0.24187,2.4167e-06,11.313,-7.4822e-07,-3.8668,-4.2673e-05,-0.85909,2.2446e-05
0.23,2.758,2.1716e-07,-0.367,-6.1231e-06,-0.25078,2.7586e-06,11.277,-1.048e-06,-3.9048,-4.2214e-05,-0.82867,2.355e-05
0.24,2.8771,2.7344e-07,-0.37716,-6.7267e-06,-0.25982,3.1099e-06,11.241,-1.3766e-06,-3.944,-4.16e-05,-0.79597,2.4599e-05
0.25,2.996,3.4041e-07,-0.38675,-7.3308e-06,-0.26893,3.4692e-06,11.203,-1.7349e-06,-3.9837,-4.0839e-05,-0.76149,2.5587e-05
0.26,3.1147,4.1888e-07,-0.39576,-7.9321e-06,-0.27806,3.8353e-06,11.165,-2.1235e-06,-4.0235,-3.9936e-05,-0.72568,2.6503e-05
0.27,3.2333,5.0967e-07,-0.40419,-8.5275e-06,-0.28714,4.2067e-06,11.128,-2.5432e-06,-4.0625,-3.8899e-05,-0.68903,2.7343e-05
0.28,3.3517,6.136e-07,-0.41201,-9.1135e-06,-0.29613,4.5822e-06,11.09,-2.9947e-06,-4.1003,-3.7734e-05,-0.65201,2.8096e-05
0.29,3.4699,7.3147e-07,-0.41923,-9.6869e-06,-0.30497,4.9603e-06,11.052,-3.4788e-06,-4.1362,-3.6448e-05,-0.61508,2.8756e-05
0.3,3.5879,8.6411e-07,-0.42582,-1.0244e-05,-0.31359,5.3398e-06,11.016,-3.996e-06,-4.1696,-3.5047e-05,-0.57872,2.9315e-05
0.31,3.7057,1.0123e-06,-0.43178,-1.0783e-05,-0.32195,5.7194e-06,10.98,-4.5473e-06,-4.1998,-3.354e-05,-0.5434,2.9765e-05
0.32,3.8232,1.1769e-06,-0.43711,-1.1298e-05,-0.32999,6.0975e-06,10.945,-5.1332e-06,-4.2263,-3.1931e-05,-0.50959,3.0098e-05
0.33,3.9405,1.3587e-06,-0.44178,-1.1788e-05,-0.33766,6.473e-06,10.912,-5.7546e-06,-4.2485,-3.0228e-05,-0.47777,3.0308e-05
0.34,4.0576,1.5586e-06,-0.44579,-1.2249e-05,-0.34489,6.8444e-06,10.88,-6.4121e-06,-4.2657,-2.8438e-05,-0.44841,3.0385e-05
0.35,4.1744,1.7772e-06,-0.44913,-1.2677e-05,-0.35163,7.2105e-06,10.851,-7.1065e-06,-4.2772,-2.6567e-05,-0.42198,3.0322e-05
0.36,4.2909,2.0155e-06,-0.45179,-1.3069e-05,-0.35783,7.5698e-06,10.823,-7.8384e-06,-4.2826,-2.4622e-05,-0.39895,3.0112e-05
0.37,4.4072,2.274e-06,-0.45377,-1.3425e-05,-0.36347,7.9216e-06,10.798,-8.605e-06,-4.2816,-2.2615e-05,-0.37947,2.9755e-05
0.38,4.5232,2.5526e-06,-0.45508,-1.3746e-05,-0.36859,8.2658e-06,10.774,-9.3988e-06,-4.2748,-2.0559e-05,-0.36332,2.9264e-05
0.39,4.6389,2.8515e-06,-0.45573,-1.4033e-05,-0.37323,8.6022e-06,10.753,-1.0212e-05,-4.2627,-1.8472e-05,-0.35023,2.865e-05
0.4,4.7544,3.1707e-06,-0.45576,-1.429e-05,-0.37743,8.9307e-06,10.733,-1.1037e-05,-4.2459,-1.637e-05,-0.33995,2.7927e-05
0.41,4.8696,3.5103e-06,-0.45515,-1.4517e-05,-0.38124,9.2513e-06,10.715,-1.1866e-05,-4.2248,-1.4268e-05,-0.3322,2.7107e-05
0.42,4.9845,3.8703e-06,-0.45395,-1.4717e-05,-0.3847,9.5639e-06,10.698,-1.2691e-05,-4.2,-1.2182e-05,-0.32674,2.6203e-05
0.43,5.0992,4.2507e-06,-0.45214,-1.4891e-05,-0.38785,9.8684e-06,10.683,-1.3505e-05,-4.1721,-1.0129e-05,-0.32329,2.5227e-05
0.44,5.2136,4.6517e-06,-0.44977,-1.5042e-05,-0.39072,1.0165e-05,10.668,-1.43e-05,-4.1415,-8.1241e-06,-0.3216,2.4192e-05
0.45,5.3278,5.0732e-06,-0.44683,-1.5172e-05,-0.39337,1.0453e-05,10.654,-1.5067e-05,-4.1089,-6.1835e-06,-0.3214,2.311e-05
0.46,5.4417,5.5153e-06,-0.44334,-1.5282e-05,-0.39584,1.0732e-05,10.641,-1.58e-05,-4.0748,-4.3233e-06,-0.32244,2.1995e-05
0.47,5.5554,5.9781e-06,-0.43932,-1.5375e-05,-0.39816,1.1004e-05,10.629,-1.649e-05,-4.0396,-2.5594e-06,-0.32445,2.0858e-05
0.48,5.6688,6.4615e-06,-0.43478,-1.5452e-05,-0.40039,1.1266e-05,10.616,-1.713e-05,-4.004,-9.0783e-07,-0.32716,1.9713e-05
0.49,5.7819,6.9657e-06,-0.42973,-1.5516e-05,-0.40255,1.152e-05,10.604,-1.7712e-05,-3.9685,6.1547e-07,-0.33033,1.8571e-05
0.5,5.8948,7.4907e-06,-0.4242,-1.5567e-05,-0.4047,1.1766e-05,10.592,-1.8228e-05,-3.9336,1.9945e-06,-0.33368,1.7446e-05
