t, affine_elevL, affine_elevR, affine_throttle
0,2.6729e-05,2.6722e-05,-3.3323e-06
0.01,0.001354,0.001354,-0.00022376
0.02,0.0020873,0.0020873,-0.00034842
0.03,0.0023162,0.0023162,-0.00039095
0.04,0.0021399,0.00214,-0.00036667
0.05,0.0016674,0.0016674,-0.00029188
0.06,0.0010133,0.0010133,-0.00018256
0.07,0.00028575,0.00028574,-5.2475e-05
0.08,-0.00038615,-0.00038612,7.2923e-05
0.09,-0.0007858,-0.00078575,0.00015286
0.1,-0.00096797,-0.00096791,0.00018792
0.11,-0.00095142,-0.00095136,0.00018414
0.12,-0.00076983,-0.00076978,0.00014984
0.13,-0.00049154,-0.0004915,9.67e-05
0.14,-0.0001962,-0.00019618,3.8334e-05
0.15,5.5373e-05,5.5365e-05,-1.1268e-05
0.16,0.00022008,0.00022005,-4.2775e-05
0.17,0.00029639,0.00029634,-5.6106e-05
0.18,0.00030666,0.0003066,-5.6209e-05
0.19,0.0002698,0.00026974,-4.6955e-05
0.2,0.00020047,0.00020042,-3.2251e-05
0.21,0.00011144,0.00011141,-1.6077e-05
0.22,1.5592e-05,1.5587e-05,-2.4808e-06
0.23,-6.1557e-05,-6.1535e-05,5.2169e-06
0.24,-9.9723e-05,-9.9678e-05,7.9003e-06
0.25,-0.00010625,-0.00010619,7.7338e-06
0.26,-9.0173e-05,-9.0104e-05,6.1085e-06
0.27,-6.0992e-05,-6.0925e-05,3.9301e-06
0.28,-2.8702e-05,-2.865e-05,1.898e-06
0.29,-4.2865e-06,-4.2652e-06,1.5898e-08
0.3,6.2597e-06,6.2384e-06,-1.8883e-06
0.31,1.1973e-05,1.1916e-05,-3.5484e-06
0.32,1.6049e-05,1.5969e-05,-4.4746e-06
0.33,1.8372e-05,1.8281e-05,-4.5505e-06
0.34,1.8523e-05,1.8434e-05,-3.9669e-06
0.35,1.6061e-05,1.5988e-05,-2.9189e-06
0.36,1.0474e-05,1.0432e-05,-1.6504e-06
0.37,9.2983e-07,9.3401e-07,-7.2757e-07
0.38,-6.1733e-06,-6.1277e-06,-3.6288e-07
0.39,-7.8326e-06,-7.7632e-06,-2.9037e-07
0.4,-5.8343e-06,-5.7566e-06,-3.3931e-07
0.41,-1.9706e-06,-1.8979e-06,-4.1537e-07
0.42,1.9599e-06,2.0173e-06,-4.8181e-07
0.43,4.0998e-06,4.1341e-06,-5.6189e-07
0.44,2.6421e-06,2.6491e-06,-7.1267e-07
0.45,-4.6327e-07,-4.8518e-07,-9.0915e-07
0.46,-5.0663e-07,-5.569e-07,-1.0014e-06
0.47,1.7518e-06,1.6773e-06,-9.8442e-07
0.48,4.8692e-06,4.7788e-06,-8.9058e-07
0.49,7.4503e-06,7.3569e-06,-7.6876e-07
0.5,8.0948e-06,8.0159e-06,-6.7247e-07
0.51,5.4121e-06,5.3713e-06,-6.6894e-07
0.52,-7.9633e-07,-7.7431e-07,-7.9052e-07
0.53,-3.4092e-06,-3.33e-06,-8.1809e-07
0.54,-1.8627e-06,-1.7429e-06,-7.2347e-07
0.55,1.8885e-06,2.0307e-06,-5.6381e-07
0.56,5.9794e-06,6.1234e-06,-4.107e-07
0.57,8.5137e-06,8.6364e-06,-3.3741e-07
0.58,7.549e-06,7.6246e-06,-4.1729e-07
0.59,1.1863e-06,1.186e-06,-7.3071e-07
0.6,-4.6449e-06,-4.7236e-06,-1.0832e-06
0.61,-4.5263e-06,-4.6579e-06,-1.2403e-06
0.62,-7.3778e-07,-8.9717e-07,-1.2374e-06
0.63,4.4217e-06,4.259e-06,-1.1272e-06
0.64,8.5976e-06,8.4554e-06,-9.623e-07
0.65,9.3947e-06,9.2959e-06,-7.993e-07
0.66,4.1152e-06,4.0822e-06,-7.292e-07
0.67,-4.3206e-06,-4.2761e-06,-6.5265e-07
0.68,-4.2931e-06,-4.1858e-06,-2.0812e-07
0.69,2.1995e-06,2.3496e-06,4.5329e-07
0.7,1.1244e-05,1.1414e-05,1.1027e-06
0.71,1.8868e-05,1.9033e-05,1.5028e-06
0.72,2.1082e-05,2.1215e-05,1.4045e-06
0.73,1.3078e-05,1.3145e-05,5.0851e-07
0.74,-4.5771e-06,-4.6017e-06,-1.2642e-06
0.75,-1.7054e-05,-1.7151e-05,-3.2819e-06
0.76,-1.7675e-05,-1.7805e-05,-4.9712e-06
0.77,-1.0728e-05,-1.0859e-05,-6.0821e-06
0.78,-6.8411e-07,-7.9215e-07,-6.4186e-06
0.79,7.8965e-06,7.8241e-06,-5.7874e-06
0.8,1.0438e-05,1.0404e-05,-4.0539e-06
0.81,1.3623e-06,1.3591e-06,-1.1216e-06
0.82,-3.3521e-07,-3.2145e-07,3.6472e-06
0.83,2.2841e-05,2.2861e-05,1.0025e-05
0.84,5.775e-05,5.7769e-05,1.6329e-05
0.85,8.9853e-05,8.9865e-05,2.0853e-05
0.86,0.00010579,0.0001058,2.1942e-05
0.87,9.3757e-05,9.3754e-05,1.7996e-05
0.88,4.2757e-05,4.2753e-05,7.4488e-06
0.89,-5.0255e-05,-5.0254e-05,-1.238e-05
0.9,-0.00014947,-0.00014949,-4.4303e-05
0.91,-0.00022677,-0.00022681,-8.0118e-05
0.92,-0.00026595,-0.00026603,-0.00010977
0.93,-0.00026026,-0.00026037,-0.00012408
0.94,-0.00020597,-0.00020607,-0.00011398
0.95,-0.00010916,-0.00010923,-7.0974e-05
0.96,1.4927e-05,1.494e-05,1.232e-05
0.97,0.00010299,0.0001031,9.5923e-05
0.98,0.00013401,0.00013418,0.00015307
0.99,0.00012456,0.00012476,0.00018304
1,9.1091e-05,9.1298e-05,0.00018547
1.01,4.9348e-05,4.9527e-05,0.00015998
1.02,1.3248e-05,1.3368e-05,0.00010561
1.03,-4.4496e-06,-4.4221e-06,2.2483e-05
1.04,3.4253e-06,3.3499e-06,-6.5115e-05
1.05,2.4157e-05,2.4015e-05,-0.0001133
1.06,4.1208e-05,4.1034e-05,-0.00012733
1.07,4.7388e-05,4.7214e-05,-0.00011621
1.08,4.1349e-05,4.12e-05,-8.8654e-05
1.09,2.3906e-05,2.3804e-05,-5.3281e-05
1.1,3.5697e-06,3.5278e-06,-1.8209e-05
1.11,-1.1054e-05,-1.1029e-05,8.7787e-06
1.12,-2.8456e-05,-2.838e-05,2.466e-05
1.13,-4.6873e-05,-4.6767e-05,3.129e-05
1.14,-6.0245e-05,-6.013e-05,3.0927e-05
1.15,-6.4934e-05,-6.4826e-05,2.5634e-05
1.16,-5.8189e-05,-5.8105e-05,1.7442e-05
1.17,-3.8686e-05,-3.8639e-05,8.2358e-06
1.18,-5.9551e-06,-5.9564e-06,-1.9107e-07
1.19,1.8142e-05,1.81e-05,-5.8019e-06
1.2,2.3442e-05,2.3377e-05,-8.2998e-06
1.21,1.6026e-05,1.5954e-05,-8.4153e-06
1.22,2.4573e-06,2.3906e-06,-6.9044e-06
1.23,-1.0943e-05,-1.0995e-05,-4.5391e-06
1.24,-1.8217e-05,-1.8249e-05,-2.092e-06
1.25,-1.3617e-05,-1.3627e-05,-3.6028e-07
1.26,2.664e-07,2.7957e-07,2.8953e-07
1.27,3.6705e-06,3.7033e-06,7.7884e-07
1.28,-1.3643e-06,-1.3172e-06,1.2347e-06
1.29,-1.0318e-05,-1.0264e-05,1.5845e-06
1.3,-1.8931e-05,-1.8878e-05,1.7283e-06
1.31,-2.3208e-05,-2.3165e-05,1.5652e-06
1.32,-1.9417e-05,-1.9395e-05,9.457e-07
1.33,-5.2767e-06,-5.2861e-06,-2.4845e-07
1.34,3.6178e-06,3.5799e-06,-1.0355e-06
1.35,3.3535e-06,3.296e-06,-1.1351e-06
1.36,-2.364e-06,-2.4316e-06,-7.7955e-07
1.37,-9.9824e-06,-1.005e-05,-2.1032e-07
1.38,-1.6139e-05,-1.6196e-05,3.3099e-07
1.39,-1.7663e-05,-1.77e-05,5.9479e-07
1.4,-1.1268e-05,-1.1273e-05,2.7967e-07
1.41,-3.0071e-06,-2.9808e-06,-2.3861e-07
1.42,-1.3838e-06,-1.3389e-06,-3.2536e-07
1.43,-4.2597e-06,-4.2072e-06,-1.0239e-07
1.44,-9.2012e-06,-9.1501e-06,2.6739e-07
1.45,-1.3894e-05,-1.3851e-05,6.2052e-07
1.46,-1.6148e-05,-1.612e-05,7.9338e-07
1.47,-1.393e-05,-1.3921e-05,6.1334e-07
1.48,-7.3866e-06,-7.3973e-06,7.2221e-08
1.49,-4.4616e-06,-4.4875e-06,-1.6858e-07
1.5,-5.2746e-06,-5.3096e-06,-8.8613e-08
1.51,-8.1364e-06,-8.1748e-06,1.7539e-07
1.52,-1.1401e-05,-1.1437e-05,4.8298e-07
1.53,-1.3265e-05,-1.3293e-05,6.7004e-07
1.54,-1.3114e-05,-1.3129e-05,6.731e-07
1.55,-1.0602e-05,-1.0601e-05,4.5067e-07
1.56,-7.677e-06,-7.6612e-06,1.8492e-07
1.57,-7.2825e-06,-7.2579e-06,1.6604e-07
1.58,-8.4807e-06,-8.4526e-06,3.0724e-07
1.59,-1.0333e-05,-1.0306e-05,5.1668e-07
1.6,-1.1954e-05,-1.1933e-05,7.032e-07
1.61,-1.2587e-05,-1.2574e-05,7.8544e-07
1.62,-1.1339e-05,-1.1338e-05,6.5984e-07
1.63,-9.3758e-06,-9.386e-06,4.5567e-07
1.64,-8.6562e-06,-8.6746e-06,3.9874e-07
1.65,-8.8592e-06,-8.882e-06,4.4993e-07
1.66,-9.5343e-06,-9.5581e-06,5.5558e-07
1.67,-1.0291e-05,-1.0312e-05,6.6851e-07
1.68,-1.067e-05,-1.0685e-05,7.2976e-07
1.69,-1.0392e-05,-1.0399e-05,7.023e-07
1.7,-9.7387e-06,-9.7354e-06,6.2359e-07
1.71,-9.0076e-06,-8.9968e-06,5.3507e-07
1.72,-8.449e-06,-8.434e-06,4.6797e-07
1.73,-8.0951e-06,-8.0788e-06,4.2776e-07
1.74,-7.9573e-06,-7.9423e-06,4.1814e-07
1.75,-8.0951e-06,-8.0837e-06,4.5408e-07
1.76,-8.54e-06,-8.534e-06,5.4985e-07
1.77,-9.3061e-06,-9.3064e-06,7.1714e-07
1.78,-1.0178e-05,-1.0183e-05,9.2417e-07
1.79,-1.0713e-05,-1.0721e-05,1.0834e-06
1.8,-1.0909e-05,-1.0917e-05,1.1799e-06
1.81,-1.0774e-05,-1.0781e-05,1.2014e-06
1.82,-1.0344e-05,-1.0349e-05,1.1443e-06
1.83,-9.6804e-06,-9.6831e-06,1.0135e-06
1.84,-8.9258e-06,-8.9266e-06,8.303e-07
1.85,-7.4586e-06,-7.4581e-06,4.6706e-07
1.86,-4.5683e-06,-4.5671e-06,-2.1389e-07
1.87,-1.0888e-06,-1.0873e-06,-1.024e-06
1.88,1.838e-06,1.8394e-06,-1.6989e-06
1.89,3.267e-06,3.268e-06,-2.0202e-06
1.9,2.3392e-06,2.3398e-06,-1.7757e-06
1.91,-1.7544e-06,-1.7542e-06,-7.5313e-07
1.92,-9.7945e-06,-9.7946e-06,1.2578e-06
1.93,-1.9425e-05,-1.9425e-05,3.7294e-06
1.94,-2.7632e-05,-2.7631e-05,5.9098e-06
1.95,-3.3336e-05,-3.3333e-05,7.4755e-06
1.96,-3.5583e-05,-3.558e-05,8.1251e-06
1.97,-3.3479e-05,-3.3475e-05,7.5681e-06
1.98,-2.534e-05,-2.5337e-05,5.3707e-06
1.99,-9.3355e-06,-9.335e-06,1.0876e-06
2,2.0724e-05,2.072e-05,-6.3811e-06
2.01,6.839e-05,6.8382e-05,-1.7062e-05
2.02,0.00012183,0.00012182,-2.8031e-05
2.03,0.00016705,0.00016703,-3.6275e-05
2.04,0.0001861,0.00018608,-3.8716e-05
2.05,0.00015996,0.00015994,-3.2253e-05
2.06,6.9378e-05,6.9372e-05,-1.3779e-05
2.07,-9.579e-05,-9.5782e-05,1.7769e-05
2.08,-0.00027178,-0.00027176,5.125e-05
2.09,-0.00041389,-0.00041386,8.0339e-05
2.1,-0.00048739,-0.00048735,0.00010019
2.11,-0.00047475,-0.00047472,0.00010595
2.12,-0.00037353,-0.0003735,9.2677e-05
2.13,-0.00019579,-0.00019577,5.5505e-05
2.14,2.9438e-05,2.9436e-05,-9.7964e-06
2.15,0.00025033,0.00025031,-7.0202e-05
2.16,0.00037322,0.00037318,-0.0001065
2.17,0.00031269,0.00031264,-0.00012104
2.18,2.4684e-05,2.4626e-05,-0.00011652
2.19,-0.00045469,-0.00045474,-9.5837e-05
2.2,-0.00083834,-0.00083838,-6.15e-05
2.21,-0.0003699,-0.00036991,-1.3608e-05
