t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12034,1.0376e-09,-0.023183,2.6011e-08,-0.19129,-1.3281e-08,11.404,1.2629e-08,-4.4721,-5.7688e-07,0.24285,5.1932e-07
0.02,0.24064,1.439e-09,-0.045128,2.4355e-08,-0.18875,-1.4314e-08,11.433,3.0441e-08,-4.3389,-1.8348e-06,0.46237,1.1051e-06
0.03,0.36092,1.4347e-09,-0.065928,-5.8298e-09,-0.18398,-4.4305e-09,11.47,5.3032e-08,-4.1861,-3.6984e-06,0.65941,1.743e-06
0.04,0.48121,1.2548e-09,-0.085674,-6.5403e-08,-0.17718,1.504e-08,11.512,7.9995e-08,-4.0162,-6.0921e-06,0.83487,2.4187e-06
0.05,0.60153,1.1297e-09,-0.10446,-1.5523e-07,-0.16854,4.2768e-08,11.56,1.1092e-07,-3.8316,-8.9405e-06,0.98962,3.1177e-06
0.06,0.72188,1.2895e-09,-0.12238,-2.7616e-07,-0.15827,7.7421e-08,11.612,1.4541e-07,-3.6348,-1.2168e-05,1.1245,3.8258e-06
0.07,0.8423,1.9646e-09,-0.13952,-4.2907e-07,-0.14656,1.1767e-07,11.667,1.8306e-07,-3.4283,-1.57e-05,1.2405,4.5286e-06
0.08,0.96281,3.3852e-09,-0.15597,-6.148e-07,-0.13361,1.6218e-07,11.726,2.2345e-07,-3.2144,-1.9459e-05,1.3384,5.2116e-06
0.09,1.0834,5.7817e-09,-0.17183,-8.3423e-07,-0.11961,2.0963e-07,11.786,2.6619e-07,-2.9958,-2.3372e-05,1.4191,5.8606e-06
0.1,1.2041,9.3842e-09,-0.1872,-1.0882e-06,-0.10477,2.5869e-07,11.846,3.1087e-07,-2.7749,-2.7362e-05,1.4835,6.4612e-06
0.11,1.325,1.4423e-08,-0.20215,-1.3776e-06,-0.089275,3.0801e-07,11.908,3.5707e-07,-2.5541,-3.1354e-05,1.5325,6.9991e-06
