t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.059732,-0.12142,-0.096346,-0.12749,1.341,-1.8081,0.037964,-0.15154,-0.061629,0.034034,0.032835,-0.090207,0.059732,0.12142,-0.096349,0.12749,1.341,1.8081,0.037963,0.15154,-0.061631,-0.034034,0.032836,0.090207,-0.020969,2.5472e-08,0.00069795,3.8448e-08,-0.014614,4.5254e-07,-0.012474,4.2824e-08,0.0031908,-9.0506e-09,-0.0011054,1.0909e-08
0.01,0.053211,-0.11132,-0.092596,-0.11857,1.28,-1.6603,0.034717,-0.13936,-0.05835,0.029846,0.030925,-0.083687,0.053211,0.11132,-0.092599,0.11857,1.28,1.6603,0.034716,0.13936,-0.058352,-0.029847,0.030926,0.083687,-0.020912,2.6274e-08,0.00093378,4.6474e-08,-0.016587,4.6124e-07,-0.012436,4.3144e-08,0.0032869,-7.6322e-09,-0.0010703,1.1906e-08
0.02,0.046484,-0.10022,-0.087643,-0.10473,1.2034,-1.498,0.031141,-0.12587,-0.054381,0.025858,0.028666,-0.076258,0.046483,0.10022,-0.087645,0.10473,1.2035,1.498,0.03114,0.12587,-0.054382,-0.025858,0.028667,0.076258,-0.020841,2.7544e-08,0.0011449,5.2791e-08,-0.018129,4.7767e-07,-0.012392,4.4174e-08,0.0033418,-6.5618e-09,-0.0010253,1.3314e-08
0.03,0.03983,-0.088747,-0.081818,-0.088015,1.1161,-1.3299,0.027405,-0.11182,-0.049988,0.022187,0.026191,-0.068382,0.039829,0.088746,-0.08182,0.08801,1.1162,1.3299,0.027404,0.11182,-0.049989,-0.022187,0.026191,0.068381,-0.020759,2.9131e-08,0.0013292,5.7134e-08,-0.019227,4.9973e-07,-0.01234,4.5747e-08,0.0033581,-5.8039e-09,-0.00097089,1.5076e-08
0.04,0.033497,-0.077451,-0.075499,-0.070304,1.0234,-1.1645,0.023681,-0.097946,-0.045448,0.018915,0.02364,-0.060494,0.033496,0.077449,-0.0755,0.070298,1.0235,1.1645,0.02368,0.097945,-0.045449,-0.018915,0.02364,0.060493,-0.020666,3.079e-08,0.0014861,5.9163e-08,-0.019894,5.2389e-07,-0.012282,4.756e-08,0.0033393,-5.3085e-09,-0.00090792,1.7042e-08
0.05,0.027649,-0.066754,-0.068975,-0.053054,0.92941,-1.0079,0.020098,-0.08477,-0.040959,0.016069,0.021119,-0.052924,0.027648,0.066752,-0.068975,0.053048,0.92941,1.0078,0.020097,0.084768,-0.040959,-0.016069,0.021118,0.052923,-0.020564,3.227e-08,0.0016159,5.8586e-08,-0.020147,5.4656e-07,-0.012218,4.9306e-08,0.0032888,-5.0329e-09,-0.00083766,1.9053e-08
0.06,0.022157,-0.056428,-0.0618,-0.03696,0.82806,-0.85626,0.016578,-0.071996,-0.036271,0.013515,0.018503,-0.045478,0.022156,0.056425,-0.061799,0.036955,0.82806,0.85622,0.016577,0.071993,-0.03627,-0.013515,0.018502,0.045477,-0.020456,3.3542e-08,0.0017202,5.5544e-08,-0.020023,5.6727e-07,-0.012148,5.0947e-08,0.0032106,-4.9597e-09,-0.00076185,2.1097e-08
0.07,0.016997,-0.046347,-0.053679,-0.022707,0.71557,-0.70755,0.013114,-0.059456,-0.031216,0.011154,0.015724,-0.038037,0.016996,0.046344,-0.053678,0.022702,0.71556,0.7075,0.013113,0.059453,-0.031215,-0.011154,0.015723,0.038035,-0.020343,3.4656e-08,0.001801,5.0327e-08,-0.019566,5.8659e-07,-0.012075,5.2522e-08,0.0031087,-5.0735e-09,-0.00068238,2.321e-08
0.08,0.014383,-0.042024,-0.052586,-0.012608,0.69749,-0.64623,0.011514,-0.054257,-0.030353,0.010272,0.015081,-0.035198,0.014382,0.042021,-0.052585,0.012604,0.69747,0.64619,0.011513,0.054254,-0.030353,-0.010271,0.01508,0.035196,-0.020227,3.4793e-08,0.0018663,4.2814e-08,-0.018893,5.9245e-07,-0.012,5.2986e-08,0.0029891,-5.171e-09,-0.0006027,2.4744e-08
0.09,0.012653,-0.040127,-0.054972,-0.0034375,0.72568,-0.62244,0.01067,-0.052202,-0.031494,0.010077,0.015462,-0.0344,0.012652,0.040124,-0.054971,0.003434,0.72566,0.6224,0.010669,0.052199,-0.031493,-0.010077,0.015461,0.034399,-0.020114,3.4283e-08,0.0019365,3.4222e-08,-0.018283,5.8949e-07,-0.011931,5.2622e-08,0.0028638,-5.206e-09,-0.00052947,2.5859e-08
0.1,0.010727,-0.038032,-0.057164,0.0058062,0.75139,-0.59599,0.0097385,-0.049919,-0.032513,0.0099254,0.015802,-0.033471,0.010726,0.03803,-0.057163,-0.0058094,0.75137,0.59595,0.0097377,0.049916,-0.032512,-0.0099252,0.015802,0.03347,-0.020003,3.3468e-08,0.0020113,2.4995e-08,-0.017734,5.8284e-07,-0.011865,5.1867e-08,0.0027345,-5.2573e-09,-0.00046269,2.6812e-08
0.11,0.0086499,-0.035795,-0.059149,0.01485,0.7745,-0.56759,0.008739,-0.047469,-0.033409,0.0098108,0.016102,-0.032433,0.0086491,0.035792,-0.059148,-0.014853,0.77448,0.56755,0.0087382,0.047466,-0.033409,-0.0098106,0.016101,0.032432,-0.01989,3.2309e-08,0.0020883,1.5389e-08,-0.017222,5.7174e-07,-0.0118,5.0669e-08,0.002602,-5.3153e-09,-0.00040185,2.7544e-08
0.12,0.0064873,-0.033542,-0.061038,0.02349,0.79648,-0.53906,0.0077099,-0.045008,-0.034253,0.0097456,0.016394,-0.031375,0.0064867,0.033539,-0.061037,-0.023493,0.79646,0.53902,0.0077092,0.045005,-0.034253,-0.0097454,0.016393,0.031374,-0.019776,3.0797e-08,0.0021655,5.7212e-09,-0.016722,5.5589e-07,-0.011734,4.9015e-08,0.0024671,-5.3697e-09,-0.00034653,2.8021e-08
0.13,0.0042796,-0.031337,-0.062815,0.031574,0.81711,-0.51117,0.0066682,-0.042604,-0.03504,0.0097221,0.016674,-0.030329,0.0042791,0.031335,-0.062814,-0.031577,0.8171,0.51113,0.0066675,0.042601,-0.035039,-0.0097219,0.016673,0.030327,-0.019659,2.9034e-08,0.0022411,-3.7532e-09,-0.016218,5.367e-07,-0.011666,4.704e-08,0.0023307,-5.4314e-09,-0.00029625,2.831e-08
0.14,0.0020633,-0.029221,-0.064429,0.038985,0.83577,-0.48436,0.0056254,-0.040294,-0.035745,0.0097275,0.016928,-0.029308,0.0020628,0.029218,-0.064428,-0.038987,0.83575,0.48432,0.0056248,0.040292,-0.035745,-0.0097272,0.016928,0.029307,-0.019538,2.7144e-08,0.0023137,-1.2871e-08,-0.015694,5.1596e-07,-0.011595,4.4909e-08,0.0021934,-5.5175e-09,-0.00025053,2.8502e-08
0.15,-0.00012398,-0.027225,-0.065834,0.045636,0.85181,-0.45896,0.0045932,-0.038108,-0.036346,0.0097487,0.017144,-0.028326,-0.00012437,0.027222,-0.065833,-0.045637,0.8518,0.45892,0.0045926,0.038106,-0.036346,-0.0097484,0.017143,0.028324,-0.019413,2.5239e-08,0.0023818,-2.1519e-08,-0.015135,4.9525e-07,-0.01152,4.2769e-08,0.0020562,-5.6398e-09,-0.00020886,2.8684e-08
0.16,-0.0022596,-0.02537,-0.067016,0.051502,0.86508,-0.43517,0.0035752,-0.036064,-0.036838,0.0097764,0.017315,-0.027391,-0.00226,0.025367,-0.067015,-0.051503,0.86506,0.43513,0.0035747,0.036062,-0.036837,-0.0097762,0.017315,0.02739,-0.019284,2.3345e-08,0.0024438,-2.9483e-08,-0.014529,4.7457e-07,-0.01144,4.0634e-08,0.0019198,-5.7782e-09,-0.00017048,2.8845e-08
0.17,-0.004327,-0.023676,-0.068013,0.056632,0.87606,-0.41331,0.0025782,-0.034188,-0.037241,0.0098089,0.017453,-0.026524,-0.0043273,0.023673,-0.068012,-0.056633,0.87605,0.41327,0.0025777,0.034185,-0.037241,-0.0098087,0.017452,0.026523,-0.019151,2.1471e-08,0.0024992,-3.6665e-08,-0.013869,4.5392e-07,-0.011356,3.8511e-08,0.0017847,-5.9188e-09,-0.00013487,2.8983e-08
0.18,-0.0063154,-0.022161,-0.068864,0.061092,0.88527,-0.39361,0.0016061,-0.032498,-0.037578,0.0098458,0.017563,-0.025743,-0.0063157,0.022158,-0.068864,-0.061093,0.88526,0.39358,0.0016057,0.032496,-0.037578,-0.0098456,0.017563,0.025742,-0.019014,1.9637e-08,0.0025474,-4.301e-08,-0.013151,4.3346e-07,-0.011267,3.642e-08,0.0016516,-6.0539e-09,-0.00010157,2.911e-08
0.19,-0.0082211,-0.020835,-0.069604,0.06496,0.89313,-0.37625,0.00065888,-0.031008,-0.037868,0.0098873,0.017655,-0.025064,-0.0082213,0.020832,-0.069603,-0.06496,0.89312,0.37621,0.00065844,0.031006,-0.037867,-0.0098871,0.017655,0.025063,-0.018873,1.7865e-08,0.0025877,-4.8473e-08,-0.012372,4.1337e-07,-0.011173,3.4383e-08,0.001521,-6.1766e-09,-7.0139e-05,2.9242e-08
0.2,-0.010042,-0.019706,-0.070258,0.068319,0.89998,-0.36134,-0.00026418,-0.029726,-0.038123,0.0099342,0.017733,-0.0245,-0.010042,0.019703,-0.070258,-0.068319,0.89997,0.3613,-0.00026461,0.029724,-0.038123,-0.009934,0.017733,0.024499,-0.01873,1.6169e-08,0.0026197,-5.3052e-08,-0.011529,3.9378e-07,-0.011074,3.2417e-08,0.0013935,-6.2824e-09,-4.0224e-05,2.9389e-08
0.21,-0.011772,-0.018767,-0.070828,0.071236,0.90581,-0.34874,-0.0011614,-0.028639,-0.038344,0.0099844,0.017796,-0.024047,-0.011772,0.018764,-0.070828,-0.071236,0.9058,0.3487,-0.0011618,0.028637,-0.038343,-0.0099842,0.017796,0.024047,-0.018583,1.4569e-08,0.0026434,-5.6853e-08,-0.010624,3.7502e-07,-0.010972,3.0548e-08,0.0012691,-6.381e-09,-1.1688e-05,2.9569e-08
0.22,-0.013412,-0.018012,-0.071346,0.073799,0.91101,-0.33839,-0.0020332,-0.027739,-0.038545,0.01004,0.01785,-0.023709,-0.013412,0.018009,-0.071346,-0.073799,0.91101,0.33835,-0.0020336,0.027737,-0.038545,-0.01004,0.01785,0.023709,-0.018435,1.3094e-08,0.0026588,-6.0024e-08,-0.0096594,3.5757e-07,-0.010866,2.8825e-08,0.0011483,-6.4808e-09,1.5613e-05,2.982e-08
0.23,-0.014983,-0.017455,-0.071931,0.076178,0.91711,-0.33062,-0.0028802,-0.027051,-0.03879,0.010115,0.017926,-0.023516,-0.014983,0.017452,-0.071931,-0.076177,0.91711,0.33058,-0.0028806,0.02705,-0.038789,-0.010114,0.017925,0.023515,-0.018285,1.1791e-08,0.0026665,-6.2825e-08,-0.008643,3.4227e-07,-0.010757,2.7313e-08,0.001031,-6.5986e-09,4.1686e-05,3.0195e-08
0.24,-0.016481,-0.017083,-0.072554,0.078405,0.92368,-0.32514,-0.0036991,-0.02655,-0.039057,0.010204,0.018013,-0.023455,-0.016482,0.017079,-0.072554,-0.078404,0.92368,0.3251,-0.0036995,0.026548,-0.039057,-0.010204,0.018013,0.023454,-0.018133,1.0668e-08,0.0026672,-6.5378e-08,-0.007585,3.2925e-07,-0.010646,2.6017e-08,0.00091776,-6.7345e-09,6.6496e-05,3.0697e-08
0.25,-0.017885,-0.016863,-0.073121,0.080438,0.92951,-0.32144,-0.0044855,-0.02619,-0.039296,0.010297,0.018087,-0.023495,-0.017885,0.01686,-0.073121,-0.080437,0.92951,0.3214,-0.0044859,0.026188,-0.039296,-0.010297,0.018087,0.023494,-0.017981,9.6966e-09,0.002661,-6.7664e-08,-0.0064896,3.1794e-07,-0.010533,2.4891e-08,0.00080834,-6.873e-09,9.0111e-05,3.1283e-08
0.26,-0.019192,-0.016789,-0.073633,0.082316,0.9346,-0.31937,-0.0052378,-0.025958,-0.039505,0.010394,0.018149,-0.023631,-0.019192,0.016786,-0.073633,-0.082315,0.9346,0.31933,-0.0052382,0.025956,-0.039505,-0.010394,0.018149,0.02363,-0.017827,8.8764e-09,0.0026484,-6.979e-08,-0.0053608,3.084e-07,-0.010417,2.3944e-08,0.00070267,-7.0178e-09,0.0001126,3.1952e-08
0.27,-0.020403,-0.016852,-0.074104,0.084084,0.93912,-0.31886,-0.005956,-0.025844,-0.039691,0.010497,0.0182,-0.023862,-0.020403,0.016849,-0.074104,-0.084083,0.93912,0.31883,-0.0059564,0.025843,-0.03969,-0.010496,0.0182,0.023862,-0.017674,8.2146e-09,0.0026295,-7.1878e-08,-0.0042023,3.0074e-07,-0.010301,2.3187e-08,0.00060064,-7.1736e-09,0.00013403,3.2712e-08
0.28,-0.02152,-0.017048,-0.074548,0.085781,0.94321,-0.31984,-0.0066408,-0.025842,-0.039859,0.010607,0.018242,-0.024188,-0.021521,0.017045,-0.074548,-0.08578,0.94321,0.3198,-0.0066412,0.02584,-0.039858,-0.010607,0.018242,0.024188,-0.01752,7.7201e-09,0.0026047,-7.4052e-08,-0.0030177,2.9514e-07,-0.010183,2.2637e-08,0.00050211,-7.3456e-09,0.00015448,3.3573e-08
0.29,-0.022552,-0.01737,-0.074985,0.087451,0.94713,-0.32224,-0.0072947,-0.025943,-0.040019,0.01073,0.018281,-0.024608,-0.022552,0.017367,-0.074985,-0.08745,0.94713,0.32221,-0.0072952,0.025942,-0.040019,-0.010729,0.018281,0.024608,-0.017367,7.3907e-09,0.0025741,-7.6387e-08,-0.0018105,2.9157e-07,-0.010065,2.2292e-08,0.00040697,-7.5341e-09,0.00017403,3.4527e-08
0.3,-0.02351,-0.017812,-0.075445,0.089138,0.95123,-0.32602,-0.0079225,-0.026142,-0.040187,0.010867,0.018322,-0.025122,-0.02351,0.017809,-0.075445,-0.089137,0.95123,0.32599,-0.0079229,0.026141,-0.040187,-0.010867,0.018322,0.025122,-0.017213,7.1828e-09,0.0025381,-7.8771e-08,-0.00058445,2.8931e-07,-0.0099466,2.2093e-08,0.00031513,-7.7227e-09,0.00019274,3.5522e-08
0.31,-0.024396,-0.018359,-0.075918,0.09084,0.95538,-0.33097,-0.008524,-0.02642,-0.040356,0.011018,0.018364,-0.025719,-0.024396,0.018357,-0.075918,-0.09084,0.95538,0.33094,-0.0085245,0.026419,-0.040356,-0.011018,0.018364,0.025719,-0.01706,7.004e-09,0.002497,-8.0874e-08,0.00065469,2.8678e-07,-0.0098277,2.1909e-08,0.00022663,-7.8848e-09,0.00021065,3.6437e-08
0.32,-0.025208,-0.018995,-0.076383,0.092543,0.9593,-0.33684,-0.009099,-0.026756,-0.040513,0.01118,0.0184,-0.026383,-0.025208,0.018992,-0.076383,-0.092543,0.95931,0.33682,-0.0090995,0.026755,-0.040512,-0.01118,0.0184,0.026383,-0.016908,6.8068e-09,0.0024513,-8.2602e-08,0.0019032,2.8334e-07,-0.0097089,2.1686e-08,0.0001414,-8.0133e-09,0.00022781,3.7221e-08
