t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.034571,-0.12768,-0.0047878,-0.095927,-0.40378,-1.9248,-0.017682,-0.15501,0.031402,0.037558,-0.0014465,-0.12638,0.12208,0.18884,-0.1484,-0.1978,2.4183,2.4489,0.12076,0.19612,-0.13208,-0.090931,0.054526,0.16015,-0.015798,-0.0089837,-0.00037974,-0.0055631,-0.035072,-0.090159,-0.010752,-0.0068006,0.0034151,0.0016945,-0.001602,-0.0037336
0.01,0.033649,-0.13178,-0.00072028,-0.090312,-0.4745,-1.9792,-0.021331,-0.15899,0.036841,0.038633,-0.0018738,-0.13125,0.11759,0.18007,-0.15011,-0.21287,2.3976,2.3166,0.11928,0.18634,-0.1316,-0.087848,0.052532,0.15358,-0.015921,-0.009422,4.7828e-06,-0.0053359,-0.040107,-0.094984,-0.010965,-0.0072039,0.0037071,0.001794,-0.0016323,-0.0039953
0.02,0.032399,-0.13536,0.0036649,-0.082595,-0.545,-2.0242,-0.02485,-0.1622,0.042078,0.039664,-0.0021471,-0.13544,0.11159,0.16911,-0.14924,-0.22515,2.3383,2.1575,0.11563,0.17447,-0.12863,-0.083873,0.04967,0.14524,-0.016025,-0.0098337,0.00037225,-0.0050875,-0.044723,-0.099385,-0.011159,-0.0075741,0.0039681,0.0018763,-0.0016447,-0.0042293
0.03,0.030911,-0.13828,0.0081952,-0.073265,-0.61259,-2.0578,-0.028096,-0.1645,0.046897,0.040561,-0.0022466,-0.13878,0.10409,0.15604,-0.14557,-0.23306,2.2387,1.9737,0.10978,0.16064,-0.12314,-0.078923,0.046007,0.13516,-0.016103,-0.010211,0.00071124,-0.0048468,-0.048772,-0.10328,-0.011323,-0.0079047,0.0041891,0.001937,-0.0016365,-0.0044292
0.04,0.029265,-0.14035,0.012692,-0.062842,-0.67452,-2.0775,-0.030925,-0.16573,0.051083,0.041226,-0.0021639,-0.14111,0.095215,0.14115,-0.13901,-0.23537,2.0998,1.7693,0.10184,0.14515,-0.11527,-0.072998,0.041668,0.12348,-0.016151,-0.010549,0.0010124,-0.0046425,-0.052138,-0.1066,-0.011452,-0.0081911,0.0043634,0.0019727,-0.0016063,-0.00459
0.05,0.027537,-0.14134,0.016969,-0.051821,-0.728,-2.0808,-0.033189,-0.1657,0.054422,0.041559,-0.0019,-0.1422,0.085156,0.12479,-0.12963,-0.23119,1.9244,1.5497,0.092036,0.12835,-0.10526,-0.066153,0.036803,0.11043,-0.016166,-0.010843,0.0012664,-0.0045055,-0.054717,-0.10932,-0.011541,-0.0084296,0.0044847,0.0019803,-0.0015536,-0.0047072
0.06,0.025793,-0.14109,0.020854,-0.040712,-0.77063,-2.0654,-0.034773,-0.16427,0.05674,0.04148,-0.0014725,-0.14192,0.07429,0.10757,-0.11781,-0.22045,1.7198,1.3229,0.080844,0.11082,-0.093611,-0.058589,0.031639,0.096456,-0.016147,-0.011092,0.0014685,-0.0044593,-0.05647,-0.11143,-0.011586,-0.00862,0.0045508,0.0019584,-0.0014799,-0.0047794
0.07,0.024081,-0.1395,0.024207,-0.029993,-0.80077,-2.0306,-0.035615,-0.16137,0.057928,0.04094,-0.00091355,-0.14018,0.063136,0.090264,-0.10425,-0.20398,1.4972,1.0987,0.06893,0.093306,-0.081024,-0.050641,0.026457,0.08217,-0.016099,-0.0113,0.0016192,-0.0045156,-0.057435,-0.11299,-0.011593,-0.0087653,0.0045635,0.0019082,-0.0013885,-0.0048085
0.08,0.022436,-0.1365,0.026913,-0.020069,-0.81729,-1.9759,-0.035687,-0.15697,0.057922,0.03991,-0.00026556,-0.13696,0.05216,0.073572,-0.089671,-0.18289,1.2677,0.88594,0.056926,0.076462,-0.068159,-0.042628,0.021486,0.068151,-0.016024,-0.01147,0.0017203,-0.004684,-0.057667,-0.11406,-0.011564,-0.0088696,0.0045255,0.0018315,-0.0012828,-0.0047973
0.09,0.020832,-0.13193,0.02888,-0.01122,-0.81887,-1.8993,-0.034972,-0.15091,0.056661,0.038343,0.00041896,-0.1321,0.041413,0.057662,-0.07416,-0.1572,1.0327,0.68662,0.045044,0.060391,-0.055165,-0.034572,0.016767,0.054495,-0.015929,-0.011609,0.0017775,-0.0049625,-0.057267,-0.11472,-0.011509,-0.0089388,0.0044419,0.0017317,-0.0011674,-0.0047507
0.1,0.0192,-0.12547,0.03,-0.0036357,-0.80355,-1.7968,-0.033443,-0.14287,0.054062,0.036165,0.0010808,-0.12534,0.030578,0.042242,-0.057145,-0.12559,0.78522,0.49754,0.033116,0.044708,-0.041692,-0.026214,0.012181,0.040864,-0.015819,-0.011725,0.0017985,-0.0053408,-0.056362,-0.11507,-0.011435,-0.0089793,0.0043189,0.0016129,-0.0010467,-0.0046746
0.11,0.018079,-0.11995,0.030746,0.0020795,-0.78761,-1.7095,-0.031849,-0.13606,0.051318,0.034157,0.0017548,-0.11952,0.024546,0.033254,-0.047804,-0.10881,0.64724,0.38641,0.026239,0.035652,-0.034141,-0.021527,0.009629,0.033034,-0.015702,-0.011824,0.0017932,-0.005803,-0.055103,-0.11521,-0.011353,-0.0089987,0.0041635,0.0014805,-0.00092527,-0.0045764
0.12,0.01817,-0.12005,0.032353,0.006113,-0.8022,-1.7035,-0.03159,-0.13573,0.050476,0.033672,0.0025723,-0.11926,0.028124,0.035488,-0.056445,-0.13291,0.7473,0.40258,0.028967,0.038651,-0.039008,-0.024652,0.010861,0.036364,-0.01559,-0.011937,0.0017933,-0.0062813,-0.053948,-0.1155,-0.01129,-0.0090271,0.0039964,0.0013541,-0.00081031,-0.0044854
