t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12023,0.00028703,-0.022446,0.0062927,-0.18719,-0.0012834,11.412,0.00149,-4.4326,-0.077766,0.1073,0.02802
0.02,0.24045,0.00046403,-0.044017,0.0098674,-0.18286,-0.0019298,11.442,0.0031861,-4.2867,-0.17277,0.20105,0.059517
0.03,0.36066,0.00055192,-0.064757,0.01082,-0.17842,-0.0019591,11.472,0.0050251,-4.1455,-0.2833,0.28193,0.094186
0.04,0.48087,0.0005716,-0.084707,0.0092472,-0.17387,-0.0013913,11.503,0.0069436,-4.009,-0.40769,0.35063,0.13172
0.05,0.6011,0.00054398,-0.10391,0.0052443,-0.16921,-0.00024639,11.533,0.0088783,-3.8773,-0.54423,0.40782,0.17182
0.06,0.72134,0.00048996,-0.12241,-0.0010924,-0.16446,0.0014556,11.563,0.010766,-3.7505,-0.69123,0.45418,0.21418
0.07,0.8416,0.00043043,-0.14026,-0.0096668,-0.15961,0.0036948,11.592,0.012543,-3.6285,-0.84699,0.4904,0.2585
0.08,0.9619,0.00038632,-0.15748,-0.020383,-0.15467,0.006451,11.622,0.014146,-3.5113,-1.0098,0.51715,0.30446
0.09,1.0822,0.00037852,-0.17414,-0.033145,-0.14964,0.0097045,11.651,0.015512,-3.3991,-1.178,0.53512,0.35177
0.1,1.2026,0.00042793,-0.19026,-0.047856,-0.14452,0.013435,11.68,0.016577,-3.2918,-1.3499,0.54498,0.40011
0.11,1.323,0.00055546,-0.2059,-0.064421,-0.13933,0.017623,11.709,0.017278,-3.1894,-1.5238,0.54742,0.44919
0.12,1.4435,0.00078202,-0.22109,-0.082744,-0.13405,0.022248,11.737,0.017553,-3.0921,-1.698,0.54311,0.4987
0.13,1.5641,0.0011285,-0.23588,-0.10273,-0.1287,0.02729,11.765,0.017336,-2.9998,-1.8708,0.53274,0.54834
0.14,1.6847,0.0016158,-0.25032,-0.12428,-0.12328,0.032729,11.792,0.016566,-2.9125,-2.0405,0.51699,0.5978
0.15,1.8054,0.0022649,-0.26444,-0.1473,-0.1178,0.038546,11.819,0.015179,-2.8303,-2.2054,0.49653,0.64677
0.16,1.9262,0.0030966,-0.27829,-0.17169,-0.11225,0.04472,11.845,0.013111,-2.7533,-2.3638,0.47205,0.69496
0.17,2.0471,0.0041319,-0.29191,-0.19736,-0.10664,0.051231,11.871,0.010299,-2.6814,-2.514,0.44423,0.74205
0.18,2.1681,0.0053916,-0.30534,-0.22421,-0.10097,0.058059,11.896,0.0066794,-2.6147,-2.6544,0.41375,0.78774
0.19,2.2892,0.0068966,-0.31864,-0.25215,-0.095257,0.065184,11.921,0.0021895,-2.5532,-2.7833,0.38129,0.83174
0.2,2.4104,0.0086679,-0.33183,-0.28107,-0.089493,0.072587,11.944,-0.0032343,-2.497,-2.8988,0.34753,0.87372
0.21,2.5317,0.010726,-0.34497,-0.31089,-0.083684,0.080247,11.967,-0.0096553,-2.446,-2.9995,0.31314,0.91339
0.22,2.6532,0.013093,-0.3581,-0.34151,-0.077834,0.088145,11.99,-0.017134,-2.4003,-3.0835,0.2788,0.95046
0.23,2.7747,0.015791,-0.37125,-0.37281,-0.071935,0.096265,12.011,-0.025685,-2.3598,-3.1508,0.24483,0.98489
0.24,2.8965,0.018847,-0.38444,-0.40469,-0.06597,0.1046,12.032,-0.035279,-2.3243,-3.2025,0.21127,1.0169
0.25,3.0183,0.022284,-0.39771,-0.43703,-0.059924,0.11313,12.052,-0.045888,-2.2934,-3.2396,0.17815,1.0466
0.26,3.1403,0.02613,-0.41107,-0.46972,-0.053778,0.12186,12.071,-0.057481,-2.2669,-3.2633,0.1455,1.0743
0.27,3.2623,0.030409,-0.42455,-0.50264,-0.047516,0.13077,12.09,-0.07003,-2.2446,-3.2746,0.11334,1.1001
0.28,3.3845,0.035146,-0.43817,-0.53567,-0.041121,0.13985,12.108,-0.083506,-2.2262,-3.2748,0.081702,1.1243
0.29,3.5068,0.040368,-0.45197,-0.5687,-0.034577,0.14909,12.126,-0.097879,-2.2115,-3.2648,0.050619,1.147
0.3,3.6292,0.0461,-0.46596,-0.60161,-0.027866,0.15849,12.143,-0.11312,-2.2001,-3.2459,0.020118,1.1684
0.31,3.7517,0.052367,-0.48018,-0.63429,-0.020972,0.16802,12.16,-0.1292,-2.1919,-3.2192,-0.0097749,1.1888
0.32,3.8743,0.059195,-0.49464,-0.66663,-0.013878,0.17769,12.176,-0.14609,-2.1866,-3.1857,-0.03903,1.2083
0.33,3.997,0.066609,-0.50937,-0.69851,-0.006568,0.18747,12.193,-0.16376,-2.1839,-3.1465,-0.067613,1.227
0.34,4.1198,0.074629,-0.52439,-0.72988,0.0009617,0.19736,12.209,-0.18222,-2.1836,-3.1022,-0.095456,1.2451
0.35,4.2427,0.083278,-0.53973,-0.76069,0.0087109,0.20734,12.224,-0.20147,-2.1855,-3.0531,-0.12248,1.2623
0.36,4.3656,0.092574,-0.55541,-0.79091,0.016679,0.21739,12.24,-0.22155,-2.1892,-2.9995,-0.14859,1.2786
0.37,4.4886,0.10254,-0.57145,-0.82049,0.024867,0.22749,12.255,-0.24244,-2.1946,-2.9417,-0.17372,1.2938
0.38,4.6117,0.11319,-0.58787,-0.8494,0.033273,0.23762,12.27,-0.26418,-2.2014,-2.8801,-0.19777,1.3078
0.39,4.7348,0.12455,-0.60469,-0.87759,0.041898,0.24777,12.285,-0.28678,-2.2093,-2.8151,-0.22067,1.3205
0.4,4.8579,0.13664,-0.62195,-0.90503,0.050741,0.25792,12.299,-0.31024,-2.2181,-2.7468,-0.24233,1.3319
0.41,4.9811,0.14948,-0.63965,-0.93166,0.059803,0.26806,12.314,-0.33459,-2.2275,-2.6757,-0.26267,1.3417
0.42,5.1043,0.16309,-0.65783,-0.95746,0.069082,0.27816,12.329,-0.35983,-2.2373,-2.6021,-0.28161,1.35
0.43,5.2275,0.17749,-0.6765,-0.98239,0.078578,0.2882,12.343,-0.38598,-2.2473,-2.5264,-0.29905,1.3565
0.44,5.3507,0.1927,-0.69568,-1.0064,0.088287,0.29818,12.358,-0.41303,-2.2573,-2.4488,-0.31498,1.3612
0.45,5.4738,0.20873,-0.7154,-1.0295,0.09819,0.30809,12.372,-0.44088,-2.267,-2.3697,-0.32947,1.3641
0.46,5.597,0.22558,-0.73568,-1.0517,0.10827,0.31791,12.387,-0.46941,-2.2766,-2.2895,-0.34265,1.3652
0.47,5.7201,0.24328,-0.75654,-1.0731,0.11849,0.32764,12.402,-0.4985,-2.2858,-2.2086,-0.35463,1.3646
0.48,5.8432,0.26184,-0.77799,-1.0935,0.12885,0.33728,12.417,-0.52806,-2.2947,-2.1273,-0.36554,1.3622
0.49,5.9662,0.28125,-0.80006,-1.113,0.13932,0.34681,12.432,-0.55795,-2.3031,-2.046,-0.37548,1.3582
