t, affine_elevL, affine_elevR, affine_throttle
0,0.0002831,-6.4827e-05,-8.199e-06
0.01,0.0062893,-0.0040283,-0.00017696
0.02,0.010449,-0.0073998,-0.00031842
0.03,0.012803,-0.010001,-0.00042622
0.04,0.013495,-0.011696,-0.00049535
0.05,0.012746,-0.012392,-0.00052145
0.06,0.010958,-0.012084,-0.00050549
0.07,0.008575,-0.010833,-0.00045093
0.08,0.0059767,-0.0087303,-0.0003618
0.09,0.0033963,-0.0059064,-0.00024521
0.1,0.0011594,-0.0025676,-0.00010852
0.11,-0.00033072,0.00089937,3.7123e-05
0.12,-0.0015906,0.0036874,0.00015119
0.13,-0.0027078,0.0055906,0.00022428
0.14,-0.0033678,0.0066372,0.00026261
0.15,-0.003606,0.0069515,0.00027192
0.16,-0.0035312,0.0066727,0.0002577
0.17,-0.0031692,0.0059109,0.00022521
0.18,-0.00257,0.0047765,0.00017973
0.19,-0.0018236,0.003406,0.00012664
0.2,-0.001032,0.0019445,7.1391e-05
0.21,-0.00028516,0.00054125,1.9601e-05
0.22,0.00032502,-0.00064024,-2.3001e-05
0.23,0.00073479,-0.0014865,-5.3379e-05
0.24,0.00096737,-0.0020204,-7.2602e-05
0.25,0.0010558,-0.002279,-8.1966e-05
0.26,0.0010281,-0.0023032,-8.2893e-05
0.27,0.00091462,-0.0021346,-7.6833e-05
0.28,0.00074589,-0.0018175,-6.5326e-05
0.29,0.00054718,-0.0014023,-5.0246e-05
0.3,0.00034448,-0.00094124,-3.3554e-05
0.31,0.00016223,-0.00048981,-1.7411e-05
0.32,2.2888e-05,-0.00010675,-4.2277e-06
0.33,-7.4468e-05,0.00016344,3.7553e-06
0.34,-0.00016642,0.00033671,6.7435e-06
0.35,-0.00025318,0.00043599,6.3381e-06
0.36,-0.00033104,0.00047885,3.8654e-06
0.37,-0.00039505,0.00048069,5.1709e-07
0.38,-0.00043705,0.00044938,-2.9363e-06
0.39,-0.00044817,0.00039132,-5.8128e-06
0.4,-0.00041948,0.00031281,-7.4431e-06
0.41,-0.00033982,0.00021542,-7.4126e-06
0.42,-0.00019621,9.7919e-05,-5.426e-06
0.43,2.1814e-05,-3.9889e-05,-1.2603e-06
0.44,0.00021721,-0.00014023,3.4968e-06
0.45,0.00032392,-0.00017523,7.2276e-06
0.46,0.00035558,-0.00016276,9.6032e-06
0.47,0.00032811,-0.00011841,1.0576e-05
0.48,0.00025787,-5.7867e-05,1.0109e-05
0.49,0.00016263,4.4229e-06,8.3312e-06
0.5,6.2751e-05,5.6914e-05,5.7361e-06
0.51,-2.1004e-05,8.8307e-05,2.8583e-06
0.52,-6.7318e-05,8.7825e-05,3.0111e-07
0.53,-5.3661e-05,4.6564e-05,-1.117e-06
0.54,3.1255e-05,-3.5893e-05,-7.3235e-07
0.55,9.2794e-05,-8.8569e-05,3.0226e-08
0.56,0.00011182,-0.00010261,5.1211e-07
0.57,9.8883e-05,-8.94e-05,6.399e-07
0.58,6.4444e-05,-5.8589e-05,4.6352e-07
0.59,1.9097e-05,-1.9803e-05,3.8659e-08
0.6,-2.6643e-05,1.831e-05,-5.1195e-07
0.61,-6.3327e-05,4.8531e-05,-1.0331e-06
