t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.12208,-0.18884,-0.14839,0.19779,2.4182,-2.4489,0.12076,-0.19612,-0.13208,0.090928,0.054524,-0.16015,0.03457,0.12768,-0.0047875,0.095925,-0.40378,1.9248,-0.017682,0.15501,0.031401,-0.037558,-0.0014467,0.12638,-0.015798,0.0089837,-0.00037983,0.0055635,-0.03507,0.090159,-0.010752,0.0068006,0.003415,-0.0016944,-0.001602,0.0037335
0.01,0.1176,-0.18008,-0.15012,0.21287,2.3978,-2.3168,0.11929,-0.18635,-0.13161,0.087853,0.052534,-0.15358,0.033648,0.13178,-0.00071935,0.090313,-0.47453,1.9793,-0.021331,0.15899,0.036842,-0.038634,-0.0018743,0.13125,-0.015921,0.0094219,4.6712e-06,0.0053363,-0.040105,0.094984,-0.010965,0.0072039,0.003707,-0.0017939,-0.0016323,0.0039952
0.02,0.11163,-0.16916,-0.1493,0.22525,2.3391,-2.1581,0.11567,-0.17452,-0.12867,0.083901,0.049687,-0.14528,0.032405,0.13538,0.0036639,0.082599,-0.54504,2.0244,-0.024851,0.16221,0.042081,-0.039669,-0.0021469,0.13545,-0.016024,0.0098334,0.00037194,0.0050882,-0.044719,0.099382,-0.011158,0.0075739,0.0039678,-0.0018761,-0.0016446,0.0042291
0.03,0.10415,-0.15612,-0.14565,0.23322,2.24,-1.9746,0.10984,-0.16071,-0.12321,0.078966,0.046034,-0.13523,0.030918,0.1383,0.0081943,0.073276,-0.61266,2.0581,-0.028099,0.16452,0.046902,-0.040567,-0.0022466,0.13881,-0.016102,0.010211,0.00071119,0.004847,-0.048771,0.10328,-0.011323,0.0079046,0.0041891,-0.0019369,-0.0016364,0.0044291
0.04,0.095223,-0.14116,-0.13902,0.23538,2.1,-1.7694,0.10184,-0.14515,-0.11528,0.073002,0.041671,-0.12349,0.029265,0.14035,0.012691,0.062843,-0.67452,2.0775,-0.030924,0.16573,0.051082,-0.041226,-0.0021641,0.14111,-0.016151,0.010549,0.0010124,0.0046427,-0.052139,0.1066,-0.011452,0.0081912,0.0043635,-0.0019727,-0.0016063,0.00459
0.05,0.085017,-0.12462,-0.12941,0.23075,1.9213,-1.5477,0.091891,-0.12817,-0.10509,0.066046,0.036739,-0.11028,0.027522,0.14128,0.016966,0.051792,-0.72772,2.0798,-0.033175,0.16563,0.0544,-0.041542,-0.0019005,0.14214,-0.016166,0.010843,0.001266,0.0045066,-0.054711,0.10932,-0.01154,0.0084294,0.0044845,-0.00198,-0.0015535,0.0047069
0.06,0.074073,-0.10731,-0.11745,0.21972,1.7148,-1.3198,0.08062,-0.11056,-0.09335,0.058423,0.031543,-0.096216,0.025767,0.14099,0.020847,0.040671,-0.77015,2.0639,-0.03475,0.16415,0.056702,-0.041451,-0.0014737,0.14181,-0.016147,0.011092,0.0014682,0.00446,-0.056466,0.11143,-0.011586,0.0086198,0.0045507,-0.0019582,-0.0014798,0.0047792
0.07,0.063064,-0.090181,-0.10413,0.20372,1.4956,-1.0978,0.068855,-0.093221,-0.080937,0.050584,0.026426,-0.082092,0.024071,0.13946,0.024203,0.029979,-0.80057,2.03,-0.035606,0.16132,0.057912,-0.040928,-0.00091415,0.14014,-0.016099,0.0113,0.0016191,0.0045159,-0.057434,0.11299,-0.011592,0.0087651,0.0045634,-0.0019081,-0.0013884,0.0048084
0.08,0.052478,-0.073952,-0.09022,0.18408,1.2752,-0.89037,0.057251,-0.076853,-0.068555,0.042876,0.02162,-0.068507,0.022473,0.13666,0.026933,0.020115,-0.81813,1.9782,-0.035723,0.15716,0.057985,-0.039955,-0.00026267,0.13712,-0.016024,0.01147,0.0017201,0.0046846,-0.057664,0.11406,-0.011564,0.0088694,0.0045253,-0.0018314,-0.0012827,0.0047971
0.09,0.041503,-0.057752,-0.074322,0.15759,1.0349,-0.68762,0.045131,-0.060484,-0.055275,0.034643,0.016804,-0.054584,0.020846,0.13199,0.028888,0.011234,-0.81918,1.9002,-0.034984,0.15098,0.056684,-0.038358,0.00042072,0.13216,-0.015929,0.011609,0.0017773,0.0049627,-0.057264,0.11472,-0.011509,0.0089386,0.0044418,-0.0017316,-0.0011673,0.0047505
