t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,-0.61087,-0.23415,0.15194,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.01,0.11306,0.000328,5.4501e-12,-0.61087,-0.23415,0.15774,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.02,0.22611,0.001312,2.3402e-09,-0.61087,-0.23415,0.16354,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.03,0.33916,0.0029519,9.2028e-09,-0.61087,-0.23415,0.16934,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.04,0.4522,0.0052478,1.2356e-08,-0.61087,-0.23415,0.17514,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.05,0.56522,0.0081995,9.0899e-09,-0.61087,-0.23415,0.18095,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.06,0.67822,0.011807,9.4724e-10,-0.61087,-0.23415,0.18675,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.07,0.7912,0.01607,-3.8828e-09,-0.61087,-0.23415,0.19255,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.08,0.90416,0.020988,7.2002e-10,-0.61087,-0.23415,0.19835,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.09,1.0171,0.026562,6.6342e-09,-0.61087,-0.23415,0.20416,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.1,1.13,0.032791,6.7076e-09,-0.61087,-0.23415,0.20996,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.11,1.2428,0.039675,1.1927e-09,-0.61087,-0.23415,0.21576,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.12,1.3556,0.047213,-4.687e-09,-0.61087,-0.23415,0.22156,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.13,1.4684,0.055406,-2.5771e-09,-0.61087,-0.23415,0.22737,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.14,1.5811,0.064253,4.115e-09,-0.61087,-0.23415,0.23317,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.15,1.6938,0.073754,6.4804e-09,-0.61087,-0.23415,0.23897,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.16,1.8064,0.083908,2.8447e-09,-0.61087,-0.23415,0.24477,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.17,1.9189,0.094716,-3.9362e-09,-0.61087,-0.23415,0.25057,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.18,2.0314,0.10618,-5.1887e-09,-0.61087,-0.23415,0.25638,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
0.19,2.1438,0.11829,1.072e-09,-0.61087,-0.23415,0.26218,10.871,0.085522,-3.1055,0.13462,-0.32372,0.46232
