t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.36683,0.035349,5.1549
0.02,0.54226,-0.12071,5.2301
0.03,0.71768,-0.27677,5.3053
0.04,0.77808,-0.33277,5.3398
0.05,0.74106,-0.30404,5.3398
0.06,0.70404,-0.2753,5.3398
0.07,0.66889,-0.24779,5.3398
0.08,0.65443,-0.23389,5.3398
0.09,0.63998,-0.21998,5.3398
0.1,0.62552,-0.20607,5.3398
0.11,0.61107,-0.18217,5.3398
0.12,0.5966,-0.15226,5.3398
0.13,0.58214,-0.12235,5.3398
0.14,0.5683,-0.090417,5.3398
0.15,0.55758,-0.048302,5.3398
0.16,0.54687,-0.0061866,5.3398
0.17,0.53616,0.035928,5.3398
0.18,0.52782,0.079603,5.3398
0.19,0.52047,0.12392,5.3398
0.2,0.51313,0.16824,5.3398
0.21,0.50647,0.21041,5.3398
0.22,0.50191,0.24606,5.3398
0.23,0.49735,0.28171,5.3398
0.24,0.49278,0.31735,5.3398
0.25,0.4901,0.34462,5.3398
0.26,0.48792,0.36965,5.3398
0.27,0.48573,0.39469,5.3398
0.28,0.48429,0.41696,5.3398
0.29,0.48434,0.43364,5.3398
0.3,0.48439,0.45033,5.3398
0.31,0.48444,0.46701,5.3398
0.32,0.48622,0.47811,5.3398
0.33,0.48824,0.48839,5.3398
0.34,0.49027,0.49867,5.3398
0.35,0.49282,0.50682,5.3398
0.36,0.49612,0.51197,5.3398
0.37,0.49941,0.51711,5.3398
0.38,0.50271,0.52225,5.3398
0.39,0.50608,0.52344,5.3398
0.4,0.50945,0.52445,5.3398
0.41,0.51282,0.52546,5.3398
0.42,0.51546,0.52491,5.3398
0.43,0.51735,0.52279,5.3398
0.44,0.51925,0.52067,5.3398
0.45,0.52103,0.51847,5.3398
0.46,0.51971,0.51432,5.3398
0.47,0.5184,0.51018,5.3398
0.48,0.51708,0.50603,5.3398
0.49,0.51276,0.50139,5.3398
0.5,0.50626,0.49639,5.3398
0.51,0.49976,0.49139,5.3398
0.52,0.49233,0.48643,5.3398
0.53,0.47819,0.4817,5.3398
0.54,0.46406,0.47698,5.3398
0.55,0.44993,0.47226,5.3398
0.56,0.42881,0.46836,5.3398
0.57,0.40413,0.46488,5.3398
0.58,0.37946,0.4614,5.3398
0.59,0.35236,0.45833,5.3398
0.6,0.31584,0.45684,5.3398
0.61,0.27932,0.45536,5.3398
0.62,0.2428,0.45387,5.3398
0.63,0.2013,0.4542,5.3398
0.64,0.15809,0.45514,5.3398
0.65,0.11489,0.45609,5.3398
0.66,0.072731,0.45771,5.3398
0.67,0.033153,0.46099,5.3398
0.68,-0.0064243,0.46427,5.3398
0.69,-0.046002,0.46756,5.3398
0.7,-0.07779,0.47212,5.3398
0.71,-0.10797,0.47695,5.3398
0.72,-0.13815,0.48179,5.3398
0.73,-0.1649,0.48671,5.3398
0.74,-0.18583,0.49178,5.3398
0.75,-0.20675,0.49685,5.3398
0.76,-0.22768,0.50193,5.3398
0.77,-0.24098,0.50587,5.3398
0.78,-0.25355,0.50971,5.3398
0.79,-0.26612,0.51354,5.3398
0.8,-0.27455,0.5161,5.3398
0.81,-0.278,0.5171,5.3398
0.82,-0.28144,0.51811,5.3398
0.83,-0.28489,0.51911,5.3398
0.84,-0.2757,0.51519,5.3398
0.85,-0.26645,0.51123,5.3398
0.86,-0.25719,0.50728,5.3398
0.87,-0.2364,0.49841,5.3398
0.88,-0.20561,0.48528,5.3398
0.89,-0.17482,0.47215,5.3398
0.9,-0.14185,0.45727,5.248
0.91,-0.082804,0.42139,4.0617
0.92,-0.023758,0.38551,2.8754
0.93,0.035288,0.34963,1.6891
0.94,0.098065,0.29123,1.0155
0.95,0.16314,0.21896,0.65793
0.96,0.22822,0.14669,0.30032
0.97,0.29184,0.071198,0
0.98,0.34787,-0.021195,0
0.99,0.40389,-0.11359,0
1,0.45992,-0.20598,0
1.01,0.41877,-0.14734,1.0305
1.02,0.3363,-0.024471,2.4992
1.03,0.25383,0.098401,3.9679
