t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12041,1.692e-05,-0.022782,0.0011843,-0.18977,-0.00035537,11.401,-0.00066307,-4.4633,-0.10432,0.13759,0.034387
0.02,0.24075,1.4438e-05,-0.044628,-0.00053846,-0.18778,0.00018198,11.421,0.00048098,-4.3467,-0.28009,0.22671,0.091351
0.03,0.36104,6.7967e-06,-0.065586,-0.0051106,-0.18547,0.0015908,11.442,0.0030871,-4.2335,-0.5092,0.27706,0.16531
0.04,0.48129,8.2385e-06,-0.085706,-0.012475,-0.18289,0.0038499,11.464,0.0068104,-4.1236,-0.77355,0.29831,0.25067
0.05,0.60151,3.3007e-05,-0.10504,-0.022573,-0.18008,0.0069379,11.487,0.011306,-4.0172,-1.055,0.30013,0.34186
0.06,0.72171,9.5344e-05,-0.12363,-0.035348,-0.17709,0.010834,11.509,0.016228,-3.9143,-1.3355,0.2922,0.43329
0.07,0.8419,0.00020949,-0.14152,-0.050742,-0.17396,0.015516,11.532,0.021233,-3.8148,-1.5969,0.28421,0.51938
0.08,0.96208,0.00039273,-0.15878,-0.068659,-0.17072,0.020952,11.554,0.025999,-3.7188,-1.8263,0.28276,0.59618
0.09,1.0823,0.0006718,-0.17543,-0.088881,-0.16734,0.027075,11.576,0.030278,-3.6265,-2.0273,0.28488,0.66489
0.1,1.2025,0.0010753,-0.19151,-0.11117,-0.16381,0.033811,11.598,0.033839,-3.538,-2.2064,0.28576,0.72772
0.11,1.3227,0.0016318,-0.20707,-0.13528,-0.16008,0.041086,11.619,0.036455,-3.4536,-2.3699,0.28075,0.78674
0.12,1.443,0.0023713,-0.22215,-0.16099,-0.15617,0.048851,11.64,0.037967,-3.3737,-2.5186,0.2678,0.84256
0.13,1.5633,0.0033245,-0.23679,-0.18813,-0.15214,0.057068,11.66,0.038268,-3.2991,-2.6496,0.24669,0.89473
0.14,1.6836,0.0045221,-0.25104,-0.21647,-0.14801,0.065701,11.679,0.037253,-3.2305,-2.7596,0.21726,0.94275
0.15,1.804,0.0059947,-0.26493,-0.24582,-0.14386,0.074726,11.697,0.03483,-3.1688,-2.8465,0.17935,0.98638
0.16,1.9244,0.0077721,-0.27851,-0.27596,-0.13973,0.084136,11.713,0.030937,-3.1148,-2.9102,0.13276,1.026
0.17,2.0448,0.0098842,-0.29184,-0.30663,-0.13572,0.093933,11.728,0.025521,-3.0694,-2.951,0.077321,1.0622
0.18,2.1654,0.012361,-0.30493,-0.33761,-0.13187,0.10412,11.741,0.01853,-3.0336,-2.9693,0.01298,1.0952
0.19,2.2859,0.015231,-0.31785,-0.36868,-0.12823,0.11471,11.752,0.0099467,-3.0076,-2.9662,-0.058818,1.1255
0.2,2.4065,0.018522,-0.33061,-0.39964,-0.12485,0.12572,11.76,-0.00022425,-2.9916,-2.9431,-0.13578,1.1533
0.21,2.5272,0.022264,-0.34325,-0.4303,-0.12174,0.13719,11.766,-0.011979,-2.9857,-2.9016,-0.2156,1.1786
0.22,2.6479,0.026484,-0.35581,-0.46046,-0.11892,0.14912,11.769,-0.0253,-2.9898,-2.8434,-0.29609,1.2017
0.23,2.7686,0.031213,-0.3683,-0.48999,-0.11636,0.16153,11.77,-0.040146,-3.0032,-2.7711,-0.37534,1.2227
0.24,2.8893,0.036482,-0.38074,-0.51878,-0.11402,0.1744,11.769,-0.056471,-3.0248,-2.687,-0.45143,1.2415
0.25,3.0101,0.04232,-0.39316,-0.54669,-0.11187,0.18773,11.765,-0.074228,-3.0538,-2.5937,-0.5226,1.2582
0.26,3.1308,0.048761,-0.40556,-0.57365,-0.10985,0.20149,11.758,-0.093359,-3.0893,-2.4933,-0.58802,1.2728
0.27,3.2516,0.055838,-0.41796,-0.5996,-0.10792,0.21565,11.75,-0.1138,-3.13,-2.3875,-0.64731,1.2853
0.28,3.3723,0.063583,-0.43035,-0.62448,-0.10602,0.23017,11.739,-0.13548,-3.1748,-2.2781,-0.7001,1.2956
