t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,-0.61087,-0.21882,0.13774,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.01,0.11614,0.00032758,-2.3505e-13,-0.61087,-0.21882,0.14338,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.02,0.23227,0.0013103,1.6964e-09,-0.61087,-0.21882,0.14902,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.03,0.3484,0.0029481,6.2723e-09,-0.61087,-0.21882,0.15466,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.04,0.46451,0.0052411,8.3239e-09,-0.61087,-0.21882,0.1603,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.05,0.58061,0.0081889,5.9442e-09,-0.61087,-0.21882,0.16594,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.06,0.69669,0.011792,4.2146e-10,-0.61087,-0.21882,0.17159,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.07,0.81275,0.016049,-9.1868e-10,-0.61087,-0.21882,0.17723,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.08,0.92879,0.020962,5.2623e-09,-0.61087,-0.21882,0.18287,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.09,1.0448,0.026528,1.1751e-08,-0.61087,-0.21882,0.18851,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.1,1.1608,0.032749,1.2719e-08,-0.61087,-0.21882,0.19415,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.11,1.2767,0.039624,7.5934e-09,-0.61087,-0.21882,0.19979,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.12,1.3926,0.047153,-6.7735e-10,-0.61087,-0.21882,0.20543,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.13,1.5084,0.055336,-3.425e-09,-0.61087,-0.21882,0.21107,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.14,1.6242,0.064172,2.7983e-09,-0.61087,-0.21882,0.21672,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.15,1.74,0.073661,9.7305e-09,-0.61087,-0.21882,0.22236,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.16,1.8557,0.083803,1.0823e-08,-0.61087,-0.21882,0.228,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.17,1.9713,0.094598,5.7129e-09,-0.61087,-0.21882,0.23364,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.18,2.0869,0.10604,-2.461e-09,-0.61087,-0.21882,0.23928,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.19,2.2024,0.11814,-5.0859e-09,-0.61087,-0.21882,0.24492,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.2,2.3178,0.13089,1.2343e-09,-0.61087,-0.21882,0.25056,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.21,2.4332,0.14429,8.2524e-09,-0.61087,-0.21882,0.2562,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.22,2.5485,0.15835,9.434e-09,-0.61087,-0.21882,0.26185,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.23,2.6637,0.17305,4.4108e-09,-0.61087,-0.21882,0.26749,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.24,2.7788,0.1884,-3.6811e-09,-0.61087,-0.21882,0.27313,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.25,2.8938,0.2044,-6.228e-09,-0.61087,-0.21882,0.27877,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.26,3.0088,0.22105,1.6703e-10,-0.61087,-0.21882,0.28441,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.27,3.1236,0.23834,7.2566e-09,-0.61087,-0.21882,0.29005,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.28,3.2384,0.25629,8.5059e-09,-0.61087,-0.21882,0.29569,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.29,3.353,0.27488,3.5469e-09,-0.61087,-0.21882,0.30133,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.3,3.4675,0.29412,-4.4841e-09,-0.61087,-0.21882,0.30697,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.31,3.582,0.314,-6.9735e-09,-0.61087,-0.21882,0.31262,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.32,3.6963,0.33453,-5.2434e-10,-0.61087,-0.21882,0.31826,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.33,3.8105,0.3557,6.6161e-09,-0.61087,-0.21882,0.3239,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.34,3.9245,0.37752,7.9132e-09,-0.61087,-0.21882,0.32954,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.35,4.0385,0.39998,2.9991e-09,-0.61087,-0.21882,0.33518,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.36,4.1523,0.42309,-4.9902e-09,-0.61087,-0.21882,0.34082,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.37,4.266,0.44683,-7.4406e-09,-0.61087,-0.21882,0.34646,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.38,4.3795,0.47122,-9.5508e-10,-0.61087,-0.21882,0.3521,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.39,4.4929,0.49624,6.219e-09,-0.61087,-0.21882,0.35775,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.4,4.6062,0.52191,7.5473e-09,-0.61087,-0.21882,0.36339,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.41,4.7193,0.54821,2.6619e-09,-0.61087,-0.21882,0.36903,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.42,4.8323,0.57515,-5.3008e-09,-0.61087,-0.21882,0.37467,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.43,4.9451,0.60273,-7.7269e-09,-0.61087,-0.21882,0.38031,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.44,5.0578,0.63094,-1.2192e-09,-0.61087,-0.21882,0.38595,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.45,5.1703,0.65979,5.9753e-09,-0.61087,-0.21882,0.39159,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.46,5.2826,0.68928,7.322e-09,-0.61087,-0.21882,0.39723,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.47,5.3948,0.71939,2.4533e-09,-0.61087,-0.21882,0.40288,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
0.48,5.5067,0.75014,-5.4944e-09,-0.61087,-0.21882,0.40852,11.229,0.1261,-2.9602,0.12246,-0.31585,0.45108
