t, affine_elevL, affine_elevR, affine_throttle
0,0.00011316,-0.00010695,2.9818e-06
0.01,-0.0037323,0.0047388,-8.5817e-05
0.02,-0.0059888,0.0053992,-0.00012532
0.03,-0.0055457,0.0034815,-0.00011291
0.04,-0.0029809,0.0011692,-6.4174e-05
0.05,-6.4223e-05,1.0639e-05,-5.5826e-07
0.06,0.0015043,-0.00029408,4.0584e-05
0.07,0.0019874,-0.00059027,4.7804e-05
0.08,0.0015755,-0.00056281,3.6262e-05
0.09,0.00080719,-0.00034922,1.8139e-05
0.1,4.3117e-05,-2.2864e-05,2.0063e-06
0.11,-0.00040742,0.00021939,-6.3119e-06
0.12,-0.00052331,0.00028407,-7.5465e-06
0.13,-0.00042593,0.00023412,-5.3794e-06
0.14,-0.00022206,0.00012551,-1.9946e-06
0.15,-1.4709e-05,7.2578e-06,9.557e-07
0.16,0.00010631,-6.8369e-05,2.2929e-06
0.17,0.00013883,-8.9183e-05,2.4126e-06
0.18,0.0001131,-7.2353e-05,1.942e-06
0.19,5.9468e-05,-3.7864e-05,1.4488e-06
0.2,6.2321e-06,-5.8386e-06,1.1435e-06
0.21,-2.4501e-05,1.2182e-05,1.0751e-06
0.22,-3.3672e-05,2.0631e-05,1.1321e-06
0.23,-2.8544e-05,2.0851e-05,1.1991e-06
0.24,-1.5715e-05,1.3651e-05,1.2048e-06
0.25,-1.2282e-06,-4.4953e-07,1.12e-06
0.26,8.2397e-06,-1.2401e-05,1.0289e-06
0.27,1.0277e-05,-1.0955e-05,1.0569e-06
0.28,7.7376e-06,-3.2976e-06,1.1386e-06
0.29,3.581e-06,2.6473e-06,1.1895e-06
0.3,8.316e-07,-1.615e-06,1.1085e-06
0.31,1.324e-07,-9.179e-06,1.0102e-06
0.32,-8.6844e-07,-3.2824e-06,1.1275e-06
0.33,-1.7267e-06,7.8423e-06,1.3072e-06
0.34,-1.7737e-06,1.3387e-05,1.3761e-06
0.35,-2.3975e-07,1.5161e-06,1.1591e-06
0.36,2.1155e-06,-1.7554e-05,8.4922e-07
0.37,2.3878e-06,-1.2164e-05,9.6693e-07
0.38,1.2967e-06,4.4748e-06,1.2577e-06
0.39,-1.6114e-08,1.5711e-05,1.4315e-06
0.4,-1.8253e-07,2.7551e-06,1.184e-06
0.41,1.0053e-06,-2.6007e-05,6.9483e-07
0.42,1.5388e-06,-3.04e-05,6.429e-07
0.43,1.2096e-06,-1.9162e-05,8.4417e-07
0.44,4.5148e-07,-5.0947e-06,1.0736e-06
0.45,-2.6281e-07,-1.8903e-06,1.1107e-06
0.46,-5.9367e-07,-1.7192e-05,8.4837e-07
0.47,-7.8865e-07,-3.0139e-05,6.4455e-07
0.48,-9.1946e-07,-3.5366e-05,5.7735e-07
0.49,-1.0148e-06,-3.0131e-05,6.8029e-07
0.5,-9.7985e-07,-1.2673e-05,9.5721e-07
0.51,-1.1818e-06,4.4645e-06,1.1906e-06
0.52,-2.4776e-06,-2.1704e-06,1.0837e-06
0.53,-3.8414e-06,-1.8176e-05,8.8256e-07
0.54,-4.2326e-06,-2.7808e-05,7.9013e-07
0.55,-2.6625e-06,-1.6646e-05,9.4889e-07
0.56,-2.7308e-07,1.0343e-05,1.2543e-06
0.57,-1.8144e-06,1.0303e-05,1.2604e-06
0.58,-4.7987e-06,-4.402e-06,1.1421e-06
0.59,-6.5159e-06,-1.7634e-05,1.0419e-06
0.6,-4.3841e-06,-1.4346e-05,1.0558e-06
0.61,6.244e-07,5.8544e-06,1.1603e-06
0.62,-5.0013e-07,7.0434e-06,1.2031e-06
0.63,-4.6808e-06,-3.146e-06,1.2102e-06
0.64,-7.8089e-06,-1.3128e-05,1.1976e-06
0.65,-5.7598e-06,-1.1926e-05,1.166e-06
0.66,1.0658e-06,2.0238e-06,1.0904e-06
0.67,3.8659e-07,2.9974e-06,1.1132e-06
0.68,-4.3351e-06,-4.0366e-06,1.2051e-06
0.69,-8.1933e-06,-1.0971e-05,1.2885e-06
0.7,-6.6062e-06,-1.0234e-05,1.2551e-06
0.71,8.0714e-07,-3.3555e-07,1.0686e-06
0.72,9.1923e-07,5.3996e-07,1.0627e-06
0.73,-3.4887e-06,-4.5197e-06,1.1933e-06
0.74,-7.5947e-06,-9.5987e-06,1.3316e-06
0.75,-6.8521e-06,-9.1774e-06,1.3213e-06
0.76,-7.5881e-08,-1.7282e-06,1.0879e-06
0.77,9.5316e-07,-7.1847e-07,1.041e-06
0.78,-2.1301e-06,-4.1683e-06,1.1635e-06
0.79,-5.6576e-06,-7.92e-06,1.3156e-06
0.8,-6.0248e-06,-7.9781e-06,1.3461e-06
0.81,-1.696e-06,-2.9291e-06,1.1544e-06
0.82,-1.9761e-07,-1.7769e-06,1.075e-06
0.83,-1.3854e-06,-3.6704e-06,1.1344e-06
0.84,-3.4287e-06,-6.0202e-06,1.2541e-06
0.85,-4.495e-06,-6.4508e-06,1.3257e-06
0.86,-3.4448e-06,-4.0681e-06,1.2569e-06
0.87,-2.3632e-06,-3.1101e-06,1.1849e-06
0.88,-1.9752e-06,-3.5262e-06,1.169e-06
0.89,-2.3395e-06,-4.3929e-06,1.2112e-06
0.9,-3.4029e-06,-4.9913e-06,1.2962e-06
0.91,-4.4071e-06,-4.9801e-06,1.3628e-06
0.92,-4.1165e-06,-4.5323e-06,1.3431e-06
0.93,-3.0784e-06,-3.9974e-06,1.2784e-06
0.94,-2.3453e-06,-3.6825e-06,1.2372e-06
0.95,-2.7938e-06,-4.0908e-06,1.2854e-06
0.96,-4.2729e-06,-5.1409e-06,1.4125e-06
0.97,-4.4441e-06,-5.1663e-06,1.4259e-06
0.98,-3.3987e-06,-4.2132e-06,1.3289e-06
0.99,-2.3704e-06,-3.2812e-06,1.2339e-06
1,-2.3979e-06,-3.3576e-06,1.2555e-06
1.01,-3.863e-06,-4.8821e-06,1.4552e-06
1.02,-4.276e-06,-5.3082e-06,1.5538e-06
1.03,-3.5443e-06,-4.4994e-06,1.5078e-06
1.04,-2.6365e-06,-3.48e-06,1.4063e-06
1.05,-2.3982e-06,-3.2048e-06,1.3476e-06
1.06,-3.2113e-06,-4.143e-06,1.3876e-06
1.07,-3.2242e-06,-4.1669e-06,1.2953e-06
1.08,-2.3703e-06,-3.1719e-06,1.0951e-06
1.09,-1.5664e-06,-2.2132e-06,9.613e-07
1.1,-1.6605e-06,-2.2778e-06,1.0717e-06
1.11,-3.2876e-06,-4.1231e-06,1.5847e-06
1.12,-4.7684e-06,-5.9263e-06,2.2104e-06
1.13,-5.4189e-06,-6.8227e-06,2.6558e-06
1.14,-5.1714e-06,-6.6078e-06,2.7184e-06
1.15,-3.95e-06,-5.0466e-06,2.1987e-06
1.16,-1.4724e-06,-1.7664e-06,8.8058e-07
1.17,2.632e-06,3.2068e-06,-1.1133e-06
1.18,6.8196e-06,7.932e-06,-2.9796e-06
1.19,8.4768e-06,9.6109e-06,-3.6243e-06
1.2,4.6261e-06,5.0603e-06,-1.782e-06
1.21,-6.9839e-06,-8.2023e-06,3.5642e-06
1.22,-2.267e-05,-2.6185e-05,1.0851e-05
1.23,-3.7365e-05,-4.3216e-05,1.7844e-05
1.24,-4.2322e-05,-4.8948e-05,2.0359e-05
1.25,-2.8616e-05,-3.3025e-05,1.4025e-05
1.26,1.1467e-05,1.2865e-05,-5.0149e-06
1.27,7.1735e-05,7.9766e-05,-3.3905e-05
1.28,0.00012887,0.00014097,-6.1641e-05
1.29,0.00015023,0.0001622,-7.243e-05
1.3,0.00010424,0.00011117,-5.0869e-05
1.31,-3.5815e-05,-3.8212e-05,1.7909e-05
1.32,-0.00016427,-0.00017539,8.3123e-05
1.33,-0.00022138,-0.00023819,0.00011465
1.34,-0.00020646,-0.00022458,0.00011039
1.35,-0.00012124,-0.00013382,6.7572e-05
1.36,2.7341e-05,3.0864e-05,-1.5376e-05
1.37,0.00012017,0.00013083,-7.6182e-05
1.38,0.00012825,0.00013204,-9.235e-05
1.39,8.6999e-05,7.9004e-05,-7.5768e-05
1.4,3.268e-05,1.9738e-05,-3.8704e-05
1.41,-2.4551e-06,1.4696e-06,5.7527e-06
1.42,-7.0543e-06,1.6926e-05,4.661e-05
1.43,8.5968e-06,3.8023e-05,7.5541e-05
1.44,3.0012e-05,5.2547e-05,8.3049e-05
1.45,3.5079e-05,4.4389e-05,5.8433e-05
1.46,-7.4472e-06,-7.9287e-06,-8.6571e-06
1.47,-7.0329e-05,-7.5232e-05,-6.883e-05
1.48,-0.00010113,-0.00011199,-8.8262e-05
1.49,-8.7563e-05,-0.00010717,-7.5882e-05
1.5,-3.9214e-05,-6.0753e-05,-4.1632e-05
