t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.15849,-0.2307,-0.10134,0.36647,1.0454,-3.4419,-0.0083994,-0.25968,-0.0097194,0.20378,0.13255,-0.36688,0.1273,0.24132,-0.31415,-1.2195,4.2625,3.0641,0.067363,0.21725,-0.15774,-0.34025,0.26768,0.46238,-0.049003,-0.017662,-0.022886,-0.0092488,0.11451,-0.17285,-0.034259,-0.012308,-0.001343,0.0046642,-0.0033998,-0.0082535
0.01,0.17283,-0.25434,-0.1083,0.40347,1.1066,-3.7802,-0.011232,-0.28432,-0.0059317,0.22214,0.14527,-0.40346,0.11207,0.21723,-0.28621,-1.1125,3.8513,2.7471,0.060531,0.19515,-0.1433,-0.30632,0.23719,0.41586,-0.048558,-0.01799,-0.022244,-0.0077869,0.10759,-0.17547,-0.033876,-0.012517,-0.0011361,0.0049418,-0.0033717,-0.0086563
0.02,0.17365,-0.25961,-0.10551,0.41495,1.0649,-3.8408,-0.012524,-0.28787,-0.0011273,0.22466,0.14592,-0.41085,0.089177,0.17951,-0.23689,-0.92656,3.1635,2.2631,0.048814,0.1612,-0.11843,-0.25229,0.19053,0.34252,-0.048088,-0.01815,-0.021735,-0.0069762,0.10267,-0.17578,-0.033443,-0.012556,-0.0010175,0.005005,-0.0032432,-0.0087383
0.03,0.15929,-0.24292,-0.092772,0.39422,0.92168,-3.5749,-0.011898,-0.2669,0.003278,0.2086,0.1331,-0.38357,0.061216,0.131,-0.17074,-0.67635,2.2651,1.6489,0.033922,0.11785,-0.085574,-0.18262,0.13286,0.24848,-0.047595,-0.018129,-0.021376,-0.0068924,0.099905,-0.17366,-0.03296,-0.012414,-0.00099164,0.0048398,-0.0030152,-0.0084828
0.04,0.1304,-0.204,-0.071486,0.33943,0.6949,-2.9842,-0.0096338,-0.22188,0.0061653,0.17418,0.10758,-0.32155,0.031579,0.076796,-0.095324,-0.38915,1.2599,0.96922,0.018294,0.069584,-0.048456,-0.10498,0.071218,0.14408,-0.04709,-0.01795,-0.021142,-0.0074327,0.098889,-0.16943,-0.032441,-0.012115,-0.0010414,0.004483,-0.0027197,-0.0079435
0.05,0.092349,-0.14988,-0.045893,0.25985,0.43014,-2.177,-0.00662,-0.16114,0.0071503,0.12775,0.074326,-0.2361,0.0051183,0.026164,-0.023754,-0.11499,0.3205,0.33931,0.0050352,0.02458,-0.013336,-0.032755,0.015897,0.047171,-0.046585,-0.017664,-0.020991,-0.0083952,0.099005,-0.16379,-0.031905,-0.011707,-0.0011394,0.0040005,-0.0023957,-0.007217
0.06,0.086137,-0.14064,-0.041428,0.24416,0.3841,-2.0331,-0.0053282,-0.14987,0.0071496,0.11817,0.069303,-0.22041,0.0066825,0.028576,-0.028536,-0.13168,0.37869,0.36639,0.0052391,0.02655,-0.015597,-0.036316,0.018857,0.051781,-0.046086,-0.017358,-0.020861,-0.0094389,0.099395,-0.15791,-0.031378,-0.011277,-0.0012516,0.0035032,-0.0020848,-0.0064649
0.07,0.090134,-0.14623,-0.043297,0.25008,0.40213,-2.1062,-0.0045464,-0.15459,0.0070791,0.12055,0.073198,-0.22754,0.015236,0.044074,-0.053688,-0.22485,0.69574,0.55215,0.0080754,0.040029,-0.027757,-0.058729,0.036089,0.081406,-0.045594,-0.01708,-0.020723,-0.010388,0.099635,-0.15242,-0.030871,-0.010868,-0.0013631,0.0030477,-0.0018035,-0.0057695
0.08,0.088209,-0.14326,-0.041449,0.24378,0.38245,-2.0543,-0.0036155,-0.15008,0.0069396,0.11628,0.071797,-0.22146,0.019023,0.04999,-0.065457,-0.26619,0.83817,0.61917,0.0086173,0.045039,-0.033255,-0.067708,0.043328,0.09291,-0.045107,-0.016828,-0.020577,-0.011247,0.09973,-0.14731,-0.030385,-0.010481,-0.0014725,0.0026316,-0.0015495,-0.0051284
0.09,0.087561,-0.14221,-0.040331,0.24036,0.36997,-2.0302,-0.0028001,-0.1476,0.0067512,0.11362,0.071445,-0.21826,0.023411,0.056692,-0.079282,-0.31433,1.0042,0.69439,0.0091276,0.050752,-0.039637,-0.078047,0.051669,0.10606,-0.044626,-0.016601,-0.020423,-0.012021,0.099688,-0.14254,-0.029916,-0.010113,-0.0015786,0.0022521,-0.0013205,-0.0045379
