t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.32331,0.073406,5.1314
0.02,0.45522,-0.044596,5.1831
0.03,0.58712,-0.1626,5.2348
0.04,0.71902,-0.2806,5.2865
0.05,0.85093,-0.3986,5.3382
0.06,0.84733,-0.38469,5.3398
0.07,0.83941,-0.36658,5.3398
0.08,0.83149,-0.34847,5.3398
0.09,0.82357,-0.33036,5.3398
0.1,0.81565,-0.31225,5.3398
0.11,0.80905,-0.31257,5.3398
0.12,0.80252,-0.31411,5.3398
0.13,0.796,-0.31565,5.3398
0.14,0.78948,-0.31718,5.3398
0.15,0.78296,-0.31872,5.3398
0.16,0.77646,-0.3149,5.3398
0.17,0.76996,-0.31053,5.3398
0.18,0.76347,-0.30617,5.3398
0.19,0.75697,-0.3018,5.3398
0.2,0.75047,-0.29743,5.3398
0.21,0.74408,-0.29124,5.3398
0.22,0.73771,-0.28479,5.3398
0.23,0.73133,-0.27835,5.3398
0.24,0.72496,-0.2719,5.3398
0.25,0.71858,-0.26546,5.3398
0.26,0.71227,-0.25637,5.3398
0.27,0.70597,-0.2468,5.3398
0.28,0.69967,-0.23723,5.3398
0.29,0.69337,-0.22767,5.3398
0.3,0.68708,-0.2181,5.3398
0.31,0.68088,-0.20521,5.3398
0.32,0.67471,-0.19157,5.3398
0.33,0.66854,-0.17792,5.3398
0.34,0.66236,-0.16428,5.3398
0.35,0.65619,-0.15063,5.3398
0.36,0.65018,-0.1328,5.3398
0.37,0.64421,-0.11381,5.3398
0.38,0.63824,-0.094822,5.3398
0.39,0.63227,-0.075832,5.3398
0.4,0.62629,-0.056843,5.3398
0.41,0.62049,-0.033907,5.3398
0.42,0.61475,-0.009677,5.3398
0.43,0.609,0.014553,5.3398
0.44,0.60326,0.038783,5.3398
0.45,0.59751,0.063013,5.3398
0.46,0.59183,0.088632,5.3398
0.47,0.58617,0.11478,5.3398
0.48,0.58051,0.14094,5.3398
0.49,0.57484,0.16709,5.3398
0.5,0.56918,0.19324,5.3398
0.51,0.56332,0.21752,5.3398
0.52,0.55736,0.24096,5.3398
0.53,0.5514,0.2644,5.3398
0.54,0.54545,0.28785,5.3398
0.55,0.53949,0.31129,5.3398
0.56,0.53296,0.33145,5.3398
0.57,0.52613,0.34993,5.3398
0.58,0.5193,0.36841,5.3398
0.59,0.51247,0.38689,5.3398
0.6,0.50564,0.40537,5.3398
0.61,0.49786,0.42082,5.3398
0.62,0.48951,0.43449,5.3398
0.63,0.48116,0.44816,5.3398
0.64,0.47282,0.46183,5.3398
0.65,0.46447,0.4755,5.3398
0.66,0.45486,0.48678,5.3398
0.67,0.44441,0.49646,5.3398
0.68,0.43395,0.50613,5.3398
0.69,0.4235,0.51581,5.3398
0.7,0.41304,0.52549,5.3398
0.71,0.40118,0.5333,5.3398
0.72,0.38823,0.53968,5.3398
0.73,0.37529,0.54607,5.3398
0.74,0.36234,0.55246,5.3398
0.75,0.3494,0.55885,5.3398
0.76,0.33514,0.56379,5.3398
0.77,0.31976,0.56747,5.3398
0.78,0.30438,0.57116,5.3398
0.79,0.289,0.57485,5.3398
0.8,0.27362,0.57853,5.3398
0.81,0.25739,0.58115,5.3398
0.82,0.24035,0.58273,5.3398
0.83,0.2233,0.5843,5.3398
0.84,0.20625,0.58588,5.3398
0.85,0.1892,0.58745,5.3398
0.86,0.17205,0.58835,5.3398
0.87,0.15479,0.5885,5.3398
0.88,0.13753,0.58864,5.3398
0.89,0.12026,0.58879,5.3398
0.9,0.103,0.58894,5.3398
0.91,0.086309,0.58879,5.3398
0.92,0.07034,0.58827,5.3398
0.93,0.05437,0.58775,5.3398
0.94,0.0384,0.58723,5.3398
0.95,0.02243,0.58672,5.3398
0.96,0.0073684,0.58621,5.3398
0.97,-0.0064032,0.58573,5.3398
0.98,-0.020175,0.58524,5.3398
0.99,-0.033946,0.58476,5.3398
1,-0.047718,0.58427,5.3398
1.01,-0.060557,0.58397,5.3398
1.02,-0.071891,0.58396,5.3398
1.03,-0.083224,0.58396,5.3398
1.04,-0.094558,0.58395,5.3398
1.05,-0.10589,0.58394,5.3398
1.06,-0.11639,0.58412,5.3398
1.07,-0.12537,0.58465,5.3398
1.08,-0.13434,0.58518,5.3398
1.09,-0.14331,0.5857,5.3398
1.1,-0.15228,0.58623,5.3398
1.11,-0.16053,0.58683,5.3398
1.12,-0.16725,0.58758,5.3398
1.13,-0.17398,0.58833,5.3398
1.14,-0.1807,0.58907,5.3398
