t, affine_elevL, affine_elevR, affine_throttle
0,-9.8235e-05,0.00011339,2.8916e-06
0.01,0.0047624,-0.003744,-8.6038e-05
0.02,0.0053915,-0.0059732,-0.00012528
0.03,0.0034738,-0.005542,-0.00011309
0.04,0.0011881,-0.0029929,-6.4304e-05
0.05,1.1356e-05,-7.2227e-05,-8.5987e-07
0.06,-0.00031971,0.0015325,4.0477e-05
0.07,-0.00053997,0.0019345,4.7711e-05
0.08,-0.00055591,0.0015684,3.6149e-05
0.09,-0.00034858,0.00080832,1.8059e-05
0.1,-2.1883e-05,4.6038e-05,2.0102e-06
0.11,0.00022045,-0.00040701,-6.3456e-06
0.12,0.00028598,-0.00052286,-7.5822e-06
0.13,0.00023692,-0.00042456,-5.3289e-06
0.14,0.00012745,-0.00022033,-1.9019e-06
0.15,9.0179e-06,-1.4244e-05,9.2967e-07
0.16,-6.6561e-05,0.00010647,2.2225e-06
0.17,-8.7086e-05,0.00013886,2.3278e-06
0.18,-7.0418e-05,0.0001135,1.9137e-06
0.19,-3.5924e-05,5.9941e-05,1.4316e-06
0.2,-4.3289e-06,6.9813e-06,1.1309e-06
0.21,1.419e-05,-2.4077e-05,1.0621e-06
0.22,2.2706e-05,-3.3231e-05,1.1228e-06
0.23,2.3014e-05,-2.813e-05,1.1906e-06
0.24,1.5866e-05,-1.5264e-05,1.2008e-06
0.25,1.5642e-06,-1.0071e-06,1.1135e-06
0.26,-9.5992e-06,8.5428e-06,1.0336e-06
0.27,-8.0724e-06,1.0581e-05,1.0648e-06
0.28,-2.8903e-07,8.0413e-06,1.1486e-06
0.29,5.722e-06,3.8887e-06,1.2027e-06
0.3,1.8686e-06,1.0816e-06,1.1288e-06
0.31,-6.1271e-06,4.8701e-07,1.0245e-06
0.32,1.3987e-07,-4.4657e-07,1.1439e-06
0.33,1.1337e-05,-1.3119e-06,1.3262e-06
0.34,1.6726e-05,-1.4103e-06,1.3975e-06
0.35,4.5441e-06,1.6509e-07,1.1758e-06
0.36,-1.4391e-05,2.4935e-06,8.6969e-07
0.37,-9.1838e-06,2.6783e-06,9.8931e-07
0.38,7.5768e-06,1.6138e-06,1.2815e-06
0.39,1.9235e-05,4.072e-07,1.4572e-06
0.4,7.3934e-06,2.2531e-07,1.2282e-06
0.41,-2.2775e-05,1.4955e-06,7.1438e-07
0.42,-2.6941e-05,2.0579e-06,6.6556e-07
0.43,-1.489e-05,1.8077e-06,8.8138e-07
0.44,-3.0099e-07,1.0485e-06,1.1191e-06
0.45,1.4904e-06,3.0684e-07,1.1303e-06
0.46,-1.4793e-05,1.4257e-08,8.4916e-07
0.47,-2.8096e-05,-1.2104e-07,6.3459e-07
0.48,-3.2402e-05,-2.4669e-07,5.8531e-07
0.49,-2.5913e-05,-3.2966e-07,7.1191e-07
0.5,-1.0089e-05,-3.3403e-07,9.6087e-07
0.51,6.1396e-06,-5.5948e-07,1.1807e-06
0.52,-5.0562e-07,-1.844e-06,1.072e-06
0.53,-1.6546e-05,-3.1959e-06,8.6742e-07
0.54,-2.6177e-05,-3.5715e-06,7.7384e-07
0.55,-1.47e-05,-1.9511e-06,9.374e-07
0.56,1.1955e-05,4.1606e-07,1.2385e-06
0.57,1.1911e-05,-1.1074e-06,1.2435e-06
0.58,-2.8624e-06,-4.103e-06,1.1179e-06
0.59,-1.6084e-05,-5.7915e-06,1.0185e-06
0.6,-1.2626e-05,-3.5904e-06,1.035e-06
0.61,6.9652e-06,1.2772e-06,1.1358e-06
0.62,8.0762e-06,4.4972e-08,1.167e-06
0.63,-2.1369e-06,-4.1406e-06,1.1707e-06
0.64,-1.2049e-05,-7.1271e-06,1.1676e-06
0.65,-1.071e-05,-4.9875e-06,1.1349e-06
0.66,2.4323e-06,1.4627e-06,1.063e-06
0.67,3.4105e-06,8.1672e-07,1.0863e-06
0.68,-3.6291e-06,-3.9202e-06,1.176e-06
0.69,-1.0555e-05,-7.7569e-06,1.2595e-06
0.7,-9.8326e-06,-6.1774e-06,1.2244e-06
0.71,1.0482e-07,1.2742e-06,1.0361e-06
0.72,9.8591e-07,1.4041e-06,1.0299e-06
0.73,-4.0388e-06,-2.9439e-06,1.1633e-06
0.74,-9.1453e-06,-7.0814e-06,1.2978e-06
0.75,-8.739e-06,-6.3541e-06,1.2848e-06
0.76,-1.2964e-06,4.2302e-07,1.0507e-06
0.77,-2.9255e-07,1.4534e-06,1.0021e-06
0.78,-3.7854e-06,-1.6574e-06,1.1191e-06
0.79,-7.5123e-06,-5.163e-06,1.2727e-06
0.8,-7.3803e-06,-5.3662e-06,1.2977e-06
0.81,-2.3264e-06,-1.0328e-06,1.1048e-06
0.82,-1.1617e-06,4.6471e-07,1.0255e-06
