t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.1273,-0.24132,-0.31416,1.2195,4.2625,-3.0641,0.067365,-0.21725,-0.15774,0.34025,0.26768,-0.46238,0.15849,0.2307,-0.10134,-0.36647,1.0454,3.4419,-0.0083993,0.25968,-0.0097195,-0.20378,0.13255,0.36688,-0.049003,0.017662,-0.022885,0.0092481,0.11451,0.17285,-0.034259,0.012308,-0.0013429,-0.0046643,-0.0034,0.0082536
0.01,0.11238,-0.21776,-0.28697,1.1153,3.8615,-2.7537,0.060686,-0.19562,-0.14368,0.30709,0.23783,-0.41689,0.17338,0.25499,-0.10876,-0.40415,1.1117,3.7901,-0.011244,0.28507,-0.0060172,-0.22265,0.14581,0.40446,-0.048558,0.01799,-0.022243,0.0077853,0.10759,0.17547,-0.033876,0.012517,-0.0011359,-0.0049422,-0.003372,0.0086568
0.02,0.088992,-0.17918,-0.23642,0.92476,3.1572,-2.2589,0.04872,-0.1609,-0.1182,0.25181,0.19015,-0.34187,0.17335,0.25924,-0.10529,-0.4145,1.0624,3.8352,-0.012512,0.28744,-0.0010985,-0.22436,0.14564,0.41027,-0.048088,0.01815,-0.021735,0.0069769,0.10267,0.17578,-0.033443,0.012556,-0.0010176,-0.0050048,-0.0032432,0.0087379
0.03,0.060932,-0.13047,-0.16999,0.67352,2.2552,-1.6424,0.033781,-0.11739,-0.085208,0.18187,0.13228,-0.24748,0.15895,0.24246,-0.092533,-0.39362,0.91915,3.5682,-0.011883,0.2664,0.0032973,-0.20823,0.13279,0.38287,-0.047595,0.018129,-0.021376,0.0068907,0.0999,0.17366,-0.03296,0.012414,-0.00099148,-0.0048403,-0.0030154,0.0084834
0.04,0.032131,-0.077852,-0.096832,0.39491,1.2797,-0.98231,0.018564,-0.070519,-0.049196,0.10649,0.072372,-0.1461,0.13108,0.20496,-0.071933,-0.3408,0.69952,2.9984,-0.0096698,0.22293,0.0061528,-0.17496,0.10819,0.32304,-0.04709,0.01795,-0.021142,0.0074321,0.098886,0.16943,-0.032441,0.012115,-0.0010414,-0.0044831,-0.0027199,0.0079436
0.05,0.0039392,-0.023895,-0.020458,0.10241,0.27774,-0.31132,0.0044935,-0.022572,-0.011721,0.029522,0.013447,-0.042842,0.090858,0.14775,-0.044937,-0.25678,0.42037,2.1456,-0.0065493,0.15881,0.0071622,-0.12602,0.073007,0.2328,-0.046585,0.017664,-0.02099,0.0083933,0.099,0.16379,-0.031905,0.011707,-0.0011393,-0.0040011,-0.002396,0.0072178
0.06,0.008046,-0.031208,-0.032434,0.14651,0.42885,-0.39867,0.0058231,-0.028874,-0.017507,0.040067,0.021678,-0.056795,0.087987,0.14332,-0.042582,-0.24803,0.3958,2.0723,-0.0054047,0.15276,0.0071502,-0.12031,0.070933,0.22454,-0.046086,0.017358,-0.020861,0.0094382,0.099392,0.15791,-0.031378,0.011277,-0.0012515,-0.0035034,-0.0020849,0.0064651
0.07,0.01334,-0.040422,-0.048159,0.20391,0.62517,-0.50766,0.0073248,-0.03681,-0.025051,0.053517,0.03219,-0.074454,0.0875,0.14239,-0.041687,-0.24453,0.38593,2.0503,-0.0044565,0.15048,0.00707,-0.11754,0.070881,0.22165,-0.045594,0.01708,-0.020723,0.010388,0.099633,0.15242,-0.030871,0.010868,-0.0013631,-0.0030479,-0.0018036,0.0057697
0.08,0.018811,-0.04957,-0.06482,0.26377,0.83009,-0.61408,0.0085384,-0.044669,-0.032943,0.067112,0.042892,-0.092114,0.087815,0.14269,-0.041213,-0.24295,0.38009,2.046,-0.0036049,0.14947,0.0069377,-0.11584,0.071451,0.22058,-0.045107,0.016828,-0.020577,0.011247,0.099727,0.14731,-0.030385,0.010481,-0.0014724,-0.0026318,-0.0015497,0.0051286
0.09,0.023567,-0.056988,-0.079754,0.31609,1.0101,-0.69795,0.0091798,-0.051013,-0.039866,0.078474,0.051986,-0.10663,0.087767,0.14251,-0.040451,-0.24079,0.37116,2.0346,-0.0028046,0.14792,0.0067528,-0.11385,0.071625,0.21872,-0.044626,0.016601,-0.020423,0.01202,0.099685,0.14254,-0.029916,0.010113,-0.0015785,-0.0022522,-0.0013207,0.0045381
0.1,0.026879,-0.061536,-0.090705,0.35287,1.1379,-0.74633,0.0091436,-0.054881,-0.04475,0.08587,0.05808,-0.11579,0.087615,0.14224,-0.039559,-0.23862,0.36075,2.0216,-0.0020613,0.14622,0.0065245,-0.11188,0.071634,0.21666,-0.04415,0.016398,-0.020261,0.012712,0.099515,0.13809,-0.029463,0.0097629,-0.0016806,-0.0019063,-0.0011145,0.0039944
0.11,0.028202,-0.062505,-0.095874,0.36807,1.1927,-0.75176,0.0084395,-0.055674,-0.046801,0.088112,0.06018,-0.11815,0.087388,0.14188,-0.038573,-0.23641,0.34933,2.0072,-0.0013641,0.14442,0.0062508,-0.10993,0.071517,0.2144,-0.043677,0.016212,-0.020097,0.013348,0.099296,0.1339,-0.029025,0.0094264,-0.0017807,-0.0015861,-0.00092548,0.0034873
0.12,0.028029,-0.060906,-0.096529,0.36678,1.1915,-0.72704,0.0073457,-0.054275,-0.0467,0.086579,0.059333,-0.11559,0.087034,0.14132,-0.037494,-0.23393,0.33702,1.99,-0.00070098,0.1424,0.0059248,-0.10791,0.071244,0.21179,-0.043205,0.016039,-0.019938,0.013951,0.099108,0.1299,-0.028597,0.0090991,-0.001881,-0.0012844,-0.00074852,0.003007
0.13,0.0279,-0.059356,-0.097242,0.36565,1.1913,-0.70311,0.0062845,-0.052965,-0.046625,0.085158,0.058575,-0.11316,0.086735,0.14083,-0.03643,-0.23155,0.32489,1.9737,-6.9944e-05,0.14044,0.0055509,-0.10599,0.070978,0.2092,-0.042734,0.015877,-0.019784,0.014523,0.098952,0.12607,-0.028181,0.0087802,-0.0019815,-0.00099952,-0.00058279,0.0025516
0.14,0.027849,-0.057927,-0.098139,0.36513,1.1935,-0.68079,0.0052591,-0.051808,-0.046641,0.083952,0.057977,-0.11101,0.086512,0.14043,-0.035394,-0.22934,0.3131,1.9587,0.00053301,0.13856,0.0051323,-0.10421,0.070738,0.20668,-0.042263,0.015726,-0.019634,0.015065,0.098828,0.1224,-0.027774,0.0084691,-0.0020819,-0.00073038,-0.00042768,0.0021196
0.15,0.027634,-0.056229,-0.098452,0.36255,1.1889,-0.65563,0.0042299,-0.050459,-0.046394,0.082355,0.057071,-0.10836,0.086336,0.14008,-0.034372,-0.22721,0.30151,1.9443,0.0011112,0.13673,0.0046711,-0.10251,0.070503,0.20416,-0.041793,0.015584,-0.019488,0.015577,0.098732,0.11889,-0.027377,0.0081652,-0.0021823,-0.00047594,-0.00028265,0.00171
0.16,0.028322,-0.055851,-0.10155,0.36954,1.2177,-0.64549,0.0033171,-0.050329,-0.04742,0.0829,0.057878,-0.10841,0.086201,0.13976,-0.033358,-0.22518,0.29008,1.9303,0.0016661,0.13493,0.0041708,-0.1009,0.070264,0.20163,-0.041323,0.015451,-0.019345,0.016056,0.098651,0.11552,-0.026989,0.0078685,-0.0022818,-0.00023616,-0.00014787,0.0013226
0.17,0.029013,-0.055398,-0.10461,0.37625,1.2459,-0.63447,0.0023872,-0.050191,-0.048416,0.083407,0.058669,-0.10838,0.086114,0.13949,-0.032351,-0.22326,0.27877,1.9171,0.0021989,0.13318,0.0036353,-0.09938,0.070026,0.19912,-0.040854,0.015327,-0.019204,0.016498,0.098565,0.1123,-0.026609,0.0075791,-0.0023796,-1.127e-05,-2.3644e-05,0.00095779
0.18,0.029636,-0.054777,-0.10741,0.38193,1.2709,-0.62158,0.0014393,-0.049963,-0.049282,0.08372,0.059317,-0.10807,0.086071,0.13926,-0.031352,-0.22145,0.26762,1.9044,0.0027121,0.13148,0.0030655,-0.097939,0.069787,0.1966,-0.040386,0.015212,-0.019064,0.016904,0.098477,0.10921,-0.026238,0.0072963,-0.0024758,0.00019981,9.0721e-05,0.00061431
0.19,0.03019,-0.053998,-0.10994,0.38653,1.2925,-0.60696,0.0004806,-0.049652,-0.050014,0.083835,0.059816,-0.1075,0.086071,0.13906,-0.03036,-0.21973,0.25663,1.8921,0.003208,0.12981,0.0024626,-0.09657,0.069546,0.19408,-0.039919,0.015104,-0.018925,0.017277,0.098388,0.10625,-0.025873,0.0070196,-0.0025702,0.00039804,0.00019586,0.0002909
0.2,0.030722,-0.053136,-0.11233,0.39058,1.3125,-0.59147,-0.00048236,-0.049324,-0.050681,0.083867,0.060259,-0.1068,0.086107,0.13888,-0.029376,-0.21808,0.24581,1.8801,0.0036884,0.12817,0.0018278,-0.095258,0.069299,0.19153,-0.039453,0.015003,-0.018789,0.017617,0.098299,0.1034,-0.025516,0.0067484,-0.0026628,0.00058435,0.00029238,-1.3582e-05
0.21,0.031361,-0.052352,-0.11499,0.39543,1.3356,-0.57686,-0.0014498,-0.049133,-0.051463,0.084096,0.060875,-0.10633,0.086163,0.13869,-0.028393,-0.21645,0.23511,1.868,0.0041546,0.12654,0.0011638,-0.093986,0.069033,0.18892,-0.038987,0.014908,-0.018653,0.017925,0.098207,0.10066,-0.025164,0.0064823,-0.0027533,0.00075927,0.00038056,-0.00029986
0.22,0.032066,-0.051595,-0.11779,0.40063,1.3603,-0.56251,-0.0024232,-0.04903,-0.052301,0.084429,0.061588,-0.10595,0.086241,0.1385,-0.027413,-0.21486,0.22456,1.8558,0.0046077,0.12491,0.00047296,-0.09275,0.068749,0.18626,-0.038522,0.014818,-0.018519,0.018201,0.098107,0.098018,-0.024819,0.0062211,-0.0028415,0.00092331,0.00046068,-0.00056863
0.23,0.032689,-0.050683,-0.12023,0.40459,1.3809,-0.54658,-0.0033916,-0.048845,-0.052979,0.084537,0.062128,-0.1053,0.086355,0.13832,-0.026443,-0.21332,0.21423,1.8438,0.00505,0.12331,-0.00024393,-0.091561,0.06846,0.18357,-0.038058,0.014733,-0.018385,0.018446,0.098001,0.095471,-0.02448,0.0059644,-0.0029273,0.0010772,0.00053322,-0.0008208
0.24,0.033276,-0.049685,-0.12246,0.40781,1.3991,-0.52978,-0.0043519,-0.048636,-0.053565,0.084526,0.062583,-0.10448,0.086502,0.13814,-0.025486,-0.21182,0.20415,1.832,0.0054828,0.12174,-0.00098556,-0.090411,0.068166,0.18085,-0.037594,0.014652,-0.018253,0.018662,0.097889,0.093008,-0.024145,0.0057118,-0.0030106,0.0012216,0.00059864,-0.0010573
0.25,0.033916,-0.048705,-0.12477,0.4112,1.4182,-0.51321,-0.0053112,-0.048507,-0.054182,0.084581,0.063105,-0.10373,0.086677,0.13795,-0.024541,-0.21034,0.19433,1.82,0.005907,0.12017,-0.0017506,-0.089288,0.067861,0.17808,-0.037131,0.014575,-0.018121,0.018851,0.097771,0.090622,-0.023816,0.005463,-0.0030914,0.0013571,0.00065741,-0.0012788
0.26,0.034647,-0.047779,-0.12727,0.41514,1.4395,-0.49721,-0.0062741,-0.048496,-0.05488,0.084775,0.06376,-0.10314,0.086876,0.13775,-0.023606,-0.20886,0.18476,1.8079,0.0063229,0.11861,-0.0025367,-0.088188,0.067542,0.17527,-0.036668,0.014501,-0.017991,0.019011,0.097644,0.088309,-0.023491,0.0052178,-0.0031694,0.001484,0.00070967,-0.0014858
