t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.073406,0.32331,5.1314
0.02,-0.044596,0.45522,5.1831
0.03,-0.1626,0.58712,5.2348
0.04,-0.2806,0.71902,5.2865
0.05,-0.3986,0.85093,5.3382
0.06,-0.38469,0.84733,5.3398
0.07,-0.36658,0.83941,5.3398
0.08,-0.34847,0.83149,5.3398
0.09,-0.33036,0.82357,5.3398
0.1,-0.31225,0.81565,5.3398
0.11,-0.31257,0.80905,5.3398
0.12,-0.31411,0.80253,5.3398
0.13,-0.31565,0.796,5.3398
0.14,-0.31718,0.78948,5.3398
0.15,-0.31872,0.78296,5.3398
0.16,-0.3149,0.77646,5.3398
0.17,-0.31053,0.76996,5.3398
0.18,-0.30617,0.76347,5.3398
0.19,-0.3018,0.75697,5.3398
0.2,-0.29743,0.75047,5.3398
0.21,-0.29124,0.74408,5.3398
0.22,-0.28479,0.73771,5.3398
0.23,-0.27835,0.73133,5.3398
0.24,-0.2719,0.72496,5.3398
0.25,-0.26546,0.71858,5.3398
0.26,-0.25637,0.71227,5.3398
0.27,-0.2468,0.70597,5.3398
0.28,-0.23723,0.69967,5.3398
0.29,-0.22767,0.69337,5.3398
0.3,-0.2181,0.68708,5.3398
0.31,-0.20521,0.68088,5.3398
0.32,-0.19157,0.67471,5.3398
0.33,-0.17792,0.66854,5.3398
0.34,-0.16428,0.66236,5.3398
0.35,-0.15063,0.65619,5.3398
0.36,-0.1328,0.65018,5.3398
0.37,-0.11381,0.64421,5.3398
0.38,-0.094822,0.63824,5.3398
0.39,-0.075832,0.63227,5.3398
0.4,-0.056843,0.62629,5.3398
0.41,-0.033907,0.62049,5.3398
0.42,-0.009677,0.61475,5.3398
0.43,0.014553,0.609,5.3398
0.44,0.038783,0.60326,5.3398
0.45,0.063013,0.59751,5.3398
0.46,0.088632,0.59183,5.3398
0.47,0.11478,0.58617,5.3398
0.48,0.14094,0.58051,5.3398
0.49,0.16709,0.57484,5.3398
0.5,0.19324,0.56918,5.3398
0.51,0.21752,0.56332,5.3398
0.52,0.24096,0.55736,5.3398
0.53,0.2644,0.5514,5.3398
0.54,0.28785,0.54545,5.3398
0.55,0.31129,0.53949,5.3398
0.56,0.33145,0.53296,5.3398
0.57,0.34993,0.52613,5.3398
0.58,0.36841,0.5193,5.3398
0.59,0.38689,0.51247,5.3398
0.6,0.40537,0.50564,5.3398
0.61,0.42082,0.49786,5.3398
0.62,0.43449,0.48951,5.3398
0.63,0.44816,0.48116,5.3398
0.64,0.46183,0.47282,5.3398
0.65,0.4755,0.46447,5.3398
0.66,0.48678,0.45486,5.3398
0.67,0.49646,0.44441,5.3398
0.68,0.50613,0.43395,5.3398
0.69,0.51581,0.4235,5.3398
0.7,0.52549,0.41304,5.3398
0.71,0.5333,0.40118,5.3398
0.72,0.53968,0.38823,5.3398
0.73,0.54607,0.37529,5.3398
0.74,0.55246,0.36234,5.3398
0.75,0.55885,0.3494,5.3398
0.76,0.56379,0.33514,5.3398
0.77,0.56747,0.31976,5.3398
0.78,0.57116,0.30438,5.3398
0.79,0.57485,0.289,5.3398
0.8,0.57853,0.27362,5.3398
0.81,0.58115,0.25739,5.3398
0.82,0.58273,0.24035,5.3398
0.83,0.5843,0.2233,5.3398
0.84,0.58588,0.20625,5.3398
0.85,0.58745,0.1892,5.3398
0.86,0.58835,0.17205,5.3398
0.87,0.5885,0.15479,5.3398
0.88,0.58864,0.13753,5.3398
0.89,0.58879,0.12026,5.3398
0.9,0.58894,0.103,5.3398
0.91,0.58879,0.086309,5.3398
0.92,0.58827,0.070339,5.3398
0.93,0.58775,0.05437,5.3398
0.94,0.58723,0.0384,5.3398
0.95,0.58672,0.02243,5.3398
0.96,0.58621,0.0073683,5.3398
0.97,0.58573,-0.0064033,5.3398
0.98,0.58524,-0.020175,5.3398
0.99,0.58476,-0.033947,5.3398
1,0.58427,-0.047718,5.3398
1.01,0.58397,-0.060557,5.3398
1.02,0.58396,-0.071891,5.3398
1.03,0.58396,-0.083224,5.3398
1.04,0.58395,-0.094558,5.3398
1.05,0.58394,-0.10589,5.3398
1.06,0.58412,-0.11639,5.3398
1.07,0.58465,-0.12537,5.3398
1.08,0.58518,-0.13434,5.3398
1.09,0.5857,-0.14331,5.3398
1.1,0.58623,-0.15228,5.3398
1.11,0.58683,-0.16053,5.3398
1.12,0.58758,-0.16725,5.3398
1.13,0.58833,-0.17398,5.3398
1.14,0.58907,-0.1807,5.3398
1.15,0.58982,-0.18742,5.3398
1.16,0.59047,-0.19351,5.3398
1.17,0.59087,-0.19805,5.3398
1.18,0.59127,-0.20258,5.3398
1.19,0.59166,-0.20711,5.3398
1.2,0.59206,-0.21165,5.3398
1.21,0.59218,-0.21561,5.3398
1.22,0.59147,-0.21792,5.3398
1.23,0.59077,-0.22024,5.3398
1.24,0.59006,-0.22256,5.3398
1.25,0.58936,-0.22487,5.3398
1.26,0.58817,-0.22663,5.3398
1.27,0.58535,-0.22647,5.3398
1.28,0.58253,-0.22632,5.3398
1.29,0.5797,-0.22616,5.3398
1.3,0.57688,-0.22601,5.3398
1.31,0.5729,-0.22502,5.1306
1.32,0.56422,-0.22065,4.0692
1.33,0.55554,-0.21627,3.0078
1.34,0.54686,-0.21189,1.9464
1.35,0.53818,-0.20751,0.88498
1.36,0.52776,-0.20237,0
1.37,0.5086,-0.19339,0
1.38,0.48945,-0.1844,0
1.39,0.47029,-0.17542,0
1.4,0.45113,-0.16644,0
1.41,0.42979,-0.15693,0
1.42,0.39446,-0.14404,0
1.43,0.35914,-0.13116,0
1.44,0.32381,-0.11827,0
1.45,0.28849,-0.10538,0
1.46,0.25549,-0.087921,0.10546
1.47,0.24249,-0.031221,1.1152
1.48,0.22948,0.025479,2.1249
1.49,0.21647,0.082179,3.1346
1.5,0.20346,0.13888,4.1443
