t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12038,-1.3518e-05,-0.02284,-0.00048196,-0.19095,0.00014117,11.392,0.00024253,-4.4848,0.023037,0.036222,-0.0073537
0.02,0.24068,-1.6382e-05,-0.044799,-0.0003243,-0.19035,8.8655e-05,11.403,9.9802e-05,-4.3896,0.056818,0.063788,-0.018426
0.03,0.36092,-1.3148e-05,-0.065912,0.00046717,-0.18962,-0.00015912,11.415,-0.00035856,-4.2976,0.099631,0.083757,-0.032684
0.04,0.48111,-8.3737e-06,-0.086215,0.0018867,-0.1888,-0.00060372,11.428,-0.0010629,-4.2088,0.14976,0.097188,-0.049594
0.05,0.60124,-6.6162e-06,-0.10574,0.0039284,-0.18788,-0.0012467,11.441,-0.0019437,-4.1231,0.2055,0.10514,-0.068625
0.06,0.72133,-1.2433e-05,-0.12453,0.0065866,-0.1869,-0.0020897,11.455,-0.0029312,-4.0406,0.26514,0.10867,-0.089242
0.07,0.84139,-3.038e-05,-0.14261,0.0098554,-0.18587,-0.0031342,11.47,-0.0039559,-3.9614,0.32695,0.10885,-0.11091
0.08,0.96143,-6.5015e-05,-0.16001,0.013729,-0.1848,-0.0043818,11.484,-0.0049481,-3.8853,0.38923,0.10672,-0.13311
0.09,1.0814,-0.0001209,-0.17678,0.018202,-0.18372,-0.0058341,11.498,-0.0058382,-3.8124,0.45027,0.10335,-0.15529
0.1,1.2015,-0.00020258,-0.19295,0.023268,-0.18265,-0.0074927,11.513,-0.0065565,-3.7427,0.50834,0.099805,-0.17693
0.11,1.3215,-0.00031525,-0.20856,0.028918,-0.1816,-0.0093579,11.526,-0.0070397,-3.6762,0.56208,0.096953,-0.19759
0.12,1.4415,-0.00046713,-0.22362,0.035125,-0.18056,-0.011424,11.54,-0.0072537,-3.6127,0.61166,0.094818,-0.2173
0.13,1.5615,-0.00066734,-0.23816,0.041859,-0.17953,-0.013685,11.553,-0.0071738,-3.5521,0.65774,0.093159,-0.23624
0.14,1.6815,-0.00092502,-0.25221,0.049087,-0.1785,-0.016133,11.566,-0.0067748,-3.4943,0.70099,0.091734,-0.25457
0.15,1.8016,-0.0012493,-0.26579,0.056778,-0.17745,-0.01876,11.579,-0.0060319,-3.4389,0.74207,0.090304,-0.27248
0.16,1.9216,-0.0016495,-0.27893,0.064902,-0.17639,-0.021561,11.592,-0.0049241,-3.3859,0.78155,0.08866,-0.29011
0.17,2.0417,-0.0021359,-0.29165,0.073437,-0.17532,-0.02453,11.605,-0.0034514,-3.3352,0.81948,0.086775,-0.30745
0.18,2.1618,-0.0027191,-0.30397,0.082366,-0.17422,-0.027663,11.618,-0.001621,-3.2867,0.85577,0.08468,-0.32447
0.19,2.282,-0.0034099,-0.31591,0.091669,-0.17309,-0.030957,11.63,0.00056,-3.2404,0.89032,0.082403,-0.34111
0.2,2.4021,-0.0042189,-0.32748,0.10133,-0.17195,-0.034405,11.643,0.0030846,-3.1961,0.92303,0.079976,-0.35733
0.21,2.5223,-0.0051567,-0.33872,0.11132,-0.17077,-0.038006,11.655,0.0059438,-3.1538,0.95382,0.077423,-0.37309
0.22,2.6426,-0.0062351,-0.34963,0.12164,-0.16958,-0.041752,11.667,0.0091187,-3.1134,0.98273,0.07473,-0.38838
0.23,2.7629,-0.0074658,-0.36024,0.13226,-0.16835,-0.045641,11.679,0.012586,-3.0749,1.0098,0.07187,-0.40323
0.24,2.8832,-0.0088607,-0.37057,0.14315,-0.16709,-0.049667,11.691,0.016324,-3.0382,1.0353,0.068816,-0.41764
0.25,3.0036,-0.010432,-0.38062,0.15432,-0.16579,-0.053824,11.702,0.020309,-3.0032,1.0591,0.06554,-0.43162
0.26,3.124,-0.012191,-0.39042,0.16573,-0.16447,-0.05811,11.714,0.024518,-2.9699,1.0814,0.062014,-0.4452
0.27,3.2445,-0.01415,-0.39998,0.17736,-0.1631,-0.062518,11.725,0.028923,-2.9382,1.1022,0.058209,-0.45837
0.28,3.365,-0.016321,-0.40932,0.18922,-0.1617,-0.067045,11.737,0.033497,-2.9081,1.1214,0.054094,-0.47112
0.29,3.4856,-0.018718,-0.41845,0.20126,-0.16027,-0.071687,11.748,0.038209,-2.8795,1.1392,0.04964,-0.48346
0.3,3.6062,-0.021352,-0.42738,0.21349,-0.1588,-0.07644,11.759,0.043032,-2.8525,1.1554,0.044814,-0.49537
0.31,3.7268,-0.024236,-0.43614,0.22589,-0.15729,-0.081299,11.77,0.047937,-2.827,1.1702,0.039585,-0.50686
0.32,3.8476,-0.027382,-0.44473,0.23843,-0.15576,-0.086262,11.78,0.052896,-2.8029,1.1834,0.033901,-0.51792
0.33,3.9683,-0.030803,-0.45316,0.2511,-0.15419,-0.091325,11.791,0.057883,-2.7803,1.195,0.027705,-0.52855
