t, affine_elevL, affine_elevR, affine_throttle
0,-0.00072247,0.00080829,-4.5906e-05
0.01,0.001154,-0.0008008,-5.934e-05
0.02,0.002386,-0.0020772,-6.3951e-05
0.03,0.0030742,-0.0030378,-6.364e-05
0.04,0.0033209,-0.0037098,-6.1592e-05
0.05,0.00323,-0.0041239,-5.921e-05
0.06,0.0028985,-0.0043087,-5.7646e-05
0.07,0.0024165,-0.00429,-5.7692e-05
0.08,0.0018689,-0.0040789,-5.9396e-05
0.09,0.0013268,-0.0036822,-6.2785e-05
0.1,0.00084317,-0.0031019,-6.7824e-05
0.11,0.0004508,-0.0023274,-7.4469e-05
0.12,0.0001705,-0.0013503,-8.2731e-05
0.13,7.7002e-06,-0.00016729,-9.2706e-05
0.14,-7.7224e-05,0.0011013,-0.00010324
0.15,-0.00012569,0.0020934,-0.00011094
0.16,-0.00014885,0.0027996,-0.00011628
0.17,-0.00015265,0.003244,-0.00011977
0.18,-0.00014428,0.0034543,-0.00012178
0.19,-0.00013062,0.0034592,-0.00012264
0.2,-0.00011435,0.0032888,-0.00012238
0.21,-9.6291e-05,0.0029747,-0.00012096
0.22,-7.6404e-05,0.0025487,-0.00011829
0.23,-5.4032e-05,0.0020464,-0.00011427
0.24,-2.8723e-05,0.0015046,-0.0001088
0.25,1.0612e-07,0.00095845,-0.00010178
0.26,3.2308e-05,0.00044925,-9.3293e-05
0.27,6.8107e-05,3.8261e-05,-8.3699e-05
0.28,0.00010632,-0.00017634,-7.4237e-05
0.29,0.00013739,-0.00020857,-6.5816e-05
0.3,0.00015248,-0.0001197,-5.8908e-05
0.31,0.00015037,4.239e-05,-5.3785e-05
0.32,0.00013301,0.00023908,-5.0582e-05
0.33,0.000103,0.00043248,-4.9403e-05
0.34,6.5533e-05,0.00059953,-5.0187e-05
0.35,2.6279e-05,0.00072296,-5.2827e-05
0.36,-8.4122e-06,0.00078661,-5.72e-05
0.37,-3.2379e-05,0.00078636,-6.3191e-05
0.38,-4.222e-05,0.00072081,-7.0729e-05
0.39,-3.791e-05,0.00058894,-8.0126e-05
0.4,-1.8087e-05,0.00040447,-9.1009e-05
0.41,2.9726e-05,0.00018857,-0.00010249
0.42,0.00012333,-4.503e-05,-0.00011302
0.43,0.00025696,-0.00030369,-0.00012083
0.44,0.00040507,-0.00058766,-0.00012518
0.45,0.00051941,-0.00089177,-0.00012542
0.46,0.00057549,-0.0011973,-0.00012187
0.47,0.00056783,-0.0014719,-0.00011522
0.48,0.00050229,-0.0016834,-0.00010615
0.49,0.00040313,-0.001788,-9.5709e-05
0.5,0.00027512,-0.0017301,-8.6105e-05
0.51,0.00011862,-0.0014588,-7.972e-05
0.52,-7.5351e-05,-0.00092784,-7.9211e-05
0.53,-0.00039097,-9.1812e-05,-8.8918e-05
0.54,-0.00083815,0.00095806,-0.0001082
0.55,-0.0012231,0.0019721,-0.00012775
0.56,-0.001515,0.0029024,-0.00014616
0.57,-0.0017353,0.0037036,-0.00016287
0.58,-0.0019039,0.0043229,-0.00017706
0.59,-0.0020254,0.0047132,-0.00018772
0.6,-0.0020965,0.0048349,-0.00019376
0.61,-0.0020851,0.0046635,-0.00019424
0.62,-0.0019525,0.0041983,-0.00018856
0.63,-0.001675,0.003453,-0.00017618
0.64,-0.0012726,0.0024947,-0.00015713
0.65,-0.00082726,0.0014239,-0.00013221
0.66,-0.00042221,0.00029001,-0.00010223
0.67,-0.00011039,-0.00081358,-7.0851e-05
0.68,0.00010277,-0.0017096,-4.4638e-05
0.69,0.00026732,-0.0023088,-2.6897e-05
0.7,0.0004318,-0.0026502,-1.6063e-05
0.71,0.0005941,-0.002731,-1.0971e-05
0.72,0.00071934,-0.0025614,-1.0503e-05
0.73,0.00079265,-0.0021982,-1.3596e-05
0.74,0.0008134,-0.0017138,-1.9165e-05
0.75,0.00077731,-0.001185,-2.6095e-05
0.76,0.00067172,-0.00069525,-3.3236e-05
0.77,0.00048527,-0.0003359,-3.9429e-05
0.78,0.0002149,-0.00020302,-4.3566e-05
0.79,-0.00014164,-0.00043936,-4.4352e-05
0.8,-0.00061079,-0.0010607,-4.1552e-05
0.81,-0.0012676,-0.0018977,-3.596e-05
0.82,-0.0021519,-0.002741,-2.6923e-05
0.83,-0.0031952,-0.0034882,-1.353e-05
0.84,-0.0042521,-0.0040558,4.4632e-06
0.85,-0.0052103,-0.0043998,2.5496e-05
0.86,-0.005972,-0.0045112,4.7566e-05
0.87,-0.0064369,-0.0043966,6.803e-05
0.88,-0.0065087,-0.0040744,8.4086e-05
0.89,-0.006153,-0.0035927,9.322e-05
0.9,-0.0053807,-0.0030216,9.3395e-05
0.91,-0.0041646,-0.002406,8.3429e-05
0.92,-0.002526,-0.0017755,6.3048e-05
0.93,-0.00066502,-0.0012962,3.2736e-05
0.94,0.0015443,-0.001097,-5.0345e-06
0.95,0.0041374,-0.001073,-4.4856e-05
0.96,0.0067499,-0.0011105,-8.3351e-05
0.97,0.0089652,-0.0011713,-0.00011797
0.98,0.010545,-0.0012371,-0.00014662
0.99,0.01137,-0.0012815,-0.00016741
1,0.011414,-0.0012976,-0.0001788
1.01,0.010721,-0.0012856,-0.00017931
1.02,0.0094215,-0.0012611,-0.00016771
1.03,0.0076975,-0.00125,-0.00014313
1.04,0.0057066,-0.0012863,-0.00010505
1.05,0.0035611,-0.0014127,-5.4009e-05
1.06,0.0014983,-0.0016782,9.0233e-06
1.07,-0.00029981,-0.0021204,8.094e-05
1.08,-0.0023372,-0.0026039,0.00015178
1.09,-0.0046269,-0.0030911,0.00021809
1.1,-0.0069467,-0.0035738,0.00027826
1.11,-0.0091181,-0.0040259,0.00033036
1.12,-0.010896,-0.0044118,0.00037231
1.13,-0.012038,-0.0046822,0.00040185
1.14,-0.01235,-0.0047714,0.00041668
1.15,-0.011741,-0.0046287,0.00041449
1.16,-0.010301,-0.0042389,0.00039329
1.17,-0.0081744,-0.0035953,0.00035127
1.18,-0.0054416,-0.0026396,0.00028759
1.19,-0.0024615,-0.0014126,0.00020199
1.2,-4.0895e-05,-0.00018657,9.5596e-05
1.21,0.0023533,0.0012417,-2.2517e-05
1.22,0.0053628,0.0031452,-0.00014454
1.23,0.0084098,0.0052158,-0.00026757
1.24,0.011238,0.0072271,-0.00038805
1.25,0.013687,0.0089657,-0.0005018
1.26,0.015169,0.0099351,-0.00060313
1.27,0.014944,0.0095093,-0.00068504
1.28,0.012295,0.0070281,-0.00073791
1.29,0.0066826,0.0019904,-0.00074987
1.3,-0.0018923,-0.0055978,-0.00070688
1.31,-0.011663,-0.014076,-0.00059417
1.32,-0.017734,-0.018799,-0.00039695
1.33,-0.0077537,-0.0078628,-9.587e-05
