t, affine_elevL, affine_elevR, affine_throttle
0,0.00014818,-0.00011598,1.1406e-06
0.01,-0.0046772,0.0043959,-6.0458e-05
0.02,-0.0059407,0.0039535,-7.1856e-05
0.03,-0.0028814,0.0012751,-3.683e-05
0.04,0.0010066,-0.00029729,1.3562e-05
0.05,0.0025954,-0.00095826,2.728e-05
0.06,0.0021652,-0.00091194,1.7409e-05
0.07,0.00062424,-0.00028961,3.5641e-06
0.08,-0.00073671,0.00035952,-3.61e-06
0.09,-0.0010268,0.00052467,-3.5908e-06
0.1,-0.00063821,0.00034342,-1.6485e-06
0.11,-4.3547e-05,2.1106e-05,-3.5945e-07
0.12,0.00029676,-0.00017531,-1.2252e-07
0.13,0.00029564,-0.00016111,-3.2144e-07
0.14,0.00012414,-5.4047e-05,-4.2112e-07
0.15,-3.198e-05,6.4518e-06,-1.7569e-07
0.16,-7.6286e-05,2.9544e-05,3.2129e-07
0.17,-5.522e-05,4.2451e-05,4.22e-07
0.18,-1.8896e-05,2.5918e-05,-1.4963e-08
0.19,8.3301e-06,-3.0146e-05,-4.6798e-07
0.2,3.509e-05,-6.3541e-05,-6.2837e-07
0.21,3.9258e-05,-5.6131e-05,-6.0577e-07
0.22,-1.596e-06,-4.0098e-06,-2.7468e-07
0.23,-3.1451e-05,2.4174e-05,-1.2104e-07
0.24,-6.3412e-06,-1.4431e-05,-4.7482e-07
0.25,1.8776e-05,-4.239e-05,-6.7106e-07
0.26,-1.7204e-05,2.0642e-05,-7.1332e-08
0.27,-3.0516e-05,4.1565e-05,6.8744e-08
0.28,3.0397e-07,-5.7467e-06,-3.4804e-07
0.29,1.4234e-05,-2.6539e-05,-4.7724e-07
0.3,-2.7732e-05,3.6673e-05,8.5879e-08
0.31,-2.087e-05,2.8609e-05,1.9128e-08
0.32,8.2804e-06,-1.2917e-05,-3.091e-07
0.33,3.4574e-06,-7.8736e-06,-2.6215e-07
0.34,-2.7447e-05,3.4806e-05,6.0274e-08
0.35,-9.1339e-06,1.1631e-05,-1.0645e-07
0.36,1.1603e-05,-1.6158e-05,-2.8642e-07
0.37,-1.1692e-05,1.288e-05,-8.8175e-08
0.38,-2.344e-05,2.7943e-05,-4.3465e-09
0.39,-3.893e-06,2.9084e-06,-1.4034e-07
0.4,6.4247e-06,-1.0169e-05,-1.9262e-07
0.41,-1.7943e-05,2.1484e-05,-4.2818e-08
0.42,-1.7873e-05,2.0201e-05,-4.9422e-08
0.43,-3.6947e-06,8.8241e-07,-9.8481e-08
0.44,-2.3491e-06,8.1286e-07,-9.442e-08
0.45,-1.5548e-05,2.0044e-05,-7.2908e-08
0.46,-1.3638e-05,1.4655e-05,-4.7858e-08
0.47,-6.9039e-06,3.8536e-06,-1.7349e-08
0.48,-6.159e-06,7.7216e-06,-7.8122e-08
0.49,-1.0203e-05,1.4606e-05,-1.0232e-07
0.5,-1.2006e-05,1.2096e-05,-7.8364e-10
0.51,-9.6658e-06,7.3773e-06,4.4004e-08
0.52,-3.2768e-06,6.93e-06,-1.2551e-07
0.53,-6.9689e-06,1.0289e-05,-8.8187e-08
0.54,-1.3004e-05,1.2126e-05,7.1409e-08
0.55,-9.2815e-06,8.3326e-06,5.3566e-08
0.56,7.6365e-07,3.1535e-06,-1.6346e-07
0.57,-7.4413e-06,9.0079e-06,-1.6899e-08
0.58,-1.534e-05,1.3458e-05,1.6897e-07
0.59,-3.8823e-06,4.5549e-06,-2.0199e-08
0.6,2.2588e-06,6.616e-07,-1.6212e-07
0.61,-1.1881e-05,1.1081e-05,1.2199e-07
0.62,-1.7593e-05,1.4594e-05,2.7916e-07
0.63,3.2187e-06,-1.6317e-06,-1.5093e-07
0.64,2.4749e-07,7.6986e-07,-9.5596e-08
0.65,-1.8396e-05,1.4943e-05,3.4092e-07
0.66,-1.6976e-05,1.3344e-05,3.4232e-07
0.67,1.1338e-05,-9.0226e-06,-3.8942e-07
0.68,4.984e-06,-3.0335e-06,-3.046e-07
0.69,-1.1102e-05,1.0595e-05,1.3286e-07
0.7,-6.0396e-06,4.5611e-06,9.5739e-08
0.71,1.1241e-05,-1.0566e-05,-4.5648e-07
0.72,1.1173e-05,-5.619e-06,-6.6612e-07
0.73,2.9953e-06,4.0098e-06,-4.3107e-07
0.74,-4.4603e-06,3.5056e-07,2.1349e-07
0.75,-2.2859e-06,-2.7453e-06,2.0154e-07
0.76,3.3377e-06,1.1702e-06,-2.6999e-07
0.77,2.6104e-06,4.0526e-06,-3.1676e-07
0.78,-7.087e-06,6.7409e-07,4.6957e-07
