t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.12195,-0.21745,-0.039278,-0.12397,0.19084,-2.2954,-0.011694,-0.16394,0.0139,0.048721,0.017803,-0.1617,0.11739,0.17792,-0.24117,-0.3895,2.3632,1.4732,0.065352,0.10592,-0.11981,-0.091389,0.047493,0.12508,-0.02835,-0.012857,-0.01083,-0.014089,0.051348,-0.089134,-0.016222,-0.0066937,0.00037713,0.00099201,-0.00046756,-0.0019313
0.01,0.1314,-0.23898,-0.035659,-0.11965,0.13912,-2.5042,-0.015079,-0.17837,0.021272,0.054955,0.019505,-0.1764,0.096172,0.14658,-0.20979,-0.35553,2.0353,1.2018,0.054144,0.087079,-0.10347,-0.078762,0.039415,0.1047,-0.027975,-0.013046,-0.010396,-0.013677,0.047863,-0.089556,-0.015983,-0.0067414,0.00048773,0.0010167,-0.00043396,-0.0019932
0.02,0.12386,-0.22979,-0.026188,-0.095902,0.061365,-2.3884,-0.014859,-0.16974,0.025034,0.054221,0.018481,-0.16834,0.067092,0.10603,-0.15631,-0.2769,1.5047,0.86508,0.037741,0.063303,-0.076726,-0.05877,0.027893,0.076892,-0.027559,-0.01308,-0.010117,-0.013447,0.046022,-0.088579,-0.015684,-0.0066798,0.00049006,0.00096879,-0.00037375,-0.0019368
0.03,0.09827,-0.18591,-0.013704,-0.059742,-0.014705,-1.916,-0.011051,-0.13595,0.022861,0.044871,0.014487,-0.13526,0.034846,0.060211,-0.087704,-0.16213,0.84169,0.49272,0.019667,0.03645,-0.043232,-0.033589,0.014775,0.044216,-0.027117,-0.012972,-0.009986,-0.013437,0.045708,-0.086328,-0.015339,-0.0065155,0.00039533,0.0008499,-0.00029396,-0.0017724
0.04,0.073415,-0.14068,-0.0049347,-0.031814,-0.056672,-1.4382,-0.0068899,-0.10198,0.018125,0.034384,0.010615,-0.10174,0.015309,0.031364,-0.042609,-0.082429,0.41088,0.25984,0.0089424,0.019415,-0.0214,-0.017043,0.0067102,0.023211,-0.026668,-0.012783,-0.0099538,-0.013592,0.04636,-0.083354,-0.014981,-0.0062859,0.00024007,0.0006868,-0.00020732,-0.0015456
0.05,0.079946,-0.15012,-0.0049845,-0.029319,-0.062532,-1.5279,-0.0054381,-0.10821,0.017839,0.036114,0.011925,-0.10775,0.023041,0.038612,-0.063628,-0.12634,0.60035,0.30839,0.010546,0.023789,-0.030503,-0.023352,0.0097706,0.029494,-0.026229,-0.012621,-0.0099282,-0.013748,0.04704,-0.080618,-0.014652,-0.0060603,7.4109e-05,0.00053288,-0.0001287,-0.0013364
0.06,0.085489,-0.15774,-0.0044376,-0.025399,-0.072258,-1.5981,-0.0038981,-0.11309,0.017194,0.03753,0.013056,-0.11244,0.029176,0.042513,-0.081578,-0.16561,0.75826,0.32853,0.010784,0.026446,-0.037912,-0.028326,0.012184,0.033787,-0.025801,-0.012504,-0.0098896,-0.013869,0.047557,-0.078283,-0.014354,-0.0058498,-9.1788e-05,0.00039801,-5.9884e-05,-0.001158
0.07,0.090813,-0.16491,-0.0034525,-0.020626,-0.085496,-1.663,-0.0023645,-0.11762,0.016358,0.038968,0.014122,-0.1168,0.034444,0.044448,-0.09811,-0.20268,0.901,0.33214,0.01019,0.028292,-0.044483,-0.032668,0.01427,0.037119,-0.025383,-0.012426,-0.0098395,-0.013951,0.047929,-0.076294,-0.014084,-0.0056505,-0.0002569,0.00027971,4.0036e-07,-0.0010059
0.08,0.093863,-0.16812,-0.001714,-0.014158,-0.10234,-1.687,-0.00081497,-0.11931,0.015121,0.039662,0.014757,-0.11838,0.037497,0.043517,-0.10929,-0.22892,0.99392,0.31435,0.0086699,0.02876,-0.048578,-0.035278,0.015493,0.038544,-0.024972,-0.01238,-0.0097807,-0.013995,0.048196,-0.074576,-0.013837,-0.0054575,-0.00042209,0.00017472,5.3398e-05,-0.00087455
0.09,0.094838,-0.16767,0.0004819,-0.0066408,-0.12043,-1.6742,0.00072426,-0.11843,0.013487,0.039636,0.014988,-0.11745,0.038692,0.040637,-0.11552,-0.24462,1.0421,0.28326,0.0066148,0.028298,-0.050501,-0.036399,0.015985,0.038529,-0.024567,-0.012355,-0.0097189,-0.014004,0.048419,-0.073035,-0.013606,-0.005265,-0.00058968,7.8939e-05,0.00010027,-0.00075676
