t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.3651,0.040817,5.1502
0.02,0.53879,-0.10977,5.2207
0.03,0.71248,-0.26036,5.2912
0.04,0.81996,-0.35536,5.3398
0.05,0.78133,-0.32767,5.3398
0.06,0.7427,-0.29998,5.3398
0.07,0.70408,-0.27229,5.3398
0.08,0.67928,-0.25504,5.3398
0.09,0.66283,-0.24409,5.3398
0.1,0.64638,-0.23315,5.3398
0.11,0.62992,-0.2222,5.3398
0.12,0.6114,-0.19926,5.3398
0.13,0.59274,-0.17549,5.3398
0.14,0.57407,-0.15173,5.3398
0.15,0.5562,-0.12561,5.3398
0.16,0.54074,-0.092342,5.3398
0.17,0.52527,-0.059075,5.3398
0.18,0.50981,-0.025808,5.3398
0.19,0.49644,0.010159,5.3398
0.2,0.48471,0.048254,5.3398
0.21,0.47299,0.086349,5.3398
0.22,0.46127,0.12444,5.3398
0.23,0.45248,0.15948,5.3398
0.24,0.44414,0.19407,5.3398
0.25,0.43579,0.22866,5.3398
0.26,0.42795,0.26176,5.3398
0.27,0.42236,0.28823,5.3398
0.28,0.41677,0.3147,5.3398
0.29,0.41118,0.34117,5.3398
0.3,0.40688,0.36363,5.3398
0.31,0.40391,0.38199,5.3398
0.32,0.40094,0.40036,5.3398
0.33,0.39796,0.41872,5.3398
0.34,0.39729,0.43161,5.3398
0.35,0.39716,0.44319,5.3398
0.36,0.39704,0.45477,5.3398
0.37,0.39726,0.46569,5.3398
0.38,0.40005,0.47168,5.3398
0.39,0.40284,0.47767,5.3398
0.4,0.40563,0.48366,5.3398
0.41,0.40944,0.48769,5.3398
0.42,0.41459,0.48915,5.3398
0.43,0.41975,0.49061,5.3398
0.44,0.42491,0.49207,5.3398
0.45,0.43089,0.49095,5.3398
0.46,0.43714,0.48894,5.3398
0.47,0.4434,0.48693,5.3398
0.48,0.44962,0.48479,5.3398
0.49,0.45518,0.4804,5.3398
0.5,0.46075,0.47601,5.3398
0.51,0.46632,0.47162,5.3398
0.52,0.4709,0.46677,5.3398
0.53,0.47376,0.46109,5.3398
0.54,0.47663,0.45541,5.3398
0.55,0.4795,0.44973,5.3398
0.56,0.47905,0.44386,5.3398
0.57,0.47703,0.4379,5.3398
0.58,0.47501,0.43194,5.3398
0.59,0.47299,0.42598,5.3398
0.6,0.46347,0.42066,5.3398
0.61,0.45388,0.41535,5.3398
0.62,0.44429,0.41004,5.3398
0.63,0.43133,0.40522,5.3398
0.64,0.41059,0.40153,5.3398
0.65,0.38984,0.39784,5.3398
0.66,0.36909,0.39415,5.3398
0.67,0.33979,0.39211,5.3398
0.68,0.30508,0.39111,5.3398
0.69,0.27038,0.39011,5.3398
0.7,0.23567,0.38911,5.3398
0.71,0.19229,0.3914,5.3398
0.72,0.1482,0.39396,5.3398
0.73,0.10412,0.39652,5.3398
0.74,0.060833,0.39991,5.3398
0.75,0.020108,0.40599,5.3398
0.76,-0.020616,0.41207,5.3398
0.77,-0.06134,0.41814,5.3398
0.78,-0.09597,0.42539,5.3398
0.79,-0.12559,0.43359,5.3398
0.8,-0.15522,0.4418,5.3398
0.81,-0.18484,0.45001,5.3398
0.82,-0.20508,0.45818,5.3398
0.83,-0.22381,0.46636,5.3398
0.84,-0.24253,0.47453,5.3398
0.85,-0.25955,0.48234,5.3398
0.86,-0.2684,0.48839,5.3398
0.87,-0.27725,0.49444,5.3398
0.88,-0.2861,0.50049,5.3398
0.89,-0.28954,0.50456,5.3398
0.9,-0.28723,0.50651,5.3398
0.91,-0.28491,0.50847,5.3398
0.92,-0.2826,0.51043,5.3398
0.93,-0.26712,0.50683,5.3398
0.94,-0.24828,0.50181,5.3398
0.95,-0.22944,0.4968,5.3398
0.96,-0.20781,0.49022,5.3398
0.97,-0.16321,0.47076,5.3398
0.98,-0.1186,0.45131,5.3398
0.99,-0.074,0.43186,5.3398
1,-0.020997,0.39752,5.3398
1.01,0.043596,0.34265,5.3398
1.02,0.10819,0.28777,5.3398
1.03,0.17278,0.2329,5.3398
1.04,0.23776,0.14197,5.3398
1.05,0.30287,0.037851,5.3398
1.06,0.36798,-0.066271,5.3398
1.07,0.42739,-0.16157,5.3367
1.08,0.36264,-0.064711,5.2661
1.09,0.29788,0.032148,5.1956
1.1,0.23313,0.12901,5.1251
