t, affine_elevL, affine_elevR, affine_throttle
0,-9.3978e-05,0.00012766,9.386e-07
0.01,0.0044238,-0.0047116,-6.091e-05
0.02,0.0039789,-0.0059681,-7.1937e-05
0.03,0.0012543,-0.0028717,-3.7073e-05
0.04,-0.0002944,0.00099748,1.3437e-05
0.05,-0.00086342,0.0024823,2.7465e-05
0.06,-0.00091883,0.0021683,1.7279e-05
0.07,-0.00028884,0.00062437,3.458e-06
0.08,0.00036063,-0.00073782,-3.6301e-06
0.09,0.00052547,-0.0010274,-3.6604e-06
0.1,0.00034516,-0.00063988,-1.6701e-06
0.11,1.774e-05,-3.9231e-05,-3.8968e-07
0.12,-0.00017597,0.00029817,-1.3617e-07
0.13,-0.0001621,0.00029704,-3.3385e-07
0.14,-5.4816e-05,0.00012595,-4.5082e-07
0.15,5.3001e-06,-3.1664e-05,-2.1847e-07
0.16,2.7837e-05,-7.4757e-05,2.8232e-07
0.17,4.0732e-05,-5.4013e-05,3.664e-07
0.18,2.4184e-05,-1.7107e-05,-5.5737e-08
0.19,-3.2185e-05,9.8373e-06,-5.1678e-07
0.2,-6.5668e-05,3.6692e-05,-6.7796e-07
0.21,-5.8605e-05,4.1199e-05,-6.525e-07
0.22,-7.4094e-06,2.7451e-06,-3.4889e-07
0.23,2.4761e-05,-3.2009e-05,-1.3976e-07
0.24,-1.3614e-05,-7.0997e-06,-4.9641e-07
0.25,-4.1802e-05,1.8254e-05,-6.8889e-07
0.26,2.1472e-05,-1.7868e-05,-8.7818e-08
0.27,4.2402e-05,-3.1167e-05,5.2124e-08
0.28,-4.8126e-06,-4.1159e-07,-3.6666e-07
0.29,-2.5703e-05,1.362e-05,-4.936e-07
0.3,3.7689e-05,-2.8453e-05,7.0752e-08
0.31,2.9643e-05,-2.1583e-05,2.7252e-09
0.32,-1.189e-05,7.5818e-06,-3.2418e-07
0.33,-6.9163e-06,2.8287e-06,-2.7826e-07
0.34,3.5786e-05,-2.806e-05,4.3788e-08
0.35,1.2573e-05,-9.717e-06,-1.2346e-07
0.36,-1.5208e-05,1.103e-05,-3.0314e-07
0.37,1.3736e-05,-1.2176e-05,-1.0608e-07
0.38,2.9418e-05,-2.4366e-05,-6.6495e-09
0.39,4.1618e-06,-4.642e-06,-1.4785e-07
0.4,-9.3907e-06,6.0545e-06,-2.1191e-07
0.41,2.2026e-05,-1.8117e-05,-6.3482e-08
0.42,2.0701e-05,-1.8e-05,-7.0526e-08
0.43,1.3874e-06,-3.8066e-06,-1.1896e-07
0.44,3.483e-07,-1.7977e-06,-1.1636e-07
0.45,2.015e-05,-1.5357e-05,-9.547e-08
0.46,1.4711e-05,-1.3404e-05,-7.0392e-08
0.47,3.8678e-06,-6.6282e-06,-3.9825e-08
0.48,7.528e-06,-5.7929e-06,-9.9156e-08
0.49,1.444e-05,-9.807e-06,-1.2256e-07
0.5,1.1862e-05,-1.157e-05,-2.1781e-08
0.51,7.0786e-06,-9.1926e-06,2.2401e-08
0.52,6.5769e-06,-2.7767e-06,-1.4674e-07
0.53,9.8822e-06,-6.4333e-06,-1.0932e-07
0.54,1.1668e-05,-1.244e-05,5.0351e-08
0.55,7.8499e-06,-8.7408e-06,3.386e-08
