t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.11739,-0.17793,-0.24118,0.38952,2.3633,-1.4733,0.065358,-0.10592,-0.11982,0.091395,0.047496,-0.12508,0.12196,0.21746,-0.03928,0.12398,0.19084,2.2955,-0.011696,0.16395,0.013904,-0.048725,0.017805,0.1617,-0.02835,0.012857,-0.01083,0.014088,0.051346,0.089135,-0.016222,0.0066938,0.00037724,-0.00099212,-0.00046762,0.0019314
0.01,0.09619,-0.14659,-0.20983,0.35561,2.0356,-1.2018,0.054154,-0.087081,-0.10349,0.078775,0.039423,-0.1047,0.13148,0.2391,-0.035723,0.11978,0.13958,2.5055,-0.015087,0.17846,0.021271,-0.054977,0.019525,0.17649,-0.027975,0.013046,-0.010396,0.013676,0.047857,0.089559,-0.015984,0.0067416,0.000488,-0.0010169,-0.00043408,0.0019935
0.02,0.067375,-0.10643,-0.15696,0.27806,1.5109,-0.86829,0.03789,-0.063539,-0.077037,0.059005,0.02801,-0.077185,0.12412,0.23026,-0.026246,0.096111,0.061539,2.3933,-0.014889,0.17009,0.025086,-0.054331,0.018521,0.16869,-0.027559,0.01308,-0.010117,0.013447,0.046021,0.088579,-0.015684,0.0066798,0.00049008,-0.00096883,-0.00037376,0.0019369
0.03,0.033878,-0.058878,-0.085394,0.15788,0.81988,-0.48221,0.019198,-0.035666,-0.04214,0.032775,0.014378,-0.043227,0.097156,0.18395,-0.013387,0.058819,-0.016004,1.8957,-0.010948,0.13452,0.022685,-0.044432,0.014304,0.13385,-0.027117,0.012972,-0.0099858,0.013437,0.045705,0.08633,-0.015339,0.0065156,0.00039547,-0.00085005,-0.00029401,0.0017726
0.04,0.015334,-0.031396,-0.04267,0.082547,0.41145,-0.26009,0.0089534,-0.019434,-0.021429,0.017064,0.0067203,-0.023236,0.073448,0.14074,-0.0049407,0.031834,-0.056664,1.4388,-0.0068935,0.10203,0.018133,-0.034398,0.010621,0.10179,-0.026669,0.012783,-0.0099537,0.013591,0.046358,0.083355,-0.014981,0.006286,0.00024015,-0.00068688,-0.00020735,0.0015457
0.05,0.020307,-0.035018,-0.056584,0.11266,0.53507,-0.28079,0.0094777,-0.021626,-0.02725,0.020983,0.0086637,-0.026697,0.076295,0.14375,-0.0041601,0.026987,-0.064982,1.4625,-0.0052305,0.1036,0.017308,-0.034698,0.011316,0.10321,-0.026229,0.012621,-0.009928,0.013748,0.047038,0.080619,-0.014652,0.0060603,7.4199e-05,-0.00053295,-0.00012872,0.0013365
0.06,0.029636,-0.043108,-0.082809,0.16804,0.76959,-0.33305,0.010943,-0.026813,-0.038474,0.028733,0.01237,-0.034265,0.086141,0.15887,-0.0045653,0.025754,-0.071985,1.6097,-0.003925,0.1139,0.017284,-0.037781,0.013166,0.11324,-0.025801,0.012504,-0.0098895,0.013868,0.047555,0.078284,-0.014354,0.0058498,-9.1712e-05,-0.00039808,-5.9908e-05,0.001158
0.07,0.034476,-0.04445,-0.098183,0.20284,0.90163,-0.33208,0.010192,-0.028292,-0.044512,0.032686,0.014282,-0.037126,0.090838,0.16495,-0.0034639,0.02065,-0.085429,1.6634,-0.0023637,0.11764,0.016356,-0.038975,0.014127,0.11683,-0.025383,0.012426,-0.0098395,0.013951,0.04793,0.076293,-0.014084,0.0056504,-0.00025694,-0.00027966,4.0445e-07,0.0010059
0.08,0.037458,-0.04349,-0.10918,0.2287,0.99299,-0.31418,0.0086636,-0.028741,-0.048534,0.035248,0.015477,-0.038516,0.093817,0.16804,-0.0017048,0.014136,-0.10237,1.6863,-0.00081462,0.11925,0.015117,-0.039646,0.014749,0.11833,-0.024972,0.01238,-0.0097807,0.013995,0.048196,0.074576,-0.013837,0.0054575,-0.00042207,-0.00017473,5.3391e-05,0.00087455
0.09,0.03858,-0.040533,-0.1152,0.24395,1.0392,-0.28255,0.0065967,-0.028225,-0.050362,0.036302,0.01594,-0.038428,0.094679,0.16741,0.00050446,0.0065858,-0.12043,1.6715,0.00072355,0.11825,0.013475,-0.039577,0.01496,0.11727,-0.024567,0.012355,-0.0097189,0.014004,0.048418,0.073035,-0.013606,0.005265,-0.00058966,-7.8949e-05,0.00010026,0.00075676
