t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.040817,0.3651,5.1502
0.02,-0.10977,0.53879,5.2207
0.03,-0.26036,0.71248,5.2912
0.04,-0.35536,0.81996,5.3398
0.05,-0.32767,0.78133,5.3398
0.06,-0.29998,0.7427,5.3398
0.07,-0.27229,0.70408,5.3398
0.08,-0.25504,0.67928,5.3398
0.09,-0.24409,0.66283,5.3398
0.1,-0.23315,0.64638,5.3398
0.11,-0.2222,0.62992,5.3398
0.12,-0.19926,0.6114,5.3398
0.13,-0.17549,0.59274,5.3398
0.14,-0.15173,0.57407,5.3398
0.15,-0.12561,0.5562,5.3398
0.16,-0.092342,0.54074,5.3398
0.17,-0.059075,0.52527,5.3398
0.18,-0.025809,0.50981,5.3398
0.19,0.010159,0.49644,5.3398
0.2,0.048254,0.48471,5.3398
0.21,0.086349,0.47299,5.3398
0.22,0.12444,0.46127,5.3398
0.23,0.15948,0.45248,5.3398
0.24,0.19407,0.44414,5.3398
0.25,0.22866,0.43579,5.3398
0.26,0.26176,0.42795,5.3398
0.27,0.28823,0.42236,5.3398
0.28,0.3147,0.41677,5.3398
0.29,0.34117,0.41118,5.3398
0.3,0.36363,0.40688,5.3398
0.31,0.38199,0.40391,5.3398
0.32,0.40036,0.40094,5.3398
0.33,0.41872,0.39796,5.3398
0.34,0.43161,0.39729,5.3398
0.35,0.44319,0.39716,5.3398
0.36,0.45477,0.39704,5.3398
0.37,0.46569,0.39726,5.3398
0.38,0.47168,0.40005,5.3398
0.39,0.47767,0.40284,5.3398
0.4,0.48366,0.40563,5.3398
0.41,0.48769,0.40944,5.3398
0.42,0.48915,0.41459,5.3398
0.43,0.49061,0.41975,5.3398
0.44,0.49207,0.42491,5.3398
0.45,0.49095,0.43089,5.3398
0.46,0.48894,0.43714,5.3398
0.47,0.48693,0.4434,5.3398
0.48,0.48479,0.44962,5.3398
0.49,0.4804,0.45518,5.3398
0.5,0.47601,0.46075,5.3398
0.51,0.47162,0.46632,5.3398
0.52,0.46677,0.4709,5.3398
0.53,0.46109,0.47376,5.3398
0.54,0.45541,0.47663,5.3398
0.55,0.44973,0.4795,5.3398
0.56,0.44386,0.47905,5.3398
0.57,0.4379,0.47703,5.3398
0.58,0.43194,0.47501,5.3398
0.59,0.42598,0.47299,5.3398
0.6,0.42066,0.46347,5.3398
0.61,0.41535,0.45388,5.3398
0.62,0.41004,0.44429,5.3398
0.63,0.40522,0.43133,5.3398
0.64,0.40153,0.41059,5.3398
0.65,0.39784,0.38984,5.3398
0.66,0.39415,0.36909,5.3398
0.67,0.39211,0.33979,5.3398
0.68,0.39111,0.30508,5.3398
0.69,0.39011,0.27038,5.3398
0.7,0.38911,0.23567,5.3398
0.71,0.3914,0.19229,5.3398
0.72,0.39396,0.1482,5.3398
0.73,0.39652,0.10412,5.3398
0.74,0.39991,0.060833,5.3398
0.75,0.40599,0.020109,5.3398
0.76,0.41207,-0.020616,5.3398
0.77,0.41814,-0.06134,5.3398
0.78,0.42539,-0.09597,5.3398
0.79,0.43359,-0.12559,5.3398
0.8,0.4418,-0.15522,5.3398
0.81,0.45001,-0.18484,5.3398
0.82,0.45818,-0.20508,5.3398
0.83,0.46636,-0.22381,5.3398
0.84,0.47453,-0.24253,5.3398
0.85,0.48234,-0.25955,5.3398
0.86,0.48839,-0.2684,5.3398
0.87,0.49444,-0.27725,5.3398
0.88,0.50049,-0.2861,5.3398
0.89,0.50456,-0.28954,5.3398
0.9,0.50651,-0.28723,5.3398
0.91,0.50847,-0.28491,5.3398
0.92,0.51043,-0.2826,5.3398
0.93,0.50683,-0.26712,5.3398
0.94,0.50181,-0.24828,5.3398
0.95,0.4968,-0.22944,5.3398
0.96,0.49022,-0.20781,5.3398
0.97,0.47076,-0.16321,5.3398
0.98,0.45131,-0.1186,5.3398
0.99,0.43186,-0.074,5.3398
1,0.39752,-0.020997,5.3398
1.01,0.34265,0.043596,5.3398
1.02,0.28777,0.10819,5.3398
1.03,0.2329,0.17278,5.3398
1.04,0.14197,0.23776,5.3398
1.05,0.037851,0.30287,5.3398
1.06,-0.066271,0.36798,5.3398
1.07,-0.16157,0.42739,5.3367
1.08,-0.064711,0.36264,5.2661
1.09,0.032148,0.29788,5.1956
1.1,0.12901,0.23313,5.1251
