t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12041,-2.1309e-05,-0.022772,-0.001387,-0.18964,0.0004137,11.401,0.00070838,-4.462,0.10952,0.13221,-0.035353
0.02,0.24075,-1.9704e-05,-0.044617,0.00022896,-0.18763,-9.2223e-05,11.421,-0.0003661,-4.3454,0.28372,0.21835,-0.092399
0.03,0.36104,-1.0486e-05,-0.065582,0.004753,-0.18538,-0.0014966,11.442,-0.0027765,-4.233,0.50666,0.26722,-0.16616
0.04,0.48128,-8.9569e-06,-0.085713,0.01209,-0.18293,-0.0037781,11.463,-0.0060759,-4.1249,0.76241,0.2876,-0.25165
0.05,0.6015,-3.0418e-05,-0.10506,0.022145,-0.1803,-0.0069156,11.485,-0.0098174,-4.0207,1.035,0.2883,-0.3439
0.06,0.72169,-9.0171e-05,-0.12366,0.034824,-0.17752,-0.010888,11.506,-0.013554,-3.9203,1.3086,0.2781,-0.43792
0.07,0.84186,-0.00020352,-0.14158,0.05003,-0.17459,-0.015674,11.528,-0.016839,-3.8236,1.5671,0.26581,-0.52873
0.08,0.96204,-0.00038635,-0.15885,0.067664,-0.17155,-0.02125,11.549,-0.019234,-3.7303,1.7956,0.25968,-0.61164
0.09,1.0822,-0.0006626,-0.17551,0.087539,-0.16838,-0.027563,11.57,-0.020426,-3.6404,1.9915,0.26081,-0.68574
0.1,1.2024,-0.001062,-0.19161,0.10941,-0.16503,-0.034541,11.591,-0.020192,-3.5539,2.1609,0.26509,-0.75289
0.11,1.3226,-0.0016146,-0.20718,0.13303,-0.16144,-0.042108,11.612,-0.018309,-3.4707,2.3104,0.2683,-0.81501
0.12,1.4429,-0.0023503,-0.22225,0.15815,-0.15758,-0.050193,11.632,-0.01458,-3.3908,2.4454,0.26682,-0.87367
0.13,1.5631,-0.0033007,-0.23687,0.18458,-0.15346,-0.058745,11.652,-0.0089176,-3.3147,2.5653,0.25994,-0.92887
0.14,1.6834,-0.0044973,-0.25108,0.21213,-0.1491,-0.067717,11.672,-0.0012675,-3.2426,2.6679,0.24785,-0.98013
0.15,1.8038,-0.0059718,-0.26491,0.2406,-0.14451,-0.077061,11.691,0.008423,-3.1752,2.7511,0.23073,-1.0269
0.16,1.9242,-0.0077556,-0.27841,0.2698,-0.13973,-0.086739,11.71,0.020181,-3.1127,2.8135,0.2085,-1.0691
0.17,2.0446,-0.009879,-0.29161,0.29952,-0.13479,-0.096727,11.727,0.033979,-3.056,2.8555,0.18062,-1.1069
0.18,2.1651,-0.012372,-0.30457,0.32956,-0.12975,-0.107,11.744,0.049788,-3.0054,2.8779,0.14648,-1.1408
0.19,2.2856,-0.015266,-0.31731,0.35971,-0.12466,-0.11755,11.759,0.067572,-2.9618,2.8812,0.1055,-1.171
0.2,2.4062,-0.018588,-0.32988,0.38978,-0.11955,-0.12835,11.773,0.087269,-2.9255,2.8663,0.058024,-1.198
0.21,2.5269,-0.022365,-0.34232,0.4196,-0.11448,-0.13942,11.786,0.10879,-2.8969,2.834,0.0051185,-1.2217
0.22,2.6476,-0.026625,-0.35465,0.44898,-0.1095,-0.15077,11.797,0.13205,-2.8762,2.7853,-0.052108,-1.2423
0.23,2.7683,-0.031394,-0.36692,0.47777,-0.10464,-0.1624,11.806,0.15695,-2.8636,2.7213,-0.11251,-1.26
0.24,2.8891,-0.036698,-0.37915,0.50581,-0.099916,-0.17432,11.813,0.18337,-2.859,2.6436,-0.17468,-1.2749
0.25,3.0099,-0.042564,-0.39136,0.53301,-0.095338,-0.18651,11.819,0.21119,-2.8619,2.5542,-0.23714,-1.2869
0.26,3.1308,-0.049017,-0.40359,0.55922,-0.090911,-0.199,11.822,0.24028,-2.8719,2.455,-0.29838,-1.2962
0.27,3.2517,-0.056084,-0.41585,0.58437,-0.086634,-0.21175,11.824,0.27051,-2.8883,2.3479,-0.35714,-1.3028
0.28,3.3726,-0.063792,-0.42816,0.60838,-0.082492,-0.22476,11.823,0.30173,-2.9105,2.2348,-0.41265,-1.3066
0.29,3.4935,-0.072168,-0.44053,0.63122,-0.078469,-0.23799,11.821,0.33379,-2.9376,2.1172,-0.46424,-1.3078
0.3,3.6144,-0.081239,-0.45299,0.65282,-0.074548,-0.25142,11.817,0.36654,-2.9688,1.997,-0.51123,-1.3062
0.31,3.7353,-0.091032,-0.46553,0.67316,-0.070716,-0.26502,11.812,0.39981,-3.0032,1.8755,-0.55334,-1.302
