t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.1153,-0.19809,-0.13715,-0.26361,1.7321,-2.7862,0.0732,-0.23146,-0.085312,0.044006,0.043434,-0.12767,0.1153,0.1981,-0.13716,0.2636,1.7321,2.7862,0.0732,0.23146,-0.085316,-0.044007,0.043435,0.12768,-0.038817,4.01e-08,0.0016866,7.6183e-08,-0.032343,7.0419e-07,-0.022951,6.7444e-08,0.0060924,-1.1785e-08,-0.002156,1.5173e-08
0.01,0.10368,-0.18255,-0.1319,-0.24631,1.6528,-2.5695,0.067086,-0.21372,-0.080678,0.038355,0.040724,-0.11878,0.10368,0.18255,-0.1319,0.2463,1.6528,2.5695,0.067085,0.21372,-0.080681,-0.038356,0.040725,0.11878,-0.038832,4.1477e-08,0.0021845,8.9991e-08,-0.03623,7.1734e-07,-0.022965,6.7807e-08,0.0062984,-9.3312e-09,-0.0020999,1.6839e-08
0.02,0.091954,-0.1656,-0.12556,-0.22104,1.5613,-2.3334,0.060661,-0.19423,-0.075439,0.03311,0.037778,-0.1088,0.091953,0.1656,-0.12556,0.22103,1.5614,2.3334,0.06066,0.19423,-0.075442,-0.033111,0.037778,0.1088,-0.038802,4.3227e-08,0.0026332,1.0087e-07,-0.039321,7.3698e-07,-0.022954,6.8781e-08,0.0064256,-7.3118e-09,-0.0020238,1.8824e-08
0.03,0.080164,-0.14758,-0.11798,-0.19034,1.4562,-2.0829,0.053931,-0.17344,-0.069598,0.028293,0.034577,-0.097973,0.080163,0.14758,-0.11798,0.19034,1.4562,2.0829,0.05393,0.17344,-0.0696,-0.028294,0.034578,0.097973,-0.03873,4.5733e-08,0.0030271,1.0915e-07,-0.041578,7.6859e-07,-0.022917,7.0832e-08,0.0064781,-5.8238e-09,-0.0019285,2.1452e-08
0.04,0.068416,-0.12895,-0.10907,-0.15683,1.3366,-1.824,0.046954,-0.15188,-0.063189,0.023918,0.031131,-0.086585,0.068415,0.12895,-0.10907,0.15682,1.3367,1.824,0.046953,0.15188,-0.06319,-0.023919,0.031131,0.086584,-0.038619,4.9056e-08,0.0033636,1.147e-07,-0.043006,8.1314e-07,-0.022854,7.4028e-08,0.0064615,-4.8957e-09,-0.0018155,2.4815e-08
0.05,0.056878,-0.11018,-0.098827,-0.12296,1.203,-1.5631,0.039843,-0.1301,-0.056279,0.01998,0.027471,-0.074929,0.056876,0.11018,-0.098827,0.12296,1.203,1.5631,0.039841,0.1301,-0.056279,-0.01998,0.027471,0.074928,-0.038475,5.2978e-08,0.0036444,1.171e-07,-0.043657,8.6763e-07,-0.02277,7.8117e-08,0.0063833,-4.4701e-09,-0.001688,2.8816e-08
0.06,0.045921,-0.091989,-0.087633,-0.091142,1.0602,-1.3102,0.03286,-0.10897,-0.049129,0.016505,0.023733,-0.063475,0.045919,0.091985,-0.087632,0.091135,1.0602,1.3102,0.032858,0.10897,-0.049129,-0.016505,0.023733,0.063472,-0.038304,5.7032e-08,0.0038725,1.1567e-07,-0.043599,9.2565e-07,-0.022666,8.2568e-08,0.0062514,-4.4571e-09,-0.0015493,3.3191e-08
0.07,0.03708,-0.077199,-0.078543,-0.064971,0.94486,-1.1052,0.027143,-0.091813,-0.043439,0.013886,0.02074,-0.05416,0.037077,0.077195,-0.078541,0.064964,0.94485,1.1051,0.027141,0.091809,-0.043439,-0.013885,0.020739,0.054157,-0.038113,5.9776e-08,0.0040523,1.0911e-07,-0.042912,9.6692e-07,-0.022547,8.5669e-08,0.0060736,-4.6248e-09,-0.0014031,3.6961e-08
0.08,0.031196,-0.067605,-0.074468,-0.045201,0.89115,-0.97409,0.023452,-0.080811,-0.040698,0.012368,0.019198,-0.048347,0.031194,0.0676,-0.074466,0.045194,0.89113,0.97403,0.02345,0.080806,-0.040697,-0.012368,0.019197,0.048345,-0.03791,6.0648e-08,0.0042015,9.7975e-08,-0.041834,9.8339e-07,-0.022422,8.6703e-08,0.0058626,-4.7985e-09,-0.0012566,3.9704e-08
0.09,0.027613,-0.062405,-0.075778,-0.029343,0.90241,-0.90674,0.021525,-0.075093,-0.040917,0.011812,0.019114,-0.045662,0.027611,0.0624,-0.075776,0.029337,0.90239,0.90667,0.021523,0.075089,-0.040916,-0.011812,0.019113,0.045659,-0.037711,6.0354e-08,0.0043556,8.4417e-08,-0.040802,9.8463e-07,-0.022305,8.6329e-08,0.0056376,-4.911e-09,-0.0011205,4.1774e-08
0.1,0.0248,-0.059219,-0.079804,-0.014769,0.94622,-0.86901,0.02029,-0.071825,-0.04259,0.011757,0.019743,-0.044463,0.024798,0.059214,-0.079802,0.014764,0.9462,0.86895,0.020288,0.071821,-0.042589,-0.011757,0.019742,0.044461,-0.037513,5.9134e-08,0.0045148,6.9257e-08,-0.039827,9.7405e-07,-0.022194,8.4836e-08,0.0054024,-5.0084e-09,-0.00099515,4.3299e-08
0.11,0.021649,-0.055903,-0.083721,-0.00032476,0.98896,-0.82994,0.018897,-0.068442,-0.044192,0.011792,0.020366,-0.043198,0.021648,0.055898,-0.083719,0.00031998,0.98894,0.82988,0.018896,0.068438,-0.044191,-0.011792,0.020366,0.043196,-0.037312,5.7117e-08,0.0046752,5.3074e-08,-0.038871,9.5342e-07,-0.022085,8.2387e-08,0.0051585,-5.1199e-09,-0.00087989,4.4342e-08
0.12,0.0179,-0.051621,-0.08624,0.013712,1.0156,-0.7773,0.017088,-0.063943,-0.045061,0.011742,0.020681,-0.041215,0.017899,0.051617,-0.086238,-0.013717,1.0156,0.77724,0.017086,0.063939,-0.04506,-0.011742,0.02068,0.041213,-0.037106,5.4437e-08,0.0048332,3.6468e-08,-0.037902,9.2454e-07,-0.021974,7.9157e-08,0.004908,-5.2553e-09,-0.00077413,4.4978e-08
