t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.070073,-0.15219,-0.36253,0.23619,4.2293,-1.7127,-0.038037,-0.16577,-0.18078,0.086943,0.081736,-0.013067,0.11792,0.20839,-0.0965,0.37599,1.1718,2.321,0.089614,0.18603,-0.048931,-0.0043487,0.043888,0.15738,-0.045562,-0.010494,-0.013814,-0.013001,0.14473,-0.13871,-0.029722,-0.011674,-0.0019434,0.002213,6.6456e-05,-0.0014968
0.01,0.060237,-0.12977,-0.3622,0.28127,4.2262,-1.4547,-0.035654,-0.14878,-0.17978,0.084921,0.08254,-0.00042188,0.11364,0.19939,-0.107,0.37123,1.2728,2.2133,0.084113,0.17501,-0.051232,-0.00051894,0.045489,0.15585,-0.045178,-0.010841,-0.013509,-0.014238,0.14242,-0.14128,-0.029447,-0.012003,-0.0020225,0.0019817,0.00012858,-0.0017065
0.02,0.05109,-0.10655,-0.35805,0.32231,4.1753,-1.1902,-0.032449,-0.13132,-0.17654,0.082444,0.082412,0.011124,0.10917,0.19064,-0.11745,0.36474,1.3727,2.1089,0.078706,0.16394,-0.053732,0.0028192,0.047135,0.15407,-0.044794,-0.011136,-0.013195,-0.015309,0.14015,-0.14323,-0.029162,-0.012281,-0.0021134,0.0017513,0.00017224,-0.0019146
0.03,0.042667,-0.083167,-0.34981,0.35704,4.074,-0.9264,-0.028618,-0.11378,-0.17108,0.079406,0.081267,0.021238,0.10452,0.18238,-0.12756,0.3569,1.4682,2.0106,0.073453,0.15307,-0.056312,0.0056507,0.048736,0.15211,-0.044408,-0.011376,-0.012869,-0.016215,0.13787,-0.14454,-0.028865,-0.012506,-0.002211,0.0015235,0.00019888,-0.0021177
0.04,0.034985,-0.060271,-0.33731,0.38345,3.9209,-0.67068,-0.024378,-0.096541,-0.16344,0.075722,0.079041,0.029632,0.099683,0.17478,-0.13704,0.3479,1.5562,1.9202,0.068401,0.14259,-0.058844,0.007961,0.050199,0.14994,-0.044021,-0.011563,-0.01253,-0.016963,0.13555,-0.14524,-0.028552,-0.012678,-0.0023107,0.0013004,0.00021031,-0.0023137
0.05,0.028053,-0.038569,-0.32054,0.39994,3.7167,-0.43072,-0.019959,-0.079994,-0.15378,0.071347,0.075713,0.036078,0.094682,0.16793,-0.14559,0.33767,1.6332,1.8383,0.063584,0.13261,-0.061197,0.0097391,0.051429,0.14753,-0.043629,-0.011699,-0.012179,-0.017557,0.1332,-0.14535,-0.028222,-0.012801,-0.0024094,0.001084,0.00020881,-0.0025012
0.06,0.021871,-0.018718,-0.29959,0.40541,3.4636,-0.21349,-0.015578,-0.064457,-0.14228,0.066264,0.07129,0.040428,0.089526,0.16185,-0.15292,0.32605,1.6959,1.7652,0.059022,0.12323,-0.063254,0.010979,0.052342,0.14484,-0.043234,-0.011787,-0.011817,-0.018004,0.13082,-0.14492,-0.027874,-0.012877,-0.0025043,0.00087617,0.00019681,-0.002679
0.07,0.016431,-0.0013436,-0.27467,0.39922,3.1648,-0.025402,-0.011429,-0.050202,-0.12917,0.060491,0.06581,0.04261,0.084227,0.15646,-0.15877,0.3128,1.7416,1.6999,0.054715,0.11445,-0.064918,0.011682,0.052861,0.14178,-0.042832,-0.011829,-0.011449,-0.01831,0.12844,-0.14399,-0.027506,-0.01291,-0.0025931,0.00067889,0.00017694,-0.002846
0.08,0.011723,0.012984,-0.24609,0.38122,2.8249,0.12794,-0.0076721,-0.037444,-0.11468,0.05407,0.059345,0.04263,0.078798,0.15162,-0.16295,0.29763,1.7685,1.6406,0.050649,0.10625,-0.066121,0.011869,0.052933,0.1383,-0.042424,-0.011828,-0.011076,-0.018481,0.12606,-0.1426,-0.027117,-0.012904,-0.0026741,0.00049377,0.00015177,-0.0030015
0.09,0.0077456,0.0238,-0.21444,0.35204,2.4518,0.24223,-0.0044445,-0.026363,-0.099155,0.047115,0.05204,0.040618,0.073257,0.14715,-0.16532,0.28038,1.7753,1.5856,0.046804,0.098575,-0.066828,0.011569,0.052523,0.13431,-0.04201,-0.011788,-0.010702,-0.018523,0.12372,-0.14078,-0.026707,-0.012863,-0.0027454,0.00032216,0.00012374,-0.0031448
0.1,0.0045083,0.030986,-0.18138,0.31455,2.0655,0.31695,-0.0018441,-0.017117,-0.083374,0.039979,0.04432,0.037039,0.067658,0.14295,-0.16597,0.2612,1.7635,1.5336,0.04318,0.0914,-0.067088,0.010849,0.051665,0.12987,-0.041587,-0.011709,-0.010329,-0.018441,0.12142,-0.13856,-0.026276,-0.012789,-0.0028047,0.00016491,9.4678e-05,-0.0032758
0.11,0.0019983,0.03473,-0.14868,0.27213,1.6865,0.3548,0.00010204,-0.0097529,-0.068101,0.033023,0.03663,0.032432,0.06205,0.13891,-0.16508,0.24041,1.7352,1.4836,0.039776,0.084695,-0.066979,0.0097837,0.050418,0.12504,-0.041158,-0.011594,-0.009958,-0.018244,0.11916,-0.13598,-0.025825,-0.012684,-0.0028496,2.2492e-05,6.6036e-05,-0.0033945
0.12,0.00016905,0.034418,-0.11461,0.22198,1.2958,0.35029,0.0013963,-0.0041514,-0.052481,0.025848,0.028538,0.026467,0.056373,0.13474,-0.16253,0.21803,1.6899,1.4324,0.036536,0.078312,-0.066449,0.0084419,0.048765,0.1197,-0.04072,-0.011445,-0.0095871,-0.017943,0.11691,-0.13306,-0.025356,-0.012552,-0.0028773,-0.00010512,3.8558e-05,-0.0035015
0.13,-0.00097181,0.029847,-0.079641,0.16502,0.89878,0.30228,0.0020111,-0.00034181,-0.036614,0.018526,0.020151,0.019367,0.050646,0.13032,-0.15847,0.19456,1.6296,1.3791,0.033453,0.072196,-0.065548,0.0069175,0.046768,0.1139,-0.040276,-0.011266,-0.0092142,-0.017549,0.11463,-0.12985,-0.024868,-0.012393,-0.0028844,-0.00021833,1.2401e-05,-0.0035977
0.14,-0.0016823,0.030712,-0.0671,0.1476,0.75479,0.30927,0.0026234,0.0021863,-0.031031,0.016,0.017308,0.017388,0.045583,0.12766,-0.15598,0.17396,1.5864,1.3446,0.030967,0.067298,-0.065476,0.0054682,0.045314,0.10945,-0.039823,-0.011059,-0.0088341,-0.017085,0.11225,-0.12639,-0.024364,-0.01221,-0.0028689,-0.00031834,-1.3492e-05,-0.0036845
0.15,-0.002409,0.03678,-0.068102,0.15594,0.76121,0.36785,0.0035605,0.0046709,-0.031669,0.016382,0.017879,0.018648,0.040958,0.1266,-0.15467,0.15588,1.5565,1.3271,0.02895,0.063449,-0.065885,0.004103,0.044338,0.10614,-0.039362,-0.010833,-0.0084416,-0.01658,0.10971,-0.12275,-0.023847,-0.012005,-0.0028325,-0.00040692,-4.0705e-05,-0.0037631
0.16,-0.0030937,0.040957,-0.064604,0.1554,0.7183,0.40682,0.004345,0.0070899,-0.03026,0.015887,0.017403,0.018762,0.036267,0.12562,-0.15255,0.13793,1.5191,1.3108,0.027048,0.059902,-0.065903,0.0027261,0.043274,0.1027,-0.038891,-0.01059,-0.0080375,-0.01604,0.10701,-0.11898,-0.023318,-0.011778,-0.0027761,-0.00048404,-6.8375e-05,-0.0038331
0.17,-0.0037326,0.044425,-0.059979,0.15239,0.66363,0.43819,0.0050318,0.0094117,-0.028344,0.015219,0.016709,0.018569,0.031606,0.12493,-0.14997,0.12055,1.478,1.2976,0.025297,0.056749,-0.065691,0.0013738,0.042226,0.099364,-0.038413,-0.010333,-0.0076233,-0.015469,0.10416,-0.1151,-0.022781,-0.011533,-0.0027002,-0.00054961,-9.5526e-05,-0.0038942
0.18,-0.0043687,0.048122,-0.055983,0.15052,0.61627,0.47122,0.0056996,0.011733,-0.02674,0.014745,0.016236,0.018498,0.027019,0.12465,-0.14716,0.10394,1.4356,1.2889,0.023709,0.05403,-0.065349,6.5619e-05,0.041251,0.096274,-0.037928,-0.010065,-0.0072003,-0.014869,0.10118,-0.11115,-0.022238,-0.01127,-0.0026058,-0.00060359,-0.00012127,-0.0039461
0.19,-0.0050021,0.051856,-0.052163,0.14894,0.57127,0.50395,0.0063239,0.014054,-0.025244,0.01437,0.015871,0.018447,0.022497,0.1247,-0.14409,0.088026,1.3914,1.2838,0.022257,0.051696,-0.064863,-0.001193,0.040334,0.093399,-0.037435,-0.0097885,-0.0067702,-0.014242,0.09809,-0.10717,-0.021692,-0.01099,-0.0024943,-0.00064602,-0.00014483,-0.0039882
