t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.35897,0.025678,5.1621
0.02,0.52654,-0.14005,5.2445
0.03,0.69411,-0.30578,5.3269
0.04,0.69042,-0.31213,5.3398
0.05,0.65518,-0.28911,5.3398
0.06,0.61995,-0.26609,5.3398
0.07,0.59916,-0.253,5.3398
0.08,0.58489,-0.2444,5.3398
0.09,0.57062,-0.23581,5.3398
0.1,0.5584,-0.21618,5.3398
0.11,0.54796,-0.1869,5.3398
0.12,0.53753,-0.15763,5.3398
0.13,0.52891,-0.11875,5.3398
0.14,0.52328,-0.064045,5.3398
0.15,0.51765,-0.0093418,5.3398
0.16,0.51282,0.047453,5.3398
0.17,0.51078,0.11157,5.3398
0.18,0.50875,0.17569,5.3398
0.19,0.50691,0.2387,5.3398
0.2,0.50792,0.28609,5.3398
0.21,0.50892,0.33349,5.3398
0.22,0.50993,0.38089,5.3398
0.23,0.51365,0.4107,5.3398
0.24,0.51763,0.43879,5.3398
0.25,0.52161,0.46689,5.3398
0.26,0.52782,0.48537,5.3398
0.27,0.53474,0.50074,5.3398
0.28,0.54166,0.51611,5.3398
0.29,0.55005,0.52617,5.3398
0.3,0.55943,0.53268,5.3398
0.31,0.56881,0.53919,5.3398
0.32,0.57877,0.54275,5.3398
0.33,0.58946,0.54261,5.3398
0.34,0.60015,0.54248,5.3398
0.35,0.61073,0.54102,5.3398
0.36,0.62102,0.53632,5.3398
0.37,0.63132,0.53162,5.3398
0.38,0.6413,0.52661,5.3398
0.39,0.64924,0.51961,5.3398
0.4,0.65717,0.51262,5.3398
0.41,0.6651,0.50562,5.3398
0.42,0.66867,0.49843,5.3398
0.43,0.67213,0.49123,5.3398
0.44,0.67559,0.48404,5.3398
0.45,0.67316,0.47782,5.3398
0.46,0.66945,0.47182,5.3398
0.47,0.66575,0.46582,5.3398
0.48,0.65359,0.46098,5.3398
0.49,0.63721,0.45673,5.3398
0.5,0.62082,0.45248,5.3398
0.51,0.58822,0.44908,5.3398
0.52,0.54007,0.44649,5.3398
0.53,0.49193,0.44391,5.3398
0.54,0.42412,0.44182,5.3398
0.55,0.32062,0.44065,5.3398
0.56,0.21712,0.43947,5.3398
0.57,0.11443,0.43861,5.3398
0.58,0.014991,0.43899,5.3398
0.59,-0.084451,0.43937,5.3398
0.6,-0.18162,0.43982,5.3398
0.61,-0.22936,0.44165,5.3398
0.62,-0.27711,0.44349,5.3398
0.63,-0.32485,0.44532,5.3398
0.64,-0.353,0.44769,5.3398
0.65,-0.37869,0.45013,5.3398
0.66,-0.40439,0.45258,5.3398
0.67,-0.42519,0.45485,5.3398
0.68,-0.44421,0.45707,5.3398
0.69,-0.46323,0.45929,5.3398
0.7,-0.47905,0.461,5.3398
0.71,-0.49252,0.46232,5.3398
0.72,-0.506,0.46365,5.3398
0.73,-0.51649,0.46425,5.3398
0.74,-0.52289,0.46385,5.3398
0.75,-0.5293,0.46345,5.3398
0.76,-0.53269,0.46223,5.3398
0.77,-0.52779,0.45878,5.3398
0.78,-0.52289,0.45532,5.3398
0.79,-0.5146,0.45126,5.3314
0.8,-0.47906,0.44233,5.2558
0.81,-0.44352,0.4334,5.1803
0.82,-0.40798,0.42446,5.1047
0.83,-0.30706,0.40293,3.5575
0.84,-0.20305,0.38081,1.9409
0.85,-0.099038,0.35868,0.32435
0.86,0.0092959,0.31079,0
0.87,0.11872,0.25644,0
0.88,0.22814,0.20209,0
0.89,0.30639,0.11031,0
0.9,0.36739,-0.0021801,0
0.91,0.4284,-0.11467,0
0.92,0.41813,-0.11598,0.78588
0.93,0.33313,-0.00074023,2.3956
0.94,0.24813,0.1145,4.0054
