t, affine_elevL, affine_elevR, affine_throttle
0,-6.4317e-05,6.3439e-05,6.3196e-07
0.01,0.00311,-0.0031051,-4.3319e-05
0.02,0.0022645,-0.0036406,-4.2775e-05
0.03,0.0001604,-0.0006414,-7.2731e-06
0.04,-0.00056896,0.0020991,2.0128e-05
0.05,-0.0006683,0.0020142,1.5651e-05
0.06,-0.00019646,0.00050044,2.9405e-06
0.07,0.00029001,-0.00070241,-3.5576e-06
0.08,0.0003358,-0.00074496,-2.9911e-06
0.09,0.00011996,-0.00024435,-9.3446e-07
0.1,-9.0432e-05,0.00015429,2.3053e-07
0.11,-7.8787e-05,0.00019221,4.6807e-07
0.12,1.4692e-05,5.8634e-05,1.7162e-07
0.13,-2.7207e-05,-2.3198e-05,-2.4037e-07
0.14,-1.4493e-05,-3.9235e-05,8.2656e-08
0.15,4.0571e-05,-3.3829e-05,2.694e-07
0.16,-2.5217e-05,4.8088e-06,-3.1304e-07
0.17,-0.00015125,6.8433e-05,-8.9433e-07
0.18,-0.00016171,8.0341e-05,-8.0795e-07
0.19,2.4347e-05,-1.9443e-05,-6.9542e-08
0.2,9.2575e-05,-6.01e-05,-3.9524e-08
0.21,-1.8437e-05,4.7722e-06,-3.6295e-07
0.22,-6.763e-06,-5.8696e-07,-1.4894e-07
0.23,8.2436e-05,-5.4597e-05,7.5615e-08
0.24,1.6703e-05,-1.2604e-05,-9.0572e-08
0.25,-8.5226e-06,2.9785e-06,-1.1477e-07
0.26,4.8843e-05,-3.5999e-05,1.97e-08
0.27,1.2689e-05,-1.0839e-05,3.6945e-09
0.28,-1.2105e-05,6.4429e-06,-5.5576e-08
0.29,3.6116e-05,-2.7065e-05,-3.9791e-08
0.3,1.5964e-05,-1.3748e-05,1.2539e-08
0.31,-7.9829e-06,2.9476e-06,6.7502e-09
0.32,2.7136e-05,-1.9155e-05,-9.0805e-08
0.33,2.1131e-05,-1.6763e-05,-2.2582e-08
0.34,7.2733e-07,-4.2329e-06,5.3998e-08
0.35,1.767e-05,-1.1018e-05,-1.1553e-07
0.36,2.2518e-05,-1.5579e-05,-7.8408e-08
0.37,1.0957e-05,-1.1358e-05,6.7209e-08
0.38,1.0468e-05,-5.7876e-06,-9.9235e-08
0.39,1.7457e-05,-1.0023e-05,-1.3669e-07
0.4,1.7732e-05,-1.514e-05,6.0003e-08
0.41,9.4641e-06,-6.1954e-06,-3.5978e-08
0.42,9.5663e-06,-3.4258e-06,-1.5479e-07
0.43,1.939e-05,-1.648e-05,1.064e-07
0.44,1.3224e-05,-1.0461e-05,5.7615e-08
0.45,3.3127e-06,1.7132e-06,-1.7276e-07
0.46,1.8331e-05,-1.8045e-05,2.6289e-07
0.47,1.8037e-05,-1.7565e-05,2.6664e-07
0.48,-2.6605e-07,6.5431e-06,-2.7365e-07
0.49,2.1434e-05,-2.6291e-05,6.4471e-07
0.5,2.7712e-05,-3.5163e-05,8.7829e-07
0.51,-2.0568e-06,7.2499e-06,-2.9794e-07
0.52,4.7378e-05,-9.0759e-05,3.2347e-06
0.53,6.904e-05,-0.00012945,4.6566e-06
0.54,-4.046e-05,8.6401e-05,-3.7632e-06
0.55,-8.3456e-05,0.0001586,-7.2562e-06
0.56,-4.1681e-05,7.2169e-05,-3.9337e-06
0.57,1.2949e-05,-9.8287e-06,4.652e-07
0.58,3.1368e-05,-1.727e-06,2.176e-07
0.59,2.4801e-05,1.9366e-05,-1.4382e-06
0.6,1.5959e-06,-2.9799e-06,4.725e-08
0.61,-6.5672e-06,-2.0602e-05,1.8689e-06
0.62,2.8348e-06,-9.0621e-06,9.7119e-07
0.63,4.5276e-06,-1.0272e-06,-1.3613e-07
0.64,-1.3531e-06,-3.5169e-06,-6.6488e-08
0.65,1.4776e-06,-1.7723e-06,-5.8797e-08
0.66,4.0409e-06,-8.6782e-07,-1.7677e-07
0.67,4.3003e-06,-1.6564e-06,-2.0738e-07
0.68,5.4845e-06,-3.6284e-07,-3.0126e-07
0.69,5.0336e-06,-5.5766e-07,-3.0767e-07
0.7,3.9505e-06,-1.9158e-06,2.1692e-08
0.71,3.0387e-06,-1.7291e-06,4.2064e-07
0.72,3.5107e-06,-5.749e-07,2.854e-07
0.73,6.8542e-06,1.4412e-07,-9.2013e-07
0.74,1.0175e-05,4.7447e-06,-2.6066e-06
0.75,9.1567e-06,6.4213e-06,-2.6327e-06
0.76,3.2346e-06,-2.8084e-06,1.2332e-06
0.77,-8.7376e-06,-9.6307e-06,7.7973e-06
0.78,-1.4328e-05,-7.1211e-06,9.4391e-06
0.79,1.1067e-05,4.2652e-06,-2.5823e-06
0.8,7.9088e-05,9.1374e-05,-3.0899e-05
0.81,0.00011166,0.00018418,-4.4919e-05
0.82,1.372e-05,2.6108e-05,-4.0852e-06
0.83,-0.00014873,-0.00029345,5.9179e-05
0.84,-0.00018823,-0.00027474,6.8943e-05
0.85,-4.6021e-05,-1.613e-05,1.771e-05
0.86,-0.00010078,-2.8104e-05,-4.9459e-05
0.87,-0.0006879,-0.00015945,-4.8117e-05
0.88,-0.00056815,-6.5098e-05,-1.2775e-05
0.89,0.0014237,-0.00015688,1.912e-05
0.9,0.0031316,-0.0010712,3.7341e-05
0.91,0.0022128,-0.0011085,2.6325e-05
0.92,-0.0023984,0.001284,-2.8881e-05
0.93,-0.0047754,0.0020444,-5.0343e-05
0.94,-0.0022376,0.00055962,-2.749e-05
