t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.088818,-0.14969,-0.221,0.32235,1.9765,-1.1276,0.045973,-0.079641,-0.10148,0.068613,0.037297,-0.095413,0.10192,0.18322,-0.03988,0.088576,0.17466,1.6689,-0.01558,0.11933,0.0031344,-0.033085,0.0098017,0.11593,-0.021874,0.0091843,-0.0093846,0.0096402,0.045951,0.056733,-0.011535,0.0043477,-6.5491e-05,-0.00052742,-0.00010473,0.0016186
0.01,0.070696,-0.10949,-0.18632,0.29295,1.6458,-0.80509,0.034498,-0.056693,-0.08347,0.056332,0.030188,-0.070553,0.1107,0.20224,-0.035529,0.084432,0.12465,1.8287,-0.018862,0.13049,0.0083286,-0.037181,0.010651,0.12989,-0.021466,0.0092951,-0.009057,0.0093441,0.043411,0.056781,-0.011301,0.0043486,-3.4924e-06,-0.00053704,-8.0861e-05,0.0016655
0.02,0.050028,-0.069066,-0.13931,0.23571,1.2161,-0.49166,0.021251,-0.034453,-0.06059,0.041079,0.021737,-0.044302,0.10966,0.20199,-0.027682,0.069062,0.063824,1.8128,-0.01873,0.12905,0.011705,-0.03772,0.010589,0.13146,-0.021037,0.0092781,-0.0088575,0.009174,0.042145,0.055792,-0.011023,0.0042709,-3.1623e-05,-0.00049519,-3.8738e-05,0.0016294
0.03,0.022263,-0.019443,-0.064386,0.12102,0.5533,-0.12048,0.0054682,-0.0079089,-0.026422,0.017927,0.0099267,-0.010466,0.090294,0.16629,-0.01533,0.043163,-0.0020418,1.4821,-0.013998,0.10544,0.011555,-0.031178,0.0085773,0.11071,-0.020603,0.0091564,-0.0087698,0.0091493,0.041947,0.053957,-0.010719,0.0041257,-0.00013321,-0.00040629,1.4236e-05,0.0015257
0.04,0.02304,-0.018991,-0.06877,0.13244,0.58546,-0.1148,0.0044463,-0.0078428,-0.028138,0.018887,0.010185,-0.010401,0.089751,0.16322,-0.013134,0.032119,-0.017425,1.4449,-0.011957,0.10234,0.010593,-0.030397,0.0088486,0.10898,-0.020178,0.0090045,-0.0087273,0.0091837,0.042161,0.051878,-0.010421,0.003953,-0.00026896,-0.00030073,6.5492e-05,0.0014018
0.05,0.027113,-0.023229,-0.08371,0.16305,0.70738,-0.14221,0.0044918,-0.010502,-0.034369,0.02286,0.011847,-0.014068,0.092977,0.16679,-0.012112,0.022473,-0.029107,1.4665,-0.010539,0.10328,0.0096193,-0.031,0.0095235,0.11113,-0.01976,0.0088923,-0.0086743,0.0091821,0.042255,0.050119,-0.010147,0.0037908,-0.00040796,-0.00020842,0.00010775,0.0012996
0.06,0.030657,-0.025918,-0.097703,0.19295,0.81982,-0.15753,0.0039317,-0.012637,-0.040056,0.026479,0.013281,-0.017067,0.09631,0.17041,-0.010724,0.011994,-0.043421,1.4882,-0.0091509,0.10414,0.0085143,-0.031797,0.010149,0.11309,-0.019347,0.0088161,-0.0086128,0.0091472,0.042245,0.048648,-0.0098953,0.0036363,-0.00054875,-0.00012791,0.00014207,0.0012159
0.07,0.032284,-0.025485,-0.10576,0.21215,0.88149,-0.15063,0.0025929,-0.013375,-0.043166,0.028439,0.013903,-0.01795,0.09784,0.17059,-0.0083931,0.00043902,-0.061685,1.4798,-0.007566,0.10291,0.007257,-0.032116,0.010473,0.11285,-0.018938,0.0087681,-0.0085458,0.0090815,0.042162,0.0474,-0.0096604,0.0034856,-0.00069136,-5.6845e-05,0.00016939,0.0011457
0.08,0.032807,-0.023495,-0.10993,0.22383,0.91085,-0.13322,0.00094747,-0.013496,-0.044677,0.029382,0.014042,-0.017692,0.098515,0.16894,-0.0056832,-0.011348,-0.08089,1.4561,-0.0058493,0.10059,0.005813,-0.032202,0.010615,0.11136,-0.018533,0.0087363,-0.0084772,0.0089913,0.042049,0.046283,-0.0094387,0.0033333,-0.00083729,8.0788e-06,0.00019055,0.0010827
0.09,0.03347,-0.021694,-0.11425,0.23559,0.94196,-0.11737,-0.00065469,-0.013977,-0.046294,0.030427,0.014219,-0.017716,0.099604,0.16767,-0.00302,-0.023071,-0.099585,1.436,-0.0040924,0.098508,0.0042256,-0.032456,0.010739,0.10985,-0.018132,0.0087154,-0.0084077,0.0088774,0.041912,0.045257,-0.0092278,0.0031775,-0.00098566,6.7829e-05,0.00020604,0.0010244
