t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.025678,0.35897,5.1621
0.02,-0.14005,0.52654,5.2445
0.03,-0.30578,0.69411,5.3269
0.04,-0.31213,0.69042,5.3398
0.05,-0.28911,0.65518,5.3398
0.06,-0.26609,0.61995,5.3398
0.07,-0.253,0.59916,5.3398
0.08,-0.24441,0.58489,5.3398
0.09,-0.23581,0.57062,5.3398
0.1,-0.21618,0.5584,5.3398
0.11,-0.1869,0.54796,5.3398
0.12,-0.15763,0.53753,5.3398
0.13,-0.11875,0.52891,5.3398
0.14,-0.064045,0.52328,5.3398
0.15,-0.0093419,0.51765,5.3398
0.16,0.047453,0.51282,5.3398
0.17,0.11157,0.51078,5.3398
0.18,0.17569,0.50875,5.3398
0.19,0.2387,0.50691,5.3398
0.2,0.2861,0.50792,5.3398
0.21,0.33349,0.50892,5.3398
0.22,0.38089,0.50993,5.3398
0.23,0.4107,0.51365,5.3398
0.24,0.43879,0.51763,5.3398
0.25,0.46689,0.52161,5.3398
0.26,0.48537,0.52782,5.3398
0.27,0.50074,0.53474,5.3398
0.28,0.51611,0.54166,5.3398
0.29,0.52617,0.55005,5.3398
0.3,0.53268,0.55943,5.3398
0.31,0.53919,0.56881,5.3398
0.32,0.54275,0.57877,5.3398
0.33,0.54261,0.58946,5.3398
0.34,0.54248,0.60015,5.3398
0.35,0.54102,0.61073,5.3398
0.36,0.53632,0.62102,5.3398
0.37,0.53162,0.63132,5.3398
0.38,0.52661,0.6413,5.3398
0.39,0.51961,0.64924,5.3398
0.4,0.51262,0.65717,5.3398
0.41,0.50562,0.6651,5.3398
0.42,0.49843,0.66867,5.3398
0.43,0.49123,0.67213,5.3398
0.44,0.48404,0.67559,5.3398
0.45,0.47782,0.67316,5.3398
0.46,0.47182,0.66945,5.3398
0.47,0.46582,0.66574,5.3398
0.48,0.46098,0.65359,5.3398
0.49,0.45673,0.63721,5.3398
0.5,0.45248,0.62082,5.3398
0.51,0.44908,0.58822,5.3398
0.52,0.44649,0.54007,5.3398
0.53,0.44391,0.49193,5.3398
0.54,0.44182,0.42412,5.3398
0.55,0.44065,0.32062,5.3398
0.56,0.43947,0.21712,5.3398
0.57,0.43861,0.11443,5.3398
0.58,0.43899,0.014991,5.3398
0.59,0.43937,-0.084451,5.3398
0.6,0.43982,-0.18162,5.3398
0.61,0.44165,-0.22936,5.3398
0.62,0.44349,-0.27711,5.3398
0.63,0.44532,-0.32485,5.3398
0.64,0.44769,-0.353,5.3398
0.65,0.45013,-0.37869,5.3398
0.66,0.45258,-0.40439,5.3398
0.67,0.45485,-0.42519,5.3398
0.68,0.45707,-0.44421,5.3398
0.69,0.45929,-0.46323,5.3398
0.7,0.461,-0.47905,5.3398
0.71,0.46232,-0.49252,5.3398
0.72,0.46365,-0.506,5.3398
0.73,0.46425,-0.51649,5.3398
0.74,0.46385,-0.52289,5.3398
0.75,0.46345,-0.5293,5.3398
0.76,0.46223,-0.53269,5.3398
0.77,0.45878,-0.52779,5.3398
0.78,0.45532,-0.52289,5.3398
0.79,0.45126,-0.5146,5.3314
0.8,0.44233,-0.47906,5.2558
0.81,0.4334,-0.44352,5.1803
0.82,0.42446,-0.40798,5.1047
0.83,0.40293,-0.30706,3.5575
0.84,0.38081,-0.20305,1.9409
0.85,0.35868,-0.09904,0.32436
0.86,0.31079,0.0092944,0
0.87,0.25644,0.11871,0
0.88,0.20209,0.22814,0
0.89,0.11031,0.30639,0
0.9,-0.0021809,0.36739,0
0.91,-0.11467,0.4284,0
0.92,-0.11598,0.41813,0.78588
0.93,-0.00074052,0.33313,2.3956
0.94,0.1145,0.24813,4.0054
