t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12011,-0.00021328,-0.022455,-0.005809,-0.18657,0.001977,11.415,-0.0050446,-4.4198,0.079822,0.10298,-0.027037
0.02,0.24024,-0.00035213,-0.043993,-0.0095718,-0.18149,0.0032355,11.449,-0.0092444,-4.2608,0.16642,0.198,-0.054914
0.03,0.36038,-0.00043033,-0.064662,-0.011346,-0.17617,0.003824,11.484,-0.012662,-4.106,0.25924,0.28542,-0.083467
0.04,0.48054,-0.00046165,-0.084513,-0.011187,-0.17059,0.0037906,11.519,-0.015361,-3.9552,0.35776,0.36562,-0.11253
0.05,0.60074,-0.00045985,-0.1036,-0.0091546,-0.16477,0.0031838,11.554,-0.017404,-3.8082,0.46143,0.439,-0.14195
0.06,0.72097,-0.0004387,-0.12196,-0.0053041,-0.1587,0.0020519,11.589,-0.018855,-3.6648,0.56971,0.50592,-0.17154
0.07,0.84126,-0.00041197,-0.13965,0.00030678,-0.15236,0.00044311,11.625,-0.019775,-3.5249,0.68207,0.56676,-0.20116
0.08,0.96161,-0.00039342,-0.15673,0.007621,-0.14577,-0.0015941,11.66,-0.020228,-3.3883,0.79795,0.62191,-0.23063
0.09,1.082,-0.00039684,-0.17323,0.016581,-0.13891,-0.0040114,11.696,-0.020276,-3.2548,0.91683,0.67174,-0.25979
0.1,1.2025,-0.00043597,-0.18921,0.027131,-0.13179,-0.0067606,11.733,-0.019984,-3.1242,1.0382,0.71664,-0.28848
0.11,1.3231,-0.00052461,-0.20472,0.039212,-0.1244,-0.0097932,11.769,-0.019413,-2.9962,1.1614,0.75697,-0.31653
0.12,1.4438,-0.0006765,-0.21982,0.052768,-0.11673,-0.013061,11.806,-0.018628,-2.8708,1.286,0.79312,-0.34378
0.13,1.5645,-0.00090542,-0.23454,0.067742,-0.10879,-0.016516,11.843,-0.017689,-2.7478,1.4115,0.82547,-0.37007
0.14,1.6854,-0.0012251,-0.24893,0.084077,-0.10057,-0.020109,11.879,-0.016662,-2.6269,1.5372,0.8544,-0.39522
0.15,1.8064,-0.0016494,-0.26306,0.10171,-0.09207,-0.023792,11.916,-0.015607,-2.508,1.6627,0.88029,-0.41908
0.16,1.9275,-0.002192,-0.27696,0.1206,-0.083283,-0.027517,11.953,-0.01459,-2.3908,1.7874,0.90352,-0.44148
0.17,2.0488,-0.0028668,-0.2907,0.14067,-0.074206,-0.031236,11.991,-0.013671,-2.2753,1.9108,0.92445,-0.46226
0.18,2.1702,-0.0036873,-0.3043,0.16188,-0.064839,-0.0349,12.028,-0.012916,-2.1611,2.0324,0.94349,-0.48125
0.19,2.2918,-0.0046676,-0.31784,0.18416,-0.055176,-0.03846,12.065,-0.012385,-2.0482,2.1515,0.96099,-0.49829
0.2,2.4135,-0.0058212,-0.33135,0.20745,-0.045215,-0.041869,12.102,-0.012143,-1.9364,2.2676,0.97735,-0.51322
