t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.042404,-0.086192,-0.22437,0.18178,2.6452,-1.0143,-0.021972,-0.10075,-0.11298,0.057748,0.051499,-0.0082103,0.062147,0.14517,-0.074151,0.26581,0.94987,1.723,0.051531,0.14035,-0.036502,-0.0045634,0.033654,0.12385,-0.023114,-0.0058751,-0.0070173,-0.0074194,0.073263,-0.077134,-0.015222,-0.0064855,-0.0010027,0.0011791,-1.6161e-05,-0.0011466
0.01,0.036372,-0.070805,-0.22053,0.20494,2.5995,-0.83076,-0.01973,-0.087903,-0.11046,0.055141,0.051224,0.00027476,0.05954,0.14,-0.079319,0.26406,0.99601,1.6577,0.04859,0.13336,-0.037043,-0.0018664,0.034492,0.12276,-0.022894,-0.0060173,-0.0068128,-0.0080914,0.071457,-0.078113,-0.015057,-0.0066211,-0.0010243,0.0010403,2.3211e-06,-0.0012537
0.02,0.030736,-0.055522,-0.21464,0.22507,2.5283,-0.65021,-0.017232,-0.075266,-0.10672,0.05241,0.050429,0.0078553,0.056845,0.13504,-0.084199,0.26068,1.0386,1.5951,0.045757,0.1264,-0.037619,0.00043291,0.035304,0.12147,-0.022674,-0.0061401,-0.0066089,-0.0086776,0.06974,-0.07885,-0.014891,-0.0067354,-0.0010541,0.00090487,1.2079e-05,-0.0013621
0.03,0.025524,-0.040703,-0.20664,0.24094,2.431,-0.47687,-0.01458,-0.063078,-0.10182,0.049498,0.049085,0.014353,0.054063,0.13038,-0.08867,0.25587,1.0763,1.5361,0.04304,0.11959,-0.038184,0.0023403,0.036041,0.12,-0.022456,-0.0062423,-0.0064059,-0.0091762,0.068109,-0.079335,-0.014723,-0.0068276,-0.0010902,0.00077368,1.4414e-05,-0.0014694
0.04,0.020752,-0.02671,-0.19648,0.25153,2.3075,-0.3148,-0.011881,-0.051557,-0.095824,0.046355,0.047171,0.019622,0.051195,0.12608,-0.092609,0.24975,1.1077,1.4813,0.040443,0.113,-0.038692,0.0038637,0.036653,0.11834,-0.022239,-0.0063232,-0.0062045,-0.0095863,0.066564,-0.079566,-0.01455,-0.0068974,-0.0011311,0.00064782,1.0712e-05,-0.0015735
0.05,0.016437,-0.013901,-0.18422,0.25612,2.1588,-0.16796,-0.0092427,-0.040901,-0.088863,0.042953,0.044685,0.023558,0.048253,0.12214,-0.095902,0.24237,1.1316,1.4307,0.037967,0.10667,-0.039103,0.0050161,0.037098,0.11645,-0.022021,-0.006383,-0.0060055,-0.0099081,0.065107,-0.079546,-0.014371,-0.0069454,-0.0011749,0.00052823,2.3339e-06,-0.0016732
0.06,0.012592,-0.00261,-0.16996,0.25424,1.9866,-0.039904,-0.0067631,-0.03127,-0.081073,0.039281,0.041641,0.026101,0.045247,0.11854,-0.098448,0.23372,1.1471,1.3839,0.035612,0.10062,-0.039387,0.0058131,0.037337,0.11432,-0.021803,-0.0064215,-0.0058098,-0.010143,0.063739,-0.07928,-0.014185,-0.0069725,-0.0012202,0.00041578,-9.3605e-06,-0.0017671
0.07,0.0092254,0.0068717,-0.15392,0.24584,1.794,0.066421,-0.0045299,-0.022792,-0.072629,0.035361,0.038081,0.027249,0.042188,0.11523,-0.10017,0.22378,1.1532,1.3405,0.033368,0.094854,-0.039523,0.0062728,0.037341,0.11193,-0.021583,-0.0064388,-0.0056182,-0.010292,0.062462,-0.078772,-0.01399,-0.0069794,-0.0012653,0.0003112,-2.3034e-05,-0.0018542
0.08,0.0063498,0.01436,-0.13663,0.23159,1.5876,0.14934,-0.0026101,-0.015556,-0.063828,0.031285,0.034135,0.02713,0.0391,0.11215,-0.10105,0.21259,1.1499,1.2996,0.031234,0.089357,-0.039517,0.0064257,0.037101,0.10925,-0.021363,-0.0064353,-0.0054311,-0.010359,0.06127,-0.078031,-0.013786,-0.0069672,-0.0013085,0.00021494,-3.7648e-05,-0.0019341
0.09,0.0039663,0.019778,-0.11868,0.21254,1.3745,0.20844,-0.0010431,-0.0095929,-0.054966,0.027163,0.029949,0.025925,0.036004,0.10924,-0.1011,0.20023,1.1377,1.2605,0.029207,0.084115,-0.039387,0.0063055,0.036619,0.10629,-0.021141,-0.0064113,-0.0052483,-0.010347,0.060155,-0.077066,-0.013572,-0.0069372,-0.0013478,0.00012729,-5.2311e-05,-0.0020066
