t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.087565,-0.14941,-0.031638,-0.015885,0.27358,-1.709,-0.02049,-0.11731,0.0075548,0.047169,0.015593,-0.13075,0.072886,0.11704,-0.13757,-0.30607,1.402,0.98889,0.035893,0.069635,-0.074566,-0.067952,0.025464,0.092406,-0.015724,-0.0085734,-0.0086343,-0.011272,0.050171,-0.067123,-0.010371,-0.0048522,-0.00050231,0.00061093,5.3627e-05,-0.0017572
0.01,0.094879,-0.16407,-0.030326,-0.0063432,0.26004,-1.8644,-0.023442,-0.12718,0.01228,0.052936,0.017469,-0.14189,0.061885,0.09959,-0.12316,-0.28205,1.2409,0.83304,0.030049,0.058944,-0.066541,-0.060035,0.021466,0.079475,-0.01548,-0.0086786,-0.0084568,-0.011121,0.048667,-0.06734,-0.010226,-0.0048666,-0.00045736,0.00061708,8.644e-05,-0.0017643
0.02,0.091489,-0.16055,-0.024731,0.0072289,0.21075,-1.8109,-0.022383,-0.12283,0.015127,0.052987,0.017234,-0.13709,0.046949,0.077808,-0.099015,-0.23391,0.98755,0.64794,0.022086,0.046134,-0.053382,-0.048219,0.016154,0.062776,-0.015228,-0.0087011,-0.0083354,-0.011049,0.047786,-0.066745,-0.010049,-0.0048187,-0.00046878,0.00058311,0.00012425,-0.0016991
0.03,0.078108,-0.13894,-0.016806,0.019347,0.1428,-1.5551,-0.01774,-0.10494,0.014805,0.046774,0.014861,-0.11711,0.030881,0.054036,-0.069319,-0.16922,0.68562,0.45018,0.013757,0.032303,-0.037341,-0.034036,0.01053,0.04403,-0.014976,-0.0086399,-0.0082696,-0.011082,0.047489,-0.065324,-0.0098486,-0.0047064,-0.00053629,0.00050634,0.00016299,-0.0015623
0.04,0.054734,-0.099113,-0.0077906,0.025297,0.06605,-1.0996,-0.010803,-0.07392,0.011271,0.034,0.010317,-0.082522,0.014452,0.029287,-0.035384,-0.090263,0.34886,0.24793,0.0063451,0.017885,-0.019306,-0.018146,0.0049013,0.024001,-0.014731,-0.0085119,-0.0082505,-0.011215,0.047654,-0.063243,-0.0096399,-0.0045401,-0.00065054,0.00039398,0.00019925,-0.0013692
0.05,0.05328,-0.095311,-0.0062682,0.030054,0.054742,-1.0526,-0.0084143,-0.070462,0.0098736,0.032635,0.010105,-0.078293,0.016609,0.030293,-0.040968,-0.10535,0.39894,0.24971,0.0053295,0.018423,-0.021587,-0.019783,0.0055007,0.025164,-0.014493,-0.0083694,-0.0082508,-0.011375,0.04799,-0.06102,-0.0094441,-0.0043544,-0.0007856,0.00027352,0.00023098,-0.0011645
0.06,0.060006,-0.10493,-0.0067574,0.036927,0.061209,-1.1555,-0.0072391,-0.077004,0.0092013,0.035695,0.011509,-0.084966,0.023972,0.037663,-0.058681,-0.15059,0.56422,0.29889,0.0049531,0.022852,-0.029763,-0.02639,0.007764,0.031986,-0.014261,-0.0082523,-0.008245,-0.011491,0.048242,-0.059039,-0.0092713,-0.0041751,-0.00091934,0.00016724,0.00025735,-0.00098096
0.07,0.062425,-0.10734,-0.0059535,0.043185,0.056121,-1.1776,-0.0054054,-0.078191,0.0079312,0.036524,0.012005,-0.085723,0.027825,0.039544,-0.068584,-0.17643,0.65331,0.30392,0.0033012,0.024269,-0.033834,-0.029467,0.0088893,0.034486,-0.014035,-0.008158,-0.0082336,-0.011565,0.04842,-0.05727,-0.0091184,-0.0040002,-0.0010504,7.3407e-05,0.00027925,-0.00081595
0.08,0.06575,-0.11113,-0.0051519,0.050164,0.050992,-1.2149,-0.0036376,-0.0804,0.006618,0.037907,0.012639,-0.087539,0.031781,0.04125,-0.078962,-0.20319,0.74616,0.30692,0.0013316,0.02587,-0.038015,-0.032682,0.010052,0.037143,-0.013814,-0.008083,-0.0082177,-0.011598,0.048536,-0.055682,-0.0089819,-0.0038273,-0.001178,-9.871e-06,0.00029746,-0.00066663
0.09,0.067357,-0.11212,-0.0038173,0.056682,0.040912,-1.2211,-0.001761,-0.080593,0.0051504,0.038479,0.012876,-0.087152,0.035166,0.042184,-0.088187,-0.22664,0.82764,0.3041,-0.00090461,0.027318,-0.041538,-0.035445,0.011046,0.039386,-0.013599,-0.0080229,-0.0081976,-0.011593,0.048601,-0.05423,-0.0088588,-0.0036541,-0.0013014,-8.4494e-05,0.00031243,-0.00052989
0.1,0.068152,-0.1118,-0.0022418,0.062846,0.028485,-1.213,0.00011152,-0.079884,0.0035795,0.038682,0.0129,-0.085798,0.038014,0.042468,-0.096171,-0.24648,0.89726,0.29668,-0.0032895,0.02866,-0.044364,-0.03775,0.011883,0.041259,-0.013388,-0.0079718,-0.008174,-0.011553,0.048623,-0.052862,-0.0087458,-0.0034781,-0.0014201,-0.0001526,0.00032438,-0.00040214
0.11,0.06893,-0.11142,-0.00060104,0.068985,0.015344,-1.2043,0.0019366,-0.079177,0.0019577,0.03891,0.012875,-0.084467,0.040446,0.042353,-0.10313,-0.26322,0.95728,0.28677,-0.0057218,0.030018,-0.04661,-0.039713,0.012603,0.042926,-0.013182,-0.0079273,-0.0081468,-0.011478,0.048606,-0.051554,-0.0086409,-0.0032989,-0.0015327,-0.00021509,0.00033365,-0.00028217
0.12,0.06979,-0.11111,0.0010842,0.075118,0.0017048,-1.1967,0.0037198,-0.07857,0.00030148,0.039201,0.012828,-0.083278,0.042609,0.042073,-0.10936,-0.27762,1.0107,0.27618,-0.0081422,0.031507,-0.048428,-0.04147,0.013249,0.044554,-0.012979,-0.0078872,-0.0081166,-0.011373,0.048555,-0.050292,-0.0085422,-0.0031165,-0.001638,-0.00027266,0.0003406,-0.00016922
0.13,0.070783,-0.11096,0.0028123,0.081244,-0.012409,-1.191,0.0054626,-0.078112,-0.0013714,0.039573,0.01277,-0.082293,0.044549,0.04175,-0.11499,-0.28993,1.0587,0.26593,-0.0105,0.033174,-0.049872,-0.043075,0.013836,0.046219,-0.01278,-0.0078507,-0.0080832,-0.01124,0.04847,-0.04907,-0.0084483,-0.0029314,-0.0017346,-0.00032564,0.00034553,-6.3061e-05
0.14,0.07193,-0.11098,0.0045977,0.08736,-0.02713,-1.1874,0.0071563,-0.077826,-0.0030314,0.040039,0.01271,-0.081552,0.046229,0.041425,-0.11993,-0.29992,1.1006,0.25643,-0.012729,0.034999,-0.050913,-0.044508,0.014352,0.047917,-0.012585,-0.0078175,-0.008046,-0.011077,0.048343,-0.047886,-0.0083578,-0.0027446,-0.0018208,-0.0003739,0.00034865,3.6026e-05
0.15,0.073149,-0.11107,0.0064427,0.093333,-0.042496,-1.1847,0.0087893,-0.077625,-0.0046603,0.04055,0.012635,-0.080969,0.047553,0.041097,-0.12397,-0.30709,1.1346,0.24788,-0.014758,0.036918,-0.051476,-0.045699,0.014769,0.049586,-0.012393,-0.0077874,-0.0080046,-0.010887,0.048175,-0.046739,-0.0082695,-0.0025571,-0.0018956,-0.00041749,0.00035017,0.00012806
