t, affine_elevL, affine_elevR, affine_throttle
0,-9.2848e-05,0.00014265,1.5674e-06
0.01,0.0031768,-0.0041164,-4.1678e-05
0.02,0.0035522,-0.0058731,-5.9176e-05
0.03,0.0019668,-0.0040652,-4.3504e-05
0.04,0.0001548,-0.00042414,-5.5264e-06
0.05,-0.00082123,0.0019809,2.1039e-05
0.06,-0.0011929,0.0025172,1.9913e-05
0.07,-0.00090985,0.0017573,9.6802e-06
0.08,-0.00020303,0.00036745,1.2707e-06
0.09,0.00041333,-0.00070175,-1.1056e-06
0.1,0.00061226,-0.00095655,1.7888e-07
0.11,0.00047826,-0.00068504,1.2637e-06
0.12,0.00014729,-0.00019251,5.5375e-07
0.13,-0.00018753,0.00022125,-1.0919e-06
0.14,-0.00033128,0.00036341,-2.0963e-06
0.15,-0.00029215,0.00029577,-2.0796e-06
0.16,-0.00012014,0.00011035,-9.8762e-07
0.17,8.4225e-05,-7.5339e-05,5.9635e-07
0.18,0.00011673,-0.00011495,8.1827e-07
0.19,4.2718e-05,-6.0252e-05,1.3441e-07
0.2,-2.1448e-05,8.5989e-07,-3.9733e-07
0.21,2.6782e-05,-1.4148e-05,2.3181e-07
0.22,3.7075e-05,-1.1728e-05,3.3561e-07
0.23,-4.7213e-06,1.9087e-05,-1.8629e-07
0.24,-3.3236e-05,3.3377e-05,-5.2823e-07
0.25,1.7053e-05,-1.5485e-05,1.4471e-07
0.26,4.0577e-05,-3.3466e-05,4.9481e-07
0.27,8.7958e-06,-2.3632e-06,9.0242e-08
0.28,-2.2089e-05,2.4762e-05,-3.4146e-07
0.29,4.6049e-06,-4.7659e-06,-2.1402e-08
0.3,2.7568e-05,-2.7039e-05,2.9004e-07
0.31,4.5357e-06,-2.5337e-06,5.1604e-09
0.32,-2.0347e-05,2.257e-05,-3.1863e-07
0.33,-3.4322e-06,3.5225e-06,-1.2396e-07
0.34,2.3044e-05,-2.44e-05,1.9154e-07
0.35,9.5139e-06,-1.0384e-05,3.1297e-08
0.36,-1.11e-05,1.1078e-05,-2.0257e-07
0.37,-7.7742e-06,7.8022e-06,-1.6865e-07
0.38,1.4798e-05,-1.5695e-05,6.5091e-08
0.39,8.2405e-06,-9.4989e-06,-2.5308e-08
0.4,-6.2798e-06,5.2819e-06,-1.6747e-07
0.41,-7.546e-06,7.1133e-06,-1.5893e-07
0.42,7.615e-06,-7.9385e-06,-2.1405e-08
0.43,6.4372e-06,-7.1806e-06,-4.6984e-08
0.44,-1.802e-06,7.572e-07,-1.2092e-07
0.45,-5.014e-06,4.2647e-06,-1.2931e-07
0.46,2.2232e-06,-2.4174e-06,-6.9563e-08
0.47,3.3731e-06,-3.7014e-06,-7.0434e-08
0.48,2.6241e-07,-9.61e-07,-9.8158e-08
0.49,-2.271e-06,1.5197e-06,-1.0452e-07
0.5,-9.7717e-07,5.3414e-07,-9.1348e-08
0.51,4.1033e-07,-8.3951e-07,-9.4181e-08
0.52,5.2761e-07,-1.0409e-06,-9.3464e-08
0.53,-4.4595e-07,-1.5057e-07,-8.8979e-08
0.54,-1.9629e-06,1.2634e-06,-9.2332e-08
0.55,-1.4437e-06,8.0371e-07,-9.3438e-08
0.56,5.705e-07,-1.0419e-06,-8.6743e-08
0.57,1.2426e-06,-1.686e-06,-8.0627e-08
0.58,-1.8501e-06,9.8567e-07,-8.7911e-08
0.59,-2.5633e-06,1.5395e-06,-9.1432e-08
0.6,4.3718e-08,-7.4162e-07,-8.3395e-08
0.61,1.7697e-06,-2.216e-06,-7.654e-08
0.62,-9.8123e-07,9.1154e-08,-8.1904e-08
0.63,-2.9944e-06,1.6766e-06,-8.5296e-08
0.64,-5.3275e-07,-4.6029e-07,-7.8147e-08
0.65,1.8415e-06,-2.4348e-06,-7.2662e-08
0.66,-4.2835e-08,-8.3998e-07,-7.6809e-08
0.67,-3.0355e-06,1.513e-06,-7.9544e-08
0.68,-1.1181e-06,-2.4308e-07,-7.1412e-08
0.69,1.4198e-06,-2.3623e-06,-6.6028e-08
